epoch,global_step,device,epoch_wall_s,steps_per_sec,updates_per_sec,env_step_total_s,env_step_mean_ms,buffer_sample_total_s,buffer_sample_mean_ms,update_total_s,update_mean_ms,gpu_mem_allocated_mb,gpu_mem_reserved_mb
1,3900,GPU (NVIDIA GeForce RTX 3080),0.36,10992.6,0.0,0.198,4.945,0.000,0.000,0.000,0.000,4.9,6.0
2,7900,GPU (NVIDIA GeForce RTX 3080),0.37,10844.5,0.0,0.193,4.835,0.000,0.000,0.000,0.000,4.9,6.0
3,11900,GPU (NVIDIA GeForce RTX 3080),1.99,2006.5,250.8,0.200,4.990,0.094,0.188,1.443,2.885,26.8,34.0
4,15900,GPU (NVIDIA GeForce RTX 3080),1.64,2441.9,305.2,0.213,5.317,0.091,0.182,1.275,2.551,26.8,34.0
5,19900,GPU (NVIDIA GeForce RTX 3080),0.28,14238.2,0.0,0.223,5.569,0.000,0.000,0.000,0.000,26.8,34.0
6,23900,GPU (NVIDIA GeForce RTX 3080),1.63,2451.6,306.5,0.219,5.484,0.094,0.188,1.260,2.521,26.8,34.0
7,27900,GPU (NVIDIA GeForce RTX 3080),1.69,2363.7,295.5,0.221,5.518,0.093,0.186,1.316,2.633,26.8,34.0
8,31900,GPU (NVIDIA GeForce RTX 3080),1.66,2406.9,300.9,0.221,5.513,0.095,0.189,1.287,2.574,26.8,34.0
9,35900,GPU (NVIDIA GeForce RTX 3080),1.64,2444.5,305.6,0.219,5.466,0.093,0.187,1.266,2.531,26.8,34.0
10,39900,GPU (NVIDIA GeForce RTX 3080),0.28,14376.1,0.0,0.219,5.469,0.000,0.000,0.000,0.000,26.8,34.0
11,43900,GPU (NVIDIA GeForce RTX 3080),2.13,1876.2,234.5,0.222,5.559,0.097,0.194,1.272,2.545,26.8,34.0
12,47900,GPU (NVIDIA GeForce RTX 3080),1.66,2412.4,301.6,0.219,5.487,0.095,0.190,1.285,2.570,26.8,34.0
13,51900,GPU (NVIDIA GeForce RTX 3080),1.69,2365.8,295.7,0.220,5.494,0.097,0.193,1.314,2.629,26.8,34.0
14,55900,GPU (NVIDIA GeForce RTX 3080),1.78,2242.9,280.4,0.219,5.481,0.094,0.188,1.411,2.822,26.8,34.0
15,59900,GPU (NVIDIA GeForce RTX 3080),0.27,14629.8,0.0,0.214,5.341,0.000,0.000,0.000,0.000,26.8,34.0
16,63900,GPU (NVIDIA GeForce RTX 3080),2.17,1841.9,230.2,0.217,5.428,0.093,0.186,1.301,2.602,26.8,34.0
17,67900,GPU (NVIDIA GeForce RTX 3080),1.69,2370.0,296.3,0.217,5.428,0.100,0.200,1.309,2.618,26.8,34.0
18,71900,GPU (NVIDIA GeForce RTX 3080),1.80,2224.9,278.1,0.218,5.449,0.104,0.207,1.348,2.696,26.8,34.0
19,75900,GPU (NVIDIA GeForce RTX 3080),1.67,2398.0,299.8,0.216,5.412,0.100,0.199,1.292,2.583,26.8,34.0
20,79900,GPU (NVIDIA GeForce RTX 3080),0.27,14723.9,0.0,0.213,5.330,0.000,0.000,0.000,0.000,26.8,34.0
21,83900,GPU (NVIDIA GeForce RTX 3080),2.73,1466.1,183.3,0.216,5.401,0.102,0.204,1.335,2.671,26.8,34.0
22,87900,GPU (NVIDIA GeForce RTX 3080),1.82,2192.5,274.1,0.212,5.302,0.099,0.198,1.312,2.624,26.8,34.0
23,91900,GPU (NVIDIA GeForce RTX 3080),1.70,2356.2,294.5,0.217,5.433,0.104,0.209,1.316,2.632,26.8,34.0
24,95900,GPU (NVIDIA GeForce RTX 3080),1.69,2363.0,295.4,0.218,5.438,0.103,0.206,1.310,2.621,26.8,34.0
25,99900,GPU (NVIDIA GeForce RTX 3080),0.43,9408.1,0.0,0.215,5.379,0.000,0.000,0.000,0.000,26.8,34.0
26,103900,GPU (NVIDIA GeForce RTX 3080),2.85,1403.5,175.4,0.211,5.284,0.104,0.208,1.332,2.664,31.7,100.0
27,107900,GPU (NVIDIA GeForce RTX 3080),2.42,1655.4,206.9,0.214,5.353,0.098,0.196,1.399,2.798,31.7,100.0
28,111900,GPU (NVIDIA GeForce RTX 3080),2.38,1682.6,210.3,0.217,5.417,0.102,0.204,1.347,2.693,31.7,100.0
29,115900,GPU (NVIDIA GeForce RTX 3080),2.30,1736.4,217.0,0.207,5.182,0.097,0.194,1.345,2.691,31.7,100.0
30,119900,GPU (NVIDIA GeForce RTX 3080),0.36,11086.2,0.0,0.216,5.403,0.000,0.000,0.000,0.000,31.7,100.0
31,123900,GPU (NVIDIA GeForce RTX 3080),3.81,1049.7,131.2,0.218,5.448,0.099,0.197,1.357,2.715,31.7,100.0
32,127900,GPU (NVIDIA GeForce RTX 3080),2.37,1689.1,211.1,0.216,5.401,0.095,0.191,1.436,2.872,31.7,100.0
33,131900,GPU (NVIDIA GeForce RTX 3080),2.30,1739.3,217.4,0.218,5.460,0.100,0.200,1.350,2.701,31.7,100.0
34,135900,GPU (NVIDIA GeForce RTX 3080),2.43,1644.8,205.6,0.218,5.438,0.100,0.199,1.323,2.646,31.7,102.0
35,139900,GPU (NVIDIA GeForce RTX 3080),0.28,14500.8,0.0,0.218,5.462,0.000,0.000,0.000,0.000,31.7,102.0
36,143900,GPU (NVIDIA GeForce RTX 3080),2.37,1686.2,210.8,0.221,5.529,0.103,0.206,1.359,2.718,31.7,102.0
37,147900,GPU (NVIDIA GeForce RTX 3080),2.28,1756.7,219.6,0.221,5.519,0.098,0.195,1.334,2.668,31.7,102.0
38,151900,GPU (NVIDIA GeForce RTX 3080),2.34,1708.1,213.5,0.223,5.575,0.099,0.199,1.338,2.675,31.7,102.0
39,155900,GPU (NVIDIA GeForce RTX 3080),2.25,1778.2,222.3,0.218,5.442,0.098,0.195,1.317,2.634,31.7,102.0
40,159900,GPU (NVIDIA GeForce RTX 3080),0.37,10768.6,0.0,0.218,5.452,0.000,0.000,0.000,0.000,31.7,102.0
41,163900,GPU (NVIDIA GeForce RTX 3080),4.33,923.3,115.4,0.219,5.478,0.101,0.203,1.391,2.781,31.7,102.0
42,167900,GPU (NVIDIA GeForce RTX 3080),2.25,1777.0,222.1,0.218,5.449,0.102,0.205,1.315,2.629,31.7,102.0
43,171900,GPU (NVIDIA GeForce RTX 3080),2.33,1715.9,214.5,0.221,5.528,0.101,0.203,1.331,2.661,31.7,102.0
44,175900,GPU (NVIDIA GeForce RTX 3080),2.30,1740.3,217.5,0.217,5.421,0.100,0.201,1.372,2.743,31.7,102.0
45,179900,GPU (NVIDIA GeForce RTX 3080),0.34,11684.8,0.0,0.217,5.429,0.000,0.000,0.000,0.000,31.7,102.0
46,183900,GPU (NVIDIA GeForce RTX 3080),2.28,1756.3,219.5,0.217,5.434,0.098,0.195,1.341,2.682,31.7,102.0
47,187900,GPU (NVIDIA GeForce RTX 3080),2.39,1672.6,209.1,0.216,5.410,0.098,0.196,1.345,2.690,31.7,102.0
48,191900,GPU (NVIDIA GeForce RTX 3080),2.32,1727.1,215.9,0.219,5.479,0.103,0.206,1.370,2.739,31.7,102.0
49,195900,GPU (NVIDIA GeForce RTX 3080),2.32,1723.7,215.5,0.217,5.433,0.095,0.191,1.321,2.642,31.7,102.0
50,199900,GPU (NVIDIA GeForce RTX 3080),0.28,14428.7,0.0,0.219,5.468,0.000,0.000,0.000,0.000,31.7,102.0
51,203900,GPU (NVIDIA GeForce RTX 3080),5.00,800.7,100.1,0.214,5.355,0.111,0.223,1.389,2.779,31.7,102.0
52,207900,GPU (NVIDIA GeForce RTX 3080),2.38,1681.1,210.1,0.209,5.237,0.102,0.205,1.367,2.734,31.7,102.0
53,211900,GPU (NVIDIA GeForce RTX 3080),2.41,1660.5,207.6,0.212,5.302,0.103,0.206,1.341,2.681,31.7,102.0
54,215900,GPU (NVIDIA GeForce RTX 3080),2.35,1702.0,212.7,0.210,5.248,0.107,0.215,1.346,2.691,31.7,102.0
55,219900,GPU (NVIDIA GeForce RTX 3080),0.29,13694.0,0.0,0.209,5.229,0.000,0.000,0.000,0.000,31.7,102.0
56,223900,GPU (NVIDIA GeForce RTX 3080),2.39,1671.9,209.0,0.215,5.378,0.105,0.210,1.367,2.734,31.7,102.0
57,227900,GPU (NVIDIA GeForce RTX 3080),2.35,1702.1,212.8,0.218,5.454,0.109,0.218,1.401,2.802,31.7,102.0
58,231900,GPU (NVIDIA GeForce RTX 3080),2.24,1789.3,223.7,0.215,5.371,0.103,0.207,1.304,2.608,31.7,102.0
59,235900,GPU (NVIDIA GeForce RTX 3080),2.40,1667.4,208.4,0.219,5.466,0.104,0.207,1.350,2.700,31.7,102.0
60,239900,GPU (NVIDIA GeForce RTX 3080),0.27,15091.5,0.0,0.210,5.246,0.000,0.000,0.000,0.000,31.7,102.0
61,243900,GPU (NVIDIA GeForce RTX 3080),5.41,739.0,92.4,0.217,5.430,0.104,0.208,1.391,2.781,31.7,102.0
62,247900,GPU (NVIDIA GeForce RTX 3080),2.35,1705.6,213.2,0.215,5.384,0.110,0.220,1.345,2.690,31.7,102.0
63,251900,GPU (NVIDIA GeForce RTX 3080),2.35,1705.3,213.2,0.218,5.459,0.104,0.209,1.343,2.686,31.7,102.0
64,255900,GPU (NVIDIA GeForce RTX 3080),2.34,1706.8,213.3,0.213,5.337,0.103,0.206,1.335,2.671,31.7,102.0
65,259900,GPU (NVIDIA GeForce RTX 3080),0.31,12714.8,0.0,0.215,5.366,0.000,0.000,0.000,0.000,31.7,102.0
66,263900,GPU (NVIDIA GeForce RTX 3080),2.29,1750.1,218.8,0.221,5.520,0.100,0.199,1.305,2.611,31.7,102.0
