epoch,step,loss_q1,loss_q2,loss_pi,q1_val,q2_val,grad_q1,grad_q2,grad_pi_rob,grad_pi_adv,mean_return,mean_length,episodes,dist_episodes,buffer_size,elapsed_s,det_loss,det_dist_loss,det_alpha_loss
1,3900,,,,,,,,,,-10.67,24.5,33,7,4000,0.4,,,
2,7900,,,,,,,,,,-16.79,47.0,46,14,8000,0.7,,,
3,11900,0.352960,0.342947,0.134114,-0.4314,-0.4329,1.3646,1.3471,0.1151,0.0100,-32.34,69.1,35,9,12000,2.7,,,
4,15900,0.398122,0.402352,1.017313,-1.3807,-1.3804,2.2701,2.2193,0.3494,0.0012,,,0,0,16000,4.4,,,
5,19900,,,,,,,,,,,,0,0,20000,4.6,,,
6,23900,0.486987,0.495797,0.486307,-1.1417,-1.1413,3.3658,3.3243,0.2947,0.0108,,,0,0,24000,6.3,,,
7,27900,0.629981,0.633590,-0.031334,-0.6324,-0.6323,4.7231,4.7502,0.3464,0.0057,,,0,0,28000,8.0,,,
8,31900,0.717757,0.723253,-0.590698,0.0367,0.0371,5.8520,5.9255,0.3790,0.0272,,,0,0,32000,9.6,,,
9,35900,0.755975,0.774087,-1.207777,0.7258,0.7266,6.8785,6.9583,0.3869,0.0071,,,0,0,36000,11.3,,,
10,39900,,,,,,,,,,,,0,0,40000,11.5,,,
11,43900,0.791293,0.802769,-1.940677,1.4396,1.4400,7.8186,7.8543,0.3677,0.0061,,,0,0,44000,13.7,,,
12,47900,0.797684,0.815197,-2.611088,2.1041,2.1046,8.6825,8.8157,0.3699,0.0033,,,0,0,48000,15.3,,,
13,51900,0.796615,0.815235,-3.222490,2.7816,2.7824,9.1361,9.2913,0.3999,0.0011,,,0,0,52000,17.0,,,
14,55900,0.792030,0.815657,-3.847173,3.4586,3.4590,9.6095,9.8375,0.3868,0.0015,,,0,0,56000,18.8,,,
15,59900,,,,,,,,,,,,0,0,60000,19.1,,,
16,63900,0.800436,0.816265,-4.497522,4.1308,4.1315,9.7334,9.9474,0.3984,0.0022,264.92,525.0,1,1,64000,21.3,,,
17,67900,0.825433,0.842253,-5.194691,4.7883,4.7889,10.2188,10.4341,0.3908,0.0066,,,0,0,68000,23.0,,,
18,71900,0.893672,0.906384,-5.845159,5.4564,5.4568,10.6503,10.8316,0.3990,0.0067,283.29,602.0,3,0,72000,24.8,,,
19,75900,0.905010,0.914263,-6.479656,6.1074,6.1082,10.8865,10.9036,0.3883,0.0092,,,0,0,76000,26.5,,,
20,79900,,,,,,,,,,,,0,0,80000,26.7,,,
21,83900,0.943991,0.963628,-7.148908,6.7336,6.7337,10.8979,11.1926,0.3873,0.0089,,,0,0,84000,29.5,,,
22,87900,0.978220,0.991136,-7.808360,7.3603,7.3604,11.4081,11.6406,0.4277,0.0097,333.28,769.0,1,1,88000,31.3,,,
23,91900,0.991054,1.003219,-8.375640,7.9839,7.9846,11.8071,11.8866,0.4056,0.0377,,,0,0,92000,33.0,,,
24,95900,0.973061,0.991927,-8.829288,8.5698,8.5699,11.7207,12.0244,0.4061,0.0103,,,0,0,96000,34.7,,,
25,99900,,,,,,,,,,436.62,998.0,28,13,100000,35.1,,,
26,103900,1.010155,1.022185,-9.365966,9.1438,9.1438,12.0878,12.3740,0.4155,0.0101,436.96,807.5,10,1,104000,38.0,0.642712,0.482112,0.156901
27,107900,1.051238,1.068693,-9.981287,9.7286,9.7287,12.4443,12.7809,0.4243,0.0135,500.93,969.1,30,10,108000,40.4,0.184208,0.034454,0.147601
28,111900,1.070824,1.076493,-10.570811,10.3280,10.3285,12.5048,12.4318,0.4098,0.0238,525.22,914.8,32,12,112000,42.7,0.264601,0.122022,0.141577
29,115900,1.141600,1.158135,-11.153257,10.9406,10.9405,12.9737,13.2217,0.4315,0.0184,145.54,199.8,8,1,116000,45.1,0.208981,0.073219,0.134995
30,119900,,,,,,,,,,208.78,233.7,3,2,120000,45.4,,,
31,123900,1.150321,1.167909,-11.730402,11.5176,11.5173,13.1897,13.4809,0.4068,0.0186,,,0,0,124000,49.2,0.161837,0.033565,0.127649
32,127900,1.218041,1.222845,-12.285484,12.0519,12.0518,13.6371,13.6992,0.4346,0.0198,,,0,0,128000,51.6,0.123423,0.003693,0.119284
33,131900,1.212828,1.220620,-12.810240,12.5557,12.5562,13.9744,14.0675,0.4227,0.0210,,,0,0,132000,53.9,0.113381,0.001902,0.111128
34,135900,1.183117,1.195480,-13.388544,13.0795,13.0796,13.7608,13.8023,0.4144,0.0214,201.89,227.0,1,0,136000,56.3,0.104277,0.001219,0.102752
35,139900,,,,,,,,,,,,0,0,140000,56.6,,,
36,143900,1.203777,1.205617,-13.861935,13.5848,13.5853,14.1560,14.3011,0.4459,0.0253,288.09,322.0,1,0,144000,59.0,0.095575,0.000836,0.094437
37,147900,1.207273,1.216513,-14.311721,14.0637,14.0637,14.0188,14.2315,0.4393,0.0366,,,0,0,148000,61.2,0.087284,0.000666,0.086284
38,151900,1.160352,1.161690,-14.781095,14.5284,14.5287,13.7473,14.0863,0.4226,0.0302,260.42,355.0,1,1,152000,63.6,0.092394,0.012797,0.079175
39,155900,1.192781,1.206735,-15.282500,15.0102,15.0103,14.4812,14.7675,0.4352,0.0288,,,0,0,156000,65.9,0.073288,0.001433,0.071362
40,159900,,,,,,,,,,393.81,486.0,1,0,160000,66.3,,,
41,163900,1.204652,1.204333,-15.701704,15.4625,15.4628,14.8386,15.0027,0.4390,0.0438,675.76,1001.0,1,0,164000,70.6,0.066529,0.001538,0.064423
42,167900,1.189790,1.208660,-16.110958,15.9284,15.9282,14.4534,14.8120,0.4358,0.0495,,,0,0,168000,72.9,0.063534,0.005032,0.057865
43,171900,1.154578,1.166864,-16.550348,16.3835,16.3838,14.7323,15.1033,0.4303,0.0483,787.68,1001.0,2,0,172000,75.2,0.063643,0.010323,0.052604
44,175900,1.247378,1.259539,-17.012446,16.8285,16.8287,15.4949,15.8788,0.4447,0.0495,,,0,0,176000,77.5,0.048905,0.001853,0.046303
45,179900,,,,,,,,,,546.63,675.0,1,0,180000,77.8,,,
46,183900,1.186141,1.200615,-17.421751,17.2616,17.2619,15.3376,15.8595,0.4346,0.0452,,,0,0,184000,80.1,0.047342,0.005605,0.040955
47,187900,1.135346,1.141880,-17.857888,17.6791,17.6789,14.6749,15.0239,0.4315,0.0459,667.78,1001.0,1,0,188000,82.5,0.037712,0.001168,0.035740
48,191900,1.168232,1.174990,-18.308545,18.1110,18.1112,15.2462,15.5458,0.4433,0.0478,,,0,0,192000,84.8,0.032227,0.000224,0.031219
49,195900,1.147839,1.158461,-18.807718,18.5888,18.5887,15.2112,15.5150,0.4438,0.0461,689.38,848.0,1,0,196000,87.2,0.028324,0.000287,0.027287
50,199900,,,,,,,,,,,,0,0,200000,87.4,,,
51,203900,1.224522,1.222997,-19.213255,19.0142,19.0140,15.8587,16.2451,0.4276,0.0467,739.44,1001.0,31,7,204000,92.4,0.091232,0.061997,0.028452
52,207900,1.257189,1.265988,-19.742023,19.4927,19.4929,16.2889,16.8477,0.4342,0.0488,742.11,1001.0,25,11,208000,94.8,0.044201,0.020623,0.022817
53,211900,1.337735,1.346193,-20.272623,20.0297,20.0291,16.2624,16.6816,0.4399,0.0494,642.68,863.3,27,6,212000,97.2,0.114372,0.085675,0.027822
54,215900,1.434228,1.434458,-20.757212,20.5494,20.5493,17.1704,17.4051,0.4535,0.0515,495.89,631.0,13,3,216000,99.6,0.054040,0.033073,0.020191
55,219900,,,,,,,,,,772.01,1001.0,3,2,220000,99.9,,,
56,223900,1.503680,1.506998,-21.251236,21.0420,21.0422,17.9240,18.3055,0.4676,0.0519,180.92,181.0,1,0,224000,102.3,0.063950,0.044294,0.018891
57,227900,1.460616,1.449949,-21.721044,21.5030,21.5026,18.2928,18.3277,0.4563,0.0528,,,0,0,228000,104.6,0.019028,0.004936,0.013418
58,231900,1.524738,1.522795,-22.150394,21.9608,21.9609,18.2578,18.4820,0.4659,0.0537,,,0,0,232000,106.8,0.014183,0.002322,0.011237
59,235900,1.574486,1.578646,-22.619445,22.4148,22.4147,18.7849,19.3086,0.4533,0.0544,675.73,1001.0,1,0,236000,109.2,0.011866,0.001605,0.009686
60,239900,,,,,,,,,,,,0,0,240000,109.5,,,
61,243900,1.492253,1.495701,-23.087729,22.8300,22.8303,17.9203,18.2999,0.4576,0.0542,806.31,1001.0,1,0,244000,114.9,0.012107,0.003036,0.008554
62,247900,1.531971,1.548364,-23.478107,23.2615,23.2612,19.2199,19.5709,0.4863,0.0547,285.09,325.0,1,1,248000,117.3,0.040651,0.030581,0.009559
63,251900,1.469450,1.472677,-23.999511,23.7405,23.7407,18.8008,19.0062,0.4670,0.0564,805.27,1001.0,1,0,252000,119.6,0.012970,0.005740,0.006784
64,255900,1.502862,1.484489,-24.401639,24.1485,24.1485,19.2517,19.3526,0.4604,0.0553,470.91,447.0,1,0,256000,122.0,0.007663,0.001822,0.005450
65,259900,,,,,,,,,,685.28,726.0,3,0,260000,122.3,,,
66,263900,1.559654,1.547624,-24.852132,24.5978,24.5975,19.3589,19.9044,0.4854,0.0571,449.64,511.5,2,0,264000,124.6,0.006977,0.001896,0.004723
67,267900,1.534740,1.537307,-25.271025,25.0188,25.0189,19.5262,19.8095,0.4563,0.0577,,,0,0,268000,126.9,0.004669,0.000474,0.003871
68,271900,1.604248,1.599140,-25.714413,25.4497,25.4495,19.4607,19.9241,0.4786,0.0594,614.25,755.3,3,1,272000,129.2,0.007650,0.003709,0.003654
69,275900,1.654203,1.653267,-26.117503,25.8343,25.8344,20.7356,21.4200,0.4892,0.0607,,,0,0,276000,131.5,0.006669,0.003179,0.003221
70,279900,,,,,,,,,,909.67,1001.0,1,1,280000,131.8,,,
71,283900,1.569581,1.552336,-26.494231,26.2367,26.2364,19.9763,20.2426,0.4888,0.0575,,,0,0,284000,137.6,0.011841,0.008435,0.003143
72,287900,1.591085,1.577851,-26.906264,26.6474,26.6476,20.0657,20.3513,0.4679,0.0575,825.27,986.0,1,1,288000,139.9,0.016165,0.012705,0.003206
73,291900,1.579644,1.556468,-27.337495,27.0574,27.0574,20.2301,20.2465,0.4653,0.0603,,,0,0,292000,142.2,0.003374,0.001265,0.001895
74,295900,1.484933,1.473598,-27.730939,27.4669,27.4668,20.4385,20.6896,0.4660,0.0607,842.85,1001.0,1,0,296000,144.5,0.001974,0.000320,0.001467
75,299900,,,,,,,,,,,,0,0,300000,144.8,,,
76,303900,1.600430,1.583385,-28.096312,27.8445,27.8448,21.9794,22.3255,0.4727,0.0610,807.81,963.9,26,7,304000,147.2,0.002624,0.001083,0.001361
77,307900,1.777122,1.764457,-28.539441,28.2615,28.2613,21.4567,22.0555,0.4996,0.0658,778.26,958.8,23,8,308000,149.6,0.047535,0.041714,0.005472
78,311900,1.740265,1.705216,-28.997834,28.7276,28.7275,21.4544,21.3560,0.4942,0.0660,702.49,854.7,26,7,312000,152.0,0.071153,0.062476,0.008280
79,315900,2.072892,2.059483,-29.448243,29.2003,29.2000,23.2261,23.7819,0.5044,0.0644,791.20,956.5,13,7,316000,154.4,0.047486,0.040797,0.006308
80,319900,,,,,,,,,,370.79,427.0,12,1,320000,154.7,,,
81,323900,2.029123,2.021062,-29.907961,29.6462,29.6460,24.3337,24.6316,0.4947,0.0659,324.54,276.5,4,1,324000,161.0,0.008584,0.006879,0.001422
82,327900,2.005138,2.004932,-30.283838,30.0328,30.0333,23.7048,24.5215,0.5078,0.0672,484.28,547.0,2,0,328000,163.3,0.008060,0.006426,0.001394
83,331900,2.080463,2.073854,-30.666770,30.4204,30.4205,24.1245,24.6355,0.5001,0.0693,241.39,193.0,1,0,332000,165.7,0.004151,0.003105,0.000816
84,335900,2.133942,2.126143,-31.025680,30.7938,30.7939,24.5288,25.0155,0.4965,0.0671,838.56,1001.0,1,0,336000,168.1,0.002278,0.001514,0.000553
85,339900,,,,,,,,,,231.58,202.0,1,1,340000,168.4,,,
86,343900,2.178855,2.152822,-31.394493,31.1331,31.1326,26.7435,27.1413,0.5116,0.0690,414.60,473.8,4,3,344000,170.8,0.003872,0.002898,0.000735
87,347900,2.303023,2.296928,-31.760775,31.5131,31.5136,27.0201,27.8488,0.5171,0.0693,52.11,49.0,1,0,348000,173.2,0.025232,0.022269,0.002693
88,351900,2.149588,2.147442,-32.103158,31.8598,31.8596,25.9622,27.0703,0.4970,0.0686,518.74,523.5,2,1,352000,175.6,0.002397,0.001775,0.000419
89,355900,2.236149,2.215773,-32.479960,32.2431,32.2431,27.1256,27.9391,0.5237,0.0723,347.10,369.2,4,2,356000,177.9,0.007415,0.006359,0.000843
90,359900,,,,,,,,,,431.42,516.0,2,1,360000,178.2,,,
91,363900,2.305551,2.293937,-32.806487,32.5453,32.5449,27.7829,28.7377,0.5135,0.0727,836.85,1001.0,2,0,364000,185.0,0.012749,0.011196,0.001331
92,367900,2.329663,2.297712,-33.135375,32.8779,32.8781,28.3991,29.1368,0.5135,0.0700,,,0,0,368000,187.3,0.001634,0.001203,0.000247
93,371900,2.266778,2.258224,-33.505360,33.2597,33.2593,26.6499,27.7117,0.5227,0.0703,485.86,585.5,2,1,372000,189.6,0.001396,0.001031,0.000194
94,375900,2.151102,2.126863,-33.853017,33.6190,33.6191,28.0506,28.5825,0.5059,0.0726,,,0,0,376000,192.0,0.001998,0.001527,0.000300
95,379900,,,,,,,,,,,,0,0,380000,192.3,,,
96,383900,2.245608,2.233507,-34.194049,33.9171,33.9167,28.4359,29.0560,0.4981,0.0718,772.32,804.0,1,0,384000,194.7,0.001760,0.001311,0.000281
97,387900,2.270521,2.246629,-34.505371,34.2545,34.2549,26.7674,27.3043,0.5071,0.0763,1014.76,1001.0,1,1,388000,197.1,0.009791,0.008716,0.000888
98,391900,2.301791,2.257078,-34.853356,34.6367,34.6372,28.6050,29.1943,0.5231,0.0731,,,0,0,392000,199.3,0.002955,0.002451,0.000331
99,395900,2.264373,2.221507,-35.175303,34.9174,34.9176,29.8564,30.2560,0.5061,0.0764,,,0,0,396000,201.6,0.001307,0.000963,0.000174
100,399900,,,,,,,,,,556.81,588.5,4,1,400000,202.0,,,
101,403900,2.384853,2.381361,-35.544443,35.2650,35.2650,29.5145,30.8492,0.5363,0.0760,806.25,960.3,24,5,404000,209.3,0.007139,0.006316,0.000659
102,407900,2.474922,2.462215,-35.903128,35.6508,35.6496,29.4343,29.8833,0.5189,0.0767,814.11,945.8,17,6,408000,211.6,0.033828,0.030099,0.003447
