step,episode_return,has_disturbance
900,-2.11811029507444,0
1000,-9.130411282485444,0
1000,-14.621204840245454,1
1100,-4.931617840175744,0
1200,-0.5919982626967204,0
1400,-3.0980440784906067,0
1600,-19.15114107412023,0
1700,-6.1676883383463075,0
1800,-3.7660193026473996,0
1800,-6.06195494003862,1
1900,-5.191172650977213,1
2000,2.9139318782004784,0
2000,-13.322040068440453,0
2000,-5.900342177496758,0
2100,-10.834309529592588,0
2200,-20.98844218722437,0
2400,-6.80350235187965,0
2400,-4.625819135361899,1
2500,-12.781092916811062,0
2600,-26.00323496734765,0
2700,-0.6136766552305293,0
2800,-26.164204409048565,0
2800,-3.1280523920409697,0
3000,-5.087497095985409,0
3100,-45.94364944643779,0
3100,-15.70926853373416,1
3200,-9.028717551307292,0
3300,12.755253531984271,1
3400,-21.771265027857968,0
3500,1.2116757715921853,0
3600,-43.94644555256414,1
3700,-24.986050620039784,0
3900,3.467599354813573,0
4000,-2.4407399761064457,1
4200,-15.19975234233716,0
4200,-15.7572745179874,1
4300,-15.118991881622863,0
4400,-44.38446964717409,0
4500,-24.95465140529915,1
4600,6.04909287788393,1
4600,-16.26655285709046,1
4700,-1.4594709855272043,1
4900,-9.869848379979558,0
4900,-27.959379115038264,0
4900,5.82040721202446,0
5000,-45.489768270380125,0
5000,-32.33585168339691,1
5100,-21.205454506679217,0
5200,4.015019329130132,0
5300,-20.697568155268527,0
5400,-1.124806928594264,0
5500,-5.137714185280457,0
5600,-30.146862948623138,0
5700,-24.44792614984027,1
5700,-17.652895565926706,0
5800,0.6838122548362646,0
5900,-4.0438063417300345,0
6000,-15.491943114858882,1
6100,-29.337212653383173,0
6100,-34.92190686815058,1
6200,4.140122924363121,0
6200,-17.497463578175832,0
6500,-6.575014486428156,0
6500,0.48242360811204854,0
6600,0.6364875503688134,0
6700,-36.82501856001968,1
6800,3.1048861869995648,0
6900,17.718546247591917,0
7000,-23.6509148482729,1
7100,-54.65123600920887,1
7200,-27.741242664010862,0
7400,-34.89670428723154,1
7400,-10.681023252178935,0
7500,-6.7790476781471085,0
7600,-46.627756349778544,0
7600,-0.35941652389059975,0
7700,-13.219262095696939,0
7700,-81.0358822696453,0
7900,1.155352325243064,0
8000,-29.60246174149448,0
8000,8.794327114997797,0
8200,-41.472892351248646,1
8200,-43.7155724409635,1
8300,-3.729694934913885,0
8400,-54.24601971412973,0
8500,-12.665485945081882,0
8500,-0.4306089508735531,0
8500,-25.122496733529605,1
8800,-50.38592962176446,0
8800,18.13978148752193,0
8800,-66.24825299973539,0
8900,27.27652108092307,0
8900,-68.19839737294716,0
9000,24.283489338596862,0
9100,-35.18485795740301,0
9100,-10.295072652292422,0
