epoch,global_step,device,epoch_wall_s,steps_per_sec,updates_per_sec,env_step_total_s,env_step_mean_ms,buffer_sample_total_s,buffer_sample_mean_ms,update_total_s,update_mean_ms,gpu_mem_allocated_mb,gpu_mem_reserved_mb
1,3900,GPU (NVIDIA GeForce RTX 3080),0.39,10228.7,0.0,0.210,5.247,0.000,0.000,0.000,0.000,2.2,4.0
2,7900,GPU (NVIDIA GeForce RTX 3080),0.38,10552.5,0.0,0.231,5.773,0.000,0.000,0.000,0.000,11.3,24.0
3,11900,GPU (NVIDIA GeForce RTX 3080),1.92,2082.4,260.3,0.241,6.020,0.201,0.402,1.440,2.879,23.6,36.0
4,15900,GPU (NVIDIA GeForce RTX 3080),1.76,2267.6,283.4,0.244,6.089,0.202,0.404,1.278,2.555,23.6,36.0
5,19900,GPU (NVIDIA GeForce RTX 3080),0.28,14224.5,0.0,0.238,5.957,0.000,0.000,0.000,0.000,23.6,36.0
6,23900,GPU (NVIDIA GeForce RTX 3080),1.80,2219.1,277.4,0.244,6.092,0.209,0.418,1.305,2.611,23.6,36.0
7,27900,GPU (NVIDIA GeForce RTX 3080),1.80,2219.4,277.4,0.245,6.137,0.211,0.422,1.304,2.609,23.6,36.0
8,31900,GPU (NVIDIA GeForce RTX 3080),1.79,2233.6,279.2,0.243,6.069,0.210,0.420,1.296,2.593,23.6,36.0
9,35900,GPU (NVIDIA GeForce RTX 3080),1.84,2168.1,271.0,0.243,6.071,0.222,0.444,1.340,2.681,23.6,36.0
10,39900,GPU (NVIDIA GeForce RTX 3080),0.28,14336.6,0.0,0.237,5.929,0.000,0.000,0.000,0.000,23.6,36.0
11,43900,GPU (NVIDIA GeForce RTX 3080),2.27,1759.4,219.9,0.238,5.947,0.212,0.424,1.279,2.557,23.6,36.0
12,47900,GPU (NVIDIA GeForce RTX 3080),1.79,2239.1,279.9,0.237,5.924,0.215,0.430,1.290,2.581,23.6,36.0
13,51900,GPU (NVIDIA GeForce RTX 3080),1.89,2117.0,264.6,0.235,5.883,0.218,0.435,1.396,2.793,23.6,36.0
14,55900,GPU (NVIDIA GeForce RTX 3080),1.88,2125.7,265.7,0.233,5.829,0.217,0.434,1.391,2.782,23.6,36.0
15,59900,GPU (NVIDIA GeForce RTX 3080),0.27,14627.5,0.0,0.235,5.885,0.000,0.000,0.000,0.000,23.6,36.0
16,63900,GPU (NVIDIA GeForce RTX 3080),1.82,2192.9,274.1,0.236,5.891,0.216,0.432,1.332,2.664,23.6,36.0
17,67900,GPU (NVIDIA GeForce RTX 3080),1.80,2219.7,277.5,0.235,5.884,0.221,0.443,1.303,2.606,23.6,36.0
18,71900,GPU (NVIDIA GeForce RTX 3080),1.75,2289.0,286.1,0.233,5.821,0.213,0.425,1.259,2.518,23.6,36.0
19,75900,GPU (NVIDIA GeForce RTX 3080),1.79,2229.6,278.7,0.240,6.004,0.216,0.431,1.298,2.597,23.6,36.0
20,79900,GPU (NVIDIA GeForce RTX 3080),0.28,14182.3,0.0,0.242,6.042,0.000,0.000,0.000,0.000,23.6,36.0
21,83900,GPU (NVIDIA GeForce RTX 3080),2.90,1378.6,172.3,0.235,5.880,0.226,0.452,1.338,2.677,23.6,36.0
22,87900,GPU (NVIDIA GeForce RTX 3080),1.80,2223.5,277.9,0.236,5.903,0.217,0.435,1.306,2.612,23.6,36.0
23,91900,GPU (NVIDIA GeForce RTX 3080),1.85,2163.5,270.4,0.233,5.818,0.224,0.448,1.352,2.705,23.6,36.0
24,95900,GPU (NVIDIA GeForce RTX 3080),1.76,2269.4,283.7,0.234,5.853,0.219,0.439,1.268,2.535,23.6,36.0
25,99900,GPU (NVIDIA GeForce RTX 3080),1.28,3135.1,0.0,0.234,5.848,0.000,0.000,0.000,0.000,23.6,36.0
26,103900,GPU (NVIDIA GeForce RTX 3080),1.83,2184.7,273.1,0.235,5.886,0.224,0.448,1.269,2.537,23.6,36.0
27,107900,GPU (NVIDIA GeForce RTX 3080),1.80,2220.2,277.5,0.230,5.758,0.224,0.447,1.276,2.551,23.6,36.0
