epoch,step,loss_q1,loss_q2,loss_pi,q1_val,q2_val,grad_q1,grad_q2,grad_pi,mean_return,mean_length,episodes,buffer_size,elapsed_s
1,3900,,,,,,,,,-11.29,23.5,42,4000,0.4
2,7900,,,,,,,,,-12.83,40.9,16,8000,0.8
3,11900,0.256186,0.254903,-0.746693,0.3939,0.3951,0.8105,0.8233,0.2150,,,0,12000,2.7
4,15900,0.155496,0.153502,-1.722194,1.2081,1.2079,1.4213,1.4135,0.2159,,,0,16000,4.5
5,19900,,,,,,,,,,,0,20000,4.7
6,23900,0.203562,0.202898,-2.706399,2.1493,2.1489,2.0250,1.9653,0.2657,,,0,24000,6.5
7,27900,0.241482,0.238718,-3.629960,3.1136,3.1132,2.6961,2.5882,0.2940,,,0,28000,8.3
8,31900,0.272899,0.272224,-4.490483,4.0120,4.0117,3.2670,3.2548,0.3440,,,0,32000,10.1
9,35900,0.295842,0.293122,-5.322883,4.8706,4.8704,3.9244,3.7836,0.3555,,,0,36000,12.0
10,39900,,,,,,,,,,,0,40000,12.3
11,43900,0.327216,0.323049,-6.129301,5.6916,5.6913,4.5036,4.3248,0.3454,,,0,44000,14.5
12,47900,0.362946,0.361377,-6.892085,6.4829,6.4825,4.7605,4.6359,0.3974,,,0,48000,16.3
13,51900,0.428923,0.424474,-7.671246,7.2678,7.2677,5.6044,5.4676,0.3577,,,0,52000,18.2
14,55900,0.473632,0.462673,-8.399562,8.0141,8.0140,5.6536,5.4010,0.3803,,,0,56000,20.1
15,59900,,,,,,,,,,,0,60000,20.4
16,63900,0.485861,0.477524,-9.101361,8.7250,8.7249,5.9236,5.9819,0.3637,,,0,64000,22.2
17,67900,0.507556,0.499229,-9.795895,9.4276,9.4274,5.9633,5.9263,0.3655,,,0,68000,24.0
18,71900,0.524317,0.512233,-10.424673,10.0702,10.0704,6.3620,6.1190,0.3547,,,0,72000,25.8
19,75900,0.539510,0.526340,-11.063197,10.7213,10.7210,6.5435,6.4104,0.3547,,,0,76000,27.6
20,79900,,,,,,,,,,,0,80000,27.9
21,83900,0.524548,0.510321,-11.725199,11.3818,11.3820,6.7458,6.4820,0.3563,,,0,84000,30.8
22,87900,0.539387,0.527424,-12.386128,12.0441,12.0443,6.9765,6.8464,0.3354,,,0,88000,32.6
23,91900,0.545983,0.533760,-13.023206,12.6946,12.6945,6.7656,6.6881,0.3633,,,0,92000,34.4
24,95900,0.546739,0.529277,-13.661958,13.3334,13.3336,7.0300,6.6507,0.3598,,,0,96000,36.2
25,99900,,,,,,,,,773.70,998.7,52,100000,37.5
26,103900,0.651974,0.636347,-14.297464,13.9739,13.9739,7.4066,7.2037,0.3733,816.17,1001.0,31,104000,39.3
27,107900,0.787133,0.765976,-15.000917,14.6842,14.6846,8.4983,8.2389,0.3515,816.80,947.0,18,108000,41.1
28,111900,0.805549,0.789461,-15.716823,15.4075,15.4073,8.5792,8.2422,0.3869,128.65,107.0,1,112000,42.9
29,115900,0.878893,0.862948,-16.384968,16.0791,16.0791,9.1985,9.1229,0.3886,128.52,112.0,2,116000,44.7
30,119900,,,,,,,,,190.98,185.0,1,120000,45.0
31,123900,0.850132,0.835989,-17.031952,16.7204,16.7207,8.8479,8.8704,0.3670,243.28,236.0,1,124000,48.4
32,127900,0.910259,0.891829,-17.663461,17.3435,17.3432,9.3239,9.1426,0.3716,,,0,128000,50.2
