epoch,step,loss_q,loss_pi,q_val,grad_q,grad_pi,mean_return,mean_length,episodes,buffer_size,elapsed_s
1,3900,,,,,,-7.68,24.4,37,4000,0.3
2,7900,,,,,,-21.24,41.2,16,8000,0.6
3,11900,0.508665,-1.767603,1.2306,2.0313,0.0717,9.45,93.7,3,12000,1.9
4,15900,0.929566,-2.547129,1.3262,4.1563,0.6804,,,0,16000,3.1
5,19900,,,,,,-92.11,150.7,3,20000,3.4
6,23900,1.168868,-3.543152,2.5188,6.4541,1.3618,,,0,24000,4.6
7,27900,1.271798,-4.291358,3.3609,7.8608,1.8068,-173.95,251.0,1,28000,5.9
8,31900,1.253980,-5.019150,4.1246,7.8038,1.7771,-163.10,282.0,1,32000,7.1
9,35900,1.177649,-5.946329,5.0726,7.5744,1.6587,-139.43,322.0,3,36000,8.4
10,39900,,,,,,-196.13,375.5,2,40000,8.6
11,43900,1.126810,-6.828989,6.0199,7.5623,1.7043,-158.69,417.0,2,44000,9.8
12,47900,1.127286,-7.746410,6.9588,7.5232,1.4853,-122.55,364.2,5,48000,11.1
13,51900,1.127884,-8.846579,8.0695,7.2184,1.2244,-142.09,507.5,4,52000,12.3
14,55900,1.317259,-11.297479,9.6689,7.5096,1.4654,-117.53,529.1,7,56000,13.6
15,59900,,,,,,-76.64,523.3,6,60000,13.8
16,63900,2.133505,-16.677041,14.8856,9.6607,2.0005,-19.65,223.3,3,64000,15.1
17,67900,1.925177,-18.302778,17.2908,8.8126,1.4665,-77.48,486.3,3,68000,16.3
18,71900,1.831739,-19.032835,18.2954,8.7002,1.4672,-68.14,587.2,4,72000,17.6
19,75900,1.762558,-19.762901,19.0469,8.5126,1.3458,,,0,76000,18.8
20,79900,,,,,,-16.25,529.0,3,80000,19.1
21,83900,1.691291,-20.534245,19.8095,8.3474,1.3753,60.80,278.0,1,84000,20.4
22,87900,1.639152,-21.381130,20.6363,8.0283,1.3835,-5.15,613.0,4,88000,21.6
23,91900,1.631596,-22.224936,21.4914,8.0744,1.3539,63.61,559.5,2,92000,22.8
24,95900,1.631205,-23.041530,22.3201,7.8900,1.4558,65.34,512.2,6,96000,24.1
25,99900,,,,,,-105.49,967.3,27,100000,24.3
26,103900,1.789861,-23.904448,23.1824,8.2089,1.4732,-115.60,992.6,20,104000,25.6
27,107900,1.913877,-25.062286,24.3053,8.2483,1.4555,-84.57,777.1,12,108000,26.8
28,111900,2.062697,-26.378007,25.6193,8.4446,1.4758,96.53,277.1,12,112000,28.1
29,115900,2.628976,-29.598970,27.9515,9.8755,1.4820,98.53,158.0,21,116000,29.3
30,119900,,,,,,73.41,220.6,21,120000,29.5
31,123900,3.338340,-32.801624,31.5773,11.3546,1.4549,68.36,140.4,9,124000,30.8
32,127900,3.206270,-33.813332,33.0091,11.1791,1.2919,34.41,94.0,5,128000,32.0
33,131900,3.131771,-34.696628,33.9329,10.8496,1.3304,102.99,160.2,5,132000,33.3
34,135900,3.078097,-35.764740,34.8937,10.8818,1.3393,150.15,419.4,5,136000,34.5
35,139900,,,,,,-4.01,1001.0,2,140000,34.7
36,143900,2.944068,-36.847539,35.9796,10.8219,1.2583,92.50,615.5,2,144000,36.0
37,147900,2.888733,-37.857415,37.0149,10.8870,1.2701,101.97,756.3,3,148000,37.2
38,151900,2.810178,-38.802850,37.9821,10.9532,1.3243,39.28,564.2,5,152000,38.6
39,155900,2.955354,-39.838276,38.9985,11.1261,1.3979,129.31,816.6,7,156000,39.8
40,159900,,,,,,48.34,821.2,5,160000,40.0
41,163900,3.180204,-41.229294,40.1515,12.1414,1.3535,10.01,29.0,1,164000,41.3
42,167900,3.748565,-44.035502,42.5200,14.1115,1.6784,316.99,344.5,4,168000,42.5
43,171900,3.812093,-46.872802,45.1970,14.0227,1.5874,151.95,522.8,5,172000,43.7
44,175900,4.224531,-49.817512,48.2074,16.4310,1.6497,438.50,469.3,6,176000,45.0
45,179900,,,,,,238.65,696.5,6,180000,45.2
46,183900,4.263711,-52.431560,50.8955,17.2729,1.5980,273.82,417.6,5,184000,46.5
47,187900,4.381694,-55.001283,53.5114,16.8624,1.5290,356.15,229.7,3,188000,47.7
48,191900,4.764270,-57.420996,55.9594,19.2263,1.6237,509.35,401.8,4,192000,49.0
49,195900,4.802759,-59.739706,58.2937,20.6333,1.6579,559.24,420.5,4,196000,50.2
50,199900,,,,,,275.47,428.0,4,200000,50.4
51,203900,5.147588,-61.829535,60.4246,20.2769,1.6446,177.50,936.0,29,204000,51.7
52,207900,5.703152,-64.189312,62.7803,21.3670,1.6317,328.85,608.6,13,208000,52.9
53,211900,6.223232,-66.627869,65.2121,24.5797,1.6370,257.89,273.5,18,212000,54.2
54,215900,6.848497,-69.017685,67.6432,27.5608,1.7718,221.89,319.1,10,216000,55.4
55,219900,,,,,,336.38,744.9,14,220000,55.6
56,223900,7.199636,-71.249521,69.8720,28.6119,1.8265,219.03,431.6,12,224000,56.9
57,227900,7.767230,-73.683019,72.2883,32.4236,1.8756,258.57,264.4,9,228000,58.1
58,231900,8.011235,-76.199133,74.7783,32.7443,1.9556,256.09,253.2,9,232000,59.3
59,235900,8.759894,-78.670577,77.2443,38.1155,1.9857,417.67,385.9,13,236000,60.6
60,239900,,,,,,348.98,242.8,27,240000,60.8
61,243900,9.816613,-81.035563,79.6068,41.3858,1.9809,197.57,126.0,15,244000,62.1
62,247900,10.372849,-83.412661,81.9695,46.8512,2.0083,338.60,323.8,9,248000,63.4
63,251900,10.356756,-85.676664,84.2596,47.1757,2.0775,405.02,456.0,11,252000,64.7
64,255900,10.467252,-87.926853,86.4821,45.7401,2.0068,389.73,375.2,6,256000,66.0
65,259900,,,,,,316.11,194.1,9,260000,66.2
66,263900,11.713745,-89.999424,88.5556,53.8127,2.0756,346.95,301.1,9,264000,67.5
67,267900,11.838209,-92.130208,90.6761,50.6741,2.1114,271.13,380.2,8,268000,68.8
68,271900,11.890534,-94.151635,92.7106,57.3295,2.1242,507.78,428.6,7,272000,70.0
69,275900,12.222115,-96.040178,94.5810,51.2146,2.0960,532.97,397.6,7,276000,71.2
70,279900,,,,,,417.73,375.6,14,280000,71.5
71,283900,13.348772,-97.963706,96.4937,67.2012,2.1595,349.61,218.3,10,284000,72.8
72,287900,13.240049,-99.865434,98.3846,61.9479,2.3416,358.03,325.7,13,288000,74.0
73,291900,14.177470,-101.624913,100.1600,70.0840,2.3098,396.58,385.4,10,292000,75.3
74,295900,14.212439,-103.452986,101.9680,65.6365,2.3083,290.53,290.4,7,296000,76.5
75,299900,,,,,,264.94,218.8,4,300000,76.7
76,303900,14.988845,-105.231591,103.7503,77.2091,2.4798,420.67,629.9,14,304000,78.0
77,307900,14.772986,-106.957604,105.4844,68.7179,2.3932,279.47,335.9,13,308000,79.2
78,311900,15.764928,-108.610441,107.1364,78.6841,2.6244,323.45,418.9,16,312000,80.4
