epoch,global_step,device,epoch_wall_s,steps_per_sec,updates_per_sec,env_step_total_s,env_step_mean_ms,buffer_sample_total_s,buffer_sample_mean_ms,update_total_s,update_mean_ms,gpu_mem_allocated_mb,gpu_mem_reserved_mb
1,3900,GPU (NVIDIA GeForce RTX 3080),0.27,15028.0,0.0,0.191,4.766,0.000,0.000,0.000,0.000,1.5,2.0
2,7900,GPU (NVIDIA GeForce RTX 3080),0.29,13999.6,0.0,0.191,4.773,0.000,0.000,0.000,0.000,10.6,24.0
3,11900,GPU (NVIDIA GeForce RTX 3080),1.34,2991.0,373.9,0.195,4.873,0.139,0.278,0.981,1.962,21.7,34.0
4,15900,GPU (NVIDIA GeForce RTX 3080),1.23,3258.2,407.3,0.199,4.969,0.146,0.292,0.859,1.718,21.7,34.0
5,19900,GPU (NVIDIA GeForce RTX 3080),0.23,17535.5,0.0,0.203,5.077,0.000,0.000,0.000,0.000,21.7,34.0
6,23900,GPU (NVIDIA GeForce RTX 3080),1.23,3247.4,405.9,0.200,5.006,0.152,0.304,0.855,1.711,21.7,34.0
7,27900,GPU (NVIDIA GeForce RTX 3080),1.25,3199.5,399.9,0.202,5.056,0.158,0.315,0.863,1.726,21.7,34.0
8,31900,GPU (NVIDIA GeForce RTX 3080),1.25,3207.7,401.0,0.197,4.935,0.159,0.319,0.864,1.728,21.7,34.0
9,35900,GPU (NVIDIA GeForce RTX 3080),1.27,3155.7,394.5,0.203,5.070,0.166,0.333,0.857,1.714,21.7,34.0
10,39900,GPU (NVIDIA GeForce RTX 3080),0.22,17969.6,0.0,0.200,5.008,0.000,0.000,0.000,0.000,21.7,34.0
11,43900,GPU (NVIDIA GeForce RTX 3080),1.26,3171.4,396.4,0.205,5.117,0.166,0.332,0.864,1.728,21.7,34.0
12,47900,GPU (NVIDIA GeForce RTX 3080),1.30,3066.7,383.3,0.202,5.059,0.170,0.339,0.907,1.813,21.7,34.0
13,51900,GPU (NVIDIA GeForce RTX 3080),1.27,3160.4,395.1,0.205,5.121,0.166,0.333,0.870,1.740,21.7,34.0
14,55900,GPU (NVIDIA GeForce RTX 3080),1.25,3201.1,400.1,0.200,5.000,0.167,0.333,0.859,1.717,21.7,34.0
15,59900,GPU (NVIDIA GeForce RTX 3080),0.22,18470.8,0.0,0.194,4.852,0.000,0.000,0.000,0.000,21.7,34.0
16,63900,GPU (NVIDIA GeForce RTX 3080),1.26,3168.3,396.0,0.201,5.032,0.168,0.336,0.868,1.736,21.7,34.0
