epoch,global_step,device,epoch_wall_s,steps_per_sec,updates_per_sec,env_step_total_s,env_step_mean_ms,buffer_sample_total_s,buffer_sample_mean_ms,update_total_s,update_mean_ms,gpu_mem_allocated_mb,gpu_mem_reserved_mb
1,3900,GPU (NVIDIA GeForce RTX 3080),0.34,11781.4,0.0,0.207,5.185,0.000,0.000,0.000,0.000,2.2,4.0
2,7900,GPU (NVIDIA GeForce RTX 3080),0.33,12169.0,0.0,0.198,4.940,0.000,0.000,0.000,0.000,2.2,4.0
3,11900,GPU (NVIDIA GeForce RTX 3080),1.79,2239.4,279.9,0.209,5.235,0.103,0.207,1.301,2.602,22.9,30.0
4,15900,GPU (NVIDIA GeForce RTX 3080),1.61,2492.2,311.5,0.237,5.927,0.106,0.211,1.221,2.441,22.9,30.0
5,19900,GPU (NVIDIA GeForce RTX 3080),0.28,14071.7,0.0,0.244,6.105,0.000,0.000,0.000,0.000,22.9,30.0
6,23900,GPU (NVIDIA GeForce RTX 3080),1.62,2465.5,308.2,0.238,5.956,0.100,0.201,1.244,2.487,22.9,30.0
7,27900,GPU (NVIDIA GeForce RTX 3080),1.57,2553.7,319.2,0.245,6.118,0.103,0.205,1.177,2.354,22.9,30.0
8,31900,GPU (NVIDIA GeForce RTX 3080),1.55,2583.5,322.9,0.239,5.966,0.103,0.206,1.166,2.332,22.9,30.0
9,35900,GPU (NVIDIA GeForce RTX 3080),1.56,2564.4,320.6,0.238,5.952,0.108,0.216,1.173,2.346,22.9,30.0
10,39900,GPU (NVIDIA GeForce RTX 3080),0.55,7298.3,0.0,0.230,5.741,0.000,0.000,0.000,0.000,22.9,30.0
11,43900,GPU (NVIDIA GeForce RTX 3080),2.12,1883.9,235.5,0.232,5.797,0.111,0.222,1.255,2.511,22.9,30.0
12,47900,GPU (NVIDIA GeForce RTX 3080),1.60,2493.6,311.7,0.238,5.951,0.110,0.221,1.215,2.431,22.9,30.0
13,51900,GPU (NVIDIA GeForce RTX 3080),1.55,2577.6,322.2,0.242,6.045,0.102,0.205,1.169,2.338,22.9,30.0
14,55900,GPU (NVIDIA GeForce RTX 3080),1.58,2535.3,316.9,0.236,5.892,0.112,0.224,1.188,2.376,22.9,30.0
15,59900,GPU (NVIDIA GeForce RTX 3080),0.28,14315.3,0.0,0.241,6.022,0.000,0.000,0.000,0.000,22.9,30.0
16,63900,GPU (NVIDIA GeForce RTX 3080),1.56,2558.3,319.8,0.234,5.861,0.111,0.222,1.176,2.353,22.9,30.0
17,67900,GPU (NVIDIA GeForce RTX 3080),1.54,2597.5,324.7,0.243,6.073,0.106,0.213,1.151,2.301,22.9,30.0
18,71900,GPU (NVIDIA GeForce RTX 3080),1.55,2587.6,323.5,0.238,5.941,0.108,0.217,1.158,2.316,22.9,30.0
19,75900,GPU (NVIDIA GeForce RTX 3080),1.61,2478.0,309.7,0.235,5.870,0.111,0.222,1.229,2.458,22.9,30.0
20,79900,GPU (NVIDIA GeForce RTX 3080),0.63,6361.5,0.0,0.237,5.920,0.000,0.000,0.000,0.000,22.9,30.0
21,83900,GPU (NVIDIA GeForce RTX 3080),2.63,1521.0,190.1,0.241,6.020,0.112,0.224,1.163,2.326,22.9,30.0
22,87900,GPU (NVIDIA GeForce RTX 3080),1.55,2583.8,323.0,0.233,5.830,0.109,0.218,1.167,2.334,22.9,30.0
23,91900,GPU (NVIDIA GeForce RTX 3080),1.58,2525.7,315.7,0.239,5.975,0.107,0.214,1.198,2.396,22.9,30.0
24,95900,GPU (NVIDIA GeForce RTX 3080),1.53,2611.3,326.4,0.240,6.006,0.106,0.212,1.147,2.295,22.9,30.0
25,99900,GPU (NVIDIA GeForce RTX 3080),0.47,8564.7,0.0,0.240,5.992,0.000,0.000,0.000,0.000,22.9,30.0
26,103900,GPU (NVIDIA GeForce RTX 3080),1.59,2510.1,313.8,0.227,5.665,0.107,0.215,1.181,2.362,22.9,30.0
27,107900,GPU (NVIDIA GeForce RTX 3080),1.62,2474.8,309.4,0.226,5.645,0.111,0.223,1.194,2.389,22.9,30.0
28,111900,GPU (NVIDIA GeForce RTX 3080),1.60,2500.7,312.6,0.224,5.592,0.111,0.222,1.168,2.337,22.9,30.0
29,115900,GPU (NVIDIA GeForce RTX 3080),1.56,2562.4,320.3,0.236,5.901,0.113,0.226,1.168,2.336,22.9,30.0
30,119900,GPU (NVIDIA GeForce RTX 3080),0.34,11687.3,0.0,0.240,5.992,0.000,0.000,0.000,0.000,22.9,30.0
31,123900,GPU (NVIDIA GeForce RTX 3080),3.14,1275.8,159.5,0.237,5.915,0.113,0.225,1.176,2.351,22.9,30.0
32,127900,GPU (NVIDIA GeForce RTX 3080),1.59,2510.6,313.8,0.236,5.910,0.107,0.215,1.211,2.422,22.9,30.0
33,131900,GPU (NVIDIA GeForce RTX 3080),1.56,2563.6,320.4,0.234,5.860,0.107,0.214,1.178,2.357,22.9,30.0
34,135900,GPU (NVIDIA GeForce RTX 3080),1.65,2418.6,302.3,0.226,5.650,0.109,0.218,1.175,2.349,22.9,30.0
35,139900,GPU (NVIDIA GeForce RTX 3080),0.31,13034.5,0.0,0.224,5.588,0.000,0.000,0.000,0.000,22.9,30.0
36,143900,GPU (NVIDIA GeForce RTX 3080),1.59,2521.4,315.2,0.234,5.858,0.106,0.213,1.173,2.346,22.9,30.0
37,147900,GPU (NVIDIA GeForce RTX 3080),1.63,2452.9,306.6,0.234,5.857,0.110,0.221,1.175,2.351,22.9,30.0
38,151900,GPU (NVIDIA GeForce RTX 3080),1.56,2570.7,321.3,0.232,5.812,0.107,0.215,1.151,2.302,22.9,30.0
39,155900,GPU (NVIDIA GeForce RTX 3080),1.57,2547.3,318.4,0.229,5.735,0.105,0.209,1.173,2.346,22.9,30.0
40,159900,GPU (NVIDIA GeForce RTX 3080),0.27,14824.7,0.0,0.233,5.817,0.000,0.000,0.000,0.000,22.9,30.0
41,163900,GPU (NVIDIA GeForce RTX 3080),3.54,1129.3,141.2,0.236,5.897,0.106,0.211,1.182,2.364,22.9,30.0
42,167900,GPU (NVIDIA GeForce RTX 3080),1.54,2589.8,323.7,0.234,5.857,0.106,0.213,1.163,2.326,22.9,30.0
43,171900,GPU (NVIDIA GeForce RTX 3080),1.57,2546.3,318.3,0.235,5.873,0.112,0.223,1.185,2.370,22.9,30.0
44,175900,GPU (NVIDIA GeForce RTX 3080),1.76,2275.8,284.5,0.228,5.711,0.110,0.219,1.177,2.354,22.9,30.0
45,179900,GPU (NVIDIA GeForce RTX 3080),0.29,13645.9,0.0,0.238,5.939,0.000,0.000,0.000,0.000,22.9,30.0
46,183900,GPU (NVIDIA GeForce RTX 3080),1.59,2510.1,313.8,0.235,5.882,0.110,0.220,1.168,2.336,22.9,30.0
47,187900,GPU (NVIDIA GeForce RTX 3080),1.64,2445.4,305.7,0.239,5.973,0.108,0.215,1.249,2.498,22.9,30.0
48,191900,GPU (NVIDIA GeForce RTX 3080),1.57,2543.2,317.9,0.243,6.081,0.105,0.210,1.186,2.372,22.9,30.0
49,195900,GPU (NVIDIA GeForce RTX 3080),1.55,2578.5,322.3,0.238,5.946,0.112,0.225,1.163,2.326,22.9,30.0
50,199900,GPU (NVIDIA GeForce RTX 3080),0.42,9444.5,0.0,0.237,5.924,0.000,0.000,0.000,0.000,22.9,30.0
51,203900,GPU (NVIDIA GeForce RTX 3080),4.10,975.2,121.9,0.232,5.793,0.112,0.225,1.186,2.372,22.9,30.0
52,207900,GPU (NVIDIA GeForce RTX 3080),1.59,2519.3,314.9,0.226,5.651,0.104,0.208,1.170,2.339,22.9,30.0
53,211900,GPU (NVIDIA GeForce RTX 3080),1.61,2491.6,311.5,0.221,5.537,0.110,0.220,1.180,2.360,22.9,30.0
54,215900,GPU (NVIDIA GeForce RTX 3080),1.56,2557.0,319.6,0.226,5.656,0.111,0.223,1.166,2.333,22.9,30.0
55,219900,GPU (NVIDIA GeForce RTX 3080),0.29,14003.3,0.0,0.229,5.714,0.000,0.000,0.000,0.000,22.9,30.0
56,223900,GPU (NVIDIA GeForce RTX 3080),1.57,2549.8,318.7,0.242,6.042,0.108,0.217,1.121,2.242,22.9,30.0
57,227900,GPU (NVIDIA GeForce RTX 3080),1.67,2402.3,300.3,0.235,5.885,0.107,0.214,1.207,2.414,22.9,30.0
58,231900,GPU (NVIDIA GeForce RTX 3080),1.56,2565.3,320.7,0.233,5.831,0.106,0.212,1.155,2.310,22.9,30.0
59,235900,GPU (NVIDIA GeForce RTX 3080),1.60,2493.4,311.7,0.228,5.709,0.111,0.223,1.183,2.366,22.9,30.0
60,239900,GPU (NVIDIA GeForce RTX 3080),0.31,12975.6,0.0,0.230,5.743,0.000,0.000,0.000,0.000,22.9,30.0
61,243900,GPU (NVIDIA GeForce RTX 3080),4.44,901.6,112.7,0.230,5.761,0.118,0.237,1.168,2.335,22.9,30.0
62,247900,GPU (NVIDIA GeForce RTX 3080),1.62,2467.6,308.5,0.234,5.841,0.111,0.222,1.201,2.403,22.9,30.0
63,251900,GPU (NVIDIA GeForce RTX 3080),1.58,2528.5,316.1,0.225,5.626,0.111,0.223,1.175,2.351,22.9,30.0
64,255900,GPU (NVIDIA GeForce RTX 3080),1.66,2414.1,301.8,0.229,5.716,0.115,0.230,1.239,2.478,22.9,30.0
65,259900,GPU (NVIDIA GeForce RTX 3080),0.30,13372.1,0.0,0.235,5.874,0.000,0.000,0.000,0.000,22.9,30.0
66,263900,GPU (NVIDIA GeForce RTX 3080),1.55,2576.8,322.1,0.235,5.864,0.111,0.222,1.167,2.335,22.9,30.0
67,267900,GPU (NVIDIA GeForce RTX 3080),1.55,2585.0,323.1,0.232,5.791,0.108,0.216,1.166,2.332,22.9,30.0
68,271900,GPU (NVIDIA GeForce RTX 3080),1.55,2577.6,322.2,0.236,5.904,0.109,0.217,1.169,2.337,22.9,30.0
69,275900,GPU (NVIDIA GeForce RTX 3080),1.80,2224.2,278.0,0.229,5.732,0.113,0.226,1.271,2.541,22.9,30.0
70,279900,GPU (NVIDIA GeForce RTX 3080),0.29,13617.8,0.0,0.230,5.757,0.000,0.000,0.000,0.000,22.9,30.0
71,283900,GPU (NVIDIA GeForce RTX 3080),4.94,809.5,101.2,0.227,5.666,0.108,0.215,1.167,2.334,22.9,30.0
72,287900,GPU (NVIDIA GeForce RTX 3080),1.62,2472.5,309.1,0.233,5.832,0.110,0.220,1.161,2.323,22.9,30.0
73,291900,GPU (NVIDIA GeForce RTX 3080),1.58,2527.8,316.0,0.232,5.795,0.116,0.232,1.194,2.388,22.9,30.0
74,295900,GPU (NVIDIA GeForce RTX 3080),1.62,2466.4,308.3,0.242,6.046,0.114,0.227,1.152,2.304,22.9,30.0
75,299900,GPU (NVIDIA GeForce RTX 3080),0.31,12938.4,0.0,0.235,5.879,0.000,0.000,0.000,0.000,22.9,30.0
76,303900,GPU (NVIDIA GeForce RTX 3080),1.62,2474.3,309.3,0.227,5.682,0.111,0.223,1.150,2.299,22.9,30.0
77,307900,GPU (NVIDIA GeForce RTX 3080),1.65,2428.1,303.5,0.220,5.504,0.107,0.213,1.235,2.470,22.9,30.0
