epoch,step,loss_q1,loss_q2,loss_pi,q1_val,q2_val,grad_q1,grad_q2,grad_pi,mean_return,mean_length,episodes,buffer_size,elapsed_s
1,3900,,,,,,,,,-9.42,24.5,29,4000,0.3
2,7900,,,,,,,,,-16.82,44.6,42,8000,0.7
3,11900,0.346627,0.365738,0.277717,-0.5825,-0.5805,1.3777,1.3494,0.1109,-23.23,64.2,35,12000,2.5
4,15900,0.386601,0.377448,0.877940,-1.3556,-1.3555,2.1491,2.1508,0.2912,,,0,16000,4.1
5,19900,,,,,,,,,,,0,20000,4.3
6,23900,0.492134,0.475916,0.419072,-1.2173,-1.2167,3.2065,3.2271,0.2484,,,0,24000,6.0
7,27900,0.578619,0.561082,-0.065087,-0.7338,-0.7332,4.3609,4.4203,0.2970,,,0,28000,7.5
8,31900,0.678057,0.659502,-0.698047,-0.1197,-0.1191,5.5840,5.7311,0.3098,,,0,32000,9.1
9,35900,0.710183,0.692827,-1.385033,0.5662,0.5665,6.2711,6.4103,0.3284,,,0,36000,10.7
10,39900,,,,,,,,,36.61,362.5,2,40000,11.2
11,43900,0.753738,0.736630,-2.100458,1.3198,1.3198,7.1194,7.4109,0.3568,,,0,44000,13.4
12,47900,0.757975,0.737876,-2.790524,2.0498,2.0501,7.8484,8.0885,0.3309,,,0,48000,15.0
13,51900,0.739095,0.725930,-3.436048,2.7431,2.7432,8.0596,8.3151,0.3677,,,0,52000,16.5
14,55900,0.737819,0.722861,-4.077631,3.4189,3.4186,8.4982,8.7454,0.3817,,,0,56000,18.1
15,59900,,,,,,,,,,,0,60000,18.4
16,63900,0.713234,0.696076,-4.749302,4.1160,4.1159,8.6603,8.8837,0.3637,,,0,64000,20.0
17,67900,0.738062,0.719369,-5.392704,4.8045,4.8045,9.1778,9.2324,0.3816,,,0,68000,21.5
18,71900,0.707222,0.696669,-6.024986,5.4387,5.4388,9.0893,9.2955,0.3433,,,0,72000,23.1
19,75900,0.733082,0.714294,-6.645108,6.0922,6.0921,9.6827,9.6865,0.3609,,,0,76000,24.7
20,79900,,,,,,,,,273.06,766.0,1,80000,25.3
21,83900,0.724694,0.714521,-7.240352,6.7125,6.7127,9.5970,9.9461,0.3587,297.58,722.0,1,84000,27.9
22,87900,0.725057,0.711409,-7.869297,7.3516,7.3511,9.7729,9.9350,0.3659,,,0,88000,29.5
23,91900,0.728967,0.717163,-8.479659,7.9739,7.9738,9.9130,10.0302,0.3677,,,0,92000,31.1
24,95900,0.744035,0.730057,-9.067214,8.5889,8.5888,10.1653,10.2411,0.3673,,,0,96000,32.6
25,99900,,,,,,,,,495.26,1000.0,32,100000,33.1
26,103900,0.773484,0.765585,-9.663440,9.1848,9.1850,10.2504,10.3543,0.3641,491.39,994.3,11,104000,34.7
27,107900,0.776668,0.767842,-10.253420,9.7844,9.7842,10.3706,10.6688,0.3622,547.95,1001.0,22,108000,36.3
28,111900,0.832489,0.828009,-10.855931,10.4062,10.4064,10.6030,10.7441,0.3862,571.25,941.5,33,112000,37.9
29,115900,0.856265,0.842543,-11.472624,11.0274,11.0273,11.0008,11.2128,0.3836,114.01,122.0,1,116000,39.4
30,119900,,,,,,,,,,,0,120000,39.8
31,123900,0.840051,0.823586,-12.085475,11.6416,11.6417,10.9257,11.0355,0.3717,154.14,164.0,1,124000,42.9
32,127900,0.880830,0.866263,-12.666381,12.2396,12.2401,11.1958,11.2469,0.3736,,,0,128000,44.5
33,131900,0.917095,0.916029,-13.266647,12.8189,12.8189,11.5307,11.9349,0.3763,,,0,132000,46.1
34,135900,0.945134,0.931924,-13.836323,13.3962,13.3965,12.4002,12.3488,0.4005,296.09,372.0,4,136000,47.8
35,139900,,,,,,,,,418.20,532.7,6,140000,48.1
36,143900,0.969975,0.958567,-14.390294,13.9496,13.9497,12.3131,12.5462,0.3895,350.86,403.0,1,144000,49.7
37,147900,1.044011,1.025821,-14.935659,14.5080,14.5083,12.6872,12.8951,0.4075,359.88,421.5,2,148000,51.3
38,151900,1.099184,1.080258,-15.486670,15.0561,15.0560,13.2047,13.3609,0.4221,419.73,468.7,3,152000,52.9
39,155900,1.122560,1.107774,-16.026513,15.6045,15.6049,13.5386,13.6940,0.4025,418.24,478.0,1,156000,54.4
40,159900,,,,,,,,,,,0,160000,54.7
41,163900,1.130745,1.124068,-16.561148,16.1287,16.1283,13.4523,13.4737,0.4224,,,0,164000,58.2
42,167900,1.205775,1.187346,-17.040655,16.6082,16.6081,13.7059,13.6651,0.4203,,,0,168000,59.8
43,171900,1.192159,1.187654,-17.525777,17.0806,17.0809,14.0109,14.1725,0.4185,,,0,172000,61.4
44,175900,1.169346,1.164143,-17.968837,17.5510,17.5510,14.0242,14.2252,0.4148,508.95,554.7,3,176000,63.1
45,179900,,,,,,,,,18.02,20.0,1,180000,63.4
46,183900,1.256531,1.247077,-18.448201,18.0100,18.0101,14.6219,14.7352,0.4253,794.47,1001.0,1,184000,65.0
47,187900,1.214325,1.199295,-18.909703,18.4542,18.4541,14.3627,14.4250,0.4010,,,0,188000,66.6
48,191900,1.271563,1.270658,-19.383183,18.9295,18.9303,14.9398,14.9032,0.4273,,,0,192000,68.2
49,195900,1.214261,1.212113,-19.834543,19.4011,19.4010,14.3371,14.5706,0.4163,,,0,196000,69.8
50,199900,,,,,,,,,912.53,967.0,1,200000,70.2
51,203900,1.326165,1.306117,-20.280349,19.8362,19.8361,14.9514,14.8352,0.4317,707.87,948.2,37,204000,74.3
52,207900,1.347763,1.332072,-20.769390,20.3374,20.3382,15.2294,15.1498,0.4215,553.54,746.0,19,208000,75.9
53,211900,1.402158,1.398607,-21.278372,20.8441,20.8441,14.8606,15.2851,0.4175,656.35,913.5,32,212000,77.5
54,215900,1.513840,1.499064,-21.820815,21.3712,21.3714,16.0708,16.2452,0.4313,79.54,83.7,3,216000,79.1
55,219900,,,,,,,,,123.74,97.0,1,220000,79.4
56,223900,1.556881,1.537157,-22.300032,21.8522,21.8519,16.9487,16.9740,0.4345,860.83,1001.0,1,224000,80.9
57,227900,1.540346,1.523015,-22.760855,22.3215,22.3217,16.5372,16.5996,0.4516,217.85,181.0,2,228000,82.6
