epoch,global_step,device,epoch_wall_s,steps_per_sec,updates_per_sec,env_step_total_s,env_step_mean_ms,buffer_sample_total_s,buffer_sample_mean_ms,update_total_s,update_mean_ms,gpu_mem_allocated_mb,gpu_mem_reserved_mb
1,3900,GPU (NVIDIA GeForce RTX 3080),0.31,13014.2,0.0,0.195,4.884,0.000,0.000,0.000,0.000,2.6,4.0
2,7900,GPU (NVIDIA GeForce RTX 3080),0.31,12999.2,0.0,0.193,4.821,0.000,0.000,0.000,0.000,11.7,24.0
3,11900,GPU (NVIDIA GeForce RTX 3080),1.65,2420.4,302.6,0.197,4.915,0.148,0.296,1.271,2.543,24.0,38.0
4,15900,GPU (NVIDIA GeForce RTX 3080),1.55,2576.8,322.1,0.194,4.847,0.156,0.313,1.166,2.333,24.0,38.0
5,19900,GPU (NVIDIA GeForce RTX 3080),0.23,17555.2,0.0,0.194,4.857,0.000,0.000,0.000,0.000,24.0,38.0
6,23900,GPU (NVIDIA GeForce RTX 3080),1.60,2506.6,313.3,0.216,5.411,0.166,0.333,1.177,2.353,24.0,38.0
7,27900,GPU (NVIDIA GeForce RTX 3080),1.60,2500.3,312.5,0.213,5.322,0.171,0.343,1.176,2.352,24.0,38.0
8,31900,GPU (NVIDIA GeForce RTX 3080),1.58,2534.5,316.8,0.206,5.145,0.168,0.335,1.169,2.339,24.0,38.0
9,35900,GPU (NVIDIA GeForce RTX 3080),1.59,2515.1,314.4,0.199,4.969,0.175,0.350,1.182,2.365,24.0,38.0
10,39900,GPU (NVIDIA GeForce RTX 3080),0.23,17129.6,0.0,0.201,5.014,0.000,0.000,0.000,0.000,24.0,38.0
11,43900,GPU (NVIDIA GeForce RTX 3080),1.59,2518.3,314.8,0.201,5.022,0.173,0.347,1.178,2.356,24.0,38.0
12,47900,GPU (NVIDIA GeForce RTX 3080),1.58,2532.0,316.5,0.203,5.074,0.173,0.346,1.170,2.340,24.0,38.0
13,51900,GPU (NVIDIA GeForce RTX 3080),1.59,2513.4,314.2,0.198,4.957,0.175,0.349,1.184,2.367,24.0,38.0
14,55900,GPU (NVIDIA GeForce RTX 3080),1.63,2457.7,307.2,0.198,4.954,0.175,0.350,1.221,2.441,24.0,38.0
15,59900,GPU (NVIDIA GeForce RTX 3080),0.23,17459.5,0.0,0.197,4.918,0.000,0.000,0.000,0.000,24.0,38.0
16,63900,GPU (NVIDIA GeForce RTX 3080),1.61,2482.6,310.3,0.199,4.969,0.177,0.353,1.201,2.402,24.0,38.0
17,67900,GPU (NVIDIA GeForce RTX 3080),1.60,2494.4,311.8,0.199,4.965,0.175,0.350,1.194,2.388,24.0,38.0
18,71900,GPU (NVIDIA GeForce RTX 3080),1.62,2475.5,309.4,0.197,4.926,0.181,0.362,1.202,2.404,24.0,38.0
19,75900,GPU (NVIDIA GeForce RTX 3080),1.60,2503.5,312.9,0.196,4.904,0.180,0.360,1.187,2.374,24.0,38.0
20,79900,GPU (NVIDIA GeForce RTX 3080),0.23,17232.0,0.0,0.197,4.936,0.000,0.000,0.000,0.000,24.0,38.0
21,83900,GPU (NVIDIA GeForce RTX 3080),1.60,2492.5,311.6,0.201,5.032,0.180,0.360,1.185,2.371,24.0,38.0
22,87900,GPU (NVIDIA GeForce RTX 3080),1.60,2504.0,313.0,0.200,4.994,0.181,0.361,1.181,2.362,24.0,38.0
23,91900,GPU (NVIDIA GeForce RTX 3080),1.60,2499.4,312.4,0.201,5.013,0.180,0.359,1.186,2.372,24.0,38.0
24,95900,GPU (NVIDIA GeForce RTX 3080),1.60,2492.5,311.6,0.200,5.003,0.181,0.361,1.189,2.377,24.0,38.0
25,99900,GPU (NVIDIA GeForce RTX 3080),0.23,17054.7,0.0,0.195,4.869,0.000,0.000,0.000,0.000,24.0,38.0
26,103900,GPU (NVIDIA GeForce RTX 3080),1.61,2483.0,310.4,0.197,4.928,0.181,0.362,1.189,2.378,24.0,38.0
27,107900,GPU (NVIDIA GeForce RTX 3080),1.60,2500.7,312.6,0.194,4.844,0.181,0.362,1.186,2.371,24.0,38.0
28,111900,GPU (NVIDIA GeForce RTX 3080),1.64,2445.5,305.7,0.200,5.001,0.184,0.368,1.204,2.409,24.0,38.0
29,115900,GPU (NVIDIA GeForce RTX 3080),1.63,2450.3,306.3,0.198,4.941,0.184,0.367,1.197,2.394,24.0,38.0
30,119900,GPU (NVIDIA GeForce RTX 3080),0.23,17140.7,0.0,0.194,4.857,0.000,0.000,0.000,0.000,24.0,38.0
31,123900,GPU (NVIDIA GeForce RTX 3080),1.60,2503.3,312.9,0.193,4.813,0.185,0.370,1.180,2.359,24.0,38.0
32,127900,GPU (NVIDIA GeForce RTX 3080),1.61,2484.1,310.5,0.200,4.991,0.182,0.363,1.191,2.383,24.0,38.0
33,131900,GPU (NVIDIA GeForce RTX 3080),1.62,2466.9,308.4,0.195,4.868,0.181,0.362,1.209,2.418,24.0,38.0
34,135900,GPU (NVIDIA GeForce RTX 3080),1.61,2480.2,310.0,0.203,5.066,0.189,0.379,1.183,2.365,24.0,38.0
35,139900,GPU (NVIDIA GeForce RTX 3080),0.23,17120.6,0.0,0.196,4.912,0.000,0.000,0.000,0.000,24.0,38.0
36,143900,GPU (NVIDIA GeForce RTX 3080),1.63,2456.7,307.1,0.198,4.942,0.187,0.375,1.189,2.378,24.0,38.0
37,147900,GPU (NVIDIA GeForce RTX 3080),1.60,2507.5,313.4,0.197,4.922,0.185,0.369,1.177,2.354,24.0,38.0
