epoch,step,loss_q,loss_pi,q_val,grad_q,grad_pi_rob,grad_pi_adv,mean_return,mean_length,episodes,dist_episodes,buffer_size,elapsed_s
1,3900,,,,,,,-8.17,26.6,23,12,4000,0.3
2,7900,,,,,,,-2.16,46.0,10,3,8000,0.6
3,11900,0.444398,-1.819791,1.1228,1.7004,0.0538,0.0052,,,0,0,12000,2.2
4,15900,0.729862,-3.316911,1.7227,3.2801,0.5882,0.0066,,,0,0,16000,3.8
5,19900,,,,,,,,,0,0,20000,4.0
6,23900,0.694704,-3.551513,2.7000,4.3561,1.1395,0.0144,-114.01,216.0,2,2,24000,5.7
7,27900,0.648494,-3.785202,3.2020,4.6023,1.2231,0.0150,-138.75,260.1,14,8,28000,7.3
8,31900,1.031930,-5.028306,3.9238,5.7254,1.4166,0.0275,-124.59,239.8,12,9,32000,8.8
9,35900,1.448442,-6.588119,5.5503,6.7870,1.9687,0.0312,-145.66,270.8,11,3,36000,10.4
10,39900,,,,,,,-96.83,216.5,2,2,40000,10.6
11,43900,1.318752,-7.575546,6.2623,6.9618,2.0875,0.0300,-34.26,145.0,1,1,44000,12.2
12,47900,1.228492,-9.616123,8.3678,6.9657,1.5846,0.0309,,,0,0,48000,13.7
13,51900,1.171477,-11.800389,10.6354,6.8090,1.5070,0.0318,,,0,0,52000,15.4
14,55900,1.117999,-13.930345,12.8375,6.5019,1.2079,0.0369,,,0,0,56000,16.9
15,59900,,,,,,,,,0,0,60000,17.1
16,63900,1.129402,-15.982273,14.9473,6.3983,1.2271,0.0380,10.66,616.5,2,0,64000,18.7
17,67900,1.160143,-17.966065,16.9895,6.3613,1.1592,0.0405,216.10,364.0,1,0,68000,20.2
18,71900,1.172897,-19.881991,18.9595,6.4945,1.1773,0.0439,182.94,668.0,1,1,72000,21.8
19,75900,1.254623,-21.853600,20.9455,6.6374,1.2907,0.0485,236.01,530.7,3,2,76000,23.4
20,79900,,,,,,,221.87,603.5,2,0,80000,23.6
21,83900,1.303373,-23.805719,22.9368,6.7264,1.2356,0.0529,205.40,316.5,2,1,84000,25.3
22,87900,1.369412,-25.726157,24.8927,6.8997,1.2883,0.0569,267.33,492.0,3,1,88000,26.9
23,91900,1.407487,-27.637699,26.8225,6.9659,1.2567,0.0606,510.16,592.0,1,0,92000,28.5
24,95900,1.500998,-29.577445,28.7710,7.2617,1.3237,0.0650,217.93,929.0,2,1,96000,30.1
25,99900,,,,,,,197.45,998.5,40,24,100000,30.4
26,103900,1.863059,-31.381970,30.6112,7.6097,1.3741,0.0689,293.74,920.2,12,7,104000,32.0
27,107900,2.140783,-33.407822,32.6560,7.9598,1.3682,0.0745,327.94,653.3,10,6,108000,33.5
28,111900,2.268406,-35.480099,34.7478,8.3561,1.4228,0.0808,291.60,290.9,7,6,112000,35.1
29,115900,2.363584,-37.535405,36.7983,8.7586,1.5183,0.0839,233.20,302.5,4,3,116000,36.7
30,119900,,,,,,,270.59,302.8,6,4,120000,36.9
31,123900,2.620015,-39.520450,38.7911,9.3301,1.4994,0.0910,329.88,326.2,5,1,124000,38.5
32,127900,2.724661,-41.414214,40.6944,9.9169,1.4651,0.0988,541.10,769.2,13,6,128000,40.1
33,131900,2.957315,-43.239280,42.5467,10.3177,1.5766,0.1056,652.56,907.0,8,3,132000,41.7
34,135900,3.083743,-45.135950,44.4446,11.0262,1.5474,0.1113,639.02,710.4,8,2,136000,43.3
35,139900,,,,,,,392.30,358.7,9,1,140000,43.5
36,143900,3.294826,-47.036511,46.3340,12.1499,1.6024,0.1210,368.41,359.5,6,3,144000,45.1
37,147900,3.380038,-48.974227,48.2474,11.9353,1.6082,0.1263,171.20,111.0,2,2,148000,46.6
38,151900,3.607766,-50.924250,50.2058,12.7655,1.6225,0.1341,633.75,439.7,3,3,152000,48.3
