epoch,global_step,device,epoch_wall_s,steps_per_sec,updates_per_sec,env_step_total_s,env_step_mean_ms,buffer_sample_total_s,buffer_sample_mean_ms,update_total_s,update_mean_ms,gpu_mem_allocated_mb,gpu_mem_reserved_mb
1,3900,GPU (NVIDIA GeForce RTX 3080),0.30,13130.0,0.0,0.193,4.821,0.000,0.000,0.000,0.000,4.2,6.0
2,7900,GPU (NVIDIA GeForce RTX 3080),0.32,12587.8,0.0,0.197,4.927,0.000,0.000,0.000,0.000,13.3,26.0
3,11900,GPU (NVIDIA GeForce RTX 3080),1.65,2418.8,302.3,0.207,5.164,0.150,0.301,1.262,2.523,25.6,40.0
4,15900,GPU (NVIDIA GeForce RTX 3080),1.57,2553.6,319.2,0.209,5.227,0.160,0.320,1.161,2.322,25.6,40.0
5,19900,GPU (NVIDIA GeForce RTX 3080),0.24,16403.6,0.0,0.209,5.217,0.000,0.000,0.000,0.000,25.6,40.0
6,23900,GPU (NVIDIA GeForce RTX 3080),1.59,2510.5,313.8,0.205,5.117,0.170,0.339,1.185,2.369,25.6,40.0
7,27900,GPU (NVIDIA GeForce RTX 3080),1.61,2478.3,309.8,0.207,5.186,0.175,0.351,1.194,2.388,25.6,40.0
8,31900,GPU (NVIDIA GeForce RTX 3080),1.68,2384.5,298.1,0.208,5.195,0.186,0.371,1.235,2.470,25.6,40.0
9,35900,GPU (NVIDIA GeForce RTX 3080),1.76,2266.7,283.3,0.214,5.340,0.198,0.395,1.312,2.623,25.6,40.0
10,39900,GPU (NVIDIA GeForce RTX 3080),0.24,16357.5,0.0,0.205,5.128,0.000,0.000,0.000,0.000,25.6,40.0
11,43900,GPU (NVIDIA GeForce RTX 3080),1.66,2410.0,301.2,0.204,5.109,0.189,0.378,1.223,2.446,25.6,40.0
12,47900,GPU (NVIDIA GeForce RTX 3080),1.98,2015.2,251.9,0.225,5.636,0.243,0.487,1.468,2.936,25.6,40.0
13,51900,GPU (NVIDIA GeForce RTX 3080),1.98,2022.8,252.8,0.219,5.487,0.232,0.465,1.480,2.959,25.6,40.0
14,55900,GPU (NVIDIA GeForce RTX 3080),1.85,2166.2,270.8,0.210,5.241,0.210,0.419,1.385,2.771,25.6,40.0
15,59900,GPU (NVIDIA GeForce RTX 3080),0.24,16866.0,0.0,0.201,5.020,0.000,0.000,0.000,0.000,25.6,40.0
16,63900,GPU (NVIDIA GeForce RTX 3080),1.76,2267.8,283.5,0.209,5.237,0.202,0.404,1.312,2.624,25.6,40.0
17,67900,GPU (NVIDIA GeForce RTX 3080),1.82,2201.7,275.2,0.203,5.075,0.208,0.416,1.364,2.729,25.6,40.0
18,71900,GPU (NVIDIA GeForce RTX 3080),1.73,2312.3,289.0,0.209,5.219,0.204,0.409,1.276,2.553,25.6,40.0
19,75900,GPU (NVIDIA GeForce RTX 3080),1.71,2344.8,293.1,0.206,5.149,0.194,0.387,1.265,2.530,25.6,40.0
20,79900,GPU (NVIDIA GeForce RTX 3080),0.25,16222.5,0.0,0.206,5.151,0.000,0.000,0.000,0.000,25.6,40.0
21,83900,GPU (NVIDIA GeForce RTX 3080),1.76,2271.6,284.0,0.196,4.910,0.201,0.402,1.323,2.647,25.6,40.0
22,87900,GPU (NVIDIA GeForce RTX 3080),1.98,2024.2,253.0,0.202,5.038,0.190,0.381,1.263,2.526,30.6,70.0
