epoch,step,loss_q,loss_pi,q_val,grad_q,grad_pi_rob,grad_pi_adv,mean_return,mean_length,episodes,dist_episodes,buffer_size,elapsed_s,det_loss,det_dist_loss,det_alpha_loss
1,3900,,,,,,,-11.33,23.3,35,17,4000,0.3,,,
2,7900,,,,,,,-14.08,41.8,15,6,8000,0.6,,,
3,11900,0.499953,-2.069086,1.4873,1.9936,0.0166,0.0090,17.12,102.5,11,4,12000,2.7,,,
4,15900,0.769680,-2.693525,1.5418,3.7275,0.4786,0.0040,,,0,0,16000,4.4,,,
5,19900,,,,,,,-94.86,130.8,13,10,20000,4.7,,,
6,23900,1.132654,-4.034642,2.7659,6.1459,1.0688,0.0000,-29.47,43.0,1,1,24000,6.6,,,
7,27900,1.167739,-5.999843,4.7461,7.1652,1.0572,0.0000,-104.04,221.0,1,1,28000,8.4,,,
8,31900,1.049846,-8.381770,7.1650,7.1502,1.0985,0.0000,,,0,0,32000,10.2,,,
9,35900,0.947344,-10.743634,9.6146,6.9972,1.0158,0.0000,,,0,0,36000,12.0,,,
10,39900,,,,,,,,,0,0,40000,12.2,,,
11,43900,0.879597,-13.072790,12.0565,6.6420,0.9918,0.0000,,,0,0,44000,13.9,,,
12,47900,0.820911,-15.359198,14.4389,6.3403,0.9230,0.0000,,,0,0,48000,15.7,,,
13,51900,0.737828,-17.613063,16.7448,5.8749,1.0036,0.0000,,,0,0,52000,17.4,,,
14,55900,0.716469,-19.741532,18.9292,5.7337,0.9933,0.0000,,,0,0,56000,19.1,,,
15,59900,,,,,,,,,0,0,60000,19.4,,,
16,63900,0.686792,-21.702628,20.9434,5.3449,0.9110,0.0000,208.42,524.3,3,3,64000,21.1,,,
17,67900,0.670303,-23.589527,22.8647,5.1117,0.9902,0.0000,175.39,456.0,3,1,68000,23.1,0.754041,0.598351,0.077845
18,71900,0.699464,-25.404103,24.7139,5.1805,0.9583,0.0000,219.69,647.0,2,2,72000,25.2,0.410653,0.297243,0.056705
19,75900,0.659806,-27.186608,26.5197,4.9139,0.9814,0.0000,,,0,0,76000,27.2,0.102532,0.050888,0.025822
20,79900,,,,,,,,,0,0,80000,27.4,,,
21,83900,0.615800,-28.922156,28.2700,4.4474,0.8990,0.0000,,,0,0,84000,29.4,0.047217,0.013400,0.016909
22,87900,0.578169,-30.623986,29.9831,4.2509,0.9449,0.0058,,,0,0,88000,31.5,0.032261,0.008215,0.012023
23,91900,0.581037,-32.012356,31.5090,4.4834,1.0932,0.0362,,,0,0,92000,33.4,0.017788,0.005381,0.006204
24,95900,0.675735,-33.241238,32.7715,4.7935,1.1638,0.0402,,,0,0,96000,35.4,0.010920,0.004125,0.003397
25,99900,,,,,,,409.26,1000.0,42,17,100000,35.7,,,
26,103900,1.109579,-34.430910,33.9796,5.2799,1.0873,0.0448,447.31,1001.0,22,7,104000,37.8,0.386983,0.312790,0.037097
27,107900,1.477949,-35.658692,35.2401,5.5569,1.1526,0.0502,381.74,766.6,12,5,108000,39.7,0.186377,0.138669,0.023854
28,111900,1.553408,-36.932349,36.5249,5.5226,1.1266,0.0550,345.85,768.2,12,6,112000,41.8,0.049910,0.021673,0.014119
29,115900,1.667501,-38.162595,37.7660,5.8415,1.2161,0.0620,100.84,106.0,1,0,116000,44.2,0.052847,0.028149,0.012349
30,119900,,,,,,,502.17,769.9,11,6,120000,44.5,,,
31,123900,1.875966,-39.327559,38.9383,6.3972,1.2447,0.0709,518.39,691.8,4,3,124000,46.6,0.087614,0.063330,0.012142
32,127900,1.857262,-40.457327,40.0768,6.6651,1.2414,0.0772,268.75,348.7,6,3,128000,48.5,0.060548,0.037158,0.011695
33,131900,2.088598,-41.468641,41.1243,6.9173,1.2901,0.0811,89.00,137.3,3,3,132000,50.5,0.027438,0.014303,0.006567
34,135900,2.210162,-42.517071,42.1657,7.7587,1.3862,0.0917,231.10,238.0,5,4,136000,52.4,0.035879,0.020891,0.007494
35,139900,,,,,,,35.84,35.0,1,0,140000,52.6,,,
36,143900,2.207472,-43.585024,43.2112,7.4134,1.3257,0.0904,216.01,251.0,3,2,144000,54.5,0.011341,0.003210,0.004065
37,147900,2.199362,-44.737691,44.3549,7.7481,1.3758,0.1015,435.33,469.5,2,0,148000,56.6,0.024931,0.016832,0.004050
38,151900,2.291566,-45.975778,45.5836,8.1973,1.4475,0.1044,306.20,309.0,3,1,152000,58.7,0.028371,0.020869,0.003751
39,155900,2.391185,-47.270828,46.8533,8.5342,1.4362,0.1143,214.20,192.7,3,2,156000,60.7,0.027654,0.020511,0.003572
40,159900,,,,,,,422.94,372.6,5,4,160000,61.0,,,
41,163900,2.636067,-48.583287,48.1477,9.4804,1.5832,0.1193,532.74,616.6,9,5,164000,62.9,0.055415,0.045671,0.004872
42,167900,2.842368,-49.908824,49.4704,9.9577,1.4870,0.1233,565.49,587.0,9,4,168000,64.8,0.076667,0.064655,0.006006
43,171900,3.081853,-51.223827,50.7887,10.5961,1.5530,0.1306,449.15,539.6,9,6,172000,66.6,0.078967,0.066839,0.006064
44,175900,3.287949,-52.555282,52.1057,11.7686,1.5818,0.1347,502.15,470.4,8,3,176000,68.5,0.129366,0.109432,0.009967
45,179900,,,,,,,573.94,477.7,11,3,180000,68.8,,,
46,183900,3.478443,-53.909693,53.4453,11.9284,1.6441,0.1386,195.82,146.7,3,2,184000,70.7,0.065084,0.053395,0.005845
47,187900,3.533721,-55.331247,54.8455,12.5794,1.6929,0.1470,383.87,418.8,4,2,188000,72.5,0.068421,0.059381,0.004520
48,191900,3.807372,-56.684893,56.1961,13.6955,1.7310,0.1506,297.96,238.3,10,7,192000,74.4,0.093728,0.080497,0.006615
49,195900,3.774562,-58.010027,57.5187,13.7964,1.7256,0.1635,593.28,651.0,3,2,196000,76.2,0.043015,0.034197,0.004409
50,199900,,,,,,,583.57,565.0,2,1,200000,76.4,,,
51,203900,4.103733,-59.187291,58.6970,15.1972,1.8351,0.1671,688.79,964.2,26,13,204000,78.4,0.089749,0.077276,0.006236
52,207900,4.369205,-60.568033,60.0538,15.7436,1.9366,0.1751,595.50,665.2,8,4,208000,80.2,0.080122,0.067799,0.006161
53,211900,4.651149,-61.926456,61.4049,16.4603,1.7716,0.1800,644.95,692.9,9,7,212000,82.1,0.084014,0.071210,0.006402
54,215900,4.667155,-63.267943,62.7573,15.1727,1.9085,0.1847,606.43,577.7,3,2,216000,84.0,0.039556,0.030697,0.004430
55,219900,,,,,,,536.46,751.6,7,1,220000,84.3,,,
56,223900,5.027942,-64.640961,64.1051,16.7833,1.9544,0.1933,455.35,414.5,4,2,224000,86.3,0.075863,0.064349,0.005757
57,227900,5.222068,-65.875153,65.3338,17.5602,1.9177,0.2068,769.85,690.0,2,0,228000,88.2,0.033921,0.026395,0.003763
58,231900,5.342355,-67.173742,66.6174,17.4227,1.9547,0.2057,596.58,673.8,4,4,232000,90.0,0.033024,0.026200,0.003412
59,235900,5.452269,-68.417750,67.8732,18.0048,1.9992,0.2118,417.28,432.6,7,5,236000,91.9,0.011166,0.006515,0.002326
60,239900,,,,,,,482.74,311.0,1,0,240000,92.1,,,
