epoch,global_step,device,epoch_wall_s,steps_per_sec,updates_per_sec,env_step_total_s,env_step_mean_ms,buffer_sample_total_s,buffer_sample_mean_ms,update_total_s,update_mean_ms,gpu_mem_allocated_mb,gpu_mem_reserved_mb
1,3900,GPU (NVIDIA GeForce RTX 3080),0.35,11358.9,0.0,0.194,4.839,0.000,0.000,0.000,0.000,19.6,20.0
2,7900,GPU (NVIDIA GeForce RTX 3080),0.36,11209.4,0.0,0.188,4.699,0.000,0.000,0.000,0.000,19.6,20.0
3,11900,GPU (NVIDIA GeForce RTX 3080),1.88,2127.8,266.0,0.196,4.906,0.079,0.158,1.366,2.733,51.8,60.0
4,15900,GPU (NVIDIA GeForce RTX 3080),1.54,2596.4,324.6,0.208,5.209,0.080,0.159,1.194,2.388,51.8,60.0
5,19900,GPU (NVIDIA GeForce RTX 3080),0.27,14712.7,0.0,0.217,5.420,0.000,0.000,0.000,0.000,51.8,60.0
6,23900,GPU (NVIDIA GeForce RTX 3080),1.54,2605.2,325.6,0.211,5.285,0.081,0.162,1.191,2.382,51.8,60.0
7,27900,GPU (NVIDIA GeForce RTX 3080),1.54,2598.4,324.8,0.214,5.359,0.080,0.160,1.188,2.377,51.8,60.0
8,31900,GPU (NVIDIA GeForce RTX 3080),1.58,2538.3,317.3,0.217,5.413,0.083,0.167,1.223,2.446,51.8,60.0
9,35900,GPU (NVIDIA GeForce RTX 3080),1.55,2572.8,321.6,0.214,5.361,0.083,0.166,1.201,2.403,51.8,60.0
10,39900,GPU (NVIDIA GeForce RTX 3080),0.27,14983.4,0.0,0.213,5.314,0.000,0.000,0.000,0.000,51.8,60.0
11,43900,GPU (NVIDIA GeForce RTX 3080),2.04,1960.1,245.0,0.210,5.258,0.084,0.167,1.209,2.419,51.8,60.0
12,47900,GPU (NVIDIA GeForce RTX 3080),1.53,2611.9,326.5,0.213,5.331,0.082,0.164,1.185,2.369,51.8,60.0
13,51900,GPU (NVIDIA GeForce RTX 3080),1.54,2601.3,325.2,0.211,5.287,0.082,0.165,1.185,2.370,51.8,60.0
14,55900,GPU (NVIDIA GeForce RTX 3080),1.59,2519.5,314.9,0.209,5.234,0.086,0.171,1.240,2.480,51.8,60.0
15,59900,GPU (NVIDIA GeForce RTX 3080),0.26,15467.5,0.0,0.206,5.145,0.000,0.000,0.000,0.000,51.8,60.0
16,63900,GPU (NVIDIA GeForce RTX 3080),1.55,2576.0,322.0,0.212,5.300,0.083,0.166,1.203,2.405,51.8,60.0
17,67900,GPU (NVIDIA GeForce RTX 3080),1.54,2593.7,324.2,0.208,5.199,0.081,0.163,1.192,2.385,51.8,60.0
18,71900,GPU (NVIDIA GeForce RTX 3080),1.56,2561.0,320.1,0.209,5.222,0.085,0.170,1.214,2.427,51.8,60.0
19,75900,GPU (NVIDIA GeForce RTX 3080),1.56,2570.6,321.3,0.208,5.188,0.085,0.171,1.206,2.413,51.8,60.0
20,79900,GPU (NVIDIA GeForce RTX 3080),0.25,15795.1,0.0,0.202,5.056,0.000,0.000,0.000,0.000,51.8,60.0
21,83900,GPU (NVIDIA GeForce RTX 3080),2.55,1568.9,196.1,0.207,5.164,0.085,0.170,1.218,2.436,51.8,60.0
22,87900,GPU (NVIDIA GeForce RTX 3080),2.25,1778.1,222.3,0.215,5.387,0.084,0.168,1.202,2.403,51.8,60.0
23,91900,GPU (NVIDIA GeForce RTX 3080),1.56,2557.0,319.6,0.211,5.275,0.089,0.177,1.211,2.422,51.8,60.0
24,95900,GPU (NVIDIA GeForce RTX 3080),1.60,2492.3,311.5,0.212,5.294,0.090,0.180,1.246,2.493,51.8,60.0
25,99900,GPU (NVIDIA GeForce RTX 3080),0.40,10064.0,0.0,0.208,5.207,0.000,0.000,0.000,0.000,51.8,60.0
26,103900,GPU (NVIDIA GeForce RTX 3080),1.61,2481.0,310.1,0.210,5.253,0.090,0.180,1.201,2.402,51.8,60.0
27,107900,GPU (NVIDIA GeForce RTX 3080),1.69,2363.7,295.5,0.207,5.182,0.091,0.182,1.217,2.434,51.8,60.0
28,111900,GPU (NVIDIA GeForce RTX 3080),3.16,1265.8,158.2,0.208,5.211,0.093,0.186,1.287,2.574,79.7,400.0
29,115900,GPU (NVIDIA GeForce RTX 3080),3.05,1313.6,164.2,0.210,5.243,0.092,0.184,1.259,2.518,79.7,400.0
30,119900,GPU (NVIDIA GeForce RTX 3080),0.26,15435.2,0.0,0.205,5.115,0.000,0.000,0.000,0.000,79.7,400.0
31,123900,GPU (NVIDIA GeForce RTX 3080),4.49,891.2,111.4,0.211,5.281,0.091,0.182,1.246,2.491,79.7,402.0
32,127900,GPU (NVIDIA GeForce RTX 3080),3.13,1276.7,159.6,0.212,5.303,0.092,0.184,1.285,2.569,79.7,402.0
33,131900,GPU (NVIDIA GeForce RTX 3080),3.03,1322.1,165.3,0.211,5.268,0.093,0.185,1.265,2.531,79.7,402.0
34,135900,GPU (NVIDIA GeForce RTX 3080),2.99,1338.4,167.3,0.204,5.107,0.093,0.185,1.242,2.484,79.7,402.0
35,139900,GPU (NVIDIA GeForce RTX 3080),0.26,15224.0,0.0,0.207,5.166,0.000,0.000,0.000,0.000,79.7,402.0
36,143900,GPU (NVIDIA GeForce RTX 3080),2.99,1336.0,167.0,0.214,5.358,0.094,0.188,1.237,2.474,79.7,402.0
37,147900,GPU (NVIDIA GeForce RTX 3080),3.29,1217.5,152.2,0.207,5.182,0.092,0.183,1.331,2.662,79.7,402.0
38,151900,GPU (NVIDIA GeForce RTX 3080),3.00,1334.3,166.8,0.211,5.271,0.091,0.182,1.240,2.480,79.7,402.0
39,155900,GPU (NVIDIA GeForce RTX 3080),3.01,1327.8,166.0,0.210,5.246,0.094,0.188,1.257,2.514,79.7,402.0
40,159900,GPU (NVIDIA GeForce RTX 3080),0.27,15021.0,0.0,0.211,5.281,0.000,0.000,0.000,0.000,79.7,402.0
41,163900,GPU (NVIDIA GeForce RTX 3080),4.98,803.3,100.4,0.207,5.174,0.093,0.185,1.259,2.517,79.7,402.0
42,167900,GPU (NVIDIA GeForce RTX 3080),3.00,1335.0,166.9,0.209,5.236,0.088,0.176,1.245,2.489,79.7,402.0
43,171900,GPU (NVIDIA GeForce RTX 3080),3.29,1215.4,151.9,0.211,5.285,0.091,0.182,1.267,2.534,79.7,402.0
44,175900,GPU (NVIDIA GeForce RTX 3080),2.99,1339.0,167.4,0.209,5.237,0.088,0.176,1.235,2.469,79.7,402.0
45,179900,GPU (NVIDIA GeForce RTX 3080),0.27,14990.6,0.0,0.214,5.343,0.000,0.000,0.000,0.000,79.7,402.0
46,183900,GPU (NVIDIA GeForce RTX 3080),3.09,1295.2,161.9,0.210,5.243,0.087,0.174,1.227,2.453,79.7,402.0
47,187900,GPU (NVIDIA GeForce RTX 3080),3.05,1310.9,163.9,0.206,5.158,0.088,0.176,1.239,2.477,79.7,404.0
48,191900,GPU (NVIDIA GeForce RTX 3080),3.02,1323.5,165.4,0.209,5.217,0.087,0.174,1.236,2.471,79.7,404.0
49,195900,GPU (NVIDIA GeForce RTX 3080),3.00,1334.1,166.8,0.209,5.213,0.088,0.176,1.242,2.484,79.7,404.0
50,199900,GPU (NVIDIA GeForce RTX 3080),0.33,11943.6,0.0,0.206,5.161,0.000,0.000,0.000,0.000,79.7,404.0
51,203900,GPU (NVIDIA GeForce RTX 3080),5.65,708.3,88.5,0.207,5.168,0.091,0.181,1.353,2.706,79.7,404.0
52,207900,GPU (NVIDIA GeForce RTX 3080),3.14,1274.7,159.3,0.212,5.307,0.092,0.185,1.290,2.580,79.7,404.0
53,211900,GPU (NVIDIA GeForce RTX 3080),3.16,1267.7,158.5,0.205,5.137,0.090,0.180,1.313,2.625,79.7,404.0
54,215900,GPU (NVIDIA GeForce RTX 3080),3.04,1313.6,164.2,0.205,5.131,0.092,0.183,1.224,2.449,79.7,404.0
55,219900,GPU (NVIDIA GeForce RTX 3080),0.28,14237.0,0.0,0.204,5.097,0.000,0.000,0.000,0.000,79.7,404.0
56,223900,GPU (NVIDIA GeForce RTX 3080),3.05,1312.0,164.0,0.209,5.216,0.091,0.182,1.235,2.470,79.7,404.0
