epoch,step,loss_q1,loss_q2,loss_pi,q1_val,q2_val,grad_q1,grad_q2,grad_pi_rob,grad_pi_adv,mean_return,mean_length,episodes,dist_episodes,buffer_size,elapsed_s,det_loss,det_dist_loss,det_alpha_loss
1,3900,,,,,,,,,,-11.10,27.2,36,13,4000,0.4,,,
2,7900,,,,,,,,,,-17.12,50.4,54,9,8000,0.7,,,
3,11900,0.326397,0.321838,0.200211,-0.4825,-0.4821,1.5362,1.5499,0.1018,0.0123,-25.24,61.1,35,9,12000,2.6,,,
4,15900,0.355136,0.354243,0.805516,-1.0315,-1.0317,2.4578,2.4472,0.2428,0.0079,,,0,0,16000,4.1,,,
5,19900,,,,,,,,,,,,0,0,20000,4.4,,,
6,23900,0.412297,0.413980,0.081986,-0.6481,-0.6479,3.6341,3.6778,0.2356,0.1342,,,0,0,24000,5.9,,,
7,27900,0.488740,0.479647,-0.732216,0.0372,0.0372,5.0171,4.9039,0.2487,0.0152,,,0,0,28000,7.5,,,
8,31900,0.531229,0.520471,-1.566026,0.8186,0.8187,5.9761,6.0222,0.2603,0.0930,,,0,0,32000,9.1,,,
9,35900,0.556678,0.547947,-1.746010,1.5945,1.5948,6.9841,7.0322,0.2946,0.1564,,,0,0,36000,10.6,,,
10,39900,,,,,,,,,,,,0,0,40000,10.9,,,
11,43900,0.573951,0.563609,-2.450934,2.2750,2.2749,7.8957,7.9889,0.2845,0.0386,,,0,0,44000,13.0,,,
12,47900,0.595391,0.589312,-3.402038,3.0335,3.0330,8.7665,8.8153,0.2825,0.0259,,,0,0,48000,14.5,,,
13,51900,0.608517,0.597017,-4.122610,3.8235,3.8240,9.1354,9.1341,0.2946,0.0396,,,0,0,52000,16.0,,,
14,55900,0.626873,0.616159,-4.813372,4.5438,4.5439,9.7367,9.7516,0.2886,0.0653,,,0,0,56000,17.6,,,
15,59900,,,,,,,,,,,,0,0,60000,17.9,,,
16,63900,0.636400,0.629034,-5.507689,5.3129,5.3126,9.9042,9.8779,0.2897,0.0840,,,0,0,64000,19.4,,,
17,67900,0.647870,0.642780,-6.047509,5.9768,5.9771,10.1874,10.2421,0.3077,0.0939,,,0,0,68000,21.0,,,
18,71900,0.692478,0.681553,-6.670218,6.6818,6.6815,10.8333,10.6012,0.3300,0.1327,,,0,0,72000,22.5,,,
19,75900,0.706415,0.690397,-7.416314,7.3310,7.3313,10.7683,10.5009,0.3348,0.1123,,,0,0,76000,24.1,,,
20,79900,,,,,,,,,,,,0,0,80000,24.3,,,
21,83900,0.740328,0.727617,-7.989354,8.0017,8.0018,11.2195,11.0013,0.3316,0.1471,,,0,0,84000,26.9,,,
22,87900,0.740618,0.728229,-8.494088,8.5535,8.5539,11.3360,11.0932,0.3477,0.1221,481.16,805.0,1,0,88000,29.1,,,
23,91900,0.744317,0.736823,-9.092069,9.1035,9.1034,11.3571,11.2824,0.3266,0.1139,,,0,0,92000,30.7,,,
24,95900,0.733932,0.725027,-9.618453,9.6183,9.6180,11.4991,11.2231,0.3347,0.1133,,,0,0,96000,32.3,,,
