epoch,step,loss_q1,loss_q2,loss_pi,q1_val,q2_val,grad_q1,grad_q2,grad_pi_rob,grad_pi_adv,mean_return,mean_length,episodes,dist_episodes,buffer_size,elapsed_s
1,3999,,,,,,,,,,-78.69,216.9,15,1,4000,1.1
2,7999,6.453064,6.511723,94.493525,-94.2331,-94.2331,512.2757,516.7114,0.0091,0.0000,-625.18,338.1,14,4,8000,190.9
3,11999,8.803495,8.819864,110.871821,-109.7012,-109.7014,285.6918,293.5562,0.0000,0.0000,-2753.26,1001.0,4,1,12000,447.3
4,15999,10.640807,10.629010,117.944723,-116.8903,-116.8903,208.2190,210.8172,0.0000,0.0000,-2751.19,1001.0,4,1,16000,702.1
5,19999,11.687893,11.597079,119.279851,-118.3947,-118.3948,167.9531,175.7884,0.0000,0.0000,-2758.27,1001.0,4,2,20000,956.6
6,23999,9.846064,9.477679,107.452148,-106.6717,-106.6720,132.2711,160.8032,0.0000,0.0000,-2757.11,1001.0,3,1,24000,1212.0
7,27999,9.469202,8.912287,103.996015,-103.4414,-103.4415,159.3739,202.3612,0.0000,0.0000,-2751.33,1001.0,4,1,28000,1466.5
8,31999,8.940334,8.453333,101.850502,-101.3180,-101.3179,188.9664,213.1412,0.0000,0.0000,-2746.18,1001.0,4,0,32000,1720.5
9,35999,8.483484,8.440595,101.031343,-100.4107,-100.4107,183.8387,195.1744,0.0000,0.0000,-2756.79,1001.0,4,2,36000,1975.6
10,39999,8.199972,8.215854,101.388585,-100.7394,-100.7394,160.3196,181.0483,0.0000,0.0000,-2754.95,1001.0,4,1,40000,2233.0
11,43999,8.177002,8.111699,100.695327,-100.0958,-100.0958,150.1328,172.5247,0.0000,0.0000,-2750.65,1001.0,4,0,44000,2490.6
12,47999,8.128757,8.098726,100.564646,-99.9695,-99.9695,148.0058,171.7276,0.0000,0.0000,-2754.50,1001.0,4,1,48000,2745.3
13,51999,8.551830,8.479753,102.462410,-101.9065,-101.9065,149.6648,183.2202,0.0000,0.0000,-2752.46,1001.0,4,1,52000,3001.4
14,55999,8.811651,8.669655,105.826959,-105.2712,-105.2711,150.1826,190.2485,0.0000,0.0000,-2754.97,1001.0,4,1,56000,3257.3
15,59999,8.970032,8.766280,107.406482,-106.8204,-106.8203,155.4875,196.0724,0.0000,0.0000,-2751.25,1001.0,4,0,60000,3513.4
16,63999,8.558988,8.435691,107.090755,-106.5514,-106.5513,159.0868,198.1692,0.0000,0.0000,-2751.27,1001.0,4,1,64000,3769.6
17,67999,8.017563,7.742124,105.659585,-105.1503,-105.1503,145.4865,198.2322,0.0000,0.0000,-2748.38,1001.0,4,0,68000,4026.4
18,71999,8.023539,7.597212,105.994944,-105.4889,-105.4889,145.1083,205.1011,0.0000,0.0000,-2758.26,1001.0,4,2,72000,4281.9
19,75999,8.285423,7.668013,108.536472,-108.0260,-108.0260,153.8642,214.2856,0.0000,0.0000,-2748.22,1001.0,4,0,76000,4538.4
20,79999,8.086528,7.518259,108.989916,-108.4404,-108.4404,154.5708,213.8504,0.0000,0.0000,-2754.34,1001.0,4,1,80000,4793.8
21,83999,8.031122,7.450175,108.759958,-108.2118,-108.2118,146.6493,202.4739,0.0000,0.0000,-2746.66,1001.0,4,0,84000,5048.7
22,87999,8.178278,7.475873,109.447416,-108.9214,-108.9213,152.1138,204.4888,0.0000,0.0000,-2752.13,1001.0,4,0,88000,5304.4
23,91999,7.669468,7.183527,108.760286,-108.2518,-108.2517,160.7265,196.2798,0.0000,0.0000,-2751.48,1001.0,4,0,92000,5559.3
24,95999,7.343026,6.962512,106.823726,-106.3289,-106.3288,157.3719,186.2006,0.0000,0.0000,-2757.00,1001.0,4,3,96000,5815.5
25,99999,7.360379,7.138974,106.539902,-106.0504,-106.0503,156.8198,178.2862,0.0000,0.0000,-2748.95,1001.0,4,0,100000,6071.8
26,103999,6.940645,7.028967,106.318300,-105.8500,-105.8499,158.8036,173.0659,0.0000,0.0000,-2748.61,1001.0,4,0,104000,6328.2
27,107999,6.779239,7.003958,106.105145,-105.6308,-105.6306,164.0841,172.5351,0.0000,0.0000,-2751.84,1001.0,4,1,108000,6584.9
28,111999,6.471939,6.860976,104.604873,-104.1363,-104.1360,164.0579,164.3586,0.0000,0.0000,-2755.41,1001.0,4,2,112000,6841.7
29,115999,6.391207,6.817990,104.019981,-103.5654,-103.5652,164.5103,166.9068,0.0000,0.0000,-2750.22,1001.0,4,0,116000,7098.7
30,119999,6.578344,6.989644,104.872064,-104.4389,-104.4387,168.5591,163.5387,0.0000,0.0000,-2753.14,1001.0,4,1,120000,7356.0
