epoch,global_step,device,epoch_wall_s,steps_per_sec,updates_per_sec,env_step_total_s,env_step_mean_ms,buffer_sample_total_s,buffer_sample_mean_ms,update_total_s,update_mean_ms,gpu_mem_allocated_mb,gpu_mem_reserved_mb
1,3999,GPU (NVIDIA GeForce RTX 3080),1.06,3768.3,0.0,0.804,0.201,0.000,0.000,0.000,0.000,22.6,28.0
2,7999,GPU (NVIDIA GeForce RTX 3080),186.48,21.4,321.7,1.010,0.253,10.142,0.169,173.943,2.899,30.2,38.0
3,11999,GPU (NVIDIA GeForce RTX 3080),249.29,16.0,320.9,1.080,0.270,13.850,0.173,232.659,2.908,30.2,38.0
4,15999,GPU (NVIDIA GeForce RTX 3080),249.61,16.0,320.5,1.068,0.267,13.879,0.173,232.797,2.910,30.2,38.0
5,19999,GPU (NVIDIA GeForce RTX 3080),248.72,16.1,321.7,1.059,0.265,14.048,0.176,231.688,2.896,30.2,38.0
6,23999,GPU (NVIDIA GeForce RTX 3080),249.15,16.1,321.1,1.069,0.267,14.061,0.176,232.214,2.903,30.2,38.0
7,27999,GPU (NVIDIA GeForce RTX 3080),249.13,16.1,321.1,1.058,0.264,14.053,0.176,232.079,2.901,30.2,38.0
8,31999,GPU (NVIDIA GeForce RTX 3080),250.02,16.0,320.0,1.055,0.264,14.036,0.175,233.116,2.914,30.2,38.0
9,35999,GPU (NVIDIA GeForce RTX 3080),248.39,16.1,322.1,1.075,0.269,14.149,0.177,231.344,2.892,30.2,38.0
10,39999,GPU (NVIDIA GeForce RTX 3080),249.04,16.1,321.2,1.063,0.266,14.214,0.178,231.986,2.900,30.2,38.0
11,43999,GPU (NVIDIA GeForce RTX 3080),247.67,16.2,323.0,1.049,0.262,14.163,0.177,230.580,2.882,30.2,38.0
12,47999,GPU (NVIDIA GeForce RTX 3080),248.56,16.1,321.9,1.047,0.262,14.180,0.177,231.397,2.892,30.2,38.0
13,51999,GPU (NVIDIA GeForce RTX 3080),249.19,16.1,321.0,1.064,0.266,14.213,0.178,232.144,2.902,30.2,38.0
14,55999,GPU (NVIDIA GeForce RTX 3080),248.07,16.1,322.5,1.044,0.261,14.145,0.177,230.903,2.886,30.2,38.0
15,59999,GPU (NVIDIA GeForce RTX 3080),247.44,16.2,323.3,1.047,0.262,14.134,0.177,230.386,2.880,30.2,38.0
16,63999,GPU (NVIDIA GeForce RTX 3080),247.97,16.1,322.6,1.063,0.266,14.128,0.177,231.010,2.888,30.2,38.0
17,67999,GPU (NVIDIA GeForce RTX 3080),248.73,16.1,321.6,1.053,0.263,14.275,0.178,231.622,2.895,30.2,38.0
18,71999,GPU (NVIDIA GeForce RTX 3080),250.27,16.0,319.7,1.055,0.264,14.339,0.179,233.092,2.914,30.2,38.0
19,75999,GPU (NVIDIA GeForce RTX 3080),249.55,16.0,320.6,1.064,0.266,14.349,0.179,232.233,2.903,30.2,38.0
20,79999,GPU (NVIDIA GeForce RTX 3080),248.08,16.1,322.5,1.067,0.267,14.302,0.179,231.041,2.888,30.2,38.0
21,83999,GPU (NVIDIA GeForce RTX 3080),250.41,16.0,319.5,1.038,0.260,14.327,0.179,232.960,2.912,30.2,38.0
22,87999,GPU (NVIDIA GeForce RTX 3080),247.84,16.1,322.8,1.059,0.265,14.330,0.179,230.553,2.882,30.2,38.0
23,91999,GPU (NVIDIA GeForce RTX 3080),247.32,16.2,323.5,1.074,0.268,14.317,0.179,230.176,2.877,30.2,38.0
24,95999,GPU (NVIDIA GeForce RTX 3080),248.27,16.1,322.2,1.044,0.261,14.277,0.178,230.948,2.887,30.2,38.0
25,99999,GPU (NVIDIA GeForce RTX 3080),249.24,16.0,321.0,1.036,0.259,14.285,0.179,231.859,2.898,30.2,38.0
26,103999,GPU (NVIDIA GeForce RTX 3080),248.12,16.1,322.4,1.056,0.264,14.295,0.179,230.948,2.887,30.2,38.0
27,107999,GPU (NVIDIA GeForce RTX 3080),249.35,16.0,320.8,1.059,0.265,14.296,0.179,232.102,2.901,30.2,38.0
28,111999,GPU (NVIDIA GeForce RTX 3080),247.85,16.1,322.8,1.043,0.261,14.267,0.178,230.502,2.881,30.2,38.0
29,115999,GPU (NVIDIA GeForce RTX 3080),248.85,16.1,321.5,1.067,0.267,14.276,0.178,231.768,2.897,30.2,38.0
30,119999,GPU (NVIDIA GeForce RTX 3080),250.25,16.0,319.7,1.036,0.259,14.320,0.179,232.932,2.912,30.2,38.0
