epoch,global_step,device,epoch_wall_s,steps_per_sec,updates_per_sec,env_step_total_s,env_step_mean_ms,buffer_sample_total_s,buffer_sample_mean_ms,update_total_s,update_mean_ms,gpu_mem_allocated_mb,gpu_mem_reserved_mb
1,3999,GPU (NVIDIA GeForce RTX 3080),1.07,3744.4,0.0,0.804,0.201,0.000,0.000,0.000,0.000,28.5,34.0
2,7999,GPU (NVIDIA GeForce RTX 3080),13.04,306.7,230.0,0.996,0.249,0.512,0.171,10.441,3.480,43.5,52.0
3,11999,GPU (NVIDIA GeForce RTX 3080),17.70,226.0,226.0,1.032,0.258,0.699,0.175,14.677,3.669,43.5,52.0
4,15999,GPU (NVIDIA GeForce RTX 3080),17.04,234.8,234.8,1.035,0.259,0.701,0.175,14.000,3.500,43.5,52.0
5,19999,GPU (NVIDIA GeForce RTX 3080),17.03,234.9,234.9,1.030,0.258,0.708,0.177,13.938,3.485,43.5,52.0
6,23999,GPU (NVIDIA GeForce RTX 3080),17.52,228.3,228.3,1.037,0.259,0.716,0.179,14.456,3.614,43.5,52.0
7,27999,GPU (NVIDIA GeForce RTX 3080),17.09,234.1,234.1,1.035,0.259,0.717,0.179,14.008,3.502,43.5,52.0
8,31999,GPU (NVIDIA GeForce RTX 3080),17.10,233.9,233.9,1.025,0.256,0.701,0.175,14.000,3.500,43.5,52.0
9,35999,GPU (NVIDIA GeForce RTX 3080),17.00,235.2,235.2,1.030,0.257,0.713,0.178,13.927,3.482,43.5,52.0
10,39999,GPU (NVIDIA GeForce RTX 3080),16.86,237.2,237.2,1.026,0.257,0.719,0.180,13.815,3.454,43.5,52.0
11,43999,GPU (NVIDIA GeForce RTX 3080),22.47,178.0,178.0,1.018,0.255,0.715,0.179,14.084,3.521,46.6,118.0
12,47999,GPU (NVIDIA GeForce RTX 3080),22.40,178.6,178.6,1.030,0.257,0.718,0.179,13.964,3.491,46.6,118.0
13,51999,GPU (NVIDIA GeForce RTX 3080),22.25,179.8,179.8,1.019,0.255,0.709,0.177,13.843,3.461,46.6,118.0
14,55999,GPU (NVIDIA GeForce RTX 3080),22.45,178.2,178.2,1.026,0.256,0.717,0.179,13.959,3.490,46.6,118.0
15,59999,GPU (NVIDIA GeForce RTX 3080),22.42,178.4,178.4,1.024,0.256,0.719,0.180,13.982,3.496,46.6,118.0
16,63999,GPU (NVIDIA GeForce RTX 3080),22.51,177.7,177.7,1.022,0.256,0.715,0.179,14.016,3.504,46.6,118.0
17,67999,GPU (NVIDIA GeForce RTX 3080),22.45,178.1,178.1,1.029,0.257,0.721,0.180,13.923,3.481,46.6,118.0
18,71999,GPU (NVIDIA GeForce RTX 3080),22.46,178.1,178.1,1.027,0.257,0.726,0.181,14.047,3.512,46.6,118.0
19,75999,GPU (NVIDIA GeForce RTX 3080),22.52,177.7,177.7,1.030,0.257,0.730,0.182,14.002,3.501,46.6,118.0
20,79999,GPU (NVIDIA GeForce RTX 3080),22.63,176.8,176.8,1.020,0.255,0.730,0.183,14.071,3.518,46.6,118.0
21,83999,GPU (NVIDIA GeForce RTX 3080),22.76,175.7,175.7,1.010,0.253,0.728,0.182,14.256,3.564,46.6,118.0
22,87999,GPU (NVIDIA GeForce RTX 3080),22.49,177.9,177.9,1.022,0.255,0.727,0.182,14.013,3.503,46.6,118.0
23,91999,GPU (NVIDIA GeForce RTX 3080),22.39,178.7,178.7,1.019,0.255,0.725,0.181,13.955,3.489,46.6,118.0
24,95999,GPU (NVIDIA GeForce RTX 3080),22.62,176.8,176.8,1.018,0.254,0.728,0.182,14.145,3.536,46.6,118.0
25,99999,GPU (NVIDIA GeForce RTX 3080),22.49,177.8,177.8,1.023,0.256,0.729,0.182,14.079,3.520,46.6,118.0
26,103999,GPU (NVIDIA GeForce RTX 3080),22.51,177.7,177.7,1.034,0.258,0.730,0.182,14.032,3.508,46.6,118.0
27,107999,GPU (NVIDIA GeForce RTX 3080),22.56,177.3,177.3,1.019,0.255,0.720,0.180,14.110,3.528,46.6,118.0
28,111999,GPU (NVIDIA GeForce RTX 3080),22.45,178.1,178.1,1.017,0.254,0.723,0.181,13.961,3.490,46.6,118.0
29,115999,GPU (NVIDIA GeForce RTX 3080),22.53,177.6,177.6,1.015,0.254,0.728,0.182,14.026,3.507,46.6,118.0
30,119999,GPU (NVIDIA GeForce RTX 3080),22.68,176.4,176.4,1.010,0.253,0.727,0.182,14.124,3.531,46.6,118.0
