epoch,step,loss_q1,loss_q2,loss_pi,q1_val,q2_val,grad_q1,grad_q2,grad_pi_rob,grad_pi_adv,mean_return,mean_length,episodes,dist_episodes,buffer_size,elapsed_s,det_loss,det_dist_loss,det_alpha_loss
1,3999,,,,,,,,,,-41.79,136.9,29,5,4000,1.1,,,
2,7999,0.271384,0.270314,-2.380679,2.3174,2.3181,2.9519,3.0967,0.4948,0.0083,69.78,440.8,8,1,8000,14.4,,,
3,11999,0.491966,0.488293,-6.096504,5.9650,5.9649,4.2973,4.6714,1.0236,0.1138,-12.68,298.4,12,3,12000,32.1,,,
4,15999,0.518014,0.519516,-5.184631,5.3354,5.3347,3.8062,4.0893,1.2194,0.3386,27.15,288.1,17,5,16000,50.4,,,
5,19999,0.499386,0.500929,-5.100964,4.7553,4.7551,3.2590,3.5593,1.2879,0.4478,64.50,254.4,14,4,20000,68.5,,,
6,23999,0.546127,0.547193,-6.760508,6.1984,6.1983,3.6286,3.9734,1.4366,0.6367,52.41,254.8,16,6,24000,85.3,,,
7,27999,0.573829,0.582178,-7.446188,6.8391,6.8389,3.8180,4.1421,1.5146,0.8201,58.21,272.1,16,3,28000,102.2,,,
8,31999,0.644233,0.648319,-7.753515,7.0902,7.0897,4.2129,4.5684,1.6352,0.9362,41.03,210.9,19,5,32000,121.3,,,
9,35999,0.734585,0.739489,-7.510335,6.7863,6.7857,4.6897,4.8661,1.8545,1.0625,66.39,304.8,13,6,36000,140.1,,,
10,39999,0.800329,0.798314,-7.336394,6.5521,6.5516,4.9890,5.2039,2.0193,1.1664,75.42,310.9,13,6,40000,168.7,0.121709,0.034519,0.085874
11,43999,0.852085,0.859968,-7.667543,6.7981,6.7978,5.5102,5.5591,2.1655,1.2576,154.16,460.7,7,2,44000,228.0,0.005873,0.000249,0.005359
12,47999,0.890816,0.891243,-8.262280,7.3962,7.3959,5.8052,5.8927,2.2281,1.3119,127.47,429.7,11,2,48000,284.8,0.000879,0.000627,0.000085
13,51999,1.005756,1.004902,-8.588143,7.7404,7.7404,6.6444,6.6335,2.3737,1.3752,62.56,255.7,15,3,52000,340.9,0.000891,0.000657,0.000067
14,55999,1.080122,1.085229,-9.410439,8.5124,8.5127,7.5829,7.4595,2.4985,1.4176,115.47,368.9,10,3,56000,397.3,0.000704,0.000487,0.000055
15,59999,1.153989,1.148284,-10.280049,9.3531,9.3532,8.4324,8.3530,2.5862,1.4337,79.48,211.7,19,4,60000,453.6,0.000855,0.000630,0.000057
16,63999,1.222671,1.222840,-11.117416,10.1728,10.1724,9.0587,9.0617,2.6830,1.4617,82.53,297.5,14,6,64000,510.1,0.000976,0.000701,0.000070
17,67999,1.276312,1.277753,-11.660112,10.7520,10.7516,9.7764,9.6458,2.7314,1.4472,99.46,318.4,12,5,68000,566.3,0.000919,0.000680,0.000060
18,71999,1.396356,1.384354,-11.821071,10.9097,10.9092,10.7604,10.5873,2.8623,1.5209,74.89,329.3,11,2,72000,622.6,0.000977,0.000726,0.000071
19,75999,1.532614,1.512631,-11.276991,10.4080,10.4081,11.1972,11.0862,2.9441,1.5636,67.01,312.1,15,2,76000,678.9,0.001015,0.000764,0.000076
20,79999,1.531707,1.519090,-10.774577,9.9156,9.9157,11.6833,11.5496,2.9941,1.5638,61.40,200.0,19,5,80000,735.2,0.001272,0.001005,0.000095
21,83999,1.548263,1.534121,-10.674056,9.7829,9.7833,12.1080,11.9898,3.0751,1.6039,99.13,297.6,12,4,84000,791.4,0.001146,0.000901,0.000085
22,87999,1.549624,1.527312,-10.728063,9.8484,9.8484,12.4975,12.4247,3.0765,1.6117,98.05,340.6,14,4,88000,847.8,0.002094,0.001743,0.000169
23,91999,1.674791,1.649505,-10.257370,9.4143,9.4143,12.9887,12.8033,3.1436,1.6292,33.89,157.2,26,8,92000,904.1,0.004116,0.003534,0.000332
24,95999,1.807649,1.776489,-9.597417,8.7903,8.7900,13.3532,13.3421,3.2784,1.6766,44.47,218.0,17,5,96000,960.5,0.001356,0.001062,0.000108
25,99999,1.915286,1.888600,-9.201768,8.3344,8.3347,14.2464,14.2488,3.5111,1.7758,261.86,703.7,6,0,100000,1016.6,0.000685,0.000475,0.000054
26,103999,1.965767,1.936704,-8.913495,8.0263,8.0262,14.6702,14.8588,3.5684,1.8330,69.48,199.4,20,6,104000,1072.9,0.002067,0.001713,0.000161
27,107999,2.009118,1.982181,-8.384767,7.5076,7.5074,15.1467,15.2202,3.5891,1.8580,30.10,140.9,25,11,108000,1129.3,0.002237,0.001834,0.000181
28,111999,1.962412,1.919297,-8.190048,7.3110,7.3110,15.1705,15.0062,3.6037,1.8655,68.69,197.2,20,1,112000,1185.5,0.001362,0.001045,0.000104
29,115999,1.976871,1.931952,-8.021314,7.1431,7.1427,15.8941,15.2103,3.6103,1.8683,38.86,141.6,29,8,116000,1241.9,0.002074,0.001689,0.000181
30,119999,1.927238,1.898517,-7.905640,7.0446,7.0444,15.8692,15.6621,3.5841,1.8671,55.70,163.1,26,5,120000,1298.3,0.001924,0.001574,0.000156
