epoch,global_step,device,epoch_wall_s,steps_per_sec,updates_per_sec,env_step_total_s,env_step_mean_ms,buffer_sample_total_s,buffer_sample_mean_ms,update_total_s,update_mean_ms,gpu_mem_allocated_mb,gpu_mem_reserved_mb
1,3900,GPU (NVIDIA GeForce RTX 3080),0.27,14801.5,0.0,0.196,4.894,0.000,0.000,0.000,0.000,1.5,2.0
2,7900,GPU (NVIDIA GeForce RTX 3080),0.30,13195.2,0.0,0.202,5.046,0.000,0.000,0.000,0.000,10.6,24.0
3,11900,GPU (NVIDIA GeForce RTX 3080),1.51,2657.0,332.1,0.213,5.314,0.171,0.343,1.095,2.190,21.7,34.0
4,15900,GPU (NVIDIA GeForce RTX 3080),1.41,2827.7,353.5,0.215,5.364,0.174,0.348,0.999,1.999,21.7,34.0
5,19900,GPU (NVIDIA GeForce RTX 3080),0.23,17034.9,0.0,0.210,5.254,0.000,0.000,0.000,0.000,21.7,34.0
6,23900,GPU (NVIDIA GeForce RTX 3080),1.51,2648.0,331.0,0.216,5.405,0.208,0.416,1.058,2.116,21.7,34.0
7,27900,GPU (NVIDIA GeForce RTX 3080),1.60,2499.9,312.5,0.222,5.552,0.209,0.418,1.140,2.280,21.7,34.0
8,31900,GPU (NVIDIA GeForce RTX 3080),1.50,2673.3,334.2,0.222,5.561,0.193,0.386,1.052,2.104,21.7,34.0
9,35900,GPU (NVIDIA GeForce RTX 3080),1.51,2640.8,330.1,0.225,5.636,0.209,0.419,1.050,2.101,21.7,34.0
10,39900,GPU (NVIDIA GeForce RTX 3080),0.25,16085.4,0.0,0.220,5.495,0.000,0.000,0.000,0.000,21.7,34.0
11,43900,GPU (NVIDIA GeForce RTX 3080),1.83,2183.2,272.9,0.239,5.976,0.255,0.510,1.303,2.607,21.7,34.0
12,47900,GPU (NVIDIA GeForce RTX 3080),1.72,2321.3,290.2,0.233,5.827,0.235,0.469,1.224,2.449,21.7,34.0
13,51900,GPU (NVIDIA GeForce RTX 3080),1.61,2483.6,310.5,0.215,5.381,0.224,0.449,1.142,2.284,21.7,34.0
14,55900,GPU (NVIDIA GeForce RTX 3080),1.53,2621.7,327.7,0.214,5.352,0.206,0.413,1.077,2.154,21.7,34.0
15,59900,GPU (NVIDIA GeForce RTX 3080),0.24,16611.4,0.0,0.213,5.331,0.000,0.000,0.000,0.000,21.7,34.0
16,63900,GPU (NVIDIA GeForce RTX 3080),1.54,2592.2,324.0,0.222,5.551,0.212,0.424,1.081,2.162,21.7,34.0
17,67900,GPU (NVIDIA GeForce RTX 3080),1.45,2767.5,345.9,0.209,5.235,0.196,0.393,1.012,2.024,21.7,34.0
18,71900,GPU (NVIDIA GeForce RTX 3080),1.37,2909.5,363.7,0.203,5.079,0.192,0.384,0.955,1.910,21.7,34.0
19,75900,GPU (NVIDIA GeForce RTX 3080),1.36,2932.6,366.6,0.202,5.058,0.184,0.369,0.953,1.906,21.7,34.0
20,79900,GPU (NVIDIA GeForce RTX 3080),0.23,17296.5,0.0,0.207,5.187,0.000,0.000,0.000,0.000,21.7,34.0
21,83900,GPU (NVIDIA GeForce RTX 3080),1.30,3079.0,384.9,0.198,4.962,0.177,0.354,0.899,1.797,21.7,34.0
22,87900,GPU (NVIDIA GeForce RTX 3080),1.34,2985.7,373.2,0.201,5.026,0.183,0.365,0.931,1.863,21.7,34.0
23,91900,GPU (NVIDIA GeForce RTX 3080),1.49,2680.4,335.1,0.209,5.235,0.208,0.417,1.049,2.098,21.7,34.0
24,95900,GPU (NVIDIA GeForce RTX 3080),1.44,2783.2,347.9,0.210,5.250,0.196,0.392,1.004,2.007,21.7,34.0
25,99900,GPU (NVIDIA GeForce RTX 3080),0.23,17264.7,0.0,0.207,5.172,0.000,0.000,0.000,0.000,21.7,34.0
26,103900,GPU (NVIDIA GeForce RTX 3080),1.31,3054.5,381.8,0.202,5.060,0.178,0.355,0.903,1.807,21.7,34.0
27,107900,GPU (NVIDIA GeForce RTX 3080),1.33,3006.6,375.8,0.203,5.069,0.183,0.365,0.918,1.836,21.7,34.0
28,111900,GPU (NVIDIA GeForce RTX 3080),1.37,2916.4,364.6,0.198,4.956,0.187,0.374,0.961,1.922,21.7,34.0
29,115900,GPU (NVIDIA GeForce RTX 3080),1.41,2828.5,353.6,0.202,5.059,0.182,0.365,1.004,2.007,21.7,34.0
30,119900,GPU (NVIDIA GeForce RTX 3080),0.24,16893.7,0.0,0.210,5.239,0.000,0.000,0.000,0.000,21.7,34.0
31,123900,GPU (NVIDIA GeForce RTX 3080),1.44,2769.6,346.2,0.203,5.080,0.198,0.396,1.017,2.034,21.7,34.0
32,127900,GPU (NVIDIA GeForce RTX 3080),1.32,3032.5,379.1,0.194,4.861,0.168,0.337,0.933,1.866,21.7,34.0
33,131900,GPU (NVIDIA GeForce RTX 3080),1.25,3192.3,399.0,0.203,5.085,0.171,0.342,0.855,1.710,21.7,34.0
34,135900,GPU (NVIDIA GeForce RTX 3080),1.28,3131.6,391.4,0.201,5.024,0.178,0.357,0.874,1.748,21.7,34.0
35,139900,GPU (NVIDIA GeForce RTX 3080),0.22,18179.0,0.0,0.197,4.917,0.000,0.000,0.000,0.000,21.7,34.0
36,143900,GPU (NVIDIA GeForce RTX 3080),1.33,3016.8,377.1,0.200,5.009,0.181,0.362,0.921,1.841,21.7,34.0
37,147900,GPU (NVIDIA GeForce RTX 3080),1.31,3047.9,381.0,0.196,4.889,0.181,0.362,0.899,1.797,21.7,34.0
38,151900,GPU (NVIDIA GeForce RTX 3080),1.29,3107.2,388.4,0.200,5.001,0.180,0.360,0.883,1.766,21.7,34.0
39,155900,GPU (NVIDIA GeForce RTX 3080),1.26,3172.6,396.6,0.198,4.951,0.176,0.352,0.864,1.727,21.7,34.0
40,159900,GPU (NVIDIA GeForce RTX 3080),0.22,18000.7,0.0,0.198,4.955,0.000,0.000,0.000,0.000,21.7,34.0
41,163900,GPU (NVIDIA GeForce RTX 3080),1.38,2894.6,361.8,0.203,5.082,0.182,0.364,0.970,1.939,21.7,34.0
42,167900,GPU (NVIDIA GeForce RTX 3080),1.38,2894.7,361.8,0.201,5.037,0.185,0.370,0.938,1.876,21.7,34.0
43,171900,GPU (NVIDIA GeForce RTX 3080),1.28,3129.3,391.2,0.205,5.128,0.179,0.357,0.870,1.740,21.7,34.0
44,175900,GPU (NVIDIA GeForce RTX 3080),1.33,3011.2,376.4,0.206,5.156,0.176,0.352,0.922,1.844,21.7,34.0
45,179900,GPU (NVIDIA GeForce RTX 3080),0.22,18121.7,0.0,0.197,4.936,0.000,0.000,0.000,0.000,21.7,34.0
46,183900,GPU (NVIDIA GeForce RTX 3080),1.28,3128.9,391.1,0.198,4.956,0.179,0.357,0.877,1.755,21.7,34.0
47,187900,GPU (NVIDIA GeForce RTX 3080),1.30,3084.6,385.6,0.202,5.040,0.178,0.357,0.893,1.786,21.7,34.0
48,191900,GPU (NVIDIA GeForce RTX 3080),1.34,2986.4,373.3,0.200,5.005,0.181,0.362,0.935,1.869,21.7,34.0
49,195900,GPU (NVIDIA GeForce RTX 3080),1.30,3073.8,384.2,0.200,4.988,0.181,0.362,0.898,1.795,21.7,34.0
50,199900,GPU (NVIDIA GeForce RTX 3080),0.23,17755.8,0.0,0.200,5.009,0.000,0.000,0.000,0.000,21.7,34.0
51,203900,GPU (NVIDIA GeForce RTX 3080),1.34,2975.5,371.9,0.204,5.088,0.180,0.361,0.901,1.801,21.7,34.0
52,207900,GPU (NVIDIA GeForce RTX 3080),1.34,2994.8,374.3,0.202,5.050,0.184,0.368,0.924,1.848,21.7,34.0
53,211900,GPU (NVIDIA GeForce RTX 3080),1.29,3101.6,387.7,0.203,5.078,0.178,0.356,0.883,1.766,21.7,34.0
54,215900,GPU (NVIDIA GeForce RTX 3080),1.27,3159.0,394.9,0.201,5.034,0.176,0.351,0.864,1.728,21.7,34.0
55,219900,GPU (NVIDIA GeForce RTX 3080),0.22,18189.1,0.0,0.196,4.908,0.000,0.000,0.000,0.000,21.7,34.0
56,223900,GPU (NVIDIA GeForce RTX 3080),1.29,3102.7,387.8,0.194,4.856,0.179,0.359,0.892,1.784,21.7,34.0
