epoch,step,loss_q,loss_pi,q_val,grad_q,grad_pi,mean_return,mean_length,episodes,buffer_size,elapsed_s
1,3900,,,,,,-9.69,25.2,26,4000,0.3
2,7900,,,,,,-11.26,40.8,13,8000,0.6
3,11900,0.396231,-1.609837,1.1033,1.5014,0.0765,-11.92,113.7,3,12000,2.0
4,15900,1.002325,-2.339720,1.2290,4.6061,0.5111,-67.63,108.4,19,16000,3.3
5,19900,,,,,,-93.66,162.0,2,20000,3.5
6,23900,1.294429,-2.864304,1.3251,7.3962,1.1447,-203.33,184.0,2,24000,4.8
7,27900,1.480821,-3.836820,2.3854,8.9928,1.8036,-203.61,256.8,4,28000,6.2
8,31900,1.712975,-6.063720,4.0790,9.6910,2.0783,-262.44,252.6,7,32000,7.5
9,35900,1.436203,-8.288270,6.7870,9.0198,1.6806,-192.49,230.6,7,36000,8.8
10,39900,,,,,,-291.20,370.5,2,40000,9.0
11,43900,1.503837,-10.332494,8.7309,9.0126,1.7288,-162.47,302.0,3,44000,10.4
12,47900,1.564839,-12.785724,10.9941,8.5193,1.8730,,,0,48000,11.7
13,51900,1.439151,-15.653963,13.9079,8.2671,1.3872,-226.36,487.0,1,52000,13.1
14,55900,1.415220,-18.294418,16.6589,8.0688,1.4428,49.51,290.0,1,56000,14.4
15,59900,,,,,,-77.87,448.2,5,60000,14.6
16,63900,1.555199,-20.807235,19.2959,8.2120,1.4189,-32.48,347.7,9,64000,15.9
17,67900,1.679481,-23.134689,21.7333,8.4371,1.3584,-44.57,580.6,5,68000,17.3
18,71900,1.747624,-25.354748,24.0217,8.6893,1.3362,35.14,320.0,4,72000,18.7
19,75900,1.818807,-27.429403,26.1488,8.6583,1.2119,97.48,378.7,7,76000,20.1
20,79900,,,,,,28.45,512.8,5,80000,20.3
21,83900,1.853311,-29.399096,28.1720,8.9507,1.1959,69.28,97.0,1,84000,21.8
22,87900,1.843367,-31.347993,30.1551,9.3134,1.2597,62.27,507.5,2,88000,23.1
23,91900,1.794416,-33.222694,32.0555,8.9079,1.2352,192.46,445.7,3,92000,24.5
24,95900,1.868695,-35.108135,33.9668,9.2913,1.3227,134.05,297.8,5,96000,25.8
25,99900,,,,,,-18.25,924.7,34,100000,26.0
26,103900,2.202425,-36.914006,35.7884,9.8079,1.3327,41.52,787.8,12,104000,27.3
27,107900,2.403212,-38.856280,37.7457,10.1409,1.2013,36.91,650.5,8,108000,28.6
28,111900,2.592220,-40.857112,39.7589,10.3723,1.3155,130.64,268.0,7,112000,29.9
29,115900,2.769486,-42.774844,41.6950,10.9763,1.3647,185.47,691.1,16,116000,31.3
30,119900,,,,,,176.54,328.2,6,120000,31.5
31,123900,2.936352,-44.641251,43.5690,11.9149,1.3236,183.64,445.0,6,124000,32.8
32,127900,2.991637,-46.475309,45.4104,12.1538,1.3707,525.17,1001.0,1,128000,34.2
33,131900,3.018361,-48.286702,47.2258,12.8364,1.3927,448.62,853.7,3,132000,35.6
34,135900,3.003305,-50.043451,48.9936,12.9757,1.4210,279.07,367.4,5,136000,36.9
35,139900,,,,,,409.66,718.7,3,140000,37.1
36,143900,3.165201,-51.760772,50.7128,12.8285,1.3496,321.48,487.9,7,144000,38.4
37,147900,3.298178,-53.490138,52.4589,14.3923,1.4679,182.94,189.8,4,148000,39.8
38,151900,3.271825,-55.180881,54.1561,13.7548,1.4486,377.30,435.7,3,152000,41.2
39,155900,3.319109,-56.801139,55.7823,14.6204,1.4405,370.23,364.7,3,156000,42.5
40,159900,,,,,,313.18,521.4,5,160000,42.7
41,163900,3.601033,-58.374781,57.3533,15.3150,1.6140,499.79,815.3,9,164000,44.1
42,167900,3.697663,-60.022340,58.9979,14.8352,1.5547,438.80,532.4,5,168000,45.4
43,171900,3.746907,-61.653816,60.6286,14.4129,1.6367,275.84,436.0,4,172000,46.7
44,175900,4.133628,-63.295143,62.2604,16.4687,1.5111,526.63,653.2,9,176000,48.1
45,179900,,,,,,394.18,594.9,9,180000,48.3
46,183900,4.492570,-64.925829,63.8958,18.8798,1.6148,308.80,357.6,7,184000,49.6
47,187900,4.644441,-66.528022,65.5021,18.2832,1.6361,292.95,395.3,7,188000,51.0
48,191900,4.911167,-68.151347,67.1088,18.9632,1.5722,338.68,327.0,6,192000,52.4
49,195900,4.833921,-69.720620,68.6810,19.6083,1.6018,543.01,904.4,5,196000,53.7
50,199900,,,,,,477.57,677.0,8,200000,53.9
51,203900,5.224529,-71.264659,70.2303,20.5176,1.6127,567.37,904.2,20,204000,55.2
52,207900,5.327592,-73.005336,71.9735,20.1858,1.6463,357.20,462.5,6,208000,56.6
53,211900,5.627691,-74.742687,73.7028,24.1442,1.6594,401.41,508.2,8,212000,57.8
54,215900,5.919497,-76.399455,75.3498,22.9965,1.6084,448.84,599.0,12,216000,59.1
55,219900,,,,,,380.66,505.9,8,220000,59.3
56,223900,6.279747,-78.109428,77.0513,23.1854,1.7147,340.93,366.9,8,224000,60.6
57,227900,6.762066,-79.750444,78.6851,24.1649,1.7120,342.32,279.0,6,228000,61.9
58,231900,6.776895,-81.335007,80.2610,23.1964,1.8029,327.42,315.8,11,232000,63.3
59,235900,7.009654,-82.992126,81.9167,28.8224,1.8956,354.88,357.9,12,236000,64.6
60,239900,,,,,,284.55,336.6,5,240000,64.9
61,243900,7.361999,-84.454270,83.3691,26.7849,1.8099,418.13,519.2,8,244000,66.2
62,247900,7.627299,-86.001831,84.9158,25.0873,1.8234,546.16,737.3,3,248000,67.6
63,251900,7.555129,-87.481341,86.3964,29.1096,1.9039,348.72,397.0,8,252000,68.9
64,255900,8.004677,-88.965473,87.8764,31.3111,1.9254,555.81,623.0,5,256000,70.3
65,259900,,,,,,266.64,446.6,5,260000,70.5
66,263900,8.403729,-90.276238,89.1687,30.0982,1.9271,401.46,620.8,5,264000,71.9
67,267900,8.368619,-91.612375,90.5123,30.0540,1.8588,389.13,354.2,8,268000,73.2
68,271900,8.758613,-92.921113,91.8211,31.2959,1.9604,317.26,366.9,12,272000,74.5
69,275900,9.629403,-94.240933,93.1359,32.5958,1.9604,376.72,391.9,11,276000,76.0
70,279900,,,,,,411.11,476.2,14,280000,76.2
71,283900,10.153586,-95.612456,94.5034,32.1679,1.9432,383.79,535.2,6,284000,77.5
72,287900,10.156989,-96.905707,95.7836,41.1967,2.0184,257.68,336.2,8,288000,78.8
73,291900,10.621721,-98.157811,97.0368,37.4186,1.9639,519.06,742.3,7,292000,80.2
74,295900,10.928285,-99.522331,98.3892,38.5297,2.0290,301.92,395.8,9,296000,81.5
75,299900,,,,,,444.31,456.0,7,300000,81.7
76,303900,11.704973,-100.782528,99.6415,39.7294,2.1159,486.88,614.2,14,304000,83.1
77,307900,11.541624,-102.190131,101.0419,45.1456,2.0354,207.30,249.6,11,308000,84.4
78,311900,12.203073,-103.465747,102.3133,45.7443,2.2350,558.04,760.2,4,312000,85.7
79,315900,11.937665,-104.762973,103.5970,52.1337,2.2667,406.74,611.4,7,316000,87.0
80,319900,,,,,,404.30,593.2,6,320000,87.3
81,323900,11.614568,-106.126369,104.9560,35.3460,2.1556,380.48,558.3,10,324000,88.6
82,327900,12.425410,-107.446296,106.2743,42.5575,2.3111,366.75,344.5,10,328000,89.9
83,331900,12.166202,-108.700407,107.5203,45.1254,2.2276,427.67,576.8,8,332000,91.2
84,335900,13.368496,-109.903934,108.7451,46.7863,2.2306,368.70,535.7,15,336000,92.5
85,339900,,,,,,670.70,687.0,5,340000,92.7
86,343900,13.122379,-111.178000,109.9986,45.1587,2.2327,386.16,542.6,7,344000,94.0
87,347900,13.834413,-112.555849,111.3648,44.5730,2.3753,239.45,152.5,4,348000,95.4
88,351900,13.878173,-113.659986,112.4660,47.2034,2.4019,438.83,493.1,15,352000,96.7
89,355900,14.836045,-114.798503,113.6025,53.8980,2.3561,424.53,347.8,5,356000,98.0
90,359900,,,,,,433.05,517.5,6,360000,98.2
91,363900,15.442045,-115.831733,114.6391,63.4514,2.3245,556.31,528.2,4,364000,99.6
92,367900,15.402185,-116.907006,115.7306,54.2675,2.3294,361.33,248.8,4,368000,100.9
93,371900,15.023359,-117.765722,116.5785,52.7025,2.3651,541.07,638.6,9,372000,102.3
94,375900,15.339746,-118.797238,117.6079,56.2767,2.3726,358.28,492.0,5,376000,103.6
95,379900,,,,,,366.63,711.0,12,380000,103.8
96,383900,15.730349,-119.777277,118.5830,54.3509,2.4738,234.79,394.0,3,384000,105.2
97,387900,16.703193,-120.761521,119.5608,61.5120,2.3710,555.76,634.4,7,388000,106.5
98,391900,16.957787,-121.706899,120.5048,66.8590,2.4577,326.58,331.5,10,392000,107.8
99,395900,17.382755,-122.699832,121.5002,61.3344,2.4680,312.87,343.8,11,396000,109.1
100,399900,,,,,,392.10,491.0,6,400000,109.4
1,3990,,,,,,,,,-23.51,69.7,47,4000,0.4
2,7990,,,,,,,,,-32.80,69.0,6,8000,1.2
3,11990,0.391736,0.382590,-1.143403,0.6504,0.6504,3.7445,3.7723,1.2789,114.76,606.3,3,12000,7.7
