epoch,global_step,device,epoch_wall_s,steps_per_sec,updates_per_sec,env_step_total_s,env_step_mean_ms,buffer_sample_total_s,buffer_sample_mean_ms,update_total_s,update_mean_ms,gpu_mem_allocated_mb,gpu_mem_reserved_mb
1,3900,GPU (NVIDIA GeForce RTX 3080),0.17,22883.7,0.0,0.104,2.605,0.000,0.000,0.000,0.000,1.1,2.0
2,7900,GPU (NVIDIA GeForce RTX 3080),0.21,18801.4,0.0,0.117,2.934,0.000,0.000,0.000,0.000,10.2,24.0
3,11900,GPU (NVIDIA GeForce RTX 3080),1.20,3334.4,416.8,0.111,2.777,0.087,0.173,0.980,1.960,20.2,32.0
4,15900,GPU (NVIDIA GeForce RTX 3080),1.16,3445.7,430.7,0.116,2.888,0.088,0.175,0.936,1.872,20.2,32.0
5,19900,GPU (NVIDIA GeForce RTX 3080),0.13,29642.1,0.0,0.115,2.873,0.000,0.000,0.000,0.000,20.2,32.0
6,23900,GPU (NVIDIA GeForce RTX 3080),1.05,3798.5,474.8,0.108,2.697,0.089,0.178,0.836,1.673,20.2,32.0
7,27900,GPU (NVIDIA GeForce RTX 3080),1.16,3437.6,429.7,0.112,2.804,0.114,0.227,0.917,1.834,20.2,32.0
8,31900,GPU (NVIDIA GeForce RTX 3080),1.25,3210.1,401.3,0.118,2.942,0.131,0.263,0.974,1.948,20.2,32.0
9,35900,GPU (NVIDIA GeForce RTX 3080),1.30,3073.9,384.2,0.124,3.099,0.133,0.266,1.019,2.038,20.2,32.0
10,39900,GPU (NVIDIA GeForce RTX 3080),0.15,26882.1,0.0,0.122,3.055,0.000,0.000,0.000,0.000,20.2,32.0
11,43900,GPU (NVIDIA GeForce RTX 3080),1.24,3226.4,403.3,0.103,2.583,0.134,0.268,0.981,1.962,20.2,32.0
12,47900,GPU (NVIDIA GeForce RTX 3080),1.09,3683.8,460.5,0.116,2.893,0.102,0.204,0.848,1.696,20.2,32.0
13,51900,GPU (NVIDIA GeForce RTX 3080),1.14,3497.5,437.2,0.112,2.798,0.100,0.199,0.912,1.824,20.2,32.0
14,55900,GPU (NVIDIA GeForce RTX 3080),1.16,3461.5,432.7,0.111,2.777,0.103,0.206,0.922,1.844,20.2,32.0
15,59900,GPU (NVIDIA GeForce RTX 3080),0.13,31070.0,0.0,0.110,2.747,0.000,0.000,0.000,0.000,20.2,32.0
16,63900,GPU (NVIDIA GeForce RTX 3080),1.07,3732.8,466.6,0.116,2.895,0.104,0.207,0.832,1.664,20.2,32.0
17,67900,GPU (NVIDIA GeForce RTX 3080),1.07,3754.1,469.3,0.113,2.832,0.104,0.207,0.829,1.658,20.2,32.0
18,71900,GPU (NVIDIA GeForce RTX 3080),1.08,3689.9,461.2,0.108,2.692,0.115,0.230,0.842,1.685,20.2,32.0
19,75900,GPU (NVIDIA GeForce RTX 3080),1.10,3647.3,455.9,0.115,2.864,0.112,0.224,0.850,1.701,20.2,32.0
20,79900,GPU (NVIDIA GeForce RTX 3080),0.13,31028.9,0.0,0.110,2.751,0.000,0.000,0.000,0.000,20.2,32.0
21,83900,GPU (NVIDIA GeForce RTX 3080),1.08,3695.4,461.9,0.120,2.990,0.112,0.223,0.829,1.658,20.2,32.0
22,87900,GPU (NVIDIA GeForce RTX 3080),1.09,3664.1,458.0,0.107,2.685,0.116,0.232,0.849,1.698,20.2,32.0
23,91900,GPU (NVIDIA GeForce RTX 3080),1.09,3674.1,459.3,0.107,2.666,0.117,0.233,0.847,1.693,20.2,32.0
24,95900,GPU (NVIDIA GeForce RTX 3080),1.12,3579.2,447.4,0.107,2.685,0.118,0.237,0.873,1.745,20.2,32.0
