epoch,step,loss_q,loss_pi,q_val,grad_q,grad_pi,mean_return,mean_length,episodes,buffer_size,elapsed_s
1,3900,,,,,,,,0,4000,0.2
2,7900,,,,,,,,0,8000,0.4
3,11900,0.134055,-1.918072,0.7685,0.9229,0.0533,,,0,12000,1.6
4,15900,0.158298,-2.323176,1.8161,1.6389,0.1124,,,0,16000,2.6
5,19900,,,,,,,,0,20000,2.8
6,23900,0.177568,-3.240438,2.5364,2.2864,0.2828,,,0,24000,4.0
7,27900,0.245904,-3.922171,3.2130,3.1008,0.4527,,,0,28000,5.2
8,31900,0.269179,-4.809808,4.0337,3.4944,0.4533,,,0,32000,6.3
9,35900,0.219369,-5.661445,4.8355,3.4560,0.3997,,,0,36000,7.5
10,39900,,,,,,,,0,40000,7.6
11,43900,0.215024,-6.417176,5.5553,3.3387,0.3615,,,0,44000,8.8
12,47900,0.191200,-7.101504,6.2967,3.0837,0.3848,,,0,48000,9.9
13,51900,0.198453,-7.501534,6.7421,3.4370,0.3789,,,0,52000,11.0
14,55900,0.210480,-7.763300,7.0598,3.2252,0.3498,,,0,56000,12.2
15,59900,,,,,,,,0,60000,12.3
16,63900,0.208542,-8.083060,7.3870,3.2763,0.3264,,,0,64000,13.4
17,67900,0.228321,-8.473183,7.7792,3.6537,0.3220,,,0,68000,14.5
18,71900,0.245541,-8.943414,8.2410,3.6651,0.3204,,,0,72000,15.9
19,75900,0.261557,-9.533438,8.8181,3.9149,0.3286,,,0,76000,17.3
20,79900,,,,,,,,0,80000,17.5
21,83900,0.299279,-10.359932,9.5915,4.3700,0.3501,,,0,84000,18.7
22,87900,0.368826,-11.454516,10.6188,5.1526,0.3733,,,0,88000,19.9
23,91900,0.444008,-12.993433,12.0656,6.3402,0.4010,,,0,92000,21.2
24,95900,0.513783,-14.817216,13.8242,8.3598,0.4237,,,0,96000,22.4
25,99900,,,,,,-13.12,1000.0,100,100000,22.6
26,103900,1.432711,-16.909349,15.8777,10.8637,0.4926,,,0,104000,23.8
27,107900,1.363370,-20.131912,19.1511,9.2399,0.5014,,,0,108000,25.1
28,111900,1.372952,-23.020712,22.0616,9.3681,0.5317,,,0,112000,26.4
29,115900,1.413991,-25.742972,24.8076,8.7447,0.5280,,,0,116000,27.7
30,119900,,,,,,,,0,120000,27.8
31,123900,1.425869,-28.474628,27.5407,9.0214,0.5516,,,0,124000,29.1
32,127900,1.531592,-31.215674,30.2826,9.1098,0.5539,,,0,128000,30.4
33,131900,1.619682,-34.117131,33.1521,9.1126,0.5682,,,0,132000,31.6
34,135900,1.632565,-37.243467,36.2520,9.2342,0.6112,,,0,136000,32.9
35,139900,,,,,,,,0,140000,33.0
36,143900,1.797743,-40.463636,39.4452,9.7186,0.6225,,,0,144000,34.2
37,147900,1.837589,-43.763556,42.7249,9.9696,0.6520,,,0,148000,35.4
38,151900,1.862662,-47.327985,46.2518,10.6339,0.6518,,,0,152000,36.5
39,155900,2.055413,-50.880687,49.7902,10.3818,0.7045,,,0,156000,37.6
40,159900,,,,,,,,0,160000,37.8
41,163900,2.214249,-54.668768,53.5464,11.4652,0.7178,,,0,164000,38.8
42,167900,2.237752,-58.632581,57.4831,11.6760,0.7474,,,0,168000,39.9
43,171900,2.337969,-62.700652,61.5142,11.4007,0.7875,,,0,172000,41.3
44,175900,2.632686,-66.794534,65.6086,12.8384,0.8440,,,0,176000,42.5
45,179900,,,,,,,,0,180000,42.6
46,183900,2.674069,-70.989225,69.7856,12.4640,0.8119,,,0,184000,43.8
47,187900,2.875136,-75.212719,73.9874,13.2731,0.8442,,,0,188000,44.9
48,191900,3.060929,-79.561653,78.3159,13.8724,0.8840,,,0,192000,46.3
49,195900,3.063137,-83.899689,82.6628,14.5430,0.9030,,,0,196000,47.6
50,199900,,,,,,,,0,200000,47.7
51,203900,10.581290,-88.013984,86.7770,16.5691,0.8962,1985.22,1001.0,100,204000,49.0
52,207900,11.751813,-92.088895,90.8586,17.8379,0.8965,,,0,208000,50.3
53,211900,10.960907,-96.001715,94.7926,17.5031,0.9260,,,0,212000,51.5
54,215900,11.396544,-100.201837,98.9488,17.8339,0.9224,,,0,216000,52.8
55,219900,,,,,,,,0,220000,52.9
56,223900,12.181908,-104.220953,102.9837,17.9882,0.9430,,,0,224000,54.2
57,227900,13.150441,-108.337329,107.0931,19.1226,0.9723,,,0,228000,55.3
58,231900,11.551905,-112.261090,111.0314,19.4709,0.9755,,,0,232000,56.5
59,235900,13.705516,-116.253958,114.9971,19.4678,0.9898,,,0,236000,57.8
60,239900,,,,,,,,0,240000,58.0
61,243900,14.023204,-120.203580,118.9425,20.1923,1.0062,,,0,244000,59.3
62,247900,13.759358,-124.203081,122.9376,20.5509,1.0495,,,0,248000,60.5
63,251900,14.109317,-128.141371,126.8767,22.0053,1.0600,,,0,252000,61.8
64,255900,14.659354,-131.925662,130.6691,20.6876,1.1016,,,0,256000,63.1
65,259900,,,,,,,,0,260000,63.2
66,263900,14.062930,-135.762519,134.4926,20.8028,1.0447,,,0,264000,64.4
67,267900,15.056500,-139.682616,138.4290,21.9806,1.0728,,,0,268000,65.7
68,271900,15.322527,-143.328187,142.0737,22.5239,1.1036,,,0,272000,66.8
69,275900,16.085592,-146.939974,145.6898,23.2427,1.1543,,,0,276000,68.1
70,279900,,,,,,,,0,280000,68.2
71,283900,16.613511,-150.622022,149.3655,22.7572,1.1674,,,0,284000,69.5
72,287900,14.742767,-154.074967,152.8408,23.1094,1.1611,,,0,288000,70.8
73,291900,16.649642,-157.606229,156.3680,24.9866,1.1501,,,0,292000,72.0
74,295900,15.178777,-160.944300,159.7350,23.5081,1.1364,,,0,296000,73.3
75,299900,,,,,,,,0,300000,73.4
76,303900,16.853069,-164.280674,163.0573,23.6009,1.1628,2677.87,1001.0,100,304000,74.6
77,307900,29.475834,-167.244857,166.0280,28.2700,1.2425,,,0,308000,75.9
78,311900,29.009176,-170.304627,169.0788,25.8395,1.2221,,,0,312000,77.1
79,315900,30.964721,-173.436037,172.1877,29.1127,1.2441,,,0,316000,78.4
80,319900,,,,,,,,0,320000,78.5
81,323900,32.562633,-176.441536,175.2110,28.9037,1.2847,,,0,324000,79.7
82,327900,28.871738,-179.312352,178.0945,27.5472,1.3283,,,0,328000,80.9
83,331900,32.236567,-182.192350,180.9679,30.0145,1.3461,,,0,332000,82.1
84,335900,30.879206,-184.908396,183.6905,30.0307,1.4108,,,0,336000,83.2
85,339900,,,,,,,,0,340000,83.3
86,343900,32.030716,-187.531115,186.3183,30.4837,1.4075,,,0,344000,84.5
87,347900,30.611961,-190.258292,189.0415,28.7792,1.4020,,,0,348000,85.7
88,351900,32.421830,-192.925402,191.7145,29.7437,1.3959,,,0,352000,86.8
89,355900,31.129678,-195.419553,194.2223,29.9375,1.4655,,,0,356000,88.0
90,359900,,,,,,,,0,360000,88.2
91,363900,30.258199,-198.014384,196.8166,30.6677,1.4542,,,0,364000,89.3
92,367900,34.668978,-200.503731,199.3021,31.9989,1.4459,,,0,368000,90.6
93,371900,33.639431,-202.904032,201.7003,32.8298,1.5367,,,0,372000,91.7
94,375900,34.350390,-205.352384,204.1596,31.3948,1.5567,,,0,376000,92.9
95,379900,,,,,,,,0,380000,93.1
96,383900,32.792781,-207.623722,206.4222,31.5137,1.5115,,,0,384000,94.2
97,387900,31.580789,-209.929416,208.7385,32.0301,1.5928,,,0,388000,95.4
98,391900,33.714443,-212.119313,210.9505,32.7834,1.5350,,,0,392000,96.5
99,395900,31.962373,-214.341688,213.1928,32.7159,1.5743,,,0,396000,97.7
100,399900,,,,,,,,0,400000,97.8
