epoch,step,loss_q,loss_pi,q_val,grad_q,grad_pi_rob,grad_pi_adv,mean_return,mean_length,episodes,dist_episodes,buffer_size,elapsed_s
1,3900,,,,,,,,,0,0,4000,0.2
2,7900,,,,,,,,,0,0,8000,0.4
3,11900,0.120667,-1.485728,0.5137,0.8632,0.0403,0.0028,,,0,0,12000,2.2
4,15900,0.117343,-1.634422,1.1194,1.5415,0.1338,0.0070,,,0,0,16000,3.8
5,19900,,,,,,,,,0,0,20000,4.0
6,23900,0.154245,-2.513635,1.9111,2.7215,0.3902,0.0100,,,0,0,24000,5.6
7,27900,0.205807,-3.536193,2.9720,3.4881,0.3645,0.0132,,,0,0,28000,7.4
8,31900,0.254461,-4.391182,3.7306,4.2279,0.3061,0.0165,,,0,0,32000,9.4
9,35900,0.232403,-5.071031,4.4731,4.0772,0.2913,0.0165,,,0,0,36000,10.9
10,39900,,,,,,,,,0,0,40000,11.0
11,43900,0.237836,-5.590743,5.0006,4.2238,0.3177,0.0185,,,0,0,44000,12.5
12,47900,0.248037,-6.036134,5.4515,4.5515,0.3365,0.0201,,,0,0,48000,13.9
13,51900,0.261903,-6.615604,5.9845,4.3550,0.3202,0.0213,,,0,0,52000,15.4
14,55900,0.298832,-7.440170,6.7698,4.7899,0.3519,0.0241,,,0,0,56000,16.8
15,59900,,,,,,,,,0,0,60000,17.0
16,63900,0.352639,-8.370632,7.7024,5.6168,0.4045,0.0278,,,0,0,64000,18.4
17,67900,0.425186,-9.527436,8.8287,6.5391,0.4254,0.0334,,,0,0,68000,20.0
18,71900,0.474930,-10.845030,10.1445,7.6569,0.4248,0.0363,,,0,0,72000,21.7
19,75900,0.506964,-12.149667,11.4711,8.4199,0.4535,0.0416,,,0,0,76000,23.2
20,79900,,,,,,,,,0,0,80000,23.3
21,83900,0.525590,-13.572997,12.8886,9.1568,0.4699,0.0497,,,0,0,84000,24.9
22,87900,0.540578,-15.110793,14.4096,9.7843,0.5355,0.0550,,,0,0,88000,26.4
23,91900,0.550025,-16.728027,16.0268,9.9311,0.5861,0.0652,,,0,0,92000,27.8
24,95900,0.566811,-18.401068,17.6965,9.9846,0.6217,0.0677,,,0,0,96000,29.3
25,99900,,,,,,,169.21,1000.0,100,51,100000,29.4
26,103900,1.212410,-20.120338,19.4290,14.1627,0.6675,0.0750,,,0,0,104000,30.9
27,107900,1.293194,-22.100115,21.4581,13.4365,0.6638,0.0791,,,0,0,108000,32.5
28,111900,1.391527,-23.573384,22.9460,13.5511,0.6442,0.0799,,,0,0,112000,34.1
29,115900,1.467556,-24.991637,24.3756,14.3158,0.6674,0.0821,,,0,0,116000,35.7
30,119900,,,,,,,,,0,0,120000,35.8
31,123900,1.459168,-26.407172,25.7868,14.2024,0.7120,0.0885,,,0,0,124000,37.5
32,127900,1.555724,-27.725793,27.1341,14.6058,0.7146,0.0976,,,0,0,128000,39.0
33,131900,1.482460,-29.067324,28.4602,14.9321,0.7496,0.1052,,,0,0,132000,40.6
34,135900,1.638205,-30.358759,29.7528,15.3644,0.7883,0.1150,,,0,0,136000,42.1
35,139900,,,,,,,,,0,0,140000,42.2
36,143900,1.586949,-31.669498,31.0653,15.9068,0.8790,0.1228,,,0,0,144000,43.9
37,147900,1.682486,-32.999124,32.3729,16.2635,0.8856,0.1396,,,0,0,148000,45.5
38,151900,1.665764,-34.278435,33.6640,15.5853,0.8627,0.1484,,,0,0,152000,47.1
39,155900,1.750561,-35.514592,34.9242,16.3603,0.9369,0.1560,,,0,0,156000,48.7
40,159900,,,,,,,,,0,0,160000,48.9
41,163900,1.822711,-36.763634,36.1735,17.4601,1.0449,0.1644,,,0,0,164000,50.4
42,167900,1.808622,-38.025498,37.4312,16.9895,0.9577,0.1746,,,0,0,168000,51.9
43,171900,1.843775,-39.296812,38.7100,16.3146,0.9244,0.1891,,,0,0,172000,53.3
44,175900,1.914430,-40.539033,39.9606,18.4617,1.0013,0.1973,,,0,0,176000,54.8
45,179900,,,,,,,,,0,0,180000,55.0
46,183900,1.890343,-41.807740,41.2202,17.2896,1.0200,0.2044,,,0,0,184000,56.5
47,187900,1.993651,-43.073707,42.4806,17.7326,1.0278,0.2087,,,0,0,188000,58.2
48,191900,1.964138,-44.293000,43.6991,17.6776,1.0474,0.2277,,,0,0,192000,59.7
49,195900,1.987205,-45.538333,44.9449,16.5051,0.9999,0.2425,,,0,0,196000,61.2
50,199900,,,,,,,,,0,0,200000,61.3
51,203900,3.232221,-46.710530,46.1410,21.1238,1.0765,0.2404,612.98,1001.0,100,44,204000,63.0
52,207900,3.346769,-48.308947,47.7517,19.2650,1.0601,0.2452,,,0,0,208000,64.5
53,211900,3.497717,-49.807813,49.2679,18.9368,1.0781,0.2489,,,0,0,212000,66.1
54,215900,3.351338,-51.310700,50.7556,18.7828,1.0774,0.2444,,,0,0,216000,67.6
55,219900,,,,,,,,,0,0,220000,67.8
56,223900,3.599477,-52.701739,52.1624,19.1110,1.1316,0.2471,,,0,0,224000,69.3
57,227900,3.674297,-54.119622,53.5692,19.5573,1.1147,0.2638,,,0,0,228000,70.8
58,231900,3.478227,-55.582119,55.0287,19.0498,1.1393,0.2806,,,0,0,232000,72.2
59,235900,3.789707,-57.042221,56.4754,21.1510,1.1894,0.2810,,,0,0,236000,73.8
60,239900,,,,,,,,,0,0,240000,73.9
61,243900,3.582464,-58.502698,57.9484,19.2196,1.1871,0.2865,,,0,0,244000,75.6
62,247900,3.837605,-59.958140,59.3959,18.8599,1.1557,0.2893,,,0,0,248000,77.0
63,251900,3.990139,-61.434859,60.8766,20.4108,1.1989,0.2867,,,0,0,252000,78.6
64,255900,3.981424,-62.908467,62.3355,20.8621,1.2717,0.2911,,,0,0,256000,80.3
65,259900,,,,,,,,,0,0,260000,80.4
66,263900,4.066939,-64.387713,63.8131,20.7048,1.2637,0.2999,,,0,0,264000,82.0
67,267900,3.954680,-65.920669,65.3428,20.6167,1.3016,0.3117,,,0,0,268000,83.5
68,271900,4.053020,-67.321812,66.7309,20.3401,1.2957,0.3169,,,0,0,272000,85.3
69,275900,4.088446,-68.791143,68.2009,20.8826,1.3015,0.3234,,,0,0,276000,86.9
70,279900,,,,,,,,,0,0,280000,87.1
71,283900,4.154106,-70.268021,69.6871,21.4734,1.4506,0.3339,,,0,0,284000,88.7
72,287900,4.304944,-71.690698,71.0928,20.4180,1.3443,0.3268,,,0,0,288000,90.4
73,291900,4.418680,-73.122428,72.5204,21.4475,1.4323,0.3200,,,0,0,292000,92.0
74,295900,4.745160,-74.551100,73.9470,23.5012,1.4904,0.3389,,,0,0,296000,93.7
75,299900,,,,,,,,,0,0,300000,93.9
76,303900,4.675582,-75.942100,75.3427,21.6327,1.4978,0.3340,1181.01,1001.0,100,48,304000,95.6
77,307900,7.528643,-77.721878,77.1208,26.6633,1.6077,0.3570,,,0,0,308000,97.2
78,311900,7.308929,-79.674873,79.0684,25.4130,1.5229,0.3508,,,0,0,312000,98.8
79,315900,7.409610,-81.687723,81.0829,24.9796,1.5232,0.3486,,,0,0,316000,100.2
80,319900,,,,,,,,,0,0,320000,100.4
81,323900,7.422021,-83.712557,83.1171,26.2112,1.5108,0.3604,,,0,0,324000,102.0
82,327900,6.806967,-85.738879,85.1344,24.5425,1.4936,0.3649,,,0,0,328000,103.6
83,331900,7.109223,-87.803492,87.1807,25.5273,1.4655,0.3622,,,0,0,332000,105.2
84,335900,7.527241,-89.920775,89.2804,25.6365,1.5135,0.3768,,,0,0,336000,106.7
85,339900,,,,,,,,,0,0,340000,106.9
86,343900,7.274834,-92.174042,91.5096,25.3664,1.5022,0.3803,,,0,0,344000,108.5
87,347900,8.610205,-94.414622,93.7404,28.8177,1.6620,0.3889,,,0,0,348000,110.1
88,351900,7.918264,-96.557929,95.8998,28.5240,1.6135,0.4062,,,0,0,352000,111.7
89,355900,8.087518,-98.948126,98.2661,27.7946,1.5830,0.4182,,,0,0,356000,113.2
90,359900,,,,,,,,,0,0,360000,113.4
