epoch,global_step,device,epoch_wall_s,steps_per_sec,updates_per_sec,env_step_total_s,env_step_mean_ms,buffer_sample_total_s,buffer_sample_mean_ms,update_total_s,update_mean_ms,gpu_mem_allocated_mb,gpu_mem_reserved_mb
1,3900,GPU (NVIDIA GeForce RTX 3080),0.22,18139.9,0.0,0.115,2.863,0.000,0.000,0.000,0.000,1.9,4.0
2,7900,GPU (NVIDIA GeForce RTX 3080),0.22,17942.3,0.0,0.114,2.859,0.000,0.000,0.000,0.000,11.1,24.0
3,11900,GPU (NVIDIA GeForce RTX 3080),1.48,2701.0,337.6,0.113,2.819,0.091,0.181,1.248,2.496,21.9,36.0
4,15900,GPU (NVIDIA GeForce RTX 3080),1.36,2947.5,368.4,0.116,2.904,0.092,0.184,1.119,2.238,21.9,36.0
5,19900,GPU (NVIDIA GeForce RTX 3080),0.15,27459.5,0.0,0.116,2.910,0.000,0.000,0.000,0.000,21.9,36.0
6,23900,GPU (NVIDIA GeForce RTX 3080),1.38,2903.8,363.0,0.114,2.862,0.101,0.202,1.134,2.268,21.9,36.0
7,27900,GPU (NVIDIA GeForce RTX 3080),1.38,2892.3,361.5,0.121,3.015,0.100,0.199,1.131,2.262,21.9,36.0
8,31900,GPU (NVIDIA GeForce RTX 3080),1.38,2905.9,363.2,0.117,2.913,0.102,0.205,1.128,2.255,21.9,36.0
9,35900,GPU (NVIDIA GeForce RTX 3080),1.39,2878.5,359.8,0.122,3.061,0.110,0.219,1.126,2.253,21.9,36.0
10,39900,GPU (NVIDIA GeForce RTX 3080),0.15,26533.1,0.0,0.120,3.006,0.000,0.000,0.000,0.000,21.9,36.0
11,43900,GPU (NVIDIA GeForce RTX 3080),1.39,2886.2,360.8,0.116,2.901,0.110,0.220,1.129,2.258,21.9,36.0
12,47900,GPU (NVIDIA GeForce RTX 3080),1.38,2898.1,362.3,0.115,2.880,0.111,0.221,1.124,2.249,21.9,36.0
13,51900,GPU (NVIDIA GeForce RTX 3080),1.39,2879.5,359.9,0.113,2.825,0.113,0.226,1.135,2.270,21.9,36.0
14,55900,GPU (NVIDIA GeForce RTX 3080),1.40,2850.5,356.3,0.113,2.835,0.115,0.230,1.146,2.292,21.9,36.0
15,59900,GPU (NVIDIA GeForce RTX 3080),0.14,28383.8,0.0,0.114,2.838,0.000,0.000,0.000,0.000,21.9,36.0
16,63900,GPU (NVIDIA GeForce RTX 3080),1.40,2854.2,356.8,0.120,3.007,0.115,0.230,1.136,2.272,21.9,36.0
17,67900,GPU (NVIDIA GeForce RTX 3080),1.39,2887.6,360.9,0.116,2.908,0.115,0.231,1.124,2.247,21.9,36.0
18,71900,GPU (NVIDIA GeForce RTX 3080),1.38,2902.6,362.8,0.109,2.733,0.120,0.241,1.120,2.241,21.9,36.0
19,75900,GPU (NVIDIA GeForce RTX 3080),1.41,2832.5,354.1,0.126,3.149,0.123,0.245,1.131,2.263,21.9,36.0
20,79900,GPU (NVIDIA GeForce RTX 3080),0.15,27338.7,0.0,0.117,2.920,0.000,0.000,0.000,0.000,21.9,36.0
21,83900,GPU (NVIDIA GeForce RTX 3080),1.44,2785.5,348.2,0.117,2.926,0.123,0.245,1.125,2.249,21.9,36.0
22,87900,GPU (NVIDIA GeForce RTX 3080),1.40,2847.3,355.9,0.114,2.854,0.124,0.248,1.137,2.273,21.9,36.0
23,91900,GPU (NVIDIA GeForce RTX 3080),1.42,2811.3,351.4,0.126,3.158,0.123,0.246,1.141,2.283,21.9,36.0
24,95900,GPU (NVIDIA GeForce RTX 3080),1.42,2820.6,352.6,0.120,3.010,0.125,0.249,1.143,2.286,21.9,36.0
25,99900,GPU (NVIDIA GeForce RTX 3080),0.17,24037.0,0.0,0.116,2.912,0.000,0.000,0.000,0.000,21.9,36.0
26,103900,GPU (NVIDIA GeForce RTX 3080),1.47,2727.5,340.9,0.123,3.076,0.125,0.249,1.189,2.377,21.9,36.0
27,107900,GPU (NVIDIA GeForce RTX 3080),1.40,2852.3,356.5,0.113,2.831,0.126,0.251,1.134,2.267,21.9,36.0
28,111900,GPU (NVIDIA GeForce RTX 3080),1.41,2845.2,355.7,0.114,2.843,0.125,0.250,1.138,2.277,21.9,36.0
29,115900,GPU (NVIDIA GeForce RTX 3080),1.40,2849.6,356.2,0.117,2.927,0.125,0.250,1.131,2.262,21.9,36.0
30,119900,GPU (NVIDIA GeForce RTX 3080),0.15,26984.5,0.0,0.118,2.956,0.000,0.000,0.000,0.000,21.9,36.0
31,123900,GPU (NVIDIA GeForce RTX 3080),1.44,2769.0,346.1,0.115,2.887,0.125,0.249,1.134,2.269,21.9,36.0
32,127900,GPU (NVIDIA GeForce RTX 3080),1.41,2829.2,353.6,0.120,3.010,0.124,0.249,1.138,2.276,21.9,36.0
33,131900,GPU (NVIDIA GeForce RTX 3080),1.43,2794.1,349.3,0.118,2.946,0.124,0.249,1.159,2.319,21.9,36.0
34,135900,GPU (NVIDIA GeForce RTX 3080),1.38,2889.6,361.2,0.111,2.786,0.127,0.253,1.118,2.235,21.9,36.0
35,139900,GPU (NVIDIA GeForce RTX 3080),0.14,28426.7,0.0,0.113,2.823,0.000,0.000,0.000,0.000,21.9,36.0
36,143900,GPU (NVIDIA GeForce RTX 3080),1.41,2844.3,355.5,0.116,2.901,0.129,0.257,1.133,2.266,21.9,36.0
37,147900,GPU (NVIDIA GeForce RTX 3080),1.42,2823.4,352.9,0.116,2.906,0.130,0.260,1.141,2.282,21.9,36.0
38,151900,GPU (NVIDIA GeForce RTX 3080),1.39,2878.5,359.8,0.112,2.789,0.128,0.255,1.120,2.240,21.9,36.0
39,155900,GPU (NVIDIA GeForce RTX 3080),1.40,2859.8,357.5,0.120,2.992,0.128,0.257,1.121,2.242,21.9,36.0
40,159900,GPU (NVIDIA GeForce RTX 3080),0.14,28503.9,0.0,0.112,2.806,0.000,0.000,0.000,0.000,21.9,36.0
41,163900,GPU (NVIDIA GeForce RTX 3080),1.41,2840.3,355.0,0.119,2.979,0.129,0.257,1.127,2.253,21.9,36.0
42,167900,GPU (NVIDIA GeForce RTX 3080),1.49,2676.8,334.6,0.116,2.890,0.124,0.247,1.226,2.451,21.9,36.0
