epoch,global_step,device,epoch_wall_s,steps_per_sec,updates_per_sec,env_step_total_s,env_step_mean_ms,buffer_sample_total_s,buffer_sample_mean_ms,update_total_s,update_mean_ms,gpu_mem_allocated_mb,gpu_mem_reserved_mb
1,3900,GPU (NVIDIA GeForce RTX 3080),0.18,22298.3,0.0,0.107,2.671,0.000,0.000,0.000,0.000,1.7,2.0
2,7900,GPU (NVIDIA GeForce RTX 3080),0.23,17177.2,0.0,0.121,3.013,0.000,0.000,0.000,0.000,10.8,24.0
3,11900,GPU (NVIDIA GeForce RTX 3080),1.47,2728.6,341.1,0.117,2.918,0.102,0.203,1.222,2.444,21.5,32.0
4,15900,GPU (NVIDIA GeForce RTX 3080),1.33,2996.6,374.6,0.112,2.791,0.106,0.211,1.096,2.192,21.5,32.0
5,19900,GPU (NVIDIA GeForce RTX 3080),0.14,29474.9,0.0,0.115,2.869,0.000,0.000,0.000,0.000,21.5,32.0
6,23900,GPU (NVIDIA GeForce RTX 3080),1.32,3039.6,379.9,0.116,2.906,0.107,0.213,1.071,2.142,21.5,32.0
7,27900,GPU (NVIDIA GeForce RTX 3080),1.59,2521.2,315.2,0.120,2.998,0.147,0.294,1.297,2.594,21.5,32.0
8,31900,GPU (NVIDIA GeForce RTX 3080),1.47,2728.4,341.0,0.116,2.897,0.136,0.271,1.193,2.386,21.5,32.0
9,35900,GPU (NVIDIA GeForce RTX 3080),1.49,2689.2,336.1,0.120,2.991,0.137,0.274,1.209,2.418,21.5,32.0
10,39900,GPU (NVIDIA GeForce RTX 3080),0.14,29388.7,0.0,0.116,2.893,0.000,0.000,0.000,0.000,21.5,32.0
11,43900,GPU (NVIDIA GeForce RTX 3080),1.39,2887.9,361.0,0.119,2.972,0.115,0.229,1.127,2.254,21.5,32.0
12,47900,GPU (NVIDIA GeForce RTX 3080),1.33,2999.5,374.9,0.112,2.804,0.120,0.240,1.081,2.162,21.5,32.0
13,51900,GPU (NVIDIA GeForce RTX 3080),1.34,2975.4,371.9,0.109,2.721,0.122,0.243,1.093,2.186,21.5,32.0
14,55900,GPU (NVIDIA GeForce RTX 3080),1.36,2939.8,367.5,0.107,2.663,0.129,0.258,1.105,2.210,21.5,32.0
15,59900,GPU (NVIDIA GeForce RTX 3080),0.14,29261.2,0.0,0.116,2.899,0.000,0.000,0.000,0.000,21.5,32.0
16,63900,GPU (NVIDIA GeForce RTX 3080),1.35,2965.3,370.7,0.115,2.867,0.123,0.246,1.089,2.178,21.5,32.0
17,67900,GPU (NVIDIA GeForce RTX 3080),1.33,3013.9,376.7,0.110,2.760,0.118,0.236,1.078,2.157,21.5,32.0
18,71900,GPU (NVIDIA GeForce RTX 3080),1.34,2980.5,372.6,0.111,2.766,0.129,0.259,1.081,2.162,21.5,32.0
19,75900,GPU (NVIDIA GeForce RTX 3080),1.46,2735.0,341.9,0.113,2.814,0.149,0.297,1.178,2.356,21.5,32.0
20,79900,GPU (NVIDIA GeForce RTX 3080),0.15,27468.4,0.0,0.120,2.999,0.000,0.000,0.000,0.000,21.5,32.0
21,83900,GPU (NVIDIA GeForce RTX 3080),1.54,2590.3,323.8,0.126,3.148,0.155,0.310,1.231,2.462,21.5,32.0
22,87900,GPU (NVIDIA GeForce RTX 3080),1.42,2818.9,352.4,0.123,3.066,0.137,0.275,1.134,2.269,21.5,32.0
23,91900,GPU (NVIDIA GeForce RTX 3080),1.40,2848.9,356.1,0.114,2.852,0.138,0.275,1.131,2.262,21.5,32.0
24,95900,GPU (NVIDIA GeForce RTX 3080),1.46,2733.8,341.7,0.117,2.932,0.147,0.295,1.173,2.346,21.5,32.0
25,99900,GPU (NVIDIA GeForce RTX 3080),0.15,26053.7,0.0,0.127,3.180,0.000,0.000,0.000,0.000,21.5,32.0
26,103900,GPU (NVIDIA GeForce RTX 3080),1.57,2548.7,318.6,0.121,3.027,0.162,0.324,1.261,2.522,21.5,32.0
27,107900,GPU (NVIDIA GeForce RTX 3080),1.44,2781.8,347.7,0.125,3.136,0.139,0.279,1.148,2.297,21.5,32.0
