epoch,step,loss_q1,loss_q2,loss_pi,q1_val,q2_val,grad_q1,grad_q2,grad_pi,mean_return,mean_length,episodes,buffer_size,elapsed_s
1,3900,,,,,,,,,,,0,4000,0.2
2,7900,,,,,,,,,,,0,8000,0.4
3,11900,0.087734,0.105385,-0.961524,-0.0729,-0.0696,0.6785,0.7001,0.0586,,,0,12000,1.9
4,15900,0.076299,0.079322,-1.027121,0.3317,0.3315,0.7109,0.6488,0.0832,,,0,16000,3.2
5,19900,,,,,,,,,,,0,20000,3.4
6,23900,0.094986,0.097356,-0.780381,0.2642,0.2642,1.0277,0.9753,0.1568,,,0,24000,4.7
7,27900,0.140237,0.141201,-0.922816,0.2982,0.2986,1.2962,1.2669,0.1609,,,0,28000,6.0
8,31900,0.234438,0.228759,-1.068476,0.4589,0.4596,1.7670,1.7014,0.2424,,,0,32000,7.4
9,35900,0.230056,0.225674,-1.158012,0.5841,0.5843,1.8331,1.7371,0.2540,,,0,36000,8.8
10,39900,,,,,,,,,,,0,40000,8.9
11,43900,0.258218,0.253864,-1.085834,0.5536,0.5539,2.0264,2.0376,0.2642,,,0,44000,10.2
12,47900,0.245607,0.243488,-1.018791,0.4728,0.4730,2.0467,1.9501,0.3046,,,0,48000,11.6
13,51900,0.234389,0.234932,-0.934442,0.3938,0.3941,2.1670,2.1328,0.3088,,,0,52000,12.9
14,55900,0.228246,0.230012,-0.874209,0.3056,0.3060,2.0698,2.0217,0.3326,,,0,56000,14.1
15,59900,,,,,,,,,,,0,60000,14.3
16,63900,0.294497,0.295418,-0.883040,0.2837,0.2842,2.4135,2.4118,0.3378,,,0,64000,15.6
17,67900,0.318494,0.316974,-0.941447,0.3289,0.3294,2.6588,2.7657,0.3359,,,0,68000,16.9
18,71900,0.349245,0.345336,-0.957655,0.3685,0.3688,2.9964,3.1178,0.3340,,,0,72000,18.2
19,75900,0.349135,0.346854,-0.929066,0.3586,0.3589,3.0042,3.1102,0.3251,,,0,76000,19.6
20,79900,,,,,,,,,,,0,80000,19.7
21,83900,0.366400,0.364832,-0.883421,0.3219,0.3221,3.2533,3.4043,0.3440,,,0,84000,21.0
22,87900,0.390580,0.391927,-0.783753,0.2475,0.2474,3.4571,3.7500,0.3586,,,0,88000,22.3
23,91900,0.419581,0.420308,-0.705434,0.1734,0.1735,3.7603,4.1047,0.3953,,,0,92000,23.7
24,95900,0.442050,0.444516,-0.655769,0.1257,0.1256,3.9385,4.3714,0.3841,,,0,96000,25.0
25,99900,,,,,,,,,-210.11,1000.0,100,100000,25.2
26,103900,0.527373,0.533091,-0.673303,0.1361,0.1360,4.3103,4.8331,0.4186,,,0,104000,26.6
27,107900,0.638002,0.645023,-0.793746,0.2684,0.2686,5.0387,5.3680,0.4774,,,0,108000,28.0
28,111900,0.685218,0.696355,-0.778560,0.2462,0.2466,5.1118,5.4013,0.4987,,,0,112000,29.4
29,115900,0.697528,0.710867,-0.782320,0.2516,0.2515,5.1870,5.5561,0.4825,,,0,116000,30.8
30,119900,,,,,,,,,,,0,120000,30.9
31,123900,0.705616,0.717468,-0.806972,0.2795,0.2799,5.2251,5.5840,0.4685,,,0,124000,32.2
32,127900,0.715673,0.730735,-0.825369,0.2961,0.2959,5.5230,6.0576,0.4839,,,0,128000,33.5
33,131900,0.720044,0.731307,-0.869483,0.3421,0.3423,5.5356,5.8919,0.5325,,,0,132000,34.8
34,135900,0.732209,0.743967,-0.939026,0.4101,0.4105,5.8587,5.9940,0.5321,,,0,136000,36.2
35,139900,,,,,,,,,,,0,140000,36.3
36,143900,0.756235,0.769918,-1.034222,0.4945,0.4950,6.0338,6.3023,0.5316,,,0,144000,37.6
37,147900,0.775165,0.786332,-1.092084,0.5709,0.5712,6.2052,6.5295,0.5691,,,0,148000,38.9
38,151900,0.800888,0.812960,-1.171851,0.6508,0.6513,6.3651,6.7857,0.5524,,,0,152000,40.2
39,155900,0.824956,0.835440,-1.287410,0.7506,0.7510,6.6560,7.0689,0.6003,,,0,156000,41.5
40,159900,,,,,,,,,,,0,160000,41.7
41,163900,0.828924,0.839360,-1.390016,0.8568,0.8573,6.7606,7.2773,0.6303,,,0,164000,43.0
42,167900,0.846682,0.854900,-1.546692,1.0063,1.0067,6.9916,7.5254,0.6306,,,0,168000,44.3
43,171900,0.839946,0.846712,-1.722158,1.1701,1.1703,6.8795,7.3103,0.6686,,,0,172000,45.6
44,175900,0.850058,0.857217,-1.889686,1.3386,1.3388,7.2237,7.6038,0.6771,,,0,176000,46.9
45,179900,,,,,,,,,,,0,180000,47.0
46,183900,0.861991,0.870997,-2.115635,1.5542,1.5547,7.3530,8.2227,0.7221,,,0,184000,48.3
47,187900,0.873607,0.881803,-2.397098,1.8139,1.8139,7.6450,8.1537,0.7045,,,0,188000,49.7
48,191900,0.881979,0.888308,-2.681138,2.0863,2.0866,7.7152,8.2434,0.8390,,,0,192000,51.0
49,195900,0.888991,0.895609,-2.977685,2.3840,2.3841,7.8191,8.5586,0.7589,,,0,196000,52.3
50,199900,,,,,,,,,,,0,200000,52.4
51,203900,0.930337,0.937296,-3.294741,2.6884,2.6886,8.2629,8.7862,0.8762,248.32,1001.0,100,204000,53.8
52,207900,1.108921,1.120127,-3.969039,3.3443,3.3444,9.4795,9.7614,0.8566,,,0,208000,55.1
53,211900,1.174557,1.191806,-4.614882,3.9815,3.9810,10.3706,10.5520,0.8264,,,0,212000,56.5
54,215900,1.165888,1.192078,-5.089596,4.4232,4.4233,10.2944,10.8273,0.8856,,,0,216000,57.8
55,219900,,,,,,,,,,,0,220000,57.9
56,223900,1.147208,1.167003,-5.412176,4.7666,4.7668,10.2764,10.3005,0.8572,,,0,224000,59.2
57,227900,1.153513,1.169537,-5.695648,5.0580,5.0580,10.2114,10.0627,0.8161,,,0,228000,60.5
58,231900,1.134932,1.160621,-6.025698,5.3821,5.3818,9.7538,9.7772,0.8403,,,0,232000,61.8
59,235900,1.151606,1.179492,-6.396652,5.7457,5.7452,10.7578,10.8647,0.8481,,,0,236000,63.1
60,239900,,,,,,,,,,,0,240000,63.3
61,243900,1.166129,1.189844,-6.763424,6.1232,6.1228,10.0910,10.2329,0.8059,,,0,244000,64.6
62,247900,1.167175,1.184894,-7.194863,6.5318,6.5314,10.9162,10.7139,0.7909,,,0,248000,65.9
63,251900,1.183978,1.201357,-7.616498,6.9595,6.9592,11.3771,11.1950,0.8610,,,0,252000,67.2
64,255900,1.179277,1.200975,-8.084199,7.4068,7.4067,11.4554,11.4109,0.8506,,,0,256000,68.6
65,259900,,,,,,,,,,,0,260000,68.8
66,263900,1.200147,1.222998,-8.541884,7.8400,7.8396,11.9716,12.1343,0.8798,,,0,264000,70.1
67,267900,1.219444,1.242285,-9.034833,8.3374,8.3371,12.1527,11.7265,0.8162,,,0,268000,71.4
68,271900,1.222602,1.246200,-9.536994,8.8414,8.8410,12.1553,12.0625,0.8791,,,0,272000,72.8
69,275900,1.232441,1.258516,-10.081141,9.3531,9.3529,12.5363,12.0337,0.9554,,,0,276000,74.1
70,279900,,,,,,,,,,,0,280000,74.2
71,283900,1.257226,1.280216,-10.688404,9.9238,9.9237,13.0793,13.0407,0.9270,,,0,284000,75.6
72,287900,1.280802,1.311051,-11.224153,10.4559,10.4560,13.4909,13.6206,0.9135,,,0,288000,76.9
73,291900,1.301813,1.330894,-11.830319,11.0512,11.0511,13.6660,13.3509,0.9495,,,0,292000,78.3
74,295900,1.317907,1.349922,-12.427175,11.6357,11.6356,14.6632,14.4932,0.9080,,,0,296000,79.6
75,299900,,,,,,,,,,,0,300000,79.8
76,303900,1.318598,1.342617,-13.069948,12.2674,12.2671,13.9375,13.6811,0.8691,611.12,1001.0,100,304000,81.1
77,307900,1.570375,1.593139,-13.925916,13.1302,13.1304,16.7514,15.9156,0.9332,,,0,308000,82.5
78,311900,1.694836,1.728342,-14.918996,14.1184,14.1181,17.7362,17.0216,0.9417,,,0,312000,83.8
79,315900,1.839707,1.876221,-15.861498,15.0289,15.0289,19.0992,18.2893,0.9290,,,0,316000,85.1
80,319900,,,,,,,,,,,0,320000,85.3
81,323900,1.921165,1.962479,-16.718226,15.8855,15.8855,20.4900,19.1507,0.9322,,,0,324000,86.6
82,327900,1.948596,1.994529,-17.508885,16.6678,16.6678,21.3581,20.0171,0.9339,,,0,328000,88.0
83,331900,2.030278,2.073603,-18.247260,17.3966,17.3966,20.9871,19.3157,0.9654,,,0,332000,89.3
84,335900,2.045644,2.089004,-18.845078,18.0239,18.0240,22.0273,20.2645,0.9752,,,0,336000,90.7
85,339900,,,,,,,,,,,0,340000,90.9
86,343900,2.090186,2.136191,-19.519247,18.6953,18.6957,22.9558,20.7366,1.0596,,,0,344000,92.2
87,347900,2.067647,2.114134,-20.152950,19.3063,19.3066,22.9700,21.3484,0.9189,,,0,348000,93.5
88,351900,2.109908,2.149611,-20.806913,19.9488,19.9490,22.7410,21.1048,0.9682,,,0,352000,94.9
89,355900,2.119112,2.153508,-21.459094,20.6021,20.6022,24.1215,22.0409,1.0001,,,0,356000,96.2
90,359900,,,,,,,,,,,0,360000,96.4
91,363900,2.132011,2.173271,-22.129236,21.2497,21.2502,24.4860,22.3841,1.0002,,,0,364000,97.8
92,367900,2.177851,2.213152,-22.741776,21.8784,21.8788,25.5823,23.1585,1.0209,,,0,368000,99.1
93,371900,2.224137,2.263339,-23.384327,22.4982,22.4983,25.3694,23.4065,1.0148,,,0,372000,100.5
94,375900,2.357737,2.403695,-24.045432,23.1677,23.1675,27.6945,25.7294,1.0712,,,0,376000,101.9
95,379900,,,,,,,,,,,0,380000,102.1
96,383900,2.400381,2.441432,-24.729492,23.8044,23.8049,29.0939,26.4713,1.0321,,,0,384000,103.4
97,387900,2.381866,2.407460,-25.341005,24.4447,24.4446,28.0310,25.5108,1.0946,,,0,388000,104.8
98,391900,2.450072,2.477746,-25.995033,25.0769,25.0770,29.0748,26.1719,1.0296,,,0,392000,106.1
99,395900,2.461757,2.484628,-26.579092,25.6731,25.6733,29.7756,27.0814,1.0148,,,0,396000,107.4
100,399900,,,,,,,,,,,0,400000,107.5
101,403900,2.455665,2.494132,-27.165493,26.2505,26.2502,29.0531,26.8191,1.0263,963.98,1001.0,100,404000,108.9
102,407900,2.882349,2.891050,-28.081238,27.1457,27.1465,32.6772,29.9791,1.0095,,,0,408000,110.3
103,411900,3.066388,3.078687,-28.888991,27.9532,27.9528,34.2927,31.0425,1.0481,,,0,412000,111.7
104,415900,3.063487,3.071079,-29.626776,28.7028,28.7030,36.6735,33.5434,1.0642,,,0,416000,113.0
105,419900,,,,,,,,,,,0,420000,113.2
106,423900,3.196675,3.208470,-30.232247,29.3479,29.3482,38.1784,34.4279,1.0951,,,0,424000,114.5
107,427900,3.226817,3.233541,-30.856807,29.9477,29.9479,38.3641,34.3593,1.0246,,,0,428000,115.8
