epoch,step,loss_q1,loss_q2,loss_pi,q1_val,q2_val,grad_q1,grad_q2,grad_pi_rob,grad_pi_adv,mean_return,mean_length,episodes,dist_episodes,buffer_size,elapsed_s
1,3900,,,,,,,,,,,,0,0,4000,0.2
2,7900,,,,,,,,,,,,0,0,8000,0.4
3,11900,0.085981,0.072929,-0.701280,-0.0927,-0.0933,0.5075,0.5214,0.0517,0.0031,,,0,0,12000,2.0
4,15900,0.045073,0.043284,-0.728526,0.1284,0.1286,0.5338,0.5227,0.0716,0.0018,,,0,0,16000,3.4
5,19900,,,,,,,,,,,,0,0,20000,3.5
6,23900,0.073899,0.074336,-0.844673,0.3449,0.3448,0.7876,0.8309,0.0839,0.0017,,,0,0,24000,5.0
7,27900,0.081096,0.080581,-0.632512,0.2528,0.2525,0.8779,0.8868,0.1751,0.0115,,,0,0,28000,6.4
8,31900,0.102563,0.101792,-0.775818,0.2754,0.2751,1.1472,1.1266,0.1594,0.0097,,,0,0,32000,7.9
9,35900,0.123225,0.126274,-0.876959,0.3176,0.3172,1.3323,1.3323,0.2419,0.0155,,,0,0,36000,9.3
10,39900,,,,,,,,,,,,0,0,40000,9.5
11,43900,0.451190,0.461096,-1.152439,0.3720,0.3728,2.6932,2.5807,0.2902,0.0175,,,0,0,44000,10.9
12,47900,0.339456,0.344076,-1.119128,0.4506,0.4512,2.2715,2.1264,0.2183,0.0201,,,0,0,48000,12.4
13,51900,0.253804,0.257240,-1.008215,0.3994,0.3996,2.0595,1.8796,0.2815,0.0215,,,0,0,52000,13.8
14,55900,0.269893,0.279751,-0.905140,0.2871,0.2873,2.1017,1.9175,0.3188,0.0230,,,0,0,56000,15.3
15,59900,,,,,,,,,,,,0,0,60000,15.4
16,63900,0.254212,0.265023,-0.832281,0.1852,0.1852,2.2721,2.0471,0.3348,0.0237,,,0,0,64000,16.9
17,67900,0.223823,0.231509,-0.790458,0.0826,0.0826,2.1261,1.8859,0.3780,0.0231,,,0,0,68000,18.3
18,71900,0.253009,0.259212,-0.607598,-0.0077,-0.0082,2.3317,2.0809,0.3750,0.0240,,,0,0,72000,19.8
19,75900,0.255604,0.262545,-0.281658,-0.2301,-0.2300,2.5015,2.2165,0.3750,0.0230,,,0,0,76000,21.2
20,79900,,,,,,,,,,,,0,0,80000,21.4
21,83900,0.238571,0.241973,0.017999,-0.4697,-0.4697,2.5484,2.1867,0.4079,0.0222,,,0,0,84000,22.9
22,87900,0.231443,0.234354,0.290970,-0.7242,-0.7239,2.3866,2.1273,0.4467,0.0247,,,0,0,88000,24.4
23,91900,0.236812,0.237148,0.549073,-0.9912,-0.9913,2.6984,2.3890,0.4658,0.0248,,,0,0,92000,25.8
24,95900,0.233171,0.234126,0.808748,-1.2505,-1.2503,2.7026,2.3348,0.5088,0.0286,,,0,0,96000,27.3
25,99900,,,,,,,,,,-317.92,1000.0,100,56,100000,27.5
26,103900,0.349111,0.349665,0.936646,-1.4441,-1.4439,3.0918,2.6362,0.5118,0.0295,,,0,0,104000,29.0
27,107900,0.420218,0.423556,0.769660,-1.2771,-1.2767,3.3019,2.9060,0.6112,0.0307,,,0,0,108000,30.5
28,111900,0.412687,0.412608,0.677033,-1.1949,-1.1949,3.3970,3.0025,0.5808,0.0306,,,0,0,112000,32.0
29,115900,0.394393,0.394326,0.555029,-1.0893,-1.0892,3.3964,3.0162,0.6078,0.0342,,,0,0,116000,33.5
30,119900,,,,,,,,,,,,0,0,120000,33.6
31,123900,0.402760,0.401006,0.480481,-0.9890,-0.9889,3.4968,3.1625,0.6832,0.0367,,,0,0,124000,35.1
32,127900,0.395980,0.392907,0.400751,-0.9039,-0.9038,3.5825,3.0760,0.7027,0.0381,,,0,0,128000,36.6
33,131900,0.401761,0.400948,0.285639,-0.7922,-0.7922,3.4390,3.1149,0.6866,0.0397,,,0,0,132000,38.1
34,135900,0.423529,0.421746,0.142534,-0.6456,-0.6456,3.8134,3.4728,0.6670,0.0429,,,0,0,136000,39.6
35,139900,,,,,,,,,,,,0,0,140000,39.7
36,143900,0.469643,0.470297,-0.070395,-0.4545,-0.4546,4.2831,3.9422,0.7382,0.0465,,,0,0,144000,41.2
37,147900,0.497910,0.497644,-0.325618,-0.2152,-0.2153,4.7317,4.2092,0.7473,0.0509,,,0,0,148000,42.7
38,151900,0.530759,0.528945,-0.592295,0.0539,0.0536,5.2724,4.5640,0.7556,0.0541,,,0,0,152000,44.1
39,155900,0.570364,0.569404,-0.961975,0.3872,0.3871,5.4376,4.8626,0.7474,0.0556,,,0,0,156000,45.6
40,159900,,,,,,,,,,,,0,0,160000,45.7
41,163900,0.592685,0.587937,-1.378672,0.7707,0.7706,6.1335,5.2845,0.7838,0.0569,,,0,0,164000,47.2
42,167900,0.637935,0.632278,-1.832766,1.2051,1.2049,6.4468,5.7288,0.7811,0.0592,,,0,0,168000,48.7
43,171900,0.651728,0.644724,-2.337472,1.6917,1.6914,6.9632,6.0553,0.7382,0.0596,,,0,0,172000,50.2
44,175900,0.664773,0.656307,-2.899614,2.2235,2.2230,7.0203,6.3011,0.7903,0.0585,,,0,0,176000,51.7
45,179900,,,,,,,,,,,,0,0,180000,51.8
46,183900,0.677568,0.667134,-3.461780,2.7506,2.7503,6.9963,6.2010,0.8280,0.0627,,,0,0,184000,53.3
47,187900,0.708372,0.691936,-4.034864,3.3139,3.3133,7.5859,6.5830,0.7942,0.0641,,,0,0,188000,54.8
48,191900,0.718582,0.699532,-4.619689,3.8973,3.8970,8.6188,7.4261,0.8237,0.0691,,,0,0,192000,56.2
49,195900,0.735401,0.717754,-5.216549,4.4918,4.4916,8.1845,7.3752,0.8934,0.0728,,,0,0,196000,57.7
50,199900,,,,,,,,,,,,0,0,200000,57.8
51,203900,0.784124,0.761398,-5.800602,5.0803,5.0798,9.2142,7.9258,0.8408,0.0743,437.70,1001.0,100,45,204000,59.4
52,207900,0.975109,0.949727,-6.853658,6.1337,6.1337,11.3520,10.2391,0.8930,0.0787,,,0,0,208000,60.9
53,211900,1.151372,1.115491,-7.805802,7.0887,7.0884,13.7638,12.4291,0.8800,0.0805,,,0,0,212000,62.3
54,215900,1.213703,1.171306,-8.494187,7.7926,7.7927,14.4139,13.0697,0.9949,0.0810,,,0,0,216000,63.8
55,219900,,,,,,,,,,,,0,0,220000,63.9
56,223900,1.256319,1.210893,-9.135019,8.4535,8.4537,14.7462,13.3515,0.9712,0.0846,,,0,0,224000,65.4
57,227900,1.265692,1.218823,-9.839336,9.1572,9.1570,15.0811,13.5210,1.0364,0.0900,,,0,0,228000,66.8
58,231900,1.330081,1.284713,-10.531835,9.8606,9.8608,16.2191,14.7286,1.0277,0.0935,,,0,0,232000,68.3
59,235900,1.357079,1.301683,-11.228758,10.5423,10.5422,16.3973,14.8118,1.0433,0.0986,,,0,0,236000,69.7
60,239900,,,,,,,,,,,,0,0,240000,69.9
61,243900,1.407219,1.350955,-11.950644,11.2626,11.2622,17.4769,16.0700,1.1762,0.1054,,,0,0,244000,71.4
62,247900,1.444715,1.385426,-12.654337,11.9724,11.9726,17.4252,16.1056,1.0899,0.1031,,,0,0,248000,72.9
63,251900,1.472359,1.414183,-13.362561,12.6855,12.6853,18.4009,16.7263,1.1846,0.1078,,,0,0,252000,74.4
64,255900,1.510362,1.456372,-14.133327,13.4035,13.4039,18.5053,17.3370,1.1130,0.1096,,,0,0,256000,75.9
65,259900,,,,,,,,,,,,0,0,260000,76.0
66,263900,1.576077,1.506783,-14.806793,14.1226,14.1228,19.5756,17.9234,1.2200,0.1126,,,0,0,264000,77.5
67,267900,1.617753,1.549159,-15.626379,14.8791,14.8794,19.3761,17.8761,1.1653,0.1151,,,0,0,268000,79.0
68,271900,1.653531,1.589276,-16.349970,15.6447,15.6452,20.9068,19.5175,1.2520,0.1200,,,0,0,272000,80.5
69,275900,1.761873,1.677472,-17.126402,16.3944,16.3948,21.6256,19.8500,1.3004,0.1199,,,0,0,276000,82.0
70,279900,,,,,,,,,,,,0,0,280000,82.1
