epoch,global_step,device,epoch_wall_s,steps_per_sec,updates_per_sec,env_step_total_s,env_step_mean_ms,buffer_sample_total_s,buffer_sample_mean_ms,update_total_s,update_mean_ms,gpu_mem_allocated_mb,gpu_mem_reserved_mb
1,3900,GPU (NVIDIA GeForce RTX 3080),0.20,19847.2,0.0,0.103,2.583,0.000,0.000,0.000,0.000,2.5,4.0
2,7900,GPU (NVIDIA GeForce RTX 3080),0.23,17636.8,0.0,0.110,2.747,0.000,0.000,0.000,0.000,11.6,24.0
3,11900,GPU (NVIDIA GeForce RTX 3080),1.62,2470.2,308.8,0.117,2.919,0.098,0.196,1.374,2.747,23.3,36.0
4,15900,GPU (NVIDIA GeForce RTX 3080),1.55,2587.5,323.4,0.113,2.814,0.101,0.203,1.303,2.606,23.3,36.0
5,19900,GPU (NVIDIA GeForce RTX 3080),0.14,27705.5,0.0,0.116,2.899,0.000,0.000,0.000,0.000,23.3,36.0
6,23900,GPU (NVIDIA GeForce RTX 3080),1.58,2534.0,316.7,0.119,2.983,0.121,0.242,1.307,2.613,23.3,36.0
7,27900,GPU (NVIDIA GeForce RTX 3080),1.60,2507.4,313.4,0.125,3.121,0.124,0.249,1.314,2.628,23.3,36.0
8,31900,GPU (NVIDIA GeForce RTX 3080),1.56,2563.3,320.4,0.118,2.959,0.116,0.232,1.296,2.591,23.3,36.0
9,35900,GPU (NVIDIA GeForce RTX 3080),1.72,2327.5,290.9,0.123,3.068,0.150,0.300,1.414,2.828,23.3,36.0
10,39900,GPU (NVIDIA GeForce RTX 3080),0.15,26161.7,0.0,0.121,3.015,0.000,0.000,0.000,0.000,23.3,36.0
11,43900,GPU (NVIDIA GeForce RTX 3080),1.69,2363.3,295.4,0.123,3.063,0.146,0.292,1.389,2.778,23.3,36.0
12,47900,GPU (NVIDIA GeForce RTX 3080),1.86,2153.5,269.2,0.122,3.049,0.158,0.316,1.536,3.073,23.3,36.0
13,51900,GPU (NVIDIA GeForce RTX 3080),1.72,2326.1,290.8,0.122,3.049,0.146,0.293,1.419,2.838,23.3,36.0
14,55900,GPU (NVIDIA GeForce RTX 3080),1.69,2369.8,296.2,0.117,2.936,0.143,0.286,1.397,2.794,23.3,36.0
15,59900,GPU (NVIDIA GeForce RTX 3080),0.15,27204.3,0.0,0.118,2.943,0.000,0.000,0.000,0.000,23.3,36.0
16,63900,GPU (NVIDIA GeForce RTX 3080),1.54,2597.0,324.6,0.122,3.045,0.126,0.252,1.262,2.524,23.3,36.0
17,67900,GPU (NVIDIA GeForce RTX 3080),1.54,2591.3,323.9,0.117,2.925,0.126,0.253,1.270,2.540,23.3,36.0
18,71900,GPU (NVIDIA GeForce RTX 3080),1.52,2623.5,327.9,0.121,3.033,0.129,0.258,1.241,2.482,23.3,36.0
19,75900,GPU (NVIDIA GeForce RTX 3080),1.53,2607.2,325.9,0.119,2.967,0.130,0.260,1.255,2.509,23.3,36.0
20,79900,GPU (NVIDIA GeForce RTX 3080),0.16,25748.8,0.0,0.125,3.113,0.000,0.000,0.000,0.000,23.3,36.0
21,83900,GPU (NVIDIA GeForce RTX 3080),1.55,2579.4,322.4,0.113,2.817,0.127,0.255,1.279,2.559,23.3,36.0
22,87900,GPU (NVIDIA GeForce RTX 3080),1.62,2469.1,308.6,0.117,2.923,0.131,0.263,1.337,2.673,23.3,36.0
23,91900,GPU (NVIDIA GeForce RTX 3080),1.57,2542.4,317.8,0.122,3.041,0.131,0.262,1.290,2.579,23.3,36.0
24,95900,GPU (NVIDIA GeForce RTX 3080),1.57,2551.2,318.9,0.127,3.185,0.135,0.270,1.273,2.546,23.3,36.0
25,99900,GPU (NVIDIA GeForce RTX 3080),0.17,23396.8,0.0,0.118,2.962,0.000,0.000,0.000,0.000,23.3,36.0
26,103900,GPU (NVIDIA GeForce RTX 3080),1.55,2583.8,323.0,0.117,2.931,0.134,0.267,1.267,2.534,23.3,36.0
27,107900,GPU (NVIDIA GeForce RTX 3080),1.58,2530.0,316.2,0.118,2.960,0.135,0.270,1.298,2.596,23.3,36.0
28,111900,GPU (NVIDIA GeForce RTX 3080),1.56,2562.7,320.3,0.121,3.030,0.132,0.265,1.276,2.553,23.3,36.0
29,115900,GPU (NVIDIA GeForce RTX 3080),1.54,2597.8,324.7,0.118,2.944,0.131,0.263,1.261,2.521,23.3,36.0
30,119900,GPU (NVIDIA GeForce RTX 3080),0.15,27568.6,0.0,0.116,2.895,0.000,0.000,0.000,0.000,23.3,36.0
31,123900,GPU (NVIDIA GeForce RTX 3080),1.53,2616.1,327.0,0.119,2.976,0.132,0.264,1.246,2.491,23.3,36.0
32,127900,GPU (NVIDIA GeForce RTX 3080),1.52,2625.8,328.2,0.117,2.936,0.130,0.260,1.246,2.493,23.3,36.0
33,131900,GPU (NVIDIA GeForce RTX 3080),1.62,2471.2,308.9,0.117,2.913,0.134,0.268,1.338,2.675,23.3,36.0
34,135900,GPU (NVIDIA GeForce RTX 3080),1.56,2567.3,320.9,0.116,2.904,0.137,0.275,1.275,2.550,23.3,36.0
35,139900,GPU (NVIDIA GeForce RTX 3080),0.14,27693.9,0.0,0.116,2.909,0.000,0.000,0.000,0.000,23.3,36.0
36,143900,GPU (NVIDIA GeForce RTX 3080),1.58,2537.6,317.2,0.116,2.898,0.138,0.276,1.292,2.585,23.3,36.0
37,147900,GPU (NVIDIA GeForce RTX 3080),1.59,2519.9,315.0,0.114,2.856,0.145,0.290,1.298,2.597,23.3,36.0
38,151900,GPU (NVIDIA GeForce RTX 3080),1.59,2510.6,313.8,0.116,2.901,0.140,0.280,1.307,2.615,23.3,36.0
39,155900,GPU (NVIDIA GeForce RTX 3080),1.54,2593.1,324.1,0.120,3.002,0.142,0.284,1.249,2.499,23.3,36.0
40,159900,GPU (NVIDIA GeForce RTX 3080),0.16,25029.5,0.0,0.128,3.204,0.000,0.000,0.000,0.000,23.3,36.0
41,163900,GPU (NVIDIA GeForce RTX 3080),1.64,2439.4,304.9,0.122,3.042,0.141,0.283,1.289,2.578,23.3,36.0
42,167900,GPU (NVIDIA GeForce RTX 3080),1.63,2449.3,306.2,0.119,2.978,0.143,0.286,1.340,2.681,23.3,36.0
