step,episode_return,has_disturbance
99900,-293.82041438124463,0
99900,-289.62786960771405,0
99900,-312.46277731562657,0
99900,-321.8263914990456,0
99900,-313.6908933660194,0
99900,-371.2395071827177,1
99900,-316.49729392675204,0
99900,-311.09157116688505,1
99900,-275.98492494011214,1
99900,-317.04391803156614,1
99900,-317.15520507336186,0
99900,-309.5869020048675,1
99900,-304.1385684732547,0
99900,-327.82334418375035,0
99900,-348.5484419376808,1
99900,-339.8016535071932,0
99900,-310.2630880562255,1
99900,-290.47275631214484,1
99900,-346.0206609807804,1
99900,-310.085670222103,0
99900,-280.52758846009147,1
99900,-314.5246169856026,0
99900,-295.0496762370644,0
99900,-275.19507296112505,0
99900,-290.41157177181066,1
99900,-305.08942894057947,1
99900,-311.73036840505546,0
99900,-323.35066885963346,1
99900,-301.14489370825964,0
99900,-320.98560460814826,1
99900,-318.83912395735365,0
99900,-339.6781360037231,0
99900,-298.50394676255144,0
99900,-301.2468180630702,1
99900,-299.06829291340955,1
99900,-275.5321946137437,0
99900,-308.5016182375936,0
99900,-302.8279547994504,0
99900,-319.34084754887573,1
99900,-297.55419594630916,0
99900,-317.19119911766524,1
99900,-305.58667621942453,0
99900,-267.6885882250983,0
99900,-289.99210104629594,1
99900,-302.5073893279142,1
99900,-290.8654059712842,0
99900,-295.3189540998724,0
99900,-302.2156450216253,1
99900,-289.4115936192059,0
99900,-291.39734373574794,0
99900,-286.81049347890485,0
99900,-283.21157890224174,1
99900,-320.66794188639386,0
99900,-315.2655954653903,1
99900,-283.1620754066989,1
99900,-332.2130977914431,1
99900,-288.673833643243,0
99900,-287.5997134440689,1
99900,-324.74600920187817,0
99900,-322.4031026474879,1
99900,-307.2344556565414,0
99900,-278.3306599936064,1
99900,-287.7002464742325,1
99900,-332.8231510707625,0
99900,-324.9194223280045,0
99900,-299.2718356624822,0
99900,-296.4215515181571,0
99900,-323.3680384943018,1
99900,-296.46179532756184,0
99900,-319.3347411706777,1
99900,-303.7738068355043,0
99900,-314.37512651053987,0
99900,-314.2317103235372,0
99900,-274.92266176275865,0
99900,-344.61957777374954,1
99900,-336.8499894361262,0
99900,-303.52913877104226,1
99900,-282.1356011757262,0
99900,-292.115671929303,1
99900,-298.1962213828748,0
99900,-295.8393657577354,1
99900,-310.3969921320471,1
99900,-305.9880226988981,0
99900,-332.3196443031907,0
99900,-328.63261621736393,0
99900,-292.77037748348374,0
99900,-336.822657392318,1
99900,-293.989001645252,0
99900,-338.22275306660424,0
99900,-336.86309406850984,0
99900,-307.7258859190222,0
99900,-305.38670234645434,1
99900,-321.2355100487301,1
99900,-330.2592781584152,0
99900,-308.2203491559929,1
99900,-330.9350888549663,1
99900,-313.0717509222799,1
99900,-312.393704111173,1
99900,-320.6812622781962,0
99900,-330.54276907867325,1
200000,550.09228280302,1
200000,443.5908629036003,1
200000,495.38352671842887,0
200000,425.4943613627961,1
200000,212.2526399902296,1
200000,681.1014023115383,0
200000,497.32908334628246,1
200000,542.1767185422804,0
200000,488.7501369289012,1
200000,470.90923497403674,1
200000,534.6369520532967,0
200000,436.9660494247556,0
200000,443.89212805812434,0
200000,481.1579152627405,0
200000,531.5172678193003,0
200000,526.7780864157,0
200000,588.9642536322664,0
200000,542.0624885926474,1
200000,431.08947966538665,1
200000,490.2817371008049,0
200000,460.92175401919843,1
200000,476.16706741020255,1
200000,113.05599617690342,1
200000,237.9363945677507,0
200000,464.7876293140444,0
200000,550.7816186725668,0
200000,515.6039068573516,0
200000,407.0926579608639,0
200000,509.0458166027121,1
200000,399.36253245240437,0
200000,529.0412957253095,0
200000,496.7015691428032,0
200000,383.7475969676543,1
200000,536.5608377359848,1
200000,540.8084359673263,1
200000,505.96877621101584,0
200000,535.8584191899006,1
200000,485.784344031787,1
200000,459.56928006163935,1
200000,419.21651196337905,0
200000,428.84287826944956,1
200000,465.19309157328166,0
200000,503.0196172276668,0
200000,459.8372977204895,0
200000,457.87784215435215,1
200000,545.1176432478104,1
200000,559.9912706095147,0
200000,439.9592489707328,0
200000,544.021515354618,1
200000,548.7395554123508,0
200000,623.4395110762765,1
200000,456.24514812885866,0
200000,519.9966956380798,0
200000,445.37175569068313,1
200000,533.936185974329,0
200000,495.4335653015814,1
200000,467.7123680966856,0
200000,475.5733337784467,1
200000,603.3234889974758,1
200000,465.14483853312146,0
200000,458.1310419618875,1
200000,435.5260513967075,1
200000,392.27469478455305,0
200000,563.9168773405522,1
200000,595.216967972257,1
200000,526.0433687746205,1
200000,493.941559350936,0
200000,497.87141678595873,0
200000,445.6505964492527,1
200000,497.49519939634735,1
200000,519.6625202804684,1
200000,494.69790795186657,1
200000,467.22649952116325,0
200000,445.89278651550114,1
200000,437.6445551738795,1
200000,445.09900674909795,0
200000,553.5048489585765,0
200000,515.1413852231557,0
200000,558.9651974697051,0
200000,571.002387301583,0
200000,481.25467432828805,1
200000,396.20080778157603,1
200000,450.2448858258266,1
200000,561.0043329325671,0
200000,478.7544653826578,0
200000,365.5459398968967,0
200000,408.3672909239966,0
200000,514.7875108216919,1
200000,512.0600504341805,0
200000,498.5441197034934,0
200000,442.4980817132738,0
200000,432.895490816408,0
200000,499.88712929783725,1
200000,491.282211379448,1
200000,672.3786641499348,0
200000,545.6913586197948,1
200000,493.49466888111965,1
200000,475.9418985531796,0
200000,402.5491432410397,1
200000,546.7933179569709,0
300100,836.2044441195432,1
300100,1500.7941942444445,1
300100,948.0097631749172,0
300100,943.6843769995123,1
300100,1009.1174794725755,0
300100,902.8099153002229,1
300100,1136.7067997391011,0
300100,913.3662013720048,1
300100,1099.486604019223,0
300100,1040.829118177961,0
300100,939.2541094712398,0
300100,1891.9976368872688,1
300100,1022.4400502541005,1
300100,2727.9653573828778,0
300100,1142.049889334718,0
300100,879.442203683187,1
300100,862.4196007599701,1
300100,1026.1455568568197,1
300100,947.9347990999529,1
300100,1154.5065488371938,0
300100,868.9759259497279,1
300100,1059.0349767671835,0
300100,1071.7095067468044,0
300100,1254.160108592976,0
