epoch,step,loss_q1,loss_q2,loss_pi,q1_val,q2_val,grad_q1,grad_q2,grad_pi_rob,grad_pi_adv,mean_return,mean_length,episodes,dist_episodes,buffer_size,elapsed_s,det_loss,det_dist_loss,det_alpha_loss
1,3900,,,,,,,,,,,,0,0,4000,0.2,,,
2,7900,,,,,,,,,,,,0,0,8000,0.4,,,
3,11900,0.074780,0.066968,-0.887295,-0.0059,-0.0048,0.5420,0.4977,0.1027,0.0092,,,0,0,12000,2.1,,,
4,15900,0.070149,0.066168,-0.910760,0.3635,0.3633,0.7001,0.6862,0.1055,0.0002,,,0,0,16000,3.6,,,
5,19900,,,,,,,,,,,,0,0,20000,3.8,,,
6,23900,0.090325,0.085772,-0.637484,0.2574,0.2573,0.8820,0.8626,0.1184,0.0152,,,0,0,24000,5.4,,,
7,27900,0.113823,0.107970,-0.306672,-0.0694,-0.0693,1.2003,1.2157,0.1646,0.0119,,,0,0,28000,7.0,,,
8,31900,0.237852,0.230633,-1.047052,0.0591,0.0593,1.7550,1.8224,0.2020,0.0154,,,0,0,32000,8.5,,,
9,35900,0.323992,0.320822,-2.001559,0.8148,0.8145,2.0660,2.1843,0.2416,0.0133,,,0,0,36000,10.1,,,
10,39900,,,,,,,,,,,,0,0,40000,10.2,,,
11,43900,0.236106,0.227582,-2.239939,1.4824,1.4825,1.8439,1.9046,0.3072,0.0135,,,0,0,44000,11.9,,,
12,47900,0.210253,0.205896,-2.418634,1.6888,1.6890,1.8193,1.8816,0.3617,0.0160,,,0,0,48000,13.6,,,
13,51900,0.219262,0.215612,-2.315258,1.7425,1.7426,1.8822,1.9411,0.3829,0.0201,,,0,0,52000,15.1,,,
14,55900,0.192129,0.187441,-2.219069,1.6403,1.6404,1.9544,2.0129,0.3785,0.0202,,,0,0,56000,16.7,,,
15,59900,,,,,,,,,,,,0,0,60000,16.8,,,
16,63900,0.198828,0.191183,-2.189815,1.5912,1.5914,2.1156,2.1219,0.3781,0.0218,,,0,0,64000,18.4,,,
17,67900,0.207305,0.200049,-2.258413,1.6047,1.6050,2.1058,2.1890,0.3799,0.0242,,,0,0,68000,19.9,,,
18,71900,0.260415,0.254848,-2.267235,1.6406,1.6405,2.6848,2.8132,0.3519,0.0241,,,0,0,72000,21.5,,,
19,75900,0.254442,0.246868,-2.202702,1.6149,1.6149,2.5098,2.5962,0.3521,0.0256,,,0,0,76000,23.0,,,
20,79900,,,,,,,,,,,,0,0,80000,23.1,,,
21,83900,0.250876,0.245313,-2.180155,1.6028,1.6029,2.5429,2.6448,0.3188,0.0254,,,0,0,84000,24.6,,,
22,87900,0.252327,0.247627,-2.147234,1.5818,1.5818,2.6493,2.8050,0.3298,0.0270,,,0,0,88000,26.2,,,
23,91900,0.254181,0.247152,-2.101367,1.5507,1.5505,2.7871,2.8416,0.3331,0.0288,,,0,0,92000,27.8,,,
24,95900,0.280427,0.271218,-1.938731,1.4512,1.4511,2.9239,2.9626,0.4015,0.0297,,,0,0,96000,29.4,,,
25,99900,,,,,,,,,,-282.38,1000.0,100,51,100000,29.5,,,
26,103900,0.413191,0.404196,-1.843416,1.3787,1.3785,3.4644,3.5497,0.3969,0.0309,,,0,0,104000,31.5,0.757760,0.609201,0.074279
27,107900,0.577646,0.559629,-1.910959,1.5296,1.5296,4.8365,5.1319,0.4629,0.0324,,,0,0,108000,33.2,0.376392,0.319314,0.028539
28,111900,0.583421,0.559697,-1.825144,1.4409,1.4406,4.7295,4.9479,0.4028,0.0333,,,0,0,112000,34.8,0.154509,0.134285,0.010112
29,115900,0.612542,0.585989,-1.785226,1.3999,1.3998,4.8653,5.1429,0.4296,0.0358,,,0,0,116000,36.7,0.067595,0.059402,0.004097
30,119900,,,,,,,,,,,,0,0,120000,36.8,,,
31,123900,0.633724,0.605760,-1.830283,1.3984,1.3981,5.1719,5.5289,0.4463,0.0370,,,0,0,124000,38.5,0.046754,0.041646,0.002554
32,127900,0.666289,0.637908,-1.899147,1.4476,1.4477,5.3945,5.7311,0.4785,0.0397,,,0,0,128000,40.2,0.022739,0.020137,0.001301
33,131900,0.689208,0.660521,-2.057048,1.5780,1.5781,5.6141,6.1735,0.4412,0.0419,,,0,0,132000,41.9,0.020834,0.018458,0.001188
34,135900,0.712153,0.679351,-2.262444,1.7629,1.7631,5.6653,6.1176,0.4638,0.0425,,,0,0,136000,43.6,0.020020,0.017862,0.001079
35,139900,,,,,,,,,,,,0,0,140000,43.8,,,
36,143900,0.733292,0.704141,-2.556937,2.0207,2.0208,6.4452,6.9021,0.4582,0.0457,,,0,0,144000,45.5,0.011805,0.010546,0.000630
37,147900,0.756181,0.721867,-2.949775,2.3630,2.3634,6.6447,7.1449,0.5096,0.0500,,,0,0,148000,47.2,0.010254,0.009064,0.000595
38,151900,0.766729,0.735083,-3.419620,2.7795,2.7795,6.7628,7.2498,0.5075,0.0519,,,0,0,152000,49.0,0.014024,0.012368,0.000828
39,155900,0.781152,0.747236,-3.931345,3.2637,3.2637,6.9310,7.4526,0.5557,0.0581,,,0,0,156000,50.8,0.012178,0.010858,0.000660
40,159900,,,,,,,,,,,,0,0,160000,51.0,,,
41,163900,0.793971,0.759961,-4.485850,3.7974,3.7973,7.5264,8.0809,0.5272,0.0577,,,0,0,164000,52.8,0.011023,0.009835,0.000594
42,167900,0.805107,0.769917,-5.134281,4.4048,4.4052,8.0203,8.7631,0.5786,0.0607,,,0,0,168000,54.5,0.001470,0.001301,0.000084
43,171900,0.824525,0.787355,-5.777116,5.0421,5.0418,8.2444,8.6381,0.5478,0.0598,,,0,0,172000,56.3,0.001625,0.001369,0.000128
44,175900,0.841570,0.805055,-6.465779,5.7210,5.7210,8.6102,9.0417,0.6023,0.0622,,,0,0,176000,58.1,0.001828,0.001657,0.000085
45,179900,,,,,,,,,,,,0,0,180000,58.3,,,
46,183900,0.852949,0.814140,-7.190193,6.4379,6.4381,8.4584,9.0852,0.6322,0.0664,,,0,0,184000,60.3,0.009366,0.008579,0.000394
47,187900,0.872127,0.832141,-7.935613,7.1656,7.1654,8.6818,9.4330,0.6922,0.0741,,,0,0,188000,62.2,0.005362,0.004834,0.000264
48,191900,0.920010,0.880146,-8.648436,7.9035,7.9037,9.8402,10.7336,0.7105,0.0772,,,0,0,192000,64.0,0.005989,0.005451,0.000269
49,195900,0.948958,0.910152,-9.427381,8.6719,8.6718,10.1316,11.4432,0.6841,0.0805,,,0,0,196000,65.8,0.003582,0.003202,0.000190
50,199900,,,,,,,,,,,,0,0,200000,66.0,,,
51,203900,1.117713,1.074701,-10.179996,9.4297,9.4298,11.8660,12.8261,0.7368,0.0813,639.65,1001.0,100,48,204000,67.8,0.971549,0.787847,0.091851
52,207900,1.241126,1.189498,-10.807351,10.0962,10.0962,11.8724,13.6270,0.7768,0.0811,,,0,0,208000,69.6,0.312358,0.244073,0.034143
53,211900,1.339304,1.284078,-11.480165,10.7914,10.7918,13.0218,14.3997,0.8352,0.0834,,,0,0,212000,71.8,0.202064,0.152722,0.024671
54,215900,1.352147,1.299187,-12.231813,11.5626,11.5636,12.6237,14.6487,0.8503,0.0907,,,0,0,216000,73.7,0.141010,0.105341,0.017834
55,219900,,,,,,,,,,,,0,0,220000,73.8,,,
56,223900,1.372200,1.320259,-12.985252,12.3177,12.3182,13.1073,14.8561,0.9067,0.0943,,,0,0,224000,75.6,0.112778,0.084836,0.013971
57,227900,1.428029,1.373428,-13.737415,13.0721,13.0727,13.9006,15.8438,0.8638,0.0939,,,0,0,228000,77.4,0.104668,0.081431,0.011619
58,231900,1.463172,1.411586,-14.538588,13.8518,13.8523,14.5470,15.8307,0.9350,0.0977,,,0,0,232000,79.3,0.067544,0.050570,0.008487
59,235900,1.512026,1.462442,-15.333712,14.6333,14.6336,15.7461,17.6368,0.9319,0.1003,,,0,0,236000,81.1,0.043985,0.032119,0.005933
60,239900,,,,,,,,,,,,0,0,240000,81.3,,,
