epoch,global_step,device,epoch_wall_s,steps_per_sec,updates_per_sec,env_step_total_s,env_step_mean_ms,buffer_sample_total_s,buffer_sample_mean_ms,update_total_s,update_mean_ms,gpu_mem_allocated_mb,gpu_mem_reserved_mb
1,3900,GPU (NVIDIA GeForce RTX 3080),0.21,19030.5,0.0,0.106,2.662,0.000,0.000,0.000,0.000,2.9,4.0
2,7900,GPU (NVIDIA GeForce RTX 3080),0.23,17324.3,0.0,0.111,2.781,0.000,0.000,0.000,0.000,12.1,26.0
3,11900,GPU (NVIDIA GeForce RTX 3080),1.62,2473.4,309.2,0.116,2.911,0.096,0.193,1.375,2.749,23.7,36.0
4,15900,GPU (NVIDIA GeForce RTX 3080),1.49,2690.7,336.3,0.119,2.966,0.098,0.196,1.238,2.477,23.7,36.0
5,19900,GPU (NVIDIA GeForce RTX 3080),0.15,26716.5,0.0,0.120,3.001,0.000,0.000,0.000,0.000,23.7,36.0
6,23900,GPU (NVIDIA GeForce RTX 3080),1.46,2734.6,341.8,0.123,3.063,0.104,0.209,1.205,2.411,23.7,36.0
7,27900,GPU (NVIDIA GeForce RTX 3080),1.47,2722.2,340.3,0.115,2.877,0.108,0.216,1.216,2.433,23.7,36.0
8,31900,GPU (NVIDIA GeForce RTX 3080),1.53,2610.3,326.3,0.127,3.163,0.114,0.228,1.260,2.521,23.7,36.0
9,35900,GPU (NVIDIA GeForce RTX 3080),1.56,2565.1,320.6,0.123,3.070,0.124,0.249,1.281,2.562,23.7,36.0
10,39900,GPU (NVIDIA GeForce RTX 3080),0.15,26969.7,0.0,0.119,2.975,0.000,0.000,0.000,0.000,23.7,36.0
11,43900,GPU (NVIDIA GeForce RTX 3080),1.53,2619.0,327.4,0.119,2.980,0.121,0.243,1.252,2.503,23.7,36.0
12,47900,GPU (NVIDIA GeForce RTX 3080),1.49,2680.7,335.1,0.122,3.051,0.121,0.242,1.218,2.436,23.7,36.0
13,51900,GPU (NVIDIA GeForce RTX 3080),1.49,2684.0,335.5,0.115,2.874,0.125,0.250,1.221,2.442,23.7,36.0
14,55900,GPU (NVIDIA GeForce RTX 3080),1.50,2672.5,334.1,0.119,2.978,0.122,0.245,1.224,2.449,23.7,36.0
15,59900,GPU (NVIDIA GeForce RTX 3080),0.15,26749.6,0.0,0.120,3.008,0.000,0.000,0.000,0.000,23.7,36.0
16,63900,GPU (NVIDIA GeForce RTX 3080),1.50,2674.0,334.2,0.116,2.891,0.123,0.246,1.228,2.456,23.7,36.0
17,67900,GPU (NVIDIA GeForce RTX 3080),1.51,2649.2,331.1,0.113,2.833,0.125,0.249,1.243,2.487,23.7,36.0
18,71900,GPU (NVIDIA GeForce RTX 3080),1.54,2596.6,324.6,0.123,3.078,0.130,0.261,1.256,2.512,23.7,36.0
19,75900,GPU (NVIDIA GeForce RTX 3080),1.48,2696.1,337.0,0.116,2.909,0.128,0.256,1.209,2.419,23.7,36.0
20,79900,GPU (NVIDIA GeForce RTX 3080),0.14,27791.7,0.0,0.115,2.877,0.000,0.000,0.000,0.000,23.7,36.0
21,83900,GPU (NVIDIA GeForce RTX 3080),1.57,2542.3,317.8,0.128,3.198,0.129,0.258,1.280,2.559,23.7,36.0
22,87900,GPU (NVIDIA GeForce RTX 3080),1.50,2661.0,332.6,0.121,3.034,0.128,0.256,1.223,2.447,23.7,36.0
23,91900,GPU (NVIDIA GeForce RTX 3080),1.50,2670.2,333.8,0.117,2.927,0.129,0.258,1.222,2.445,23.7,36.0
24,95900,GPU (NVIDIA GeForce RTX 3080),1.51,2655.1,331.9,0.120,2.996,0.129,0.257,1.226,2.453,23.7,36.0
25,99900,GPU (NVIDIA GeForce RTX 3080),0.17,23553.1,0.0,0.117,2.916,0.000,0.000,0.000,0.000,23.7,36.0
26,103900,GPU (NVIDIA GeForce RTX 3080),1.77,2262.2,282.8,0.121,3.034,0.131,0.262,1.271,2.541,25.0,56.0
27,107900,GPU (NVIDIA GeForce RTX 3080),1.74,2298.5,287.3,0.114,2.840,0.131,0.262,1.287,2.573,25.0,62.0
28,111900,GPU (NVIDIA GeForce RTX 3080),1.73,2312.4,289.1,0.119,2.985,0.129,0.257,1.278,2.557,25.0,62.0
29,115900,GPU (NVIDIA GeForce RTX 3080),1.71,2336.3,292.0,0.118,2.941,0.129,0.257,1.261,2.521,25.0,62.0
30,119900,GPU (NVIDIA GeForce RTX 3080),0.14,28278.8,0.0,0.113,2.814,0.000,0.000,0.000,0.000,25.0,62.0
31,123900,GPU (NVIDIA GeForce RTX 3080),1.66,2404.8,300.6,0.115,2.877,0.126,0.252,1.222,2.443,25.0,62.0
32,127900,GPU (NVIDIA GeForce RTX 3080),1.79,2230.4,278.8,0.119,2.965,0.123,0.245,1.350,2.700,25.0,62.0
33,131900,GPU (NVIDIA GeForce RTX 3080),1.69,2361.3,295.2,0.119,2.985,0.127,0.254,1.250,2.500,25.0,62.0
34,135900,GPU (NVIDIA GeForce RTX 3080),1.75,2282.2,285.3,0.120,3.010,0.136,0.273,1.289,2.579,25.0,62.0
35,139900,GPU (NVIDIA GeForce RTX 3080),0.14,28547.8,0.0,0.113,2.813,0.000,0.000,0.000,0.000,25.0,62.0
36,143900,GPU (NVIDIA GeForce RTX 3080),1.74,2305.3,288.2,0.125,3.124,0.134,0.268,1.273,2.547,25.0,62.0
37,147900,GPU (NVIDIA GeForce RTX 3080),1.71,2342.3,292.8,0.116,2.902,0.133,0.266,1.255,2.510,25.0,62.0
38,151900,GPU (NVIDIA GeForce RTX 3080),1.73,2318.6,289.8,0.121,3.035,0.133,0.267,1.268,2.536,25.0,62.0
39,155900,GPU (NVIDIA GeForce RTX 3080),1.74,2295.7,287.0,0.119,2.977,0.136,0.272,1.281,2.561,25.0,62.0
40,159900,GPU (NVIDIA GeForce RTX 3080),0.14,27845.5,0.0,0.115,2.880,0.000,0.000,0.000,0.000,25.0,62.0
41,163900,GPU (NVIDIA GeForce RTX 3080),1.76,2277.7,284.7,0.120,2.995,0.136,0.273,1.286,2.572,25.0,62.0
42,167900,GPU (NVIDIA GeForce RTX 3080),1.73,2309.0,288.6,0.118,2.959,0.135,0.270,1.272,2.544,25.0,62.0
43,171900,GPU (NVIDIA GeForce RTX 3080),1.75,2290.5,286.3,0.122,3.043,0.137,0.273,1.290,2.580,25.0,62.0
44,175900,GPU (NVIDIA GeForce RTX 3080),1.69,2369.6,296.2,0.114,2.858,0.133,0.266,1.245,2.490,25.0,62.0
45,179900,GPU (NVIDIA GeForce RTX 3080),0.15,27066.4,0.0,0.117,2.935,0.000,0.000,0.000,0.000,25.0,62.0
46,183900,GPU (NVIDIA GeForce RTX 3080),1.68,2379.9,297.5,0.121,3.035,0.131,0.262,1.229,2.458,25.0,62.0
47,187900,GPU (NVIDIA GeForce RTX 3080),1.67,2397.9,299.7,0.116,2.906,0.131,0.261,1.218,2.437,25.0,62.0
48,191900,GPU (NVIDIA GeForce RTX 3080),1.77,2263.2,282.9,0.114,2.844,0.134,0.268,1.305,2.611,25.0,62.0
49,195900,GPU (NVIDIA GeForce RTX 3080),1.68,2380.6,297.6,0.112,2.789,0.132,0.265,1.237,2.475,25.0,62.0
50,199900,GPU (NVIDIA GeForce RTX 3080),0.15,26823.4,0.0,0.120,2.990,0.000,0.000,0.000,0.000,25.0,62.0
51,203900,GPU (NVIDIA GeForce RTX 3080),1.80,2217.2,277.2,0.118,2.949,0.140,0.281,1.311,2.622,25.0,62.0
52,207900,GPU (NVIDIA GeForce RTX 3080),1.75,2283.1,285.4,0.117,2.927,0.136,0.273,1.289,2.577,25.0,62.0
53,211900,GPU (NVIDIA GeForce RTX 3080),1.75,2287.3,285.9,0.122,3.045,0.137,0.274,1.277,2.555,25.0,62.0
54,215900,GPU (NVIDIA GeForce RTX 3080),1.80,2220.3,277.5,0.122,3.061,0.129,0.257,1.351,2.701,25.0,62.0
55,219900,GPU (NVIDIA GeForce RTX 3080),0.15,27235.0,0.0,0.118,2.946,0.000,0.000,0.000,0.000,25.0,62.0
56,223900,GPU (NVIDIA GeForce RTX 3080),1.76,2276.8,284.6,0.123,3.080,0.138,0.275,1.294,2.587,25.0,62.0
57,227900,GPU (NVIDIA GeForce RTX 3080),1.72,2326.9,290.9,0.117,2.926,0.135,0.270,1.273,2.546,25.0,62.0
58,231900,GPU (NVIDIA GeForce RTX 3080),1.72,2327.2,290.9,0.120,3.001,0.133,0.265,1.264,2.527,25.0,62.0
59,235900,GPU (NVIDIA GeForce RTX 3080),1.74,2305.3,288.2,0.116,2.898,0.133,0.266,1.275,2.551,25.0,62.0
60,239900,GPU (NVIDIA GeForce RTX 3080),0.15,27493.5,0.0,0.117,2.922,0.000,0.000,0.000,0.000,25.0,62.0
61,243900,GPU (NVIDIA GeForce RTX 3080),1.78,2246.8,280.9,0.114,2.853,0.131,0.262,1.293,2.586,25.0,62.0
62,247900,GPU (NVIDIA GeForce RTX 3080),1.71,2335.2,291.9,0.120,3.007,0.132,0.265,1.249,2.498,25.0,62.0
63,251900,GPU (NVIDIA GeForce RTX 3080),1.72,2323.6,290.4,0.120,3.006,0.133,0.265,1.263,2.526,25.0,62.0
64,255900,GPU (NVIDIA GeForce RTX 3080),1.78,2243.4,280.4,0.121,3.013,0.129,0.258,1.325,2.651,25.0,62.0
65,259900,GPU (NVIDIA GeForce RTX 3080),0.15,27010.4,0.0,0.119,2.971,0.000,0.000,0.000,0.000,25.0,62.0
