epoch,global_step,device,epoch_wall_s,steps_per_sec,updates_per_sec,env_step_total_s,env_step_mean_ms,buffer_sample_total_s,buffer_sample_mean_ms,update_total_s,update_mean_ms,gpu_mem_allocated_mb,gpu_mem_reserved_mb
1,3900,GPU (NVIDIA GeForce RTX 3080),0.18,21750.0,0.0,0.112,2.789,0.000,0.000,0.000,0.000,1.7,2.0
2,7900,GPU (NVIDIA GeForce RTX 3080),1.07,3729.8,0.0,0.114,2.841,0.000,0.000,0.000,0.000,10.8,24.0
3,11900,GPU (NVIDIA GeForce RTX 3080),3.45,1159.1,144.9,0.110,2.739,0.116,0.232,3.204,6.409,21.5,32.0
4,15900,GPU (NVIDIA GeForce RTX 3080),1.40,2858.9,357.4,0.114,2.848,0.113,0.226,1.150,2.299,21.5,32.0
5,19900,GPU (NVIDIA GeForce RTX 3080),0.14,28126.0,0.0,0.120,2.992,0.000,0.000,0.000,0.000,21.5,32.0
6,23900,GPU (NVIDIA GeForce RTX 3080),1.39,2884.3,360.5,0.132,3.296,0.117,0.234,1.112,2.224,21.5,32.0
7,27900,GPU (NVIDIA GeForce RTX 3080),1.35,2962.4,370.3,0.112,2.801,0.117,0.234,1.099,2.199,21.5,32.0
8,31900,GPU (NVIDIA GeForce RTX 3080),1.35,2963.9,370.5,0.117,2.929,0.109,0.219,1.101,2.202,21.5,32.0
9,35900,GPU (NVIDIA GeForce RTX 3080),1.28,3136.3,392.0,0.113,2.832,0.106,0.213,1.035,2.070,21.5,32.0
10,39900,GPU (NVIDIA GeForce RTX 3080),0.17,23812.7,0.0,0.136,3.401,0.000,0.000,0.000,0.000,21.5,32.0
11,43900,GPU (NVIDIA GeForce RTX 3080),1.72,2332.1,291.5,0.122,3.047,0.163,0.326,1.354,2.708,21.5,32.0
12,47900,GPU (NVIDIA GeForce RTX 3080),1.82,2203.0,275.4,0.134,3.362,0.192,0.384,1.418,2.837,21.5,32.0
13,51900,GPU (NVIDIA GeForce RTX 3080),1.66,2405.2,300.6,0.106,2.662,0.188,0.376,1.347,2.694,21.5,32.0
14,55900,GPU (NVIDIA GeForce RTX 3080),1.55,2581.7,322.7,0.123,3.085,0.152,0.303,1.235,2.469,21.5,32.0
15,59900,GPU (NVIDIA GeForce RTX 3080),0.13,30877.0,0.0,0.109,2.735,0.000,0.000,0.000,0.000,21.5,32.0
16,63900,GPU (NVIDIA GeForce RTX 3080),1.34,2985.7,373.2,0.110,2.742,0.120,0.240,1.089,2.178,21.5,32.0
17,67900,GPU (NVIDIA GeForce RTX 3080),1.35,2968.7,371.1,0.111,2.785,0.120,0.240,1.092,2.184,21.5,32.0
18,71900,GPU (NVIDIA GeForce RTX 3080),1.31,3060.4,382.5,0.102,2.551,0.124,0.248,1.061,2.122,21.5,32.0
19,75900,GPU (NVIDIA GeForce RTX 3080),1.37,2911.4,363.9,0.112,2.790,0.128,0.255,1.113,2.227,21.5,32.0
20,79900,GPU (NVIDIA GeForce RTX 3080),0.13,31667.7,0.0,0.106,2.650,0.000,0.000,0.000,0.000,21.5,32.0
21,83900,GPU (NVIDIA GeForce RTX 3080),1.36,2939.5,367.4,0.107,2.669,0.130,0.261,1.062,2.124,21.5,32.0
22,87900,GPU (NVIDIA GeForce RTX 3080),1.35,2970.2,371.3,0.115,2.865,0.127,0.254,1.079,2.157,21.5,32.0
23,91900,GPU (NVIDIA GeForce RTX 3080),1.46,2749.1,343.6,0.118,2.938,0.139,0.278,1.171,2.343,21.5,32.0
24,95900,GPU (NVIDIA GeForce RTX 3080),1.39,2876.7,359.6,0.113,2.835,0.139,0.278,1.116,2.231,21.5,32.0
25,99900,GPU (NVIDIA GeForce RTX 3080),0.15,26995.8,0.0,0.115,2.882,0.000,0.000,0.000,0.000,21.5,32.0
26,103900,GPU (NVIDIA GeForce RTX 3080),1.62,2470.6,308.8,0.139,3.466,0.150,0.300,1.245,2.490,21.5,32.0
27,107900,GPU (NVIDIA GeForce RTX 3080),2.39,1672.8,209.1,0.122,3.056,0.339,0.679,1.899,3.799,21.5,32.0
28,111900,GPU (NVIDIA GeForce RTX 3080),1.51,2650.0,331.3,0.116,2.908,0.153,0.307,1.218,2.436,21.5,32.0
29,115900,GPU (NVIDIA GeForce RTX 3080),1.42,2808.8,351.1,0.112,2.791,0.130,0.260,1.161,2.321,21.5,32.0
30,119900,GPU (NVIDIA GeForce RTX 3080),0.14,29470.5,0.0,0.114,2.849,0.000,0.000,0.000,0.000,21.5,32.0
31,123900,GPU (NVIDIA GeForce RTX 3080),1.76,2273.4,284.2,0.118,2.955,0.183,0.366,1.421,2.843,21.5,32.0
32,127900,GPU (NVIDIA GeForce RTX 3080),1.71,2336.6,292.1,0.131,3.266,0.186,0.371,1.325,2.649,21.5,32.0
33,131900,GPU (NVIDIA GeForce RTX 3080),2.34,1707.5,213.4,0.136,3.406,0.312,0.625,1.818,3.636,21.5,32.0
34,135900,GPU (NVIDIA GeForce RTX 3080),1.88,2122.2,265.3,0.126,3.145,0.226,0.451,1.464,2.928,21.5,32.0
35,139900,GPU (NVIDIA GeForce RTX 3080),0.21,19184.9,0.0,0.132,3.305,0.000,0.000,0.000,0.000,21.5,32.0
36,143900,GPU (NVIDIA GeForce RTX 3080),1.37,2929.4,366.2,0.111,2.765,0.137,0.275,1.095,2.189,21.5,32.0
37,147900,GPU (NVIDIA GeForce RTX 3080),1.44,2768.2,346.0,0.121,3.013,0.144,0.287,1.138,2.275,21.5,32.0
38,151900,GPU (NVIDIA GeForce RTX 3080),1.85,2164.4,270.5,0.111,2.780,0.226,0.453,1.478,2.956,21.5,32.0
39,155900,GPU (NVIDIA GeForce RTX 3080),1.61,2479.2,309.9,0.108,2.711,0.194,0.388,1.291,2.581,21.5,32.0
40,159900,GPU (NVIDIA GeForce RTX 3080),0.13,31648.3,0.0,0.107,2.667,0.000,0.000,0.000,0.000,21.5,32.0
41,163900,GPU (NVIDIA GeForce RTX 3080),2.07,1934.5,241.8,0.110,2.744,0.278,0.557,1.657,3.314,21.5,32.0
42,167900,GPU (NVIDIA GeForce RTX 3080),1.89,2113.7,264.2,0.111,2.781,0.232,0.464,1.528,3.057,21.5,32.0
43,171900,GPU (NVIDIA GeForce RTX 3080),2.26,1768.9,221.1,0.118,2.962,0.318,0.636,1.795,3.590,21.5,32.0
44,175900,GPU (NVIDIA GeForce RTX 3080),1.66,2405.1,300.6,0.112,2.791,0.190,0.379,1.340,2.680,21.5,32.0
45,179900,GPU (NVIDIA GeForce RTX 3080),0.12,32937.8,0.0,0.102,2.562,0.000,0.000,0.000,0.000,21.5,32.0
46,183900,GPU (NVIDIA GeForce RTX 3080),1.41,2827.6,353.4,0.117,2.929,0.134,0.268,1.108,2.217,21.5,32.0
47,187900,GPU (NVIDIA GeForce RTX 3080),1.53,2616.5,327.1,0.116,2.904,0.163,0.326,1.212,2.423,21.5,32.0
48,191900,GPU (NVIDIA GeForce RTX 3080),1.51,2651.3,331.4,0.114,2.838,0.166,0.332,1.206,2.412,21.5,32.0
49,195900,GPU (NVIDIA GeForce RTX 3080),1.63,2454.4,306.8,0.116,2.908,0.200,0.399,1.292,2.583,21.5,32.0
50,199900,GPU (NVIDIA GeForce RTX 3080),0.15,26191.8,0.0,0.114,2.857,0.000,0.000,0.000,0.000,21.5,32.0
51,203900,GPU (NVIDIA GeForce RTX 3080),1.61,2490.8,311.4,0.115,2.868,0.177,0.354,1.287,2.575,21.5,32.0
52,207900,GPU (NVIDIA GeForce RTX 3080),1.63,2456.5,307.1,0.116,2.896,0.177,0.354,1.313,2.627,21.5,32.0
53,211900,GPU (NVIDIA GeForce RTX 3080),1.83,2186.3,273.3,0.120,2.991,0.214,0.428,1.461,2.922,21.5,32.0
54,215900,GPU (NVIDIA GeForce RTX 3080),1.42,2821.9,352.7,0.116,2.901,0.137,0.273,1.144,2.288,21.5,32.0
55,219900,GPU (NVIDIA GeForce RTX 3080),0.13,30645.5,0.0,0.110,2.762,0.000,0.000,0.000,0.000,21.5,32.0
56,223900,GPU (NVIDIA GeForce RTX 3080),1.45,2759.9,345.0,0.110,2.758,0.139,0.278,1.178,2.355,21.5,32.0
57,227900,GPU (NVIDIA GeForce RTX 3080),1.49,2681.0,335.1,0.114,2.848,0.145,0.291,1.211,2.422,21.5,32.0
58,231900,GPU (NVIDIA GeForce RTX 3080),1.52,2634.4,329.3,0.120,2.992,0.149,0.298,1.216,2.432,21.5,32.0
59,235900,GPU (NVIDIA GeForce RTX 3080),1.44,2782.5,347.8,0.116,2.909,0.149,0.299,1.149,2.298,21.5,32.0
60,239900,GPU (NVIDIA GeForce RTX 3080),0.15,26709.7,0.0,0.117,2.932,0.000,0.000,0.000,0.000,21.5,32.0
61,243900,GPU (NVIDIA GeForce RTX 3080),1.91,2098.2,262.3,0.114,2.845,0.235,0.471,1.531,3.062,21.5,32.0
62,247900,GPU (NVIDIA GeForce RTX 3080),1.50,2666.4,333.3,0.116,2.908,0.144,0.288,1.217,2.435,21.5,32.0
63,251900,GPU (NVIDIA GeForce RTX 3080),1.40,2863.4,357.9,0.111,2.763,0.139,0.279,1.120,2.240,21.5,32.0
64,255900,GPU (NVIDIA GeForce RTX 3080),1.42,2814.2,351.8,0.124,3.109,0.140,0.279,1.133,2.266,21.5,32.0
65,259900,GPU (NVIDIA GeForce RTX 3080),0.17,23758.4,0.0,0.130,3.253,0.000,0.000,0.000,0.000,21.5,32.0
66,263900,GPU (NVIDIA GeForce RTX 3080),1.52,2628.3,328.5,0.121,3.014,0.156,0.311,1.223,2.447,21.5,32.0
67,267900,GPU (NVIDIA GeForce RTX 3080),1.73,2307.6,288.4,0.119,2.964,0.195,0.391,1.397,2.793,21.5,32.0
68,271900,GPU (NVIDIA GeForce RTX 3080),1.56,2557.4,319.7,0.112,2.807,0.183,0.367,1.247,2.494,21.5,32.0
69,275900,GPU (NVIDIA GeForce RTX 3080),1.37,2927.7,366.0,0.116,2.909,0.131,0.263,1.097,2.194,21.5,32.0
70,279900,GPU (NVIDIA GeForce RTX 3080),0.13,30128.9,0.0,0.113,2.823,0.000,0.000,0.000,0.000,21.5,32.0
71,283900,GPU (NVIDIA GeForce RTX 3080),1.33,3009.9,376.2,0.108,2.712,0.134,0.268,1.064,2.128,21.5,32.0
72,287900,GPU (NVIDIA GeForce RTX 3080),1.31,3046.2,380.8,0.120,2.995,0.133,0.266,1.039,2.078,21.5,32.0
73,291900,GPU (NVIDIA GeForce RTX 3080),1.31,3057.2,382.2,0.117,2.922,0.132,0.265,1.037,2.074,21.5,32.0
74,295900,GPU (NVIDIA GeForce RTX 3080),1.29,3093.1,386.6,0.112,2.812,0.131,0.262,1.029,2.058,21.5,32.0
75,299900,GPU (NVIDIA GeForce RTX 3080),0.12,32456.2,0.0,0.104,2.602,0.000,0.000,0.000,0.000,21.5,32.0
76,303900,GPU (NVIDIA GeForce RTX 3080),1.29,3094.6,386.8,0.114,2.840,0.132,0.263,1.025,2.051,21.5,32.0
77,307900,GPU (NVIDIA GeForce RTX 3080),1.30,3074.4,384.3,0.119,2.973,0.131,0.262,1.029,2.058,21.5,32.0
78,311900,GPU (NVIDIA GeForce RTX 3080),1.34,2981.7,372.7,0.110,2.759,0.130,0.260,1.080,2.161,21.5,32.0
79,315900,GPU (NVIDIA GeForce RTX 3080),1.29,3098.7,387.3,0.113,2.833,0.134,0.267,1.024,2.047,21.5,32.0
80,319900,GPU (NVIDIA GeForce RTX 3080),0.13,30885.8,0.0,0.109,2.724,0.000,0.000,0.000,0.000,21.5,32.0
81,323900,GPU (NVIDIA GeForce RTX 3080),1.31,3059.3,382.4,0.123,3.069,0.132,0.263,1.029,2.059,21.5,32.0
82,327900,GPU (NVIDIA GeForce RTX 3080),1.31,3043.2,380.4,0.116,2.910,0.132,0.263,1.045,2.089,21.5,32.0
83,331900,GPU (NVIDIA GeForce RTX 3080),1.29,3096.1,387.0,0.113,2.836,0.130,0.261,1.028,2.055,21.5,32.0
84,335900,GPU (NVIDIA GeForce RTX 3080),1.29,3093.8,386.7,0.110,2.747,0.130,0.260,1.031,2.062,21.5,32.0
85,339900,GPU (NVIDIA GeForce RTX 3080),0.14,29428.0,0.0,0.116,2.896,0.000,0.000,0.000,0.000,21.5,32.0
86,343900,GPU (NVIDIA GeForce RTX 3080),1.30,3067.7,383.5,0.116,2.904,0.131,0.262,1.035,2.071,21.5,32.0
87,347900,GPU (NVIDIA GeForce RTX 3080),1.28,3121.7,390.2,0.114,2.851,0.130,0.260,1.016,2.033,21.5,32.0
88,351900,GPU (NVIDIA GeForce RTX 3080),1.29,3100.7,387.6,0.110,2.744,0.130,0.260,1.030,2.059,21.5,32.0
89,355900,GPU (NVIDIA GeForce RTX 3080),1.29,3090.3,386.3,0.115,2.875,0.130,0.260,1.029,2.057,21.5,32.0
90,359900,GPU (NVIDIA GeForce RTX 3080),0.13,30383.6,0.0,0.112,2.788,0.000,0.000,0.000,0.000,21.5,32.0
91,363900,GPU (NVIDIA GeForce RTX 3080),1.29,3097.0,387.1,0.112,2.788,0.130,0.259,1.028,2.056,21.5,32.0
92,367900,GPU (NVIDIA GeForce RTX 3080),1.37,2927.4,365.9,0.109,2.729,0.126,0.252,1.111,2.222,21.5,32.0
93,371900,GPU (NVIDIA GeForce RTX 3080),1.28,3129.4,391.2,0.107,2.685,0.129,0.258,1.022,2.044,21.5,32.0
94,375900,GPU (NVIDIA GeForce RTX 3080),1.38,2892.1,361.5,0.106,2.647,0.126,0.251,1.131,2.263,21.5,32.0
95,379900,GPU (NVIDIA GeForce RTX 3080),0.13,30923.1,0.0,0.108,2.712,0.000,0.000,0.000,0.000,21.5,32.0
96,383900,GPU (NVIDIA GeForce RTX 3080),1.30,3073.1,384.1,0.114,2.846,0.130,0.260,1.036,2.073,21.5,32.0
97,387900,GPU (NVIDIA GeForce RTX 3080),1.32,3028.4,378.6,0.109,2.715,0.131,0.262,1.061,2.122,21.5,32.0
98,391900,GPU (NVIDIA GeForce RTX 3080),1.35,2965.0,370.6,0.116,2.894,0.135,0.270,1.074,2.148,21.5,32.0
99,395900,GPU (NVIDIA GeForce RTX 3080),2.24,1789.3,223.7,0.115,2.867,0.311,0.621,1.784,3.567,21.5,32.0
