epoch,step,loss_q1,loss_q2,loss_pi,q1_val,q2_val,grad_q1,grad_q2,grad_pi,mean_return,mean_length,episodes,buffer_size,elapsed_s
1,3900,,,,,,,,,,,0,4000,0.2
2,7900,,,,,,,,,,,0,8000,1.3
3,11900,0.088010,0.074045,-0.676396,-0.1608,-0.1611,0.6026,0.5745,0.0470,,,0,12000,4.7
4,15900,0.054834,0.053780,-0.635236,0.0262,0.0258,0.6372,0.6715,0.0951,,,0,16000,6.1
5,19900,,,,,,,,,,,0,20000,6.2
6,23900,0.082801,0.082185,-0.726734,0.1528,0.1524,0.8754,0.9103,0.1338,,,0,24000,7.6
7,27900,0.101573,0.101152,-0.443199,0.0064,0.0061,1.1129,1.1272,0.1712,,,0,28000,9.0
8,31900,0.114724,0.113982,-0.124871,-0.2675,-0.2678,1.4197,1.4352,0.1724,,,0,32000,10.3
9,35900,0.109447,0.110812,0.232102,-0.5758,-0.5761,1.2284,1.2851,0.1766,,,0,36000,11.6
10,39900,,,,,,,,,,,0,40000,11.8
11,43900,0.106709,0.107182,0.376524,-0.9039,-0.9042,1.3455,1.3283,0.2653,,,0,44000,13.5
12,47900,0.159408,0.158755,0.040028,-0.6349,-0.6352,1.4932,1.5335,0.2359,,,0,48000,15.3
13,51900,0.218652,0.224489,0.078115,-0.6884,-0.6889,1.8916,1.9950,0.2487,,,0,52000,17.0
14,55900,0.248322,0.257440,-0.109114,-0.9558,-0.9560,1.9301,1.9415,0.2664,,,0,56000,18.5
15,59900,,,,,,,,,,,0,60000,18.7
16,63900,0.540617,0.556909,-1.172140,-0.5482,-0.5489,3.0931,3.0991,0.2581,,,0,64000,20.0
17,67900,0.362970,0.377512,-0.914492,-0.3198,-0.3206,2.3877,2.4292,0.2642,,,0,68000,21.3
18,71900,0.322760,0.330086,-0.676566,-0.3661,-0.3668,2.4151,2.4050,0.2676,,,0,72000,22.7
19,75900,0.268827,0.275789,-0.519152,-0.4634,-0.4636,2.3617,2.2497,0.2798,,,0,76000,24.0
20,79900,,,,,,,,,,,0,80000,24.2
21,83900,0.271243,0.275717,-0.240082,-0.6350,-0.6349,2.5033,2.3493,0.2966,,,0,84000,25.5
22,87900,0.225196,0.231215,0.071947,-0.8492,-0.8492,2.3197,2.2085,0.3032,,,0,88000,26.9
23,91900,0.207043,0.211992,0.439727,-1.1102,-1.1101,2.2452,2.1525,0.2773,,,0,92000,28.3
24,95900,0.204880,0.212374,0.766564,-1.3879,-1.3879,2.3867,2.2446,0.2800,,,0,96000,29.7
25,99900,,,,,,,,,-330.70,1000.0,100,100000,29.9
26,103900,0.346449,0.353388,1.073358,-1.6639,-1.6639,3.2121,2.9724,0.3207,,,0,104000,31.5
27,107900,0.369844,0.375931,0.932252,-1.5346,-1.5344,2.9478,2.7970,0.3334,,,0,108000,33.9
28,111900,0.365133,0.370033,0.871103,-1.4814,-1.4816,3.0461,2.8514,0.3388,,,0,112000,35.4
29,115900,0.358097,0.359742,0.821484,-1.4253,-1.4255,2.9669,2.7958,0.3973,,,0,116000,36.8
30,119900,,,,,,,,,,,0,120000,36.9
31,123900,0.353544,0.353748,0.807322,-1.3906,-1.3909,3.0598,2.9120,0.4008,,,0,124000,38.7
32,127900,0.344458,0.343877,0.820398,-1.3973,-1.3976,2.8155,2.6468,0.3766,,,0,128000,40.4
33,131900,0.373895,0.373028,0.837511,-1.4196,-1.4199,2.9131,2.8721,0.4314,,,0,132000,42.8
34,135900,0.369341,0.369629,0.896698,-1.4686,-1.4690,3.2895,3.0697,0.3836,,,0,136000,44.6
35,139900,,,,,,,,,,,0,140000,44.8
36,143900,0.386859,0.386736,0.911074,-1.5109,-1.5112,3.2903,3.1409,0.3995,,,0,144000,46.2
37,147900,0.399697,0.400052,0.970883,-1.5501,-1.5503,3.2503,3.0564,0.4341,,,0,148000,47.7
38,151900,0.387922,0.388179,1.036646,-1.6196,-1.6200,3.2489,2.9793,0.4039,,,0,152000,49.5
39,155900,0.394309,0.396660,1.122250,-1.6955,-1.6956,3.2471,3.0865,0.4230,,,0,156000,51.1
40,159900,,,,,,,,,,,0,160000,51.2
41,163900,0.403639,0.406854,1.184606,-1.7559,-1.7562,3.6246,3.4145,0.4417,,,0,164000,53.3
42,167900,0.394200,0.397035,1.283317,-1.8334,-1.8336,3.3994,3.1794,0.4365,,,0,168000,55.2
43,171900,0.397974,0.401699,1.336905,-1.9041,-1.9044,3.4133,3.2285,0.4591,,,0,172000,57.5
44,175900,0.416634,0.420904,1.360573,-1.9253,-1.9253,3.5938,3.3972,0.4471,,,0,176000,59.1
45,179900,,,,,,,,,,,0,180000,59.3
46,183900,0.391871,0.395612,1.372908,-1.9448,-1.9447,3.4074,3.2086,0.4755,,,0,184000,60.7
47,187900,0.427858,0.433787,1.363394,-1.9284,-1.9284,3.5897,3.4290,0.4691,,,0,188000,62.2
48,191900,0.428583,0.433241,1.306473,-1.8910,-1.8911,3.9040,3.5654,0.4858,,,0,192000,63.7
49,195900,0.423990,0.430308,1.218512,-1.7981,-1.7980,4.0365,3.8667,0.5310,,,0,196000,65.3
50,199900,,,,,,,,,,,0,200000,65.5
51,203900,0.447439,0.454568,1.055329,-1.6812,-1.6813,3.8517,3.8683,0.5311,14.89,1001.0,100,204000,67.1
52,207900,0.585099,0.587858,0.626138,-1.2608,-1.2608,4.7381,4.5105,0.5170,,,0,208000,68.7
53,211900,0.571411,0.579373,0.297865,-0.9362,-0.9365,4.4420,4.4189,0.5257,,,0,212000,70.6
54,215900,0.583243,0.585988,-0.067784,-0.5876,-0.5875,4.6303,4.5292,0.5773,,,0,216000,72.0
55,219900,,,,,,,,,,,0,220000,72.1
56,223900,0.580587,0.585317,-0.429000,-0.2363,-0.2364,5.1530,4.8620,0.5975,,,0,224000,73.6
57,227900,0.590014,0.594373,-0.781748,0.1039,0.1037,4.9850,4.8654,0.5609,,,0,228000,75.1
58,231900,0.587902,0.589385,-1.131273,0.4383,0.4383,4.9804,4.8389,0.5601,,,0,232000,76.6
59,235900,0.591131,0.591703,-1.535647,0.8324,0.8321,5.2366,5.0462,0.5582,,,0,236000,78.0
60,239900,,,,,,,,,,,0,240000,78.2
61,243900,0.599140,0.601814,-1.947992,1.2403,1.2402,5.3753,5.3391,0.5995,,,0,244000,80.1
62,247900,0.617207,0.615383,-2.474491,1.7246,1.7243,5.3412,5.1019,0.5704,,,0,248000,81.6
63,251900,0.626944,0.626198,-2.990010,2.2107,2.2107,5.9276,5.7639,0.6149,,,0,252000,83.0
64,255900,0.637449,0.637813,-3.571949,2.7637,2.7635,5.8681,5.7320,0.6448,,,0,256000,84.4
65,259900,,,,,,,,,,,0,260000,84.6
66,263900,0.664668,0.662777,-4.199787,3.3588,3.3589,6.2486,6.3220,0.7030,,,0,264000,86.1
67,267900,0.671582,0.670739,-4.875721,4.0041,4.0037,6.5292,6.4693,0.7398,,,0,268000,87.8
68,271900,0.711614,0.705607,-5.560607,4.6759,4.6760,7.2529,7.1017,0.6911,,,0,272000,89.4
69,275900,0.718045,0.717582,-6.273322,5.3824,5.3824,7.4399,7.3387,0.7255,,,0,276000,90.7
70,279900,,,,,,,,,,,0,280000,90.9
71,283900,0.743953,0.739813,-7.009919,6.0794,6.0794,7.6010,7.3649,0.7850,,,0,284000,92.2
72,287900,0.787147,0.784787,-7.813924,6.8533,6.8531,8.4720,8.5157,0.7427,,,0,288000,93.5
73,291900,0.807470,0.799750,-8.576980,7.6051,7.6050,8.4396,8.3015,0.7930,,,0,292000,94.8
74,295900,0.835582,0.832203,-9.368190,8.3980,8.3982,8.9787,9.0690,0.8002,,,0,296000,96.1
75,299900,,,,,,,,,,,0,300000,96.2
76,303900,0.877129,0.872484,-10.160249,9.1750,9.1751,8.9238,9.1639,0.8235,789.39,1001.0,100,304000,97.5
77,307900,1.149434,1.135339,-11.264583,10.2736,10.2737,12.3502,12.0912,0.8772,,,0,308000,98.8
78,311900,1.336739,1.319047,-12.198171,11.2253,11.2256,14.2983,13.9239,0.9087,,,0,312000,100.2
79,315900,1.426307,1.411889,-13.078133,12.1098,12.1102,14.9814,15.0220,0.8902,,,0,316000,101.5
80,319900,,,,,,,,,,,0,320000,101.6
81,323900,1.470986,1.450476,-13.994443,13.0228,13.0229,15.0404,14.9362,0.9462,,,0,324000,102.9
82,327900,1.568083,1.550591,-14.951526,13.9883,13.9881,16.5705,16.3691,1.0192,,,0,328000,104.2
83,331900,1.597043,1.573712,-15.887225,14.9241,14.9242,17.2042,17.5361,0.9544,,,0,332000,105.5
84,335900,1.704849,1.685140,-16.868675,15.8738,15.8742,18.3655,18.5488,0.9510,,,0,336000,106.8
85,339900,,,,,,,,,,,0,340000,106.9
86,343900,1.761012,1.743097,-17.863797,16.8558,16.8563,19.0566,19.2796,0.9451,,,0,344000,108.3
87,347900,1.909057,1.900082,-18.946896,17.8926,17.8929,21.0237,21.3723,0.9597,,,0,348000,109.5
88,351900,1.929470,1.906977,-19.885514,18.8438,18.8442,21.9514,22.0315,0.9755,,,0,352000,110.8
89,355900,2.030731,2.000719,-20.895399,19.8038,19.8038,22.7188,22.9017,1.0747,,,0,356000,112.1
90,359900,,,,,,,,,,,0,360000,112.3
91,363900,2.166374,2.144667,-21.890743,20.7723,20.7725,23.7510,24.1270,1.0400,,,0,364000,113.5
92,367900,2.230845,2.210648,-22.949720,21.8160,21.8161,25.2512,25.9739,0.9709,,,0,368000,114.9
93,371900,2.321780,2.306851,-23.994050,22.8363,22.8367,26.9564,27.4379,1.0843,,,0,372000,116.2
94,375900,2.472519,2.458189,-25.037133,23.8605,23.8604,28.5507,29.6535,1.0773,,,0,376000,117.6
95,379900,,,,,,,,,,,0,380000,117.7
96,383900,2.571284,2.552248,-26.062724,24.8847,24.8852,29.7870,30.1455,1.0035,,,0,384000,119.0
97,387900,2.719440,2.710038,-27.008501,25.8296,25.8297,32.2739,33.0503,1.0932,,,0,388000,120.3
98,391900,2.800867,2.775894,-28.109294,26.8796,26.8795,33.6545,33.8391,1.1064,,,0,392000,121.7
99,395900,2.883758,2.870174,-29.172946,27.9045,27.9049,32.3269,32.0441,1.1676,,,0,396000,123.9
100,399900,,,,,,,,,,,0,400000,124.1
101,403900,3.019541,3.003257,-30.193779,28.9659,28.9655,35.7773,36.2539,1.1991,1392.24,1001.0,100,404000,126.9
102,407900,3.970882,3.941158,-31.736251,30.5431,30.5434,43.1847,43.2994,1.2320,,,0,408000,129.4
103,411900,4.563059,4.525010,-33.720224,32.4847,32.4851,50.2121,49.7333,1.2775,,,0,412000,131.2
104,415900,4.700466,4.650155,-35.832098,34.5635,34.5639,53.5638,52.1913,1.3029,,,0,416000,132.8
105,419900,,,,,,,,,,,0,420000,132.9
106,423900,4.673419,4.659372,-37.955806,36.6354,36.6360,54.5723,53.8747,1.4060,,,0,424000,134.9
107,427900,4.808704,4.774154,-40.124640,38.7903,38.7905,58.2343,57.8405,1.4307,,,0,428000,136.7
108,431900,5.379921,5.331622,-42.312486,40.9537,40.9540,67.6776,67.1265,1.4462,,,0,432000,138.6
109,435900,5.272097,5.225557,-44.459359,43.1451,43.1460,61.6890,62.6849,1.6299,,,0,436000,140.2
110,439900,,,,,,,,,,,0,440000,140.4
111,443900,5.154387,5.140058,-46.827730,45.4835,45.4834,63.5074,65.0863,1.6245,,,0,444000,142.7
112,447900,5.533235,5.475810,-48.953864,47.6300,47.6305,69.3877,68.8086,1.7318,,,0,448000,144.4
113,451900,5.900476,5.863075,-51.188237,49.8778,49.8782,72.3672,73.3050,1.6827,,,0,452000,146.6
114,455900,6.377851,6.323416,-53.628482,52.1159,52.1165,76.3749,76.6105,1.6703,,,0,456000,148.3
115,459900,,,,,,,,,,,0,460000,148.5
116,463900,6.285007,6.204278,-55.743757,54.3762,54.3770,81.0491,79.1464,1.8295,,,0,464000,150.0
117,467900,6.674683,6.620827,-58.038267,56.5697,56.5701,88.5386,89.9450,2.3123,,,0,468000,152.0
118,471900,6.540762,6.487313,-60.524685,59.0036,59.0045,85.6348,89.5619,1.9002,,,0,472000,153.8
119,475900,6.800313,6.750874,-62.638320,61.3598,61.3592,96.8872,99.8526,1.9871,,,0,476000,155.1
120,479900,,,,,,,,,,,0,480000,155.2
121,483900,6.725727,6.651851,-65.151902,63.6894,63.6904,86.0886,88.5562,1.8058,,,0,484000,156.6
122,487900,6.959341,6.888824,-67.097407,65.7341,65.7344,96.3399,98.9151,2.1013,,,0,488000,158.5
123,491900,6.989199,6.922579,-69.545345,68.1026,68.1028,97.5840,101.0848,1.8562,,,0,492000,161.0
124,495900,7.677377,7.584079,-72.061734,70.5696,70.5705,103.1454,105.7538,2.2139,,,0,496000,162.4
125,499900,,,,,,,,,,,0,500000,162.6
126,503900,8.237829,8.166556,-74.277030,72.7788,72.7794,107.0940,107.6632,2.4218,4289.86,1001.0,100,504000,164.8
127,507900,16.321348,16.248293,-76.259313,74.7553,74.7553,189.5319,196.2121,2.5039,,,0,508000,166.3
128,511900,17.231477,17.125090,-78.568570,76.9570,76.9571,182.7721,187.1985,2.1671,,,0,512000,167.9
129,515900,17.672052,17.598432,-81.016044,79.3924,79.3931,181.8146,188.9013,2.2692,,,0,516000,170.7
130,519900,,,,,,,,,,,0,520000,170.9
131,523900,16.516188,16.455549,-83.422734,81.9113,81.9112,164.6223,169.4857,2.0845,,,0,524000,172.6
132,527900,16.923461,16.824395,-85.694478,84.1147,84.1144,176.5119,184.0731,2.4425,,,0,528000,174.2
133,531900,17.775328,17.685759,-87.926673,86.3933,86.3934,188.3570,190.2144,2.1347,,,0,532000,177.0
134,535900,18.539673,18.438652,-90.742072,88.9154,88.9150,208.4527,218.6721,2.1813,,,0,536000,179.4
135,539900,,,,,,,,,,,0,540000,179.5
136,543900,18.209614,18.097282,-92.777434,91.2171,91.2169,196.0619,201.8872,2.5553,,,0,544000,181.1
137,547900,18.322338,18.230293,-95.183417,93.6357,93.6364,216.1514,224.4074,2.6138,,,0,548000,183.3
138,551900,19.564494,19.466849,-97.572959,95.8060,95.8060,219.1089,231.9621,2.3976,,,0,552000,184.8
139,555900,19.656991,19.595634,-99.920985,98.2595,98.2596,212.5716,219.7327,2.4018,,,0,556000,186.8
140,559900,,,,,,,,,,,0,560000,187.0
141,563900,20.265913,20.162564,-102.182147,100.3705,100.3701,230.0284,235.1187,2.7928,,,0,564000,188.6
142,567900,20.322366,20.229315,-104.395201,102.5499,102.5497,227.1651,235.0015,2.4626,,,0,568000,190.1
143,571900,18.731623,18.627428,-106.680837,104.7087,104.7092,218.3362,228.4361,2.3932,,,0,572000,191.7
144,575900,19.409879,19.314869,-108.865276,107.0454,107.0451,216.8996,227.7238,2.8163,,,0,576000,193.1
145,579900,,,,,,,,,,,0,580000,193.2
146,583900,19.285035,19.205244,-110.847787,109.1580,109.1582,233.7958,244.5964,2.8821,,,0,584000,194.9
147,587900,20.284309,20.173865,-113.635396,111.7903,111.7902,245.6652,264.4998,3.0340,,,0,588000,196.4
148,591900,19.839626,19.773847,-115.175635,113.5106,113.5111,237.2675,253.2233,2.4626,,,0,592000,198.0
149,595900,20.476356,20.415492,-117.536965,115.7648,115.7652,229.8670,248.0635,2.7196,,,0,596000,199.7
150,599900,,,,,,,,,,,0,600000,199.8
151,603900,20.044124,19.934530,-119.801299,118.0539,118.0536,246.0159,257.0880,2.8738,4642.71,1001.0,100,604000,201.4
152,607900,32.828181,32.759722,-121.396418,119.7224,119.7230,306.2234,331.3139,2.8089,,,0,608000,202.9
153,611900,29.855970,29.781780,-123.606770,121.8662,121.8655,313.7187,343.6521,3.4864,,,0,612000,204.4
154,615900,33.643187,33.575379,-125.539091,123.9037,123.9043,311.8046,329.3190,2.7446,,,0,616000,206.2
155,619900,,,,,,,,,,,0,620000,206.3
156,623900,32.534854,32.452561,-127.654964,126.0663,126.0672,300.2357,324.6253,2.9553,,,0,624000,208.1
