epoch,step,loss_q,loss_pi,q_val,grad_q,grad_pi_rob,grad_pi_adv,mean_return,mean_length,episodes,dist_episodes,buffer_size,elapsed_s,det_loss,det_dist_loss,det_alpha_loss
1,3900,,,,,,,,,0,0,4000,0.2,,,
2,7900,,,,,,,,,0,0,8000,0.5,,,
3,11900,0.119709,-1.522512,0.5628,0.7702,0.0785,0.0034,,,0,0,12000,2.0,,,
4,15900,0.177297,-1.708295,1.2995,1.7593,0.1244,0.0049,,,0,0,16000,3.5,,,
5,19900,,,,,,,,,0,0,20000,3.6,,,
6,23900,0.182711,-1.732192,1.3125,2.3158,0.2066,0.0116,,,0,0,24000,5.2,,,
7,27900,0.180001,-2.755699,2.0767,2.7518,0.3767,0.0115,,,0,0,28000,6.9,,,
8,31900,0.211613,-3.525694,2.8586,3.3232,0.5097,0.0150,,,0,0,32000,8.4,,,
9,35900,0.199753,-4.177904,3.4967,3.6324,0.5410,0.0162,,,0,0,36000,10.0,,,
10,39900,,,,,,,,,0,0,40000,10.2,,,
11,43900,0.214548,-4.858939,4.1015,3.7194,0.5123,0.0181,,,0,0,44000,11.7,,,
12,47900,0.201683,-5.558703,4.7893,3.6328,0.4413,0.0179,,,0,0,48000,13.2,,,
13,51900,0.211714,-6.202116,5.4510,3.6988,0.4318,0.0175,,,0,0,52000,14.9,,,
14,55900,0.220614,-7.059106,6.2700,3.9108,0.4168,0.0185,,,0,0,56000,16.5,,,
15,59900,,,,,,,,,0,0,60000,16.6,,,
16,63900,0.310669,-7.748957,7.0049,4.2993,0.4164,0.0203,,,0,0,64000,18.1,,,
17,67900,0.349290,-8.419395,7.7041,5.1229,0.3801,0.0239,,,0,0,68000,19.6,,,
18,71900,0.378490,-9.586957,8.7792,5.5908,0.3562,0.0268,,,0,0,72000,21.1,,,
19,75900,0.390663,-11.113714,10.2385,6.3865,0.3524,0.0292,,,0,0,76000,22.6,,,
20,79900,,,,,,,,,0,0,80000,22.8,,,
21,83900,0.407251,-12.860403,11.9502,7.4493,0.3801,0.0326,,,0,0,84000,24.3,,,
22,87900,0.418321,-14.812140,13.8794,7.8671,0.4031,0.0349,,,0,0,88000,25.8,,,
23,91900,0.451544,-16.857574,15.9258,8.3122,0.4274,0.0358,,,0,0,92000,27.4,,,
24,95900,0.490351,-19.026481,18.0904,8.8543,0.4222,0.0387,,,0,0,96000,28.9,,,
25,99900,,,,,,,139.45,1000.0,100,51,100000,29.1,,,
26,103900,1.181312,-21.148734,20.2462,13.5647,0.5642,0.0449,,,0,0,104000,30.9,0.786990,0.635312,0.075839
27,107900,1.185267,-23.830387,23.0323,11.2227,0.5746,0.0506,,,0,0,108000,32.7,0.490550,0.397125,0.046712
28,111900,1.223226,-25.761812,25.0431,11.2390,0.5647,0.0532,,,0,0,112000,34.6,0.213867,0.169817,0.022025
29,115900,1.308330,-27.476465,26.8027,10.6258,0.6137,0.0591,,,0,0,116000,36.4,0.140482,0.116504,0.011989
30,119900,,,,,,,,,0,0,120000,36.6,,,
31,123900,1.336515,-29.035047,28.3788,9.8544,0.5689,0.0625,,,0,0,124000,38.3,0.080809,0.068361,0.006224
32,127900,1.363930,-30.704939,30.0310,10.9712,0.6282,0.0647,,,0,0,128000,40.0,0.042337,0.035878,0.003229
33,131900,1.460824,-32.528825,31.8411,10.4196,0.6068,0.0719,,,0,0,132000,41.7,0.028718,0.024239,0.002239
34,135900,1.510948,-34.479396,33.7766,10.9745,0.6118,0.0768,,,0,0,136000,43.5,0.018830,0.015553,0.001638
35,139900,,,,,,,,,0,0,140000,43.6,,,
36,143900,1.629600,-36.591750,35.8649,12.5210,0.6824,0.0818,,,0,0,144000,45.3,0.022638,0.019192,0.001723
37,147900,1.698947,-38.843270,38.0829,12.2545,0.7173,0.0910,,,0,0,148000,47.2,0.024724,0.021101,0.001812
38,151900,1.800380,-41.141861,40.3614,12.4033,0.7656,0.0985,,,0,0,152000,49.0,0.018466,0.015442,0.001512
39,155900,1.893266,-43.565892,42.7607,13.0878,0.7783,0.1021,,,0,0,156000,50.9,0.009592,0.007484,0.001054
40,159900,,,,,,,,,0,0,160000,51.0,,,
41,163900,1.978027,-45.992103,45.1757,13.5703,0.7964,0.1098,,,0,0,164000,53.2,0.009692,0.007609,0.001042
42,167900,2.109208,-48.575758,47.7262,13.5599,0.7585,0.1122,,,0,0,168000,55.0,0.011103,0.009176,0.000963
43,171900,2.150712,-51.222323,50.3660,14.5592,0.8337,0.1247,,,0,0,172000,56.9,0.003430,0.002015,0.000707
44,175900,2.277157,-53.880094,52.9995,14.1648,0.8032,0.1243,,,0,0,176000,58.8,0.008534,0.006617,0.000958
45,179900,,,,,,,,,0,0,180000,58.9,,,
46,183900,2.295157,-56.634086,55.7248,13.9081,0.7923,0.1342,,,0,0,184000,60.8,0.009556,0.007497,0.001029
47,187900,2.253844,-59.411023,58.5074,14.2921,0.8375,0.1382,,,0,0,188000,62.7,0.007557,0.005740,0.000909
48,191900,2.444148,-62.131153,61.2420,14.3356,0.8085,0.1398,,,0,0,192000,64.5,0.002588,0.001301,0.000643
49,195900,2.470816,-64.849035,63.9558,15.2253,0.8709,0.1479,,,0,0,196000,66.3,0.006398,0.004567,0.000915
50,199900,,,,,,,,,0,0,200000,66.4,,,
51,203900,6.442400,-67.499876,66.6420,17.9722,0.8881,0.1510,1295.34,1001.0,100,48,204000,68.2,0.921491,0.849658,0.035917
52,207900,6.991956,-70.650412,69.7856,19.2993,0.9164,0.1587,,,0,0,208000,70.2,0.261352,0.226576,0.017388
