epoch,global_step,device,epoch_wall_s,steps_per_sec,updates_per_sec,env_step_total_s,env_step_mean_ms,buffer_sample_total_s,buffer_sample_mean_ms,update_total_s,update_mean_ms,gpu_mem_allocated_mb,gpu_mem_reserved_mb
1,3900,GPU (NVIDIA GeForce RTX 3080),0.20,19978.6,0.0,0.102,2.556,0.000,0.000,0.000,0.000,3.5,4.0
2,7900,GPU (NVIDIA GeForce RTX 3080),0.23,17355.4,0.0,0.115,2.877,0.000,0.000,0.000,0.000,12.7,26.0
3,11900,GPU (NVIDIA GeForce RTX 3080),1.56,2562.9,320.4,0.110,2.753,0.094,0.187,1.325,2.650,23.5,38.0
4,15900,GPU (NVIDIA GeForce RTX 3080),1.45,2764.4,345.6,0.125,3.124,0.093,0.187,1.196,2.392,23.5,38.0
5,19900,GPU (NVIDIA GeForce RTX 3080),0.14,27765.7,0.0,0.115,2.870,0.000,0.000,0.000,0.000,23.5,38.0
6,23900,GPU (NVIDIA GeForce RTX 3080),1.46,2735.7,342.0,0.110,2.760,0.104,0.209,1.218,2.436,23.5,38.0
7,27900,GPU (NVIDIA GeForce RTX 3080),1.44,2771.4,346.4,0.115,2.884,0.104,0.207,1.194,2.389,23.5,38.0
8,31900,GPU (NVIDIA GeForce RTX 3080),1.49,2682.3,335.3,0.118,2.960,0.110,0.221,1.231,2.461,23.5,38.0
9,35900,GPU (NVIDIA GeForce RTX 3080),1.53,2608.9,326.1,0.120,2.998,0.123,0.246,1.258,2.516,23.5,38.0
10,39900,GPU (NVIDIA GeForce RTX 3080),0.15,27468.8,0.0,0.116,2.902,0.000,0.000,0.000,0.000,23.5,38.0
11,43900,GPU (NVIDIA GeForce RTX 3080),1.57,2543.0,317.9,0.124,3.104,0.118,0.235,1.294,2.588,23.5,38.0
12,47900,GPU (NVIDIA GeForce RTX 3080),1.50,2659.4,332.4,0.114,2.860,0.120,0.240,1.239,2.478,23.5,38.0
13,51900,GPU (NVIDIA GeForce RTX 3080),1.48,2693.7,336.7,0.118,2.949,0.119,0.237,1.215,2.431,23.5,38.0
14,55900,GPU (NVIDIA GeForce RTX 3080),1.46,2736.7,342.1,0.116,2.899,0.120,0.239,1.195,2.390,23.5,38.0
15,59900,GPU (NVIDIA GeForce RTX 3080),0.15,26825.1,0.0,0.118,2.942,0.000,0.000,0.000,0.000,23.5,38.0
16,63900,GPU (NVIDIA GeForce RTX 3080),1.50,2664.6,333.1,0.113,2.817,0.121,0.242,1.238,2.477,23.5,38.0
17,67900,GPU (NVIDIA GeForce RTX 3080),1.50,2662.7,332.8,0.111,2.769,0.124,0.248,1.239,2.478,23.5,38.0
18,71900,GPU (NVIDIA GeForce RTX 3080),1.49,2680.4,335.0,0.115,2.878,0.129,0.258,1.218,2.436,23.5,38.0
19,75900,GPU (NVIDIA GeForce RTX 3080),1.51,2653.5,331.7,0.118,2.953,0.128,0.256,1.231,2.461,23.5,38.0
20,79900,GPU (NVIDIA GeForce RTX 3080),0.14,27732.3,0.0,0.114,2.852,0.000,0.000,0.000,0.000,23.5,38.0
