epoch,step,loss_q,loss_pi,q_val,grad_q,grad_pi,mean_return,mean_length,episodes,buffer_size,elapsed_s
1,3900,,,,,,,,0,4000,0.2
2,7900,,,,,,,,0,8000,0.4
3,11900,0.136177,-1.741506,0.6332,0.7974,0.0608,,,0,12000,1.8
4,15900,0.145834,-1.887515,1.4527,1.4326,0.1142,,,0,16000,3.2
5,19900,,,,,,,,0,20000,3.3
6,23900,0.161184,-2.722403,2.0228,2.3502,0.2070,,,0,24000,4.6
7,27900,0.189447,-3.919944,3.0852,2.9220,0.3143,,,0,28000,5.8
8,31900,0.253138,-5.145211,4.3083,3.6300,0.4291,,,0,32000,7.1
9,35900,0.242392,-6.078053,5.2083,3.7909,0.4784,,,0,36000,8.4
10,39900,,,,,,,,0,40000,8.6
11,43900,0.238252,-6.808488,5.9472,4.0564,0.4982,,,0,44000,9.9
12,47900,0.239010,-7.632700,6.6406,4.1568,0.5048,,,0,48000,11.2
13,51900,0.259457,-8.920365,7.7540,4.3756,0.4130,,,0,52000,12.6
14,55900,0.295538,-10.050478,8.9619,4.5851,0.4258,,,0,56000,14.0
15,59900,,,,,,,,0,60000,14.1
16,63900,0.262439,-10.692104,9.7496,4.0249,0.3858,,,0,64000,15.4
17,67900,0.253961,-11.357733,10.3833,3.9645,0.4347,,,0,68000,16.6
18,71900,0.310307,-12.022621,11.1087,4.7397,0.4383,,,0,72000,17.8
19,75900,0.369287,-13.058742,12.0950,5.7789,0.4318,,,0,76000,19.0
20,79900,,,,,,,,0,80000,19.2
21,83900,0.483198,-14.693807,13.6060,7.2147,0.4259,,,0,84000,20.4
22,87900,0.565416,-16.753605,15.5864,10.1130,0.4255,,,0,88000,21.6
23,91900,0.588567,-19.165066,17.9558,9.6294,0.4184,,,0,92000,22.9
24,95900,0.616772,-21.749696,20.5254,11.3058,0.4655,,,0,96000,24.2
25,99900,,,,,,61.71,1000.0,100,100000,24.3
26,103900,1.517057,-24.453736,23.2208,15.7806,0.5245,,,0,104000,25.6
27,107900,1.651485,-27.759699,26.5589,15.1737,0.5558,,,0,108000,27.0
28,111900,1.641364,-30.375195,29.2221,14.2318,0.5656,,,0,112000,28.3
29,115900,1.789218,-32.803711,31.7073,13.6885,0.5739,,,0,116000,29.5
30,119900,,,,,,,,0,120000,29.7
31,123900,1.843195,-35.114020,34.0597,13.8203,0.5910,,,0,124000,30.9
32,127900,2.004894,-37.552852,36.5056,14.6212,0.5626,,,0,128000,32.2
33,131900,1.982346,-39.984972,38.9451,15.5000,0.6024,,,0,132000,33.5
34,135900,2.273182,-42.472276,41.4332,15.7776,0.5897,,,0,136000,34.7
35,139900,,,,,,,,0,140000,34.9
36,143900,2.336950,-44.972832,43.9360,14.4299,0.5808,,,0,144000,36.2
37,147900,2.575923,-47.499256,46.4622,16.1261,0.6767,,,0,148000,37.8
38,151900,2.514484,-50.060071,49.0190,15.8254,0.6695,,,0,152000,39.3
39,155900,2.736556,-52.610360,51.5783,17.1031,0.7053,,,0,156000,40.7
40,159900,,,,,,,,0,160000,40.8
41,163900,2.608990,-55.144406,54.1125,16.8505,0.7440,,,0,164000,42.2
42,167900,2.961129,-57.644760,56.6245,18.5230,0.7485,,,0,168000,43.4
43,171900,2.863005,-60.186806,59.1641,17.7401,0.7179,,,0,172000,44.7
44,175900,2.911013,-62.630328,61.6277,18.7989,0.7206,,,0,176000,45.8
45,179900,,,,,,,,0,180000,46.0
46,183900,2.995605,-65.021159,64.0173,19.4923,0.7917,,,0,184000,47.2
47,187900,3.256764,-67.435083,66.4615,19.2379,0.7992,,,0,188000,48.4
48,191900,3.355137,-69.819140,68.8313,22.0929,0.7653,,,0,192000,49.6
49,195900,3.637449,-72.136985,71.1577,20.3916,0.8042,,,0,196000,50.8
50,199900,,,,,,,,0,200000,50.9
51,203900,6.534468,-74.408902,73.4468,24.0830,0.8419,1193.42,1001.0,100,204000,52.1
52,207900,7.364509,-77.271700,76.2951,24.9663,0.8515,,,0,208000,53.3
53,211900,7.192859,-80.269030,79.2720,24.2347,0.8068,,,0,212000,54.5
54,215900,7.609525,-83.225870,82.2281,25.7354,0.8348,,,0,216000,55.8
55,219900,,,,,,,,0,220000,56.0
56,223900,7.415572,-86.200234,85.1949,24.1903,0.8121,,,0,224000,57.2
57,227900,7.785754,-89.219282,88.1997,25.0754,0.8391,,,0,228000,58.4
58,231900,7.269133,-92.261304,91.2414,23.5715,0.8364,,,0,232000,59.6
59,235900,7.688071,-95.365448,94.3141,25.9025,0.8661,,,0,236000,60.8
60,239900,,,,,,,,0,240000,61.0
61,243900,8.514050,-98.515583,97.4687,26.1019,0.8927,,,0,244000,62.2
62,247900,8.482645,-101.644916,100.5757,25.5910,0.9036,,,0,248000,63.4
63,251900,8.130759,-104.637922,103.5977,27.2753,0.8968,,,0,252000,64.7
64,255900,8.824234,-107.775524,106.7226,26.5012,0.9055,,,0,256000,65.9
65,259900,,,,,,,,0,260000,66.1
66,263900,8.646221,-110.858197,109.8000,25.2727,0.9246,,,0,264000,67.5
67,267900,9.349197,-114.006826,112.9413,25.9548,0.9553,,,0,268000,68.9
68,271900,9.377724,-117.150951,116.0663,26.7351,0.9783,,,0,272000,70.4
69,275900,9.640049,-120.290322,119.1944,27.3090,0.9986,,,0,276000,71.8
70,279900,,,,,,,,0,280000,72.0
71,283900,10.486586,-123.467297,122.3644,29.9132,1.0316,,,0,284000,73.4
72,287900,10.149624,-126.603541,125.5032,27.6072,1.0394,,,0,288000,74.9
73,291900,10.075976,-129.809610,128.7227,28.6147,1.0397,,,0,292000,76.3
74,295900,10.336703,-132.978751,131.8639,27.6498,1.0623,,,0,296000,77.8
75,299900,,,,,,,,0,300000,77.9
76,303900,10.021228,-136.172068,135.0433,27.0240,1.0522,2430.21,1001.0,100,304000,79.4
77,307900,21.472758,-138.892780,137.7729,32.9761,1.1311,,,0,308000,80.7
78,311900,19.567924,-141.952499,140.8471,29.6211,1.0770,,,0,312000,81.9
79,315900,22.623927,-144.757749,143.6361,31.2038,1.1077,,,0,316000,83.3
80,319900,,,,,,,,0,320000,83.4
81,323900,21.967411,-147.695455,146.5794,30.6194,1.0973,,,0,324000,84.9
82,327900,23.302687,-150.490135,149.3547,32.0308,1.1382,,,0,328000,86.3
83,331900,22.187187,-153.379404,152.2308,30.1561,1.1204,,,0,332000,87.7
84,335900,21.975094,-156.164113,155.0291,30.8139,1.1182,,,0,336000,89.1
85,339900,,,,,,,,0,340000,89.2
86,343900,23.077864,-158.938740,157.7896,32.8702,1.1523,,,0,344000,90.6
87,347900,23.267499,-161.720777,160.5851,31.6078,1.1666,,,0,348000,92.0
88,351900,20.913742,-164.327293,163.1946,29.2446,1.1487,,,0,352000,93.4
89,355900,21.787153,-166.953429,165.8080,31.7493,1.1570,,,0,356000,94.8
90,359900,,,,,,,,0,360000,94.9
91,363900,22.992316,-169.664460,168.5262,32.3414,1.2126,,,0,364000,96.3
92,367900,23.556994,-172.294760,171.1563,32.8171,1.2147,,,0,368000,97.5
93,371900,21.889294,-174.733567,173.6072,33.7800,1.2022,,,0,372000,98.8
94,375900,24.607226,-177.212991,176.0729,29.8487,1.2225,,,0,376000,100.1
95,379900,,,,,,,,0,380000,100.2
96,383900,25.638206,-179.674044,178.5063,33.7620,1.2284,,,0,384000,101.5
97,387900,23.027104,-182.168247,181.0322,31.9532,1.2401,,,0,388000,102.8
98,391900,24.029619,-184.516005,183.3925,30.5855,1.2312,,,0,392000,104.0
99,395900,24.541625,-186.740750,185.6117,33.5133,1.2594,,,0,396000,105.3
100,399900,,,,,,,,0,400000,105.4
