epoch,global_step,device,epoch_wall_s,steps_per_sec,updates_per_sec,env_step_total_s,env_step_mean_ms,buffer_sample_total_s,buffer_sample_mean_ms,update_total_s,update_mean_ms,gpu_mem_allocated_mb,gpu_mem_reserved_mb
1,3900,GPU (NVIDIA GeForce RTX 3080),0.19,21595.2,0.0,0.108,2.710,0.000,0.000,0.000,0.000,1.1,2.0
2,7900,GPU (NVIDIA GeForce RTX 3080),0.21,18780.0,0.0,0.112,2.808,0.000,0.000,0.000,0.000,10.2,24.0
3,11900,GPU (NVIDIA GeForce RTX 3080),1.34,2991.4,373.9,0.111,2.771,0.111,0.222,1.093,2.186,20.2,32.0
4,15900,GPU (NVIDIA GeForce RTX 3080),1.15,3480.8,435.1,0.107,2.676,0.100,0.200,0.920,1.841,20.2,32.0
5,19900,GPU (NVIDIA GeForce RTX 3080),0.14,27682.9,0.0,0.123,3.083,0.000,0.000,0.000,0.000,20.2,32.0
6,23900,GPU (NVIDIA GeForce RTX 3080),1.30,3088.0,386.0,0.128,3.194,0.132,0.264,1.009,2.018,20.2,32.0
7,27900,GPU (NVIDIA GeForce RTX 3080),1.34,2983.7,373.0,0.122,3.046,0.148,0.296,1.045,2.090,20.2,32.0
8,31900,GPU (NVIDIA GeForce RTX 3080),1.31,3056.1,382.0,0.124,3.106,0.134,0.268,1.025,2.049,20.2,32.0
9,35900,GPU (NVIDIA GeForce RTX 3080),1.32,3023.0,377.9,0.116,2.909,0.146,0.292,1.039,2.078,20.2,32.0
10,39900,GPU (NVIDIA GeForce RTX 3080),0.15,25989.3,0.0,0.128,3.204,0.000,0.000,0.000,0.000,20.2,32.0
11,43900,GPU (NVIDIA GeForce RTX 3080),1.28,3123.6,390.5,0.115,2.885,0.140,0.280,1.000,2.000,20.2,32.0
12,47900,GPU (NVIDIA GeForce RTX 3080),1.30,3074.4,384.3,0.117,2.920,0.145,0.290,1.014,2.028,20.2,32.0
13,51900,GPU (NVIDIA GeForce RTX 3080),1.30,3087.1,385.9,0.119,2.975,0.146,0.293,1.008,2.016,20.2,32.0
14,55900,GPU (NVIDIA GeForce RTX 3080),1.28,3113.9,389.2,0.114,2.843,0.143,0.287,1.004,2.008,20.2,32.0
