epoch,step,loss_q,loss_pi,q_val,grad_q,grad_pi,mean_return,mean_length,episodes,buffer_size,elapsed_s
1,3900,,,,,,13.40,19.4,137,4000,0.2
2,7900,,,,,,17.29,24.6,95,8000,0.5
3,11900,0.107725,-1.910069,1.7303,0.4373,0.0188,31.95,57.3,37,12000,1.9
4,15900,0.455295,-4.761455,4.4608,1.0471,0.1801,74.70,64.4,49,16000,3.2
5,19900,,,,,,77.28,123.5,8,20000,3.4
6,23900,0.832001,-8.564132,8.1683,1.7124,0.1696,172.63,106.6,33,24000,4.7
7,27900,1.346893,-12.506207,12.0995,2.8761,0.2126,181.41,110.1,77,28000,5.9
8,31900,2.132834,-16.791677,16.2893,4.2675,0.2320,119.36,83.2,33,32000,7.2
9,35900,3.104169,-21.344214,20.7328,5.8795,0.3010,179.12,99.5,57,36000,8.5
10,39900,,,,,,127.77,72.8,60,40000,8.6
11,43900,4.067537,-26.077982,25.3278,7.9861,0.3423,170.76,91.1,15,44000,9.8
12,47900,5.343104,-31.027305,30.1512,9.9666,0.4889,216.09,112.4,42,48000,11.0
13,51900,7.068801,-35.857652,34.9387,11.9172,0.5138,213.30,112.2,49,52000,12.1
14,55900,8.761044,-40.749604,39.8426,14.8889,0.5730,214.05,112.4,16,56000,13.3
15,59900,,,,,,218.40,112.1,44,60000,13.5
16,63900,10.422737,-45.470471,44.4814,18.3145,0.6766,224.10,115.2,43,64000,14.7
17,67900,12.511320,-50.355145,49.3278,23.4831,0.7509,238.45,115.5,19,68000,15.9
18,71900,13.952602,-54.911178,53.8251,25.9838,0.6830,250.07,115.2,38,72000,17.1
19,75900,16.658181,-59.582327,58.4766,30.0045,0.7282,246.15,119.2,44,76000,18.4
20,79900,,,,,,236.34,116.7,23,80000,18.6
21,83900,18.938245,-64.367472,63.2626,30.9983,0.7298,230.35,112.9,46,84000,20.0
22,87900,21.452835,-68.792686,67.6956,34.2204,0.8352,228.33,112.6,34,88000,21.3
23,91900,23.066650,-73.307719,72.1518,37.7763,0.8895,228.90,111.6,30,92000,22.5
24,95900,26.157027,-77.727549,76.4955,43.3101,0.9882,230.37,113.3,37,96000,23.7
25,99900,,,,,,233.89,116.7,30,100000,23.8
26,103900,28.951550,-82.120277,80.8890,47.8451,0.9904,237.89,117.5,33,104000,25.0
27,107900,31.765302,-86.379729,85.1052,50.3959,0.9481,282.38,126.6,22,108000,26.2
28,111900,33.817716,-90.707107,89.4001,60.2838,1.2573,305.21,143.9,26,112000,27.4
29,115900,36.932510,-94.877511,93.5162,63.5508,1.1454,275.18,135.5,42,116000,28.5
30,119900,,,,,,316.95,148.5,19,120000,28.7
31,123900,39.874385,-99.336558,97.8445,63.6320,1.0069,343.97,147.2,19,124000,29.9
32,127900,42.978367,-104.059078,102.5043,70.4638,1.0136,351.49,145.0,30,128000,31.1
33,131900,47.120661,-108.435536,106.8599,78.9198,1.0097,376.84,150.8,35,132000,32.3
34,135900,50.120549,-112.835529,111.1902,79.1101,1.0031,368.12,145.6,20,136000,33.5
35,139900,,,,,,440.46,168.1,12,140000,33.6
36,143900,53.276209,-117.833694,116.0291,86.8440,0.9893,457.94,172.2,16,144000,34.8
37,147900,58.273649,-123.100528,121.1124,92.2323,0.9980,424.06,166.7,44,148000,35.9
38,151900,64.496270,-128.504812,126.2825,103.0141,1.0347,442.09,172.1,29,152000,37.1
39,155900,67.055013,-134.097467,131.9052,102.6380,1.0918,217.32,97.0,28,156000,38.3
40,159900,,,,,,280.88,131.5,33,160000,38.4
41,163900,73.950283,-139.315394,137.0367,117.7200,1.1464,309.25,149.7,30,164000,39.6
42,167900,77.939264,-144.405654,142.1543,127.2211,1.1975,354.74,167.1,19,168000,40.8
43,171900,80.851408,-149.698340,147.4376,137.1757,1.3187,343.47,159.9,19,172000,41.9
44,175900,85.582195,-154.446177,152.1718,140.5235,1.3079,339.15,152.7,39,176000,43.1
45,179900,,,,,,343.73,154.8,36,180000,43.3
46,183900,90.090334,-159.159569,156.8586,149.9701,1.3408,334.76,140.9,12,184000,44.5
47,187900,92.286100,-163.998264,161.6994,162.2335,1.3456,331.68,137.7,29,188000,45.6
48,191900,97.015317,-168.242531,165.9796,162.6439,1.4127,331.01,136.1,48,192000,46.8
49,195900,100.346617,-172.600136,170.3001,171.8699,1.4469,335.45,138.6,17,196000,48.0
50,199900,,,,,,221.21,98.8,28,200000,48.1
51,203900,106.330867,-177.030874,174.6796,182.0389,1.5039,193.60,88.0,68,204000,49.3
52,207900,116.297514,-181.047163,178.6358,205.2901,1.5182,224.73,104.4,48,208000,50.4
53,211900,115.918734,-185.694649,183.1615,206.9753,1.5471,348.26,150.4,9,212000,51.6
54,215900,119.066834,-190.686685,188.0596,212.4020,1.4919,334.29,142.6,19,216000,52.8
55,219900,,,,,,340.37,141.3,63,220000,52.9
56,223900,126.009602,-194.807351,192.2307,221.4848,1.5384,334.45,136.7,16,224000,54.1
57,227900,131.447795,-199.639801,196.9745,223.6396,1.5958,380.15,140.2,10,228000,55.3
58,231900,135.560145,-204.515143,201.7685,229.8441,1.5636,389.71,141.5,24,232000,56.5
59,235900,150.213458,-208.904557,206.1123,246.7780,1.5908,424.66,150.8,47,236000,57.6
60,239900,,,,,,483.26,167.4,18,240000,57.8
61,243900,154.992215,-213.650720,210.8183,253.2987,1.6346,419.95,159.7,7,244000,59.0
62,247900,157.394443,-218.371810,215.5199,257.1812,1.6033,438.98,163.8,22,248000,60.2
63,251900,165.581899,-222.402981,219.5840,265.1116,1.6568,470.26,169.6,41,252000,61.4
64,255900,170.224718,-226.768682,223.8938,280.7434,1.7055,473.57,174.1,28,256000,62.5
65,259900,,,,,,439.18,162.0,10,260000,62.7
66,263900,176.012630,-231.256540,228.3378,293.8525,1.7645,386.99,150.2,21,264000,63.9
67,267900,183.665777,-235.125849,232.1909,302.0148,1.8194,397.10,153.8,49,268000,65.1
68,271900,194.812248,-238.965925,236.1019,316.0546,1.9019,445.58,166.9,18,272000,66.3
69,275900,201.117673,-242.949190,240.0024,320.7179,1.8791,471.47,177.3,11,276000,67.5
70,279900,,,,,,403.58,157.8,17,280000,67.7
71,283900,213.292005,-246.520523,243.6386,336.9993,1.8689,444.72,169.5,36,284000,68.8
72,287900,216.256219,-249.823441,246.9620,345.2874,1.9386,507.18,184.6,23,288000,70.0
