epoch,global_step,device,epoch_wall_s,steps_per_sec,updates_per_sec,env_step_total_s,env_step_mean_ms,buffer_sample_total_s,buffer_sample_mean_ms,update_total_s,update_mean_ms,gpu_mem_allocated_mb,gpu_mem_reserved_mb
1,3900,GPU (NVIDIA GeForce RTX 3080),0.22,18531.6,0.0,0.134,3.356,0.000,0.000,0.000,0.000,1.1,2.0
2,7900,GPU (NVIDIA GeForce RTX 3080),0.23,17448.7,0.0,0.132,3.291,0.000,0.000,0.000,0.000,10.2,24.0
3,11900,GPU (NVIDIA GeForce RTX 3080),1.23,3260.7,407.6,0.136,3.396,0.084,0.168,0.982,1.964,20.0,30.0
4,15900,GPU (NVIDIA GeForce RTX 3080),1.22,3276.4,409.5,0.141,3.535,0.083,0.166,0.937,1.873,20.0,30.0
5,19900,GPU (NVIDIA GeForce RTX 3080),0.17,23581.1,0.0,0.146,3.652,0.000,0.000,0.000,0.000,20.0,30.0
6,23900,GPU (NVIDIA GeForce RTX 3080),1.19,3365.8,420.7,0.136,3.390,0.086,0.173,0.943,1.885,20.0,30.0
7,27900,GPU (NVIDIA GeForce RTX 3080),1.20,3340.2,417.5,0.141,3.524,0.090,0.180,0.944,1.887,20.0,30.0
8,31900,GPU (NVIDIA GeForce RTX 3080),1.24,3218.3,402.3,0.139,3.481,0.091,0.183,0.987,1.975,20.0,30.0
9,35900,GPU (NVIDIA GeForce RTX 3080),1.28,3132.6,391.6,0.139,3.475,0.094,0.187,0.948,1.896,20.0,30.0
10,39900,GPU (NVIDIA GeForce RTX 3080),0.16,24367.0,0.0,0.140,3.492,0.000,0.000,0.000,0.000,20.0,30.0
11,43900,GPU (NVIDIA GeForce RTX 3080),1.15,3474.0,434.2,0.133,3.332,0.096,0.192,0.898,1.797,20.0,30.0
12,47900,GPU (NVIDIA GeForce RTX 3080),1.16,3438.5,429.8,0.139,3.465,0.099,0.198,0.902,1.805,20.0,30.0
13,51900,GPU (NVIDIA GeForce RTX 3080),1.22,3285.6,410.7,0.140,3.503,0.107,0.214,0.946,1.893,20.0,30.0
14,55900,GPU (NVIDIA GeForce RTX 3080),1.22,3269.7,408.7,0.143,3.566,0.097,0.194,0.959,1.918,20.0,30.0
15,59900,GPU (NVIDIA GeForce RTX 3080),0.17,23365.3,0.0,0.146,3.660,0.000,0.000,0.000,0.000,20.0,30.0
16,63900,GPU (NVIDIA GeForce RTX 3080),1.15,3473.7,434.2,0.144,3.603,0.098,0.195,0.887,1.774,20.0,30.0
17,67900,GPU (NVIDIA GeForce RTX 3080),1.17,3431.8,429.0,0.142,3.559,0.095,0.191,0.873,1.746,20.0,30.0
18,71900,GPU (NVIDIA GeForce RTX 3080),1.15,3474.9,434.4,0.145,3.626,0.102,0.203,0.880,1.760,20.0,30.0
19,75900,GPU (NVIDIA GeForce RTX 3080),1.15,3482.4,435.3,0.145,3.622,0.103,0.206,0.877,1.754,20.0,30.0
20,79900,GPU (NVIDIA GeForce RTX 3080),0.17,24031.5,0.0,0.144,3.589,0.000,0.000,0.000,0.000,20.0,30.0
21,83900,GPU (NVIDIA GeForce RTX 3080),1.16,3460.7,432.6,0.142,3.538,0.104,0.208,0.885,1.770,20.0,30.0
