epoch,step,loss_q,loss_pi,q_val,grad_q,grad_pi_rob,grad_pi_adv,mean_return,mean_length,episodes,dist_episodes,buffer_size,elapsed_s
1,3900,,,,,,,12.63,17.9,160,89,4000,0.3
2,7900,,,,,,,22.63,24.2,99,44,8000,0.5
3,11900,0.234570,-2.788326,2.5548,0.6632,0.0048,0.0016,65.17,44.0,90,46,12000,2.1
4,15900,0.543900,-7.100927,6.7508,1.6617,0.1133,0.0045,183.85,110.8,5,2,16000,3.5
5,19900,,,,,,,161.34,86.2,81,40,20000,3.7
6,23900,1.279793,-11.766825,11.3273,3.6196,0.1818,0.0045,97.13,53.0,62,25,24000,5.2
7,27900,1.979359,-16.488710,16.0330,5.6080,0.2980,0.0074,167.48,86.6,30,11,28000,6.7
8,31900,3.036178,-21.025210,20.5295,7.9728,0.3311,0.0091,166.95,86.6,69,35,32000,8.2
9,35900,4.025940,-25.688959,25.1394,8.9434,0.3051,0.0119,168.34,87.3,14,7,36000,9.8
10,39900,,,,,,,167.27,86.1,84,39,40000,9.9
11,43900,5.838775,-30.026207,29.5020,10.2922,0.3858,0.0199,165.96,86.7,9,1,44000,11.4
12,47900,7.180755,-34.198894,33.7031,12.6856,0.4583,0.0269,143.39,75.2,110,55,48000,12.9
13,51900,9.897084,-38.052652,37.5842,18.0925,0.4090,0.0378,41.66,26.1,33,26,52000,14.4
14,55900,11.209352,-42.430477,41.7546,21.8261,0.3762,0.0532,176.78,84.6,65,18,56000,16.0
15,59900,,,,,,,181.22,91.0,35,15,60000,16.2
16,63900,13.256098,-46.681133,46.0155,24.2811,0.4732,0.0528,181.80,88.3,29,16,64000,17.6
17,67900,15.547222,-50.722714,50.0745,28.1041,0.6486,0.0673,193.99,93.2,71,39,68000,19.1
18,71900,17.447018,-54.761165,54.0626,33.2459,0.6482,0.0768,184.98,86.2,19,8,72000,20.6
19,75900,19.816718,-58.867183,58.1439,39.9412,0.6294,0.0767,186.16,93.0,66,31,76000,22.2
20,79900,,,,,,,223.33,94.7,16,11,80000,22.4
21,83900,22.261809,-63.049785,62.2496,44.0461,0.6767,0.0909,259.08,103.9,25,16,84000,24.0
22,87900,24.624461,-67.471436,66.5300,49.2910,0.7913,0.1008,249.91,107.4,70,33,88000,25.6
23,91900,26.878027,-71.947573,70.9768,53.8948,0.8622,0.0930,239.37,104.8,15,8,92000,27.2
24,95900,30.277175,-76.310572,75.2688,56.3958,0.8623,0.1042,233.09,103.5,54,27,96000,28.9
25,99900,,,,,,,232.52,104.5,37,14,100000,29.0
26,103900,33.048064,-80.438719,79.4265,64.8518,0.8618,0.1141,263.74,107.0,17,11,104000,30.5
27,107900,34.874378,-84.906395,83.8065,69.5779,0.9462,0.1272,267.89,115.2,63,32,108000,32.1
28,111900,39.374330,-89.050480,87.8606,73.4427,0.9366,0.1097,257.67,113.8,21,10,112000,33.7
29,115900,40.491063,-93.695807,92.4698,80.4031,1.0180,0.1224,265.64,112.0,21,10,116000,35.2
30,119900,,,,,,,284.23,112.3,64,33,120000,35.4
31,123900,43.284629,-97.980849,96.7587,85.1876,1.0094,0.1350,272.68,115.1,18,8,124000,36.9
32,127900,45.633705,-102.274040,101.0687,91.4161,1.0759,0.1521,276.27,114.9,17,9,128000,38.4
33,131900,49.148714,-106.589549,105.3547,91.7920,1.1673,0.1478,285.61,120.5,61,34,132000,39.9
34,135900,52.752513,-110.270846,109.0816,96.9819,1.2267,0.1597,280.98,123.8,23,8,136000,41.4
35,139900,,,,,,,278.93,116.8,16,7,140000,41.6
36,143900,54.389647,-114.540940,113.3322,96.8847,1.2018,0.1625,290.39,115.4,66,19,144000,43.1
37,147900,58.684850,-118.156348,116.9042,103.1940,1.3412,0.1777,225.07,95.3,27,12,148000,44.6
38,151900,60.609418,-122.092581,120.8388,108.9269,1.4104,0.2140,274.30,114.0,21,10,152000,46.1
39,155900,63.505047,-125.956266,124.6225,109.8550,1.4582,0.1975,276.82,120.3,51,24,156000,47.6
40,159900,,,,,,,259.11,116.3,23,6,160000,47.8
41,163900,69.328387,-129.832185,128.4347,115.3329,1.3975,0.2106,309.65,130.4,17,11,164000,49.3
42,167900,72.919373,-133.612458,132.2336,120.0538,1.4864,0.2166,309.24,126.9,58,35,168000,51.0
43,171900,76.539762,-136.765876,135.4618,130.9556,1.4102,0.2168,298.08,122.7,23,12,172000,52.8
44,175900,77.044539,-140.532758,139.2279,124.4574,1.5267,0.2156,301.90,120.2,19,10,176000,54.8
45,179900,,,,,,,331.44,128.4,38,20,180000,55.0
46,183900,80.791983,-143.495782,142.1799,134.8633,1.5783,0.2125,344.03,130.8,38,19,184000,57.1
47,187900,82.576387,-146.640905,145.3372,137.7120,1.6445,0.2313,351.62,129.9,21,9,188000,59.1
48,191900,84.818237,-149.688549,148.3722,139.1754,1.7124,0.2272,349.10,126.9,33,15,192000,61.2
49,195900,90.263990,-152.397325,151.0232,141.0665,1.6330,0.2364,337.88,126.0,45,25,196000,63.6
50,199900,,,,,,,330.89,124.7,21,13,200000,63.8
51,203900,96.065802,-155.880845,154.4453,149.9399,1.6794,0.2501,334.32,124.1,18,9,204000,65.9
52,207900,96.223491,-159.051984,157.5863,145.5984,1.7098,0.2557,376.99,134.2,52,28,208000,67.9
53,211900,101.849285,-162.094202,160.6458,149.9172,1.7450,0.2552,364.39,130.1,21,9,212000,69.9
54,215900,104.916888,-165.209934,163.7347,160.1376,1.9318,0.2684,360.19,133.2,20,8,216000,72.0
55,219900,,,,,,,343.01,129.5,53,25,220000,72.2
56,223900,110.612342,-168.060752,166.5488,172.6316,1.8666,0.2932,307.30,121.6,27,10,224000,74.2
57,227900,113.906764,-171.204724,169.7262,168.9804,1.9558,0.3097,289.75,121.2,22,9,228000,76.2
58,231900,121.502906,-173.905301,172.3870,175.5594,1.8828,0.3151,268.56,116.1,46,28,232000,78.4
59,235900,125.226468,-176.779985,175.1841,174.4354,1.9312,0.3418,325.04,131.6,28,13,236000,80.6
60,239900,,,,,,,313.79,130.4,21,10,240000,80.8
61,243900,131.959541,-179.467601,177.9253,182.2467,1.9887,0.3312,307.07,126.1,46,28,244000,82.9
62,247900,137.788506,-181.877917,180.3291,192.8486,2.1054,0.3550,318.33,127.4,29,12,248000,84.9
63,251900,148.053306,-184.475544,182.9247,192.6017,2.0516,0.3365,293.36,124.6,19,10,252000,86.6
64,255900,149.226859,-186.641092,185.1060,195.7045,2.0394,0.3557,326.15,131.4,36,15,256000,88.6
65,259900,,,,,,,330.79,132.5,39,19,260000,88.8
66,263900,153.999439,-188.971170,187.4189,197.8163,2.1531,0.3591,350.85,130.2,22,14,264000,90.8
67,267900,156.675935,-191.099165,189.5736,201.7255,2.2080,0.3719,332.46,129.9,25,15,268000,92.7
68,271900,163.849163,-192.821926,191.3171,209.3692,2.3133,0.3810,318.05,127.8,50,22,272000,94.7
69,275900,166.747853,-194.798754,193.3184,212.2196,2.3451,0.3967,302.69,124.2,21,8,276000,96.6
70,279900,,,,,,,277.97,119.2,26,14,280000,96.8
71,283900,169.379773,-196.638884,195.1503,217.5003,2.3026,0.3861,309.84,126.7,47,30,284000,98.8
72,287900,173.492422,-198.289191,196.7940,218.6545,2.4792,0.3934,279.33,118.6,31,17,288000,100.7
73,291900,173.145164,-200.283844,198.7718,220.0460,2.5494,0.4185,249.00,109.9,24,11,292000,102.6
74,295900,181.093880,-202.022940,200.5006,223.0938,2.4846,0.4286,305.44,124.8,40,24,296000,104.5
75,299900,,,,,,,291.98,123.3,32,15,300000,104.7
76,303900,185.235887,-203.768344,202.2131,230.3919,2.7046,0.4308,307.71,126.2,25,17,304000,106.6
77,307900,188.594239,-205.487340,203.9499,229.8213,2.5861,0.4448,308.44,126.4,38,16,308000,108.5
78,311900,188.956928,-207.301269,205.6636,231.3678,2.7764,0.4539,295.28,128.5,34,15,312000,110.4
79,315900,193.192011,-209.156762,207.5771,235.8454,2.7062,0.4637,314.28,129.5,26,12,316000,112.3
80,319900,,,,,,,322.85,126.4,33,17,320000,112.5
81,323900,195.083866,-210.841670,209.2430,235.8213,2.7477,0.4589,285.46,124.7,38,27,324000,114.4
82,327900,197.862260,-212.494813,210.8408,236.8761,2.8592,0.4809,248.86,111.8,39,22,328000,116.3
83,331900,202.287999,-214.578886,212.8773,240.3693,2.8250,0.4573,266.61,109.8,32,19,332000,118.2
84,335900,217.516300,-216.065050,214.4481,245.9025,2.8885,0.4722,251.61,106.7,40,25,336000,120.1
85,339900,,,,,,,297.81,116.1,26,12,340000,120.3
86,343900,220.047113,-217.498900,215.8991,247.4725,2.8579,0.4905,311.98,121.1,33,14,344000,122.2
87,347900,223.615156,-219.154398,217.5129,245.5888,2.8408,0.5115,328.24,127.4,35,15,348000,124.1
88,351900,228.023128,-220.745725,219.0763,246.6908,3.0915,0.4842,332.52,129.5,27,13,352000,126.1
89,355900,228.723876,-222.186362,220.5873,253.7173,2.9893,0.4967,355.76,134.6,29,11,356000,128.1
90,359900,,,,,,,356.23,137.7,19,13,360000,128.3
91,363900,230.789705,-223.574272,221.9363,251.5263,3.1563,0.5086,341.62,138.6,33,16,364000,130.4
92,367900,225.856445,-225.048477,223.4324,250.4970,2.9711,0.5487,356.44,141.8,38,23,368000,132.3
93,371900,229.060270,-226.473741,224.7929,262.9276,3.0638,0.5432,336.36,137.5,17,5,372000,134.3
94,375900,240.166329,-227.795945,226.1020,271.1588,3.0473,0.5388,339.39,136.6,38,15,376000,136.2
95,379900,,,,,,,306.71,128.4,29,19,380000,136.4
96,383900,246.023420,-229.209875,227.5626,275.8007,3.1553,0.5555,329.28,138.0,30,17,384000,138.3
97,387900,239.650262,-230.449754,228.8521,251.4374,3.0427,0.5434,300.68,123.4,20,12,388000,140.1
98,391900,246.609577,-231.293009,229.7294,269.1436,3.3186,0.5843,339.10,139.8,40,18,392000,141.9
99,395900,248.113226,-232.389045,230.8232,269.1831,3.3093,0.5785,334.78,138.5,29,10,396000,143.7
100,399900,,,,,,,331.40,137.7,19,11,400000,143.9
