epoch,global_step,device,epoch_wall_s,steps_per_sec,updates_per_sec,env_step_total_s,env_step_mean_ms,buffer_sample_total_s,buffer_sample_mean_ms,update_total_s,update_mean_ms,gpu_mem_allocated_mb,gpu_mem_reserved_mb
1,3900,GPU (NVIDIA GeForce RTX 3080),0.27,15035.7,0.0,0.150,3.752,0.000,0.000,0.000,0.000,1.9,4.0
2,7900,GPU (NVIDIA GeForce RTX 3080),0.26,15282.1,0.0,0.138,3.438,0.000,0.000,0.000,0.000,11.0,24.0
3,11900,GPU (NVIDIA GeForce RTX 3080),1.81,2205.3,275.7,0.141,3.521,0.130,0.260,1.505,3.009,21.6,36.0
4,15900,GPU (NVIDIA GeForce RTX 3080),1.93,2073.6,259.2,0.153,3.823,0.155,0.310,1.579,3.157,21.6,36.0
5,19900,GPU (NVIDIA GeForce RTX 3080),0.21,18889.8,0.0,0.155,3.866,0.000,0.000,0.000,0.000,21.6,36.0
6,23900,GPU (NVIDIA GeForce RTX 3080),1.81,2209.4,276.2,0.150,3.746,0.154,0.308,1.468,2.937,21.6,36.0
7,27900,GPU (NVIDIA GeForce RTX 3080),1.90,2100.7,262.6,0.146,3.662,0.159,0.318,1.558,3.116,21.6,36.0
8,31900,GPU (NVIDIA GeForce RTX 3080),1.87,2133.5,266.7,0.154,3.852,0.164,0.329,1.521,3.041,21.6,36.0
9,35900,GPU (NVIDIA GeForce RTX 3080),1.83,2182.9,272.9,0.155,3.874,0.164,0.327,1.472,2.944,21.6,36.0
10,39900,GPU (NVIDIA GeForce RTX 3080),0.19,20514.1,0.0,0.155,3.864,0.000,0.000,0.000,0.000,21.6,36.0
11,43900,GPU (NVIDIA GeForce RTX 3080),1.87,2135.2,266.9,0.155,3.864,0.158,0.315,1.517,3.035,21.6,36.0
12,47900,GPU (NVIDIA GeForce RTX 3080),1.75,2287.6,286.0,0.153,3.829,0.154,0.307,1.402,2.805,21.6,36.0
13,51900,GPU (NVIDIA GeForce RTX 3080),1.81,2213.0,276.6,0.148,3.707,0.154,0.309,1.467,2.933,21.6,36.0
