epoch,global_step,device,epoch_wall_s,steps_per_sec,updates_per_sec,env_step_total_s,env_step_mean_ms,buffer_sample_total_s,buffer_sample_mean_ms,update_total_s,update_mean_ms,gpu_mem_allocated_mb,gpu_mem_reserved_mb
1,3900,GPU (NVIDIA GeForce RTX 3080),0.25,16322.2,0.0,0.135,3.381,0.000,0.000,0.000,0.000,3.5,4.0
2,7900,GPU (NVIDIA GeForce RTX 3080),0.26,15405.1,0.0,0.140,3.490,0.000,0.000,0.000,0.000,12.6,26.0
3,11900,GPU (NVIDIA GeForce RTX 3080),1.95,2056.0,257.0,0.136,3.409,0.098,0.196,1.381,2.762,28.0,68.0
4,15900,GPU (NVIDIA GeForce RTX 3080),1.88,2128.8,266.1,0.141,3.534,0.108,0.217,1.360,2.719,28.0,68.0
5,19900,GPU (NVIDIA GeForce RTX 3080),0.17,23596.4,0.0,0.138,3.459,0.000,0.000,0.000,0.000,28.0,68.0
6,23900,GPU (NVIDIA GeForce RTX 3080),1.90,2110.4,263.8,0.145,3.631,0.112,0.225,1.369,2.738,28.0,68.0
7,27900,GPU (NVIDIA GeForce RTX 3080),1.81,2204.5,275.6,0.145,3.620,0.113,0.227,1.303,2.607,28.0,68.0
8,31900,GPU (NVIDIA GeForce RTX 3080),1.98,2022.6,252.8,0.152,3.790,0.130,0.259,1.434,2.868,28.0,68.0
9,35900,GPU (NVIDIA GeForce RTX 3080),1.93,2077.6,259.7,0.150,3.747,0.123,0.247,1.378,2.756,28.0,68.0
10,39900,GPU (NVIDIA GeForce RTX 3080),0.18,22127.0,0.0,0.145,3.629,0.000,0.000,0.000,0.000,28.0,68.0
11,43900,GPU (NVIDIA GeForce RTX 3080),1.91,2099.2,262.4,0.147,3.664,0.132,0.265,1.345,2.690,28.0,68.0
12,47900,GPU (NVIDIA GeForce RTX 3080),2.02,1984.9,248.1,0.150,3.751,0.149,0.299,1.452,2.904,28.0,68.0
13,51900,GPU (NVIDIA GeForce RTX 3080),1.87,2133.9,266.7,0.142,3.558,0.132,0.265,1.324,2.649,28.0,68.0
14,55900,GPU (NVIDIA GeForce RTX 3080),1.87,2135.5,266.9,0.146,3.653,0.122,0.243,1.320,2.639,28.0,68.0
15,59900,GPU (NVIDIA GeForce RTX 3080),0.20,20449.2,0.0,0.154,3.851,0.000,0.000,0.000,0.000,28.0,68.0
16,63900,GPU (NVIDIA GeForce RTX 3080),2.04,1962.4,245.3,0.144,3.597,0.161,0.322,1.477,2.955,28.0,68.0
17,67900,GPU (NVIDIA GeForce RTX 3080),1.83,2180.9,272.6,0.170,4.254,0.122,0.244,1.277,2.554,28.0,68.0
18,71900,GPU (NVIDIA GeForce RTX 3080),1.90,2103.1,262.9,0.165,4.135,0.136,0.273,1.320,2.640,28.0,68.0
19,75900,GPU (NVIDIA GeForce RTX 3080),1.98,2024.9,253.1,0.156,3.894,0.137,0.273,1.388,2.776,28.0,68.0
20,79900,GPU (NVIDIA GeForce RTX 3080),0.20,19883.1,0.0,0.158,3.954,0.000,0.000,0.000,0.000,28.0,68.0
21,83900,GPU (NVIDIA GeForce RTX 3080),1.94,2064.7,258.1,0.146,3.647,0.139,0.279,1.381,2.762,28.0,68.0
22,87900,GPU (NVIDIA GeForce RTX 3080),1.85,2158.2,269.8,0.152,3.805,0.131,0.262,1.316,2.632,28.0,68.0
23,91900,GPU (NVIDIA GeForce RTX 3080),1.75,2291.2,286.4,0.144,3.593,0.123,0.246,1.228,2.456,28.0,68.0
24,95900,GPU (NVIDIA GeForce RTX 3080),1.81,2212.4,276.6,0.145,3.634,0.129,0.259,1.280,2.561,28.0,68.0
25,99900,GPU (NVIDIA GeForce RTX 3080),0.22,17961.1,0.0,0.151,3.766,0.000,0.000,0.000,0.000,28.0,68.0
26,103900,GPU (NVIDIA GeForce RTX 3080),2.03,1971.0,246.4,0.152,3.809,0.140,0.279,1.441,2.882,28.0,68.0
27,107900,GPU (NVIDIA GeForce RTX 3080),2.07,1930.0,241.3,0.154,3.847,0.148,0.297,1.486,2.973,28.0,68.0
28,111900,GPU (NVIDIA GeForce RTX 3080),2.09,1915.9,239.5,0.150,3.756,0.172,0.344,1.479,2.958,28.0,68.0
29,115900,GPU (NVIDIA GeForce RTX 3080),2.04,1957.3,244.7,0.152,3.793,0.159,0.317,1.484,2.967,28.0,68.0
30,119900,GPU (NVIDIA GeForce RTX 3080),0.18,22128.0,0.0,0.147,3.677,0.000,0.000,0.000,0.000,28.0,68.0
31,123900,GPU (NVIDIA GeForce RTX 3080),1.74,2296.4,287.1,0.141,3.536,0.119,0.239,1.230,2.460,28.0,68.0
32,127900,GPU (NVIDIA GeForce RTX 3080),1.72,2318.9,289.9,0.143,3.565,0.118,0.235,1.220,2.439,28.0,68.0
33,131900,GPU (NVIDIA GeForce RTX 3080),1.76,2270.5,283.8,0.140,3.512,0.125,0.250,1.242,2.483,28.0,68.0
34,135900,GPU (NVIDIA GeForce RTX 3080),1.74,2295.3,286.9,0.138,3.442,0.123,0.247,1.237,2.474,28.0,68.0
35,139900,GPU (NVIDIA GeForce RTX 3080),0.18,22827.7,0.0,0.139,3.480,0.000,0.000,0.000,0.000,28.0,68.0
36,143900,GPU (NVIDIA GeForce RTX 3080),1.77,2255.4,281.9,0.144,3.589,0.126,0.252,1.245,2.489,28.0,68.0
37,147900,GPU (NVIDIA GeForce RTX 3080),1.90,2106.5,263.3,0.147,3.680,0.145,0.291,1.347,2.693,28.0,68.0
