epoch,step,loss_q,loss_pi,q_val,grad_q,grad_pi_rob,grad_pi_adv,mean_return,mean_length,episodes,dist_episodes,buffer_size,elapsed_s,det_loss,det_dist_loss,det_alpha_loss
1,3900,,,,,,,12.85,19.1,144,64,4000,0.3,,,
2,7900,,,,,,,18.45,27.5,122,62,8000,0.6,,,
3,11900,0.139703,-2.013605,1.7546,0.4659,0.0469,0.0013,18.67,33.2,74,40,12000,3.0,0.783545,0.685644,0.048950
4,15900,0.591338,-5.363068,4.9987,1.1534,0.1058,0.0000,66.39,48.0,60,37,16000,5.0,0.769257,0.674398,0.047430
5,19900,,,,,,,80.72,126.0,1,1,20000,5.2,,,
6,23900,1.097898,-9.912545,9.4626,2.0361,0.1622,0.0040,184.95,99.9,98,50,24000,7.1,0.734694,0.650695,0.042000
7,27900,2.348347,-14.440463,13.9476,3.9974,0.2844,0.0091,231.79,178.5,2,2,28000,8.9,0.746977,0.646634,0.050172
8,31900,2.940605,-19.830080,19.1535,5.8957,0.4780,0.0095,210.91,95.2,77,33,32000,10.7,0.718247,0.627285,0.045481
9,35900,3.967292,-24.816158,24.1376,8.3288,0.3654,0.0109,204.22,93.0,23,13,36000,12.5,0.718097,0.624735,0.046681
10,39900,,,,,,,170.66,86.6,54,30,40000,12.7,,,
11,43900,5.578801,-29.855781,28.9765,11.1273,0.4950,0.0210,173.98,88.0,46,26,44000,14.6,0.706925,0.613845,0.046540
12,47900,7.487470,-35.131392,34.2287,14.8709,0.4945,0.0231,170.21,87.4,32,12,48000,16.4,0.716655,0.620913,0.047871
13,51900,9.866204,-40.002122,39.1090,18.7271,0.5014,0.0300,171.50,87.0,68,36,52000,18.3,0.721230,0.623392,0.048919
14,55900,11.041076,-44.596873,43.8131,19.9830,0.5356,0.0360,169.77,86.5,11,2,56000,20.2,0.712055,0.614078,0.048989
15,59900,,,,,,,171.05,85.0,89,45,60000,20.4,,,
16,63900,13.891394,-49.169383,48.1448,21.2996,0.5982,0.0439,90.40,49.2,14,11,64000,22.3,0.700609,0.602637,0.048986
17,67900,15.870624,-54.275843,53.3251,22.5438,0.6330,0.0535,182.75,85.5,86,41,68000,24.2,0.691933,0.595335,0.048299
18,71900,17.488967,-58.877033,57.8640,24.3262,0.6778,0.0624,175.32,84.6,11,6,72000,26.0,0.695877,0.597704,0.049087
19,75900,19.293638,-63.276028,62.2840,30.6107,0.7499,0.0639,174.57,84.0,89,48,76000,27.9,0.711414,0.610277,0.050568
20,79900,,,,,,,176.66,86.8,10,5,80000,28.1,,,
21,83900,21.738180,-67.842614,66.8283,33.0892,0.8395,0.0776,175.47,86.3,90,39,84000,30.1,0.704965,0.603361,0.050802
22,87900,24.535069,-71.681063,70.7034,39.6700,0.8274,0.0882,164.24,78.9,10,6,88000,32.2,0.705397,0.603641,0.050878
23,91900,26.335502,-75.895030,74.8456,42.0618,0.9437,0.0997,163.51,80.6,90,45,92000,34.2,0.693573,0.592394,0.050590
24,95900,28.410084,-79.851891,78.8514,45.6578,1.0437,0.1062,173.32,84.1,7,3,96000,36.6,0.701237,0.598540,0.051349
25,99900,,,,,,,187.60,88.3,54,22,100000,36.8,,,
26,103900,31.623815,-83.653044,82.6615,54.3126,0.9627,0.1281,191.25,88.5,44,26,104000,39.4,0.707142,0.603992,0.051575
27,107900,34.539285,-87.368818,86.4191,60.7184,1.0197,0.1193,189.46,87.5,27,13,108000,41.6,0.710060,0.605571,0.052244
28,111900,38.107592,-90.469898,89.5069,69.3590,1.1329,0.1279,189.36,88.4,71,36,112000,43.6,0.705007,0.601370,0.051819
