epoch,global_step,device,epoch_wall_s,steps_per_sec,updates_per_sec,env_step_total_s,env_step_mean_ms,buffer_sample_total_s,buffer_sample_mean_ms,update_total_s,update_mean_ms,gpu_mem_allocated_mb,gpu_mem_reserved_mb
1,3900,GPU (NVIDIA GeForce RTX 3080),0.22,17841.3,0.0,0.142,3.549,0.000,0.000,0.000,0.000,1.1,2.0
2,7900,GPU (NVIDIA GeForce RTX 3080),0.24,16748.2,0.0,0.140,3.501,0.000,0.000,0.000,0.000,10.2,24.0
3,11900,GPU (NVIDIA GeForce RTX 3080),1.26,3185.2,398.1,0.141,3.514,0.088,0.177,1.004,2.008,20.0,30.0
4,15900,GPU (NVIDIA GeForce RTX 3080),1.09,3678.6,459.8,0.147,3.676,0.077,0.153,0.838,1.676,20.0,30.0
5,19900,GPU (NVIDIA GeForce RTX 3080),0.18,22080.6,0.0,0.155,3.877,0.000,0.000,0.000,0.000,20.0,30.0
6,23900,GPU (NVIDIA GeForce RTX 3080),1.18,3392.9,424.1,0.152,3.797,0.093,0.187,0.906,1.812,20.0,30.0
7,27900,GPU (NVIDIA GeForce RTX 3080),1.23,3241.7,405.2,0.148,3.698,0.107,0.214,0.952,1.905,20.0,30.0
8,31900,GPU (NVIDIA GeForce RTX 3080),1.36,2939.8,367.5,0.151,3.765,0.133,0.267,1.050,2.101,20.0,30.0
9,35900,GPU (NVIDIA GeForce RTX 3080),1.29,3102.1,387.8,0.147,3.669,0.128,0.256,0.987,1.974,20.0,30.0
10,39900,GPU (NVIDIA GeForce RTX 3080),0.18,22298.6,0.0,0.154,3.848,0.000,0.000,0.000,0.000,20.0,30.0
11,43900,GPU (NVIDIA GeForce RTX 3080),1.41,2843.4,355.4,0.163,4.080,0.147,0.293,1.066,2.132,20.0,30.0
12,47900,GPU (NVIDIA GeForce RTX 3080),1.59,2522.6,315.3,0.158,3.957,0.171,0.342,1.224,2.448,20.0,30.0
13,51900,GPU (NVIDIA GeForce RTX 3080),1.49,2676.8,334.6,0.150,3.760,0.162,0.324,1.155,2.310,20.0,30.0
14,55900,GPU (NVIDIA GeForce RTX 3080),1.47,2716.3,339.5,0.149,3.718,0.157,0.314,1.138,2.277,20.0,30.0
15,59900,GPU (NVIDIA GeForce RTX 3080),0.18,22087.7,0.0,0.152,3.812,0.000,0.000,0.000,0.000,20.0,30.0
16,63900,GPU (NVIDIA GeForce RTX 3080),1.48,2708.8,338.6,0.149,3.736,0.143,0.285,1.159,2.317,20.0,30.0
17,67900,GPU (NVIDIA GeForce RTX 3080),1.41,2828.7,353.6,0.156,3.897,0.147,0.295,1.083,2.167,20.0,30.0
18,71900,GPU (NVIDIA GeForce RTX 3080),1.37,2919.3,364.9,0.152,3.812,0.144,0.287,1.048,2.095,20.0,30.0
19,75900,GPU (NVIDIA GeForce RTX 3080),1.25,3208.8,401.1,0.148,3.689,0.125,0.251,0.947,1.895,20.0,30.0
20,79900,GPU (NVIDIA GeForce RTX 3080),0.17,22912.9,0.0,0.150,3.754,0.000,0.000,0.000,0.000,20.0,30.0
21,83900,GPU (NVIDIA GeForce RTX 3080),1.19,3351.3,418.9,0.140,3.499,0.114,0.228,0.916,1.833,20.0,30.0
22,87900,GPU (NVIDIA GeForce RTX 3080),1.16,3452.5,431.6,0.143,3.568,0.111,0.222,0.882,1.764,20.0,30.0
23,91900,GPU (NVIDIA GeForce RTX 3080),1.22,3288.7,411.1,0.141,3.513,0.116,0.232,0.936,1.872,20.0,30.0
24,95900,GPU (NVIDIA GeForce RTX 3080),1.12,3563.2,445.4,0.141,3.523,0.103,0.205,0.831,1.662,20.0,30.0
25,99900,GPU (NVIDIA GeForce RTX 3080),0.18,22491.1,0.0,0.149,3.723,0.000,0.000,0.000,0.000,20.0,30.0
26,103900,GPU (NVIDIA GeForce RTX 3080),1.28,3137.2,392.2,0.142,3.546,0.134,0.267,0.976,1.952,20.0,30.0
27,107900,GPU (NVIDIA GeForce RTX 3080),1.26,3165.3,395.7,0.150,3.738,0.127,0.254,0.962,1.923,20.0,30.0
28,111900,GPU (NVIDIA GeForce RTX 3080),1.17,3432.5,429.1,0.148,3.704,0.114,0.229,0.877,1.753,20.0,30.0
29,115900,GPU (NVIDIA GeForce RTX 3080),1.22,3281.1,410.1,0.138,3.451,0.106,0.213,0.921,1.841,20.0,30.0
30,119900,GPU (NVIDIA GeForce RTX 3080),0.16,24534.5,0.0,0.141,3.530,0.000,0.000,0.000,0.000,20.0,30.0
31,123900,GPU (NVIDIA GeForce RTX 3080),1.16,3451.4,431.4,0.152,3.804,0.110,0.219,0.870,1.741,20.0,30.0
32,127900,GPU (NVIDIA GeForce RTX 3080),1.18,3381.6,422.7,0.143,3.566,0.116,0.231,0.900,1.800,20.0,30.0
33,131900,GPU (NVIDIA GeForce RTX 3080),1.26,3179.4,397.4,0.151,3.769,0.129,0.258,0.948,1.897,20.0,30.0
34,135900,GPU (NVIDIA GeForce RTX 3080),1.26,3170.2,396.3,0.151,3.763,0.135,0.270,0.947,1.893,20.0,30.0
35,139900,GPU (NVIDIA GeForce RTX 3080),0.17,23193.6,0.0,0.149,3.717,0.000,0.000,0.000,0.000,20.0,30.0
36,143900,GPU (NVIDIA GeForce RTX 3080),1.28,3129.4,391.2,0.160,4.010,0.140,0.280,0.952,1.903,20.0,30.0
37,147900,GPU (NVIDIA GeForce RTX 3080),1.24,3237.6,404.7,0.145,3.627,0.133,0.265,0.936,1.871,20.0,30.0
38,151900,GPU (NVIDIA GeForce RTX 3080),1.25,3210.6,401.3,0.140,3.492,0.129,0.259,0.953,1.906,20.0,30.0
39,155900,GPU (NVIDIA GeForce RTX 3080),1.20,3344.0,418.0,0.143,3.576,0.126,0.251,0.902,1.803,20.0,30.0
40,159900,GPU (NVIDIA GeForce RTX 3080),0.17,23926.2,0.0,0.143,3.584,0.000,0.000,0.000,0.000,20.0,30.0
41,163900,GPU (NVIDIA GeForce RTX 3080),1.28,3130.8,391.3,0.140,3.499,0.123,0.247,0.990,1.981,20.0,30.0
42,167900,GPU (NVIDIA GeForce RTX 3080),1.23,3249.1,406.1,0.147,3.664,0.122,0.243,0.940,1.880,20.0,30.0
43,171900,GPU (NVIDIA GeForce RTX 3080),1.16,3442.3,430.3,0.145,3.616,0.119,0.238,0.875,1.749,20.0,30.0
44,175900,GPU (NVIDIA GeForce RTX 3080),1.22,3269.9,408.7,0.142,3.554,0.118,0.235,0.940,1.881,20.0,30.0
