epoch,step,loss_q,loss_pi,q_val,grad_q,grad_pi,mean_return,mean_length,episodes,buffer_size,elapsed_s
1,3900,,,,,,12.91,18.4,148,4000,0.2
2,7900,,,,,,14.19,20.5,221,8000,0.5
3,11900,0.184769,-2.143817,1.7823,0.5580,0.0225,9.94,16.7,122,12000,1.7
4,15900,0.944991,-5.892062,5.4303,1.4517,0.1137,51.35,32.5,169,16000,2.8
5,19900,,,,,,57.17,34.5,107,20000,3.0
6,23900,1.726761,-10.332711,9.6422,2.9873,0.1333,77.97,60.4,11,24000,4.1
7,27900,2.649769,-15.032098,14.0186,4.7679,0.1483,89.44,68.2,85,28000,5.2
8,31900,3.965869,-20.068323,18.9586,7.5163,0.1355,140.73,74.3,32,32000,6.3
9,35900,5.834671,-25.277378,23.9890,11.4186,0.3074,138.58,72.4,68,36000,7.7
10,39900,,,,,,137.48,74.3,69,40000,7.9
11,43900,8.942954,-30.760404,29.3545,17.5984,0.4008,134.09,73.9,27,44000,9.1
12,47900,10.942988,-36.273667,34.7529,21.6422,0.4464,255.94,101.1,8,48000,10.5
13,51900,13.043963,-42.785896,41.0563,29.2254,0.5972,346.39,123.0,26,52000,11.8
14,55900,16.244809,-49.272605,47.4304,36.3665,0.7015,363.32,129.7,66,56000,13.1
15,59900,,,,,,244.62,102.8,8,60000,13.3
16,63900,19.031731,-56.173935,54.2260,45.7144,0.7839,301.56,123.7,9,64000,14.4
17,67900,21.922856,-62.865217,60.7601,52.1361,0.8931,248.98,126.9,35,68000,15.5
18,71900,26.363979,-70.496568,68.3130,63.4483,0.9486,444.20,179.8,12,72000,16.7
19,75900,29.836656,-77.772840,75.4212,76.3166,1.0088,442.79,184.6,53,76000,17.8
20,79900,,,,,,299.46,122.2,35,80000,18.0
21,83900,34.048464,-85.314373,82.9117,85.6241,1.1608,253.72,112.7,3,84000,19.1
22,87900,38.146053,-93.035984,90.5654,98.0735,1.2048,310.78,128.3,67,88000,20.3
23,91900,45.590395,-99.608415,97.0987,111.8249,1.2952,302.78,122.4,30,92000,21.5
24,95900,50.413983,-107.298586,104.6896,125.8098,1.4052,324.15,123.0,1,96000,22.8
25,99900,,,,,,326.05,123.1,52,100000,23.0
26,103900,56.688513,-113.936398,111.3378,139.6674,1.5449,343.75,140.4,25,104000,24.3
27,107900,60.043826,-120.666332,118.0712,140.0709,1.6639,350.75,152.4,20,108000,25.6
28,111900,64.651976,-127.219957,124.6180,160.7313,1.6132,336.74,134.1,41,112000,26.8
29,115900,71.448934,-133.387005,130.7080,175.1973,1.7237,310.46,116.3,39,116000,28.0
30,119900,,,,,,371.24,136.5,17,120000,28.2
31,123900,79.398005,-139.922313,137.1816,181.0604,1.6779,401.47,145.6,18,124000,29.3
32,127900,85.085780,-146.719879,143.8847,202.5502,1.7947,418.06,150.3,32,128000,30.7
33,131900,93.962051,-153.152214,150.2873,219.0854,1.8757,440.80,159.0,36,132000,32.0
34,135900,102.531987,-159.471683,156.5126,234.8344,1.9642,402.48,139.9,23,136000,33.2
35,139900,,,,,,414.57,139.7,29,140000,33.4
36,143900,115.959335,-165.819964,162.8028,254.6044,2.0565,392.74,136.9,22,144000,34.7
37,147900,123.485904,-171.857303,168.8362,282.5577,2.2016,380.84,155.0,29,148000,36.0
