epoch,step,loss_q,loss_pi,q_val,grad_q,grad_pi,mean_return,mean_length,episodes,buffer_size,elapsed_s
1,3900,,,,,,,,0,4000,0.4
2,7900,,,,,,,,0,8000,0.9
3,11900,124.348226,-53.396857,53.2153,267.6376,0.0003,,,0,12000,3.3
4,15900,375.605556,-141.612908,141.3725,223.2652,0.0004,,,0,16000,5.4
5,19900,,,,,,,,0,20000,6.0
6,23900,309.492043,-238.456618,237.0425,291.6721,0.0000,,,0,24000,8.1
7,27900,328.150455,-336.415991,333.4148,568.0161,0.0002,,,0,28000,10.2
8,31900,346.968801,-434.722573,430.5348,972.1113,0.0000,,,0,32000,12.2
9,35900,366.058452,-532.573532,527.7030,1504.4275,0.0042,,,0,36000,14.2
10,39900,,,,,,,,0,40000,14.8
11,43900,440.801493,-629.113910,624.0130,2476.3467,0.0397,,,0,44000,16.8
12,47900,402.630257,-716.120616,711.1841,2857.8494,0.0072,,,0,48000,18.8
13,51900,377.500276,-797.492139,792.8717,2993.6253,0.0000,,,0,52000,20.8
14,55900,412.864755,-876.310073,872.1021,4132.1060,0.0001,,,0,56000,22.8
15,59900,,,,,,,,0,60000,23.5
16,63900,362.148077,-952.203053,948.3988,3754.4404,0.0001,,,0,64000,25.4
17,67900,347.434615,-1026.796649,1023.2276,4171.5875,0.0000,,,0,68000,27.3
18,71900,335.772227,-1097.664239,1094.3165,4262.4514,0.0000,,,0,72000,29.2
19,75900,336.800471,-1167.763481,1164.4596,4905.7718,0.0402,,,0,76000,31.0
20,79900,,,,,,,,0,80000,31.6
21,83900,345.284570,-1234.721720,1231.6220,5367.3802,0.0000,,,0,84000,33.5
22,87900,341.287574,-1300.876035,1297.9915,5936.4970,0.0000,,,0,88000,35.4
23,91900,356.928550,-1365.159016,1362.3643,6978.2099,0.0000,,,0,92000,37.4
24,95900,356.249079,-1428.519872,1425.8251,7362.4929,0.0000,,,0,96000,39.3
25,99900,,,,,,40808.61,1000.0,100,100000,40.0
26,103900,2621.422942,-1487.548145,1484.9071,7530.6715,0.0002,,,0,104000,42.0
27,107900,2852.287026,-1577.956706,1575.3890,9324.1822,0.0000,,,0,108000,44.0
28,111900,2812.920202,-1669.904014,1667.3340,10331.1558,0.0000,,,0,112000,45.9
29,115900,3053.192905,-1761.486464,1758.8871,9730.6707,0.0000,,,0,116000,48.0
30,119900,,,,,,,,0,120000,48.6
31,123900,2890.896519,-1851.835782,1849.2643,10827.6017,0.0000,,,0,124000,50.5
32,127900,3280.143441,-1940.743980,1938.2842,12079.8713,0.0000,,,0,128000,52.4
33,131900,3339.570205,-2026.912997,2024.5203,12437.6360,0.0000,,,0,132000,54.4
34,135900,3235.973607,-2112.761265,2110.3953,13078.8516,0.0000,,,0,136000,56.3
35,139900,,,,,,,,0,140000,56.9
36,143900,3606.433609,-2197.376411,2195.0344,14281.2724,0.0000,,,0,144000,58.8
37,147900,3634.382225,-2277.898904,2275.7353,15264.5439,0.0000,,,0,148000,60.7
38,151900,4006.447531,-2360.258886,2358.1144,16224.5615,0.0000,,,0,152000,63.0
39,155900,3936.511038,-2437.573575,2435.4683,15220.5847,0.0000,,,0,156000,65.2
40,159900,,,,,,,,0,160000,65.8
41,163900,3786.022508,-2517.377604,2515.3196,16095.4728,0.0000,,,0,164000,68.0
42,167900,3975.619687,-2592.174236,2590.2195,16350.7984,0.0000,,,0,168000,70.2
43,171900,3652.434666,-2666.081238,2664.1896,17164.1786,0.0000,,,0,172000,72.3
44,175900,3908.135778,-2740.374382,2738.5742,15477.0621,0.0000,,,0,176000,74.5
45,179900,,,,,,,,0,180000,75.1
46,183900,3626.748368,-2810.281448,2808.5802,17223.4088,0.0000,,,0,184000,77.3
47,187900,3881.398146,-2880.702517,2878.9990,17957.1700,0.0000,,,0,188000,79.4
48,191900,3945.776494,-2950.166309,2948.4739,19067.5508,0.0000,,,0,192000,81.5
49,195900,4487.053606,-3013.449232,3011.7856,17195.3280,0.0000,,,0,196000,83.7
50,199900,,,,,,,,0,200000,84.4
51,203900,10110.627348,-3074.911729,3073.3051,20681.7046,0.0000,62475.93,1001.0,100,204000,86.4
52,207900,10395.292397,-3138.237628,3136.6720,20690.9580,0.0000,,,0,208000,88.6
53,211900,10379.322511,-3196.909723,3195.4413,19873.1091,0.0000,,,0,212000,90.5
54,215900,10052.271355,-3256.396575,3254.9617,20345.7040,0.0000,,,0,216000,92.3
55,219900,,,,,,,,0,220000,93.0
56,223900,10181.473054,-3314.541524,3313.1724,19381.8234,0.0000,,,0,224000,95.0
57,227900,10781.288146,-3370.703917,3369.3616,19768.2458,0.0000,,,0,228000,97.0
58,231900,11003.209012,-3424.743979,3423.4853,22090.2884,0.0000,,,0,232000,99.3
59,235900,10422.362030,-3478.366149,3477.1328,22396.8610,0.0000,,,0,236000,101.7
60,239900,,,,,,,,0,240000,102.4
61,243900,11176.803609,-3531.471324,3530.2480,23459.7611,0.0000,,,0,244000,104.5
62,247900,11450.423826,-3582.096265,3580.8853,24068.5897,0.0000,,,0,248000,106.5
63,251900,10843.587998,-3632.526813,3631.3270,22729.6957,0.0000,,,0,252000,108.4
64,255900,11547.855149,-3677.943081,3676.7675,19308.7030,0.0000,,,0,256000,110.3
65,259900,,,,,,,,0,260000,110.9
66,263900,10869.112004,-3723.596214,3722.4125,19643.1011,0.0000,,,0,264000,112.8
67,267900,10773.129571,-3770.235211,3769.0820,20830.2230,0.0000,,,0,268000,114.6
68,271900,11627.066486,-3818.129175,3816.9708,20896.6298,0.0000,,,0,272000,116.6
69,275900,10972.080596,-3862.544521,3861.4145,19380.0766,0.0000,,,0,276000,118.4
70,279900,,,,,,,,0,280000,119.1
71,283900,12252.615224,-3903.698724,3902.6024,21120.2211,0.0000,,,0,284000,121.0
72,287900,12230.683285,-3944.282831,3943.1776,22788.5357,0.0000,,,0,288000,122.9
73,291900,11596.515042,-3985.771214,3984.6587,24306.4094,0.0000,,,0,292000,124.8
74,295900,12247.533326,-4027.130017,4026.0222,23628.8185,0.0000,,,0,296000,126.7
75,299900,,,,,,,,0,300000,127.3
76,303900,11411.163767,-4064.514512,4063.3832,23488.7327,0.0000,62605.11,1001.0,100,304000,129.0
77,307900,16045.980097,-4105.058881,4103.9825,22691.9149,0.0000,,,0,308000,131.0
78,311900,18061.870649,-4140.591356,4139.5031,20969.8073,0.0000,,,0,312000,132.8
79,315900,16371.195369,-4174.131760,4173.1182,21476.2725,0.0000,,,0,316000,134.8
80,319900,,,,,,,,0,320000,135.4
81,323900,15953.482079,-4210.022867,4209.0476,21528.7749,0.0000,,,0,324000,137.3
82,327900,18197.243323,-4242.601103,4241.6415,21064.7508,0.0000,,,0,328000,139.2
83,331900,17317.115815,-4275.246013,4274.3571,23114.0477,0.0000,,,0,332000,141.0
84,335900,17283.529470,-4309.357469,4308.5368,19181.2287,0.0000,,,0,336000,142.9
85,339900,,,,,,,,0,340000,143.5
86,343900,17460.365359,-4338.151758,4337.3150,21814.8565,0.0000,,,0,344000,145.4
87,347900,18007.778812,-4366.931077,4366.0682,20246.9696,0.0000,,,0,348000,147.3
88,351900,17189.638817,-4398.256077,4397.4051,20005.0326,0.0000,,,0,352000,149.4
89,355900,17857.625690,-4423.846616,4423.0423,20346.0733,0.0000,,,0,356000,151.7
90,359900,,,,,,,,0,360000,152.3
91,363900,16413.299638,-4455.572954,4454.8014,22038.5952,0.0000,,,0,364000,154.6
92,367900,16749.005877,-4484.579147,4483.7970,19789.8076,0.0000,,,0,368000,157.0
93,371900,16184.044048,-4508.739284,4507.9348,17323.8469,0.0000,,,0,372000,159.4
94,375900,16019.531953,-4534.681381,4533.9319,17180.5520,0.0000,,,0,376000,161.6
95,379900,,,,,,,,0,380000,162.2
96,383900,17567.107875,-4563.017036,4562.2993,17960.4816,0.0000,,,0,384000,164.5
97,387900,16782.449151,-4588.562642,4587.8705,20063.7708,0.0000,,,0,388000,166.8
98,391900,16222.332123,-4614.853434,4614.1839,16625.1328,0.0000,,,0,392000,169.1
99,395900,15505.203447,-4638.475779,4637.7887,21851.2498,0.0000,,,0,396000,171.4
100,399900,,,,,,,,0,400000,172.0
1,3900,,,,,,,,,,,0,4000,0.3
2,7900,,,,,,,,,,,0,8000,0.8
3,11900,514.264014,468.455345,-28.829704,27.7357,28.9295,1489.9417,1425.5943,0.0958,,,0,12000,1.6
4,15900,637.692968,619.448018,-57.607732,57.1416,57.2148,1706.5128,1749.8892,0.0142,,,0,16000,2.3
5,19900,,,,,,,,,,,0,20000,2.9
6,23900,317.294081,307.621163,-70.410116,70.1457,70.1586,883.8205,874.9085,0.0012,,,0,24000,3.7
7,27900,187.049930,185.147335,-77.187413,76.6182,76.6133,598.4023,591.8941,0.0006,,,0,28000,4.5
8,31900,128.448563,128.100393,-82.799181,82.3626,82.3477,520.3875,521.2588,0.0005,,,0,32000,5.3
9,35900,102.063203,101.159235,-87.829309,87.3975,87.4037,622.4161,612.7083,0.0004,,,0,36000,6.0
10,39900,,,,,,,,,,,0,40000,6.7
11,43900,84.075295,83.310994,-93.685255,92.9345,92.9332,628.1634,673.7071,0.0003,,,0,44000,7.5
12,47900,74.386023,73.181367,-98.969677,97.8119,97.8351,593.8964,582.3736,0.0002,,,0,48000,8.3
13,51900,65.531294,63.311406,-104.342983,103.7454,103.7469,600.1512,573.7452,0.0001,,,0,52000,9.0
14,55900,62.593692,61.186349,-109.532898,108.8523,108.8550,802.7113,866.9487,0.0001,,,0,56000,9.8
15,59900,,,,,,,,,,,0,60000,10.5
16,63900,56.372633,54.715665,-116.112336,114.8513,114.8571,628.1392,641.6680,0.0001,,,0,64000,11.3
17,67900,52.973641,51.017687,-122.061239,120.6272,120.6361,765.5058,743.3922,0.0001,,,0,68000,12.1
18,71900,52.313157,50.278458,-127.807787,126.6779,126.6745,1039.4604,1018.6629,0.0001,,,0,72000,12.9
19,75900,50.327032,48.226197,-133.874795,132.6760,132.6841,799.1199,861.7150,0.0001,,,0,76000,13.7
20,79900,,,,,,,,,,,0,80000,14.3
21,83900,51.206654,48.566871,-140.027343,138.6530,138.6732,1394.2897,1287.9854,0.0001,,,0,84000,15.1
22,87900,50.614007,48.535721,-146.975990,145.4932,145.4769,1022.1910,1163.2394,0.0000,,,0,88000,15.9
23,91900,50.124009,48.103641,-154.336421,152.3834,152.3863,1480.1848,1383.5135,0.0001,,,0,92000,16.7
24,95900,50.248577,48.717406,-160.833205,158.7240,158.7318,1703.4012,1808.1476,0.0000,,,0,96000,17.5
25,99900,,,,,,,,,65530.18,1000.0,100,100000,18.2
26,103900,78.988185,77.529052,-167.102156,165.1092,165.0970,1520.8514,1557.0096,0.0001,,,0,104000,18.8
27,107900,106.017134,102.320810,-178.027989,176.3729,176.3891,2093.1995,1788.9345,0.0001,,,0,108000,19.6
28,111900,113.213668,108.967076,-185.184152,183.0045,183.0360,3223.6922,2929.0417,0.0001,,,0,112000,20.4
29,115900,104.764385,102.594337,-189.711135,188.0854,188.0172,2546.6192,2680.0928,0.0001,,,0,116000,21.2
30,119900,,,,,,,,,,,0,120000,21.9
31,123900,107.359372,104.765727,-196.007986,194.2312,194.2510,2312.1945,2291.7968,0.0001,,,0,124000,22.7
32,127900,90.017390,87.023020,-200.803528,198.5661,198.5728,1978.2602,1934.9987,0.0000,,,0,128000,23.5
33,131900,108.869668,104.044282,-208.164275,205.1813,205.2167,3007.2697,2700.4109,0.0000,,,0,132000,24.3
34,135900,99.373327,97.733539,-212.725565,210.3615,210.3178,2125.6562,2353.8238,0.0000,,,0,136000,25.2
35,139900,,,,,,,,,,,0,140000,25.8
36,143900,106.276171,101.839104,-218.440532,215.6727,215.7154,3204.8557,2483.7907,0.0000,,,0,144000,26.7
37,147900,106.677829,105.018960,-222.878576,220.9406,220.9148,3146.7612,3543.1634,0.0000,,,0,148000,27.5
38,151900,93.173663,89.572396,-229.176592,226.5579,226.5990,3460.9643,3326.4426,0.0000,,,0,152000,28.3
39,155900,106.154573,102.108433,-234.310964,231.0403,230.9981,2729.6817,2568.4833,0.0000,,,0,156000,29.1
40,159900,,,,,,,,,,,0,160000,29.8
41,163900,124.313514,124.491115,-238.629540,236.4911,236.5368,3441.8739,3991.4369,0.0000,,,0,164000,30.7
42,167900,110.480961,109.133899,-244.967321,242.1033,242.0699,2808.6563,2989.1677,0.0000,,,0,168000,31.5
43,171900,96.082349,94.830103,-252.877441,249.1712,249.1549,3962.1704,4273.8509,0.0000,,,0,172000,32.3
44,175900,107.359640,105.521021,-256.856847,254.4573,254.4881,3753.3703,4167.6566,0.0000,,,0,176000,33.2
45,179900,,,,,,,,,,,0,180000,33.8
46,183900,102.964368,101.441355,-261.654028,259.4347,259.4184,3472.7822,3897.5584,0.0000,,,0,184000,34.7
47,187900,107.814324,104.674937,-269.066031,264.8359,264.8436,3504.8056,3378.5558,0.0000,,,0,188000,35.5
48,191900,107.946135,104.929663,-274.351246,270.0724,270.0671,3654.6473,3679.9514,0.0000,,,0,192000,36.3
49,195900,114.730836,109.135206,-279.507491,275.6374,275.6895,5713.6257,4674.6545,0.0000,,,0,196000,37.1
50,199900,,,,,,,,,,,0,200000,37.8
51,203900,125.975231,117.216271,-285.143198,282.1365,282.1381,6300.5680,3877.8635,0.0000,57701.09,1001.0,100,204000,38.5
52,207900,152.932934,154.422239,-299.040021,295.2753,295.2839,4199.1072,6098.1978,0.0000,,,0,208000,39.3
53,211900,151.446827,151.493816,-305.771879,300.9004,300.8089,4879.2688,5899.4978,0.0000,,,0,212000,40.1
54,215900,182.428434,176.482267,-311.930277,307.6570,307.6868,5972.2717,5442.3961,0.0000,,,0,216000,40.9
55,219900,,,,,,,,,,,0,220000,41.6
56,223900,176.703959,173.046748,-316.865300,313.5746,313.5872,5067.2169,5488.0080,0.0000,,,0,224000,42.4
57,227900,159.356709,155.698485,-322.822114,318.9242,318.9276,3801.0405,3534.5528,0.0000,,,0,228000,43.2
58,231900,167.024657,164.232245,-328.334152,324.7719,324.7970,4930.0486,5446.8095,0.0000,,,0,232000,44.0
59,235900,177.692060,174.415158,-334.625526,330.7293,330.6870,6417.0011,6717.4972,0.0000,,,0,236000,44.9
60,239900,,,,,,,,,,,0,240000,45.5
61,243900,201.839294,196.233332,-341.545211,335.9481,335.9557,6843.2852,6036.3801,0.0000,,,0,244000,46.3
62,247900,154.672193,152.051951,-346.620862,341.9010,341.9089,5568.5737,6315.0975,0.0000,,,0,248000,47.2
63,251900,173.354011,171.331264,-352.882095,348.3593,348.3671,4396.4370,4961.2166,0.0000,,,0,252000,48.0
64,255900,167.340505,164.199321,-357.313745,352.7092,352.6579,6575.9962,6733.6643,0.0000,,,0,256000,48.8
65,259900,,,,,,,,,,,0,260000,49.6
66,263900,183.204452,184.321204,-363.309727,359.4089,359.4255,6659.4392,8186.9232,0.0000,,,0,264000,50.4
67,267900,162.314559,158.746909,-371.748602,366.3634,366.3708,6264.5977,6444.0731,0.0000,,,0,268000,51.2
