epoch,global_step,device,epoch_wall_s,steps_per_sec,updates_per_sec,env_step_total_s,env_step_mean_ms,buffer_sample_total_s,buffer_sample_mean_ms,update_total_s,update_mean_ms,gpu_mem_allocated_mb,gpu_mem_reserved_mb
1,3900,GPU (NVIDIA GeForce RTX 3080),0.38,10416.8,0.0,0.287,7.170,0.000,0.000,0.000,0.000,2.4,4.0
2,7900,GPU (NVIDIA GeForce RTX 3080),0.52,7692.5,0.0,0.404,10.092,0.000,0.000,0.000,0.000,11.6,24.0
3,11900,GPU (NVIDIA GeForce RTX 3080),2.20,1822.1,227.8,0.438,10.940,0.395,0.789,1.325,2.650,26.1,54.0
4,15900,GPU (NVIDIA GeForce RTX 3080),2.09,1915.4,239.4,0.514,12.862,0.399,0.798,1.138,2.276,26.1,54.0
5,19900,GPU (NVIDIA GeForce RTX 3080),0.58,6873.9,0.0,0.548,13.697,0.000,0.000,0.000,0.000,26.1,54.0
6,23900,GPU (NVIDIA GeForce RTX 3080),1.98,2019.6,252.5,0.574,14.355,0.365,0.731,1.006,2.013,26.1,54.0
7,27900,GPU (NVIDIA GeForce RTX 3080),1.99,2013.1,251.6,0.580,14.506,0.358,0.717,1.015,2.029,26.1,54.0
8,31900,GPU (NVIDIA GeForce RTX 3080),1.97,2033.5,254.2,0.617,15.429,0.359,0.717,0.956,1.912,26.1,54.0
9,35900,GPU (NVIDIA GeForce RTX 3080),2.10,1903.2,237.9,0.611,15.266,0.388,0.775,1.068,2.137,26.1,54.0
10,39900,GPU (NVIDIA GeForce RTX 3080),0.65,6110.9,0.0,0.622,15.549,0.000,0.000,0.000,0.000,26.1,54.0
11,43900,GPU (NVIDIA GeForce RTX 3080),2.17,1840.0,230.0,0.639,15.984,0.397,0.793,1.095,2.190,26.1,54.0
12,47900,GPU (NVIDIA GeForce RTX 3080),1.90,2102.9,262.9,0.575,14.385,0.356,0.712,0.936,1.871,26.1,54.0
13,51900,GPU (NVIDIA GeForce RTX 3080),1.95,2049.0,256.1,0.629,15.719,0.356,0.712,0.935,1.870,26.1,54.0
14,55900,GPU (NVIDIA GeForce RTX 3080),2.05,1952.3,244.0,0.670,16.739,0.370,0.740,0.974,1.947,26.1,54.0
15,59900,GPU (NVIDIA GeForce RTX 3080),0.67,6005.1,0.0,0.630,15.750,0.000,0.000,0.000,0.000,26.1,54.0
16,63900,GPU (NVIDIA GeForce RTX 3080),2.06,1937.5,242.2,0.642,16.057,0.376,0.752,1.010,2.019,26.1,54.0
17,67900,GPU (NVIDIA GeForce RTX 3080),2.17,1842.2,230.3,0.642,16.045,0.396,0.792,1.094,2.188,26.1,54.0
18,71900,GPU (NVIDIA GeForce RTX 3080),2.21,1813.4,226.7,0.632,15.791,0.410,0.819,1.131,2.261,26.1,54.0
19,75900,GPU (NVIDIA GeForce RTX 3080),2.05,1953.6,244.2,0.692,17.306,0.365,0.730,0.946,1.893,26.1,54.0
20,79900,GPU (NVIDIA GeForce RTX 3080),0.66,6017.1,0.0,0.633,15.813,0.000,0.000,0.000,0.000,26.1,54.0
21,83900,GPU (NVIDIA GeForce RTX 3080),1.99,2009.8,251.2,0.636,15.912,0.369,0.737,0.949,1.898,26.1,54.0
22,87900,GPU (NVIDIA GeForce RTX 3080),1.88,2125.6,265.7,0.614,15.350,0.351,0.702,0.883,1.767,26.1,54.0
23,91900,GPU (NVIDIA GeForce RTX 3080),2.06,1938.5,242.3,0.646,16.160,0.359,0.719,1.024,2.048,26.1,54.0
24,95900,GPU (NVIDIA GeForce RTX 3080),2.18,1837.7,229.7,0.678,16.939,0.396,0.792,1.062,2.124,26.1,54.0
25,99900,GPU (NVIDIA GeForce RTX 3080),0.67,5928.8,0.0,0.641,16.027,0.000,0.000,0.000,0.000,26.1,54.0
26,103900,GPU (NVIDIA GeForce RTX 3080),2.01,1985.1,248.1,0.461,11.529,0.394,0.789,1.117,2.235,26.1,54.0
27,107900,GPU (NVIDIA GeForce RTX 3080),2.14,1865.5,233.2,0.622,15.553,0.392,0.785,1.093,2.185,26.1,54.0
28,111900,GPU (NVIDIA GeForce RTX 3080),1.91,2089.3,261.2,0.616,15.390,0.359,0.718,0.907,1.814,26.1,54.0
29,115900,GPU (NVIDIA GeForce RTX 3080),1.88,2123.3,265.4,0.604,15.088,0.355,0.709,0.894,1.787,26.1,54.0
30,119900,GPU (NVIDIA GeForce RTX 3080),0.63,6330.1,0.0,0.601,15.034,0.000,0.000,0.000,0.000,26.1,54.0
31,123900,GPU (NVIDIA GeForce RTX 3080),1.93,2070.8,258.8,0.603,15.063,0.355,0.710,0.899,1.798,26.1,54.0
32,127900,GPU (NVIDIA GeForce RTX 3080),2.05,1954.9,244.4,0.614,15.353,0.372,0.744,1.027,2.054,26.1,54.0
33,131900,GPU (NVIDIA GeForce RTX 3080),2.13,1880.3,235.0,0.620,15.491,0.397,0.794,1.077,2.154,26.1,54.0
34,135900,GPU (NVIDIA GeForce RTX 3080),2.15,1859.4,232.4,0.632,15.807,0.407,0.814,1.075,2.151,26.1,54.0
35,139900,GPU (NVIDIA GeForce RTX 3080),0.66,6040.3,0.0,0.628,15.705,0.000,0.000,0.000,0.000,26.1,54.0
36,143900,GPU (NVIDIA GeForce RTX 3080),2.12,1885.9,235.7,0.631,15.770,0.401,0.803,1.054,2.109,26.1,54.0
37,147900,GPU (NVIDIA GeForce RTX 3080),2.10,1906.9,238.4,0.630,15.748,0.397,0.793,1.036,2.073,26.1,54.0
38,151900,GPU (NVIDIA GeForce RTX 3080),2.12,1888.7,236.1,0.623,15.573,0.402,0.805,1.058,2.116,26.1,54.0
39,155900,GPU (NVIDIA GeForce RTX 3080),2.12,1888.2,236.0,0.617,15.436,0.400,0.800,1.064,2.128,26.1,54.0
40,159900,GPU (NVIDIA GeForce RTX 3080),0.67,5962.4,0.0,0.637,15.916,0.000,0.000,0.000,0.000,26.1,54.0
41,163900,GPU (NVIDIA GeForce RTX 3080),2.15,1863.4,232.9,0.619,15.466,0.395,0.789,1.058,2.116,26.1,54.0
42,167900,GPU (NVIDIA GeForce RTX 3080),2.09,1912.5,239.1,0.613,15.318,0.399,0.797,1.047,2.094,26.1,54.0
43,171900,GPU (NVIDIA GeForce RTX 3080),2.13,1874.2,234.3,0.616,15.388,0.410,0.819,1.072,2.145,26.1,54.0
44,175900,GPU (NVIDIA GeForce RTX 3080),2.19,1823.8,228.0,0.615,15.376,0.422,0.843,1.124,2.248,26.1,54.0
45,179900,GPU (NVIDIA GeForce RTX 3080),0.64,6233.6,0.0,0.610,15.249,0.000,0.000,0.000,0.000,26.1,54.0
46,183900,GPU (NVIDIA GeForce RTX 3080),1.96,2044.2,255.5,0.612,15.297,0.369,0.737,0.943,1.885,26.1,54.0
47,187900,GPU (NVIDIA GeForce RTX 3080),1.90,2107.7,263.5,0.608,15.202,0.356,0.712,0.902,1.803,26.1,54.0
48,191900,GPU (NVIDIA GeForce RTX 3080),2.24,1789.5,223.7,0.612,15.308,0.417,0.834,1.173,2.347,26.1,54.0
49,195900,GPU (NVIDIA GeForce RTX 3080),2.18,1837.4,229.7,0.612,15.305,0.418,0.835,1.113,2.227,26.1,54.0
50,199900,GPU (NVIDIA GeForce RTX 3080),0.65,6191.5,0.0,0.615,15.364,0.000,0.000,0.000,0.000,26.1,54.0
