epoch,global_step,device,epoch_wall_s,steps_per_sec,updates_per_sec,env_step_total_s,env_step_mean_ms,buffer_sample_total_s,buffer_sample_mean_ms,update_total_s,update_mean_ms,gpu_mem_allocated_mb,gpu_mem_reserved_mb
1,3900,GPU (NVIDIA GeForce RTX 3080),0.40,10043.9,0.0,0.262,6.556,0.000,0.000,0.000,0.000,4.3,6.0
2,7900,GPU (NVIDIA GeForce RTX 3080),0.53,7535.9,0.0,0.388,9.694,0.000,0.000,0.000,0.000,13.4,26.0
3,11900,GPU (NVIDIA GeForce RTX 3080),2.32,1727.6,216.0,0.436,10.907,0.355,0.711,1.465,2.930,29.9,62.0
4,15900,GPU (NVIDIA GeForce RTX 3080),2.37,1687.0,210.9,0.530,13.259,0.372,0.745,1.416,2.833,29.9,62.0
5,19900,GPU (NVIDIA GeForce RTX 3080),0.65,6109.6,0.0,0.605,15.117,0.000,0.000,0.000,0.000,29.9,62.0
6,23900,GPU (NVIDIA GeForce RTX 3080),2.41,1658.9,207.4,0.604,15.099,0.374,0.749,1.380,2.761,29.9,62.0
7,27900,GPU (NVIDIA GeForce RTX 3080),2.37,1688.9,211.1,0.579,14.487,0.379,0.757,1.360,2.720,29.9,62.0
8,31900,GPU (NVIDIA GeForce RTX 3080),2.44,1642.5,205.3,0.607,15.172,0.378,0.756,1.402,2.804,29.9,62.0
9,35900,GPU (NVIDIA GeForce RTX 3080),2.44,1640.8,205.1,0.616,15.394,0.379,0.758,1.393,2.787,29.9,62.0
10,39900,GPU (NVIDIA GeForce RTX 3080),0.66,6023.2,0.0,0.618,15.442,0.000,0.000,0.000,0.000,29.9,62.0
11,43900,GPU (NVIDIA GeForce RTX 3080),2.39,1672.9,209.1,0.565,14.137,0.388,0.775,1.387,2.774,29.9,62.0
12,47900,GPU (NVIDIA GeForce RTX 3080),2.41,1659.8,207.5,0.592,14.800,0.383,0.767,1.381,2.763,29.9,62.0
13,51900,GPU (NVIDIA GeForce RTX 3080),2.39,1674.2,209.3,0.597,14.922,0.382,0.765,1.358,2.717,29.9,62.0
14,55900,GPU (NVIDIA GeForce RTX 3080),2.40,1664.5,208.1,0.592,14.789,0.380,0.759,1.380,2.760,29.9,62.0
15,59900,GPU (NVIDIA GeForce RTX 3080),0.64,6265.6,0.0,0.588,14.702,0.000,0.000,0.000,0.000,29.9,62.0
16,63900,GPU (NVIDIA GeForce RTX 3080),2.47,1620.9,202.6,0.592,14.807,0.388,0.777,1.437,2.874,29.9,62.0
17,67900,GPU (NVIDIA GeForce RTX 3080),2.40,1665.5,208.2,0.593,14.825,0.383,0.766,1.374,2.747,29.9,62.0
18,71900,GPU (NVIDIA GeForce RTX 3080),2.41,1661.3,207.7,0.592,14.799,0.383,0.767,1.383,2.765,29.9,62.0
19,75900,GPU (NVIDIA GeForce RTX 3080),2.40,1665.8,208.2,0.598,14.955,0.389,0.777,1.364,2.728,29.9,62.0
20,79900,GPU (NVIDIA GeForce RTX 3080),0.66,6076.0,0.0,0.608,15.210,0.000,0.000,0.000,0.000,29.9,62.0
21,83900,GPU (NVIDIA GeForce RTX 3080),2.42,1653.3,206.7,0.598,14.959,0.389,0.778,1.379,2.759,29.9,62.0
22,87900,GPU (NVIDIA GeForce RTX 3080),2.40,1665.1,208.1,0.594,14.860,0.386,0.773,1.371,2.742,29.9,62.0
23,91900,GPU (NVIDIA GeForce RTX 3080),2.40,1667.4,208.4,0.593,14.816,0.390,0.780,1.366,2.732,29.9,62.0
24,95900,GPU (NVIDIA GeForce RTX 3080),2.42,1654.0,206.7,0.598,14.944,0.388,0.775,1.383,2.767,29.9,62.0
25,99900,GPU (NVIDIA GeForce RTX 3080),0.69,5760.8,0.0,0.585,14.631,0.000,0.000,0.000,0.000,29.9,62.0
26,103900,GPU (NVIDIA GeForce RTX 3080),2.28,1752.4,219.1,0.469,11.730,0.395,0.790,1.360,2.720,29.9,62.0
27,107900,GPU (NVIDIA GeForce RTX 3080),2.35,1704.3,213.0,0.550,13.746,0.392,0.784,1.358,2.715,29.9,62.0
28,111900,GPU (NVIDIA GeForce RTX 3080),2.34,1710.8,213.9,0.552,13.792,0.388,0.776,1.350,2.700,29.9,62.0
29,115900,GPU (NVIDIA GeForce RTX 3080),2.41,1662.9,207.9,0.588,14.691,0.393,0.786,1.376,2.751,29.9,62.0
30,119900,GPU (NVIDIA GeForce RTX 3080),0.63,6309.6,0.0,0.589,14.733,0.000,0.000,0.000,0.000,29.9,62.0
31,123900,GPU (NVIDIA GeForce RTX 3080),2.41,1657.7,207.2,0.597,14.925,0.389,0.778,1.353,2.707,29.9,62.0
32,127900,GPU (NVIDIA GeForce RTX 3080),2.37,1687.1,210.9,0.593,14.815,0.386,0.772,1.345,2.690,29.9,62.0
33,131900,GPU (NVIDIA GeForce RTX 3080),2.38,1678.3,209.8,0.593,14.834,0.389,0.779,1.353,2.705,29.9,62.0
34,135900,GPU (NVIDIA GeForce RTX 3080),2.40,1670.1,208.8,0.587,14.663,0.391,0.783,1.371,2.741,29.9,62.0
35,139900,GPU (NVIDIA GeForce RTX 3080),0.63,6328.9,0.0,0.586,14.640,0.000,0.000,0.000,0.000,29.9,62.0
36,143900,GPU (NVIDIA GeForce RTX 3080),2.38,1684.0,210.5,0.598,14.950,0.389,0.779,1.340,2.680,29.9,62.0
37,147900,GPU (NVIDIA GeForce RTX 3080),2.38,1683.0,210.4,0.583,14.572,0.384,0.768,1.364,2.728,29.9,62.0
38,151900,GPU (NVIDIA GeForce RTX 3080),2.35,1700.8,212.6,0.567,14.180,0.386,0.773,1.350,2.701,29.9,62.0
39,155900,GPU (NVIDIA GeForce RTX 3080),2.36,1697.2,212.1,0.554,13.843,0.387,0.774,1.368,2.737,29.9,62.0
40,159900,GPU (NVIDIA GeForce RTX 3080),0.66,6106.6,0.0,0.608,15.210,0.000,0.000,0.000,0.000,29.9,62.0
41,163900,GPU (NVIDIA GeForce RTX 3080),2.43,1645.7,205.7,0.643,16.083,0.390,0.779,1.348,2.696,29.9,62.0
42,167900,GPU (NVIDIA GeForce RTX 3080),2.44,1637.4,204.7,0.651,16.275,0.386,0.772,1.360,2.720,29.9,62.0
43,171900,GPU (NVIDIA GeForce RTX 3080),2.46,1625.5,203.2,0.659,16.463,0.393,0.785,1.362,2.724,29.9,62.0
44,175900,GPU (NVIDIA GeForce RTX 3080),2.49,1604.9,200.6,0.655,16.381,0.392,0.784,1.396,2.793,29.9,62.0
45,179900,GPU (NVIDIA GeForce RTX 3080),0.72,5543.5,0.0,0.672,16.803,0.000,0.000,0.000,0.000,29.9,62.0
46,183900,GPU (NVIDIA GeForce RTX 3080),2.47,1620.3,202.5,0.640,16.011,0.394,0.787,1.387,2.775,29.9,62.0
47,187900,GPU (NVIDIA GeForce RTX 3080),2.49,1606.8,200.8,0.653,16.320,0.398,0.796,1.391,2.782,29.9,62.0
48,191900,GPU (NVIDIA GeForce RTX 3080),2.48,1614.3,201.8,0.647,16.186,0.393,0.786,1.390,2.781,29.9,62.0
49,195900,GPU (NVIDIA GeForce RTX 3080),2.44,1636.4,204.6,0.644,16.095,0.380,0.760,1.374,2.748,29.9,62.0
