epoch,step,loss_q,loss_pi,q_val,grad_q,grad_pi_rob,grad_pi_adv,mean_return,mean_length,episodes,dist_episodes,buffer_size,elapsed_s
1,3900,,,,,,,,,0,0,4000,0.4
2,7900,,,,,,,,,0,0,8000,0.9
3,11900,167.709529,-54.906665,54.7189,310.9785,0.0004,0.0000,,,0,0,12000,3.2
4,15900,1200.359892,-159.841628,159.4861,427.9508,0.0023,0.0005,,,0,0,16000,5.6
5,19900,,,,,,,,,0,0,20000,6.3
6,23900,825.185100,-285.980879,284.2951,618.5197,0.0000,0.0018,,,0,0,24000,8.7
7,27900,832.596157,-413.153416,410.0169,1021.7505,0.0036,0.0098,,,0,0,28000,11.1
8,31900,955.497246,-541.406638,537.1118,1841.6776,0.0262,0.0246,,,0,0,32000,13.5
9,35900,1087.826407,-671.934152,666.7700,2806.7218,0.3684,0.0355,,,0,0,36000,15.9
10,39900,,,,,,,,,0,0,40000,16.6
11,43900,1188.198990,-801.664583,795.9944,3919.8808,0.1827,0.0326,,,0,0,44000,19.0
12,47900,1220.234392,-928.444231,922.8437,5216.5341,0.0110,0.0295,,,0,0,48000,21.4
13,51900,1221.795156,-1051.579710,1046.1084,6272.2951,0.0013,0.0395,,,0,0,52000,23.8
14,55900,1230.125604,-1170.565820,1165.5301,8718.1775,0.0012,0.0339,,,0,0,56000,26.2
15,59900,,,,,,,,,0,0,60000,26.8
16,63900,1189.855958,-1286.691275,1281.9318,10096.6347,0.0003,0.0371,,,0,0,64000,29.3
17,67900,1178.582020,-1399.918212,1395.5433,12712.7878,0.0003,0.0383,,,0,0,68000,31.7
18,71900,1168.960950,-1510.796315,1506.7610,14670.5810,0.0005,0.0335,,,0,0,72000,34.1
19,75900,1095.092563,-1619.393256,1615.6379,15628.5627,0.0001,0.0374,,,0,0,76000,36.5
20,79900,,,,,,,,,0,0,80000,37.2
21,83900,1137.394795,-1726.842591,1723.3436,20833.4023,0.0007,0.0317,,,0,0,84000,39.6
22,87900,1091.592210,-1831.831706,1828.5138,20213.2659,0.0001,0.0374,,,0,0,88000,42.0
23,91900,1076.674007,-1934.568505,1931.4515,23236.0797,0.0004,0.0358,,,0,0,92000,44.4
24,95900,1055.303142,-2037.610091,2034.5709,26490.8598,0.0002,0.0368,,,0,0,96000,46.8
25,99900,,,,,,,74906.55,1000.0,100,51,100000,47.5
26,103900,5233.651042,-2136.952924,2133.9617,27180.5915,0.0002,0.0343,,,0,0,104000,49.8
27,107900,5992.199858,-2250.047685,2247.1038,29598.4302,0.0000,0.0428,,,0,0,108000,52.2
28,111900,6311.713593,-2356.639240,2353.6415,38462.4893,0.0002,0.0370,,,0,0,112000,54.5
29,115900,6585.870703,-2459.900531,2457.0025,38625.8056,0.0002,0.0282,,,0,0,116000,56.9
30,119900,,,,,,,,,0,0,120000,57.5
31,123900,6746.651901,-2560.947860,2558.1350,40722.6250,0.0001,0.0355,,,0,0,124000,60.0
32,127900,6481.463137,-2661.760116,2658.9160,41370.6773,0.0000,0.0393,,,0,0,128000,62.3
33,131900,7031.546597,-2763.393750,2760.5582,43296.6248,0.0000,0.0443,,,0,0,132000,64.7
34,135900,7155.259137,-2863.258743,2860.4555,55793.8315,0.0000,0.0541,,,0,0,136000,67.1
35,139900,,,,,,,,,0,0,140000,67.7
36,143900,7269.210617,-2961.069807,2958.2260,52617.5614,0.0000,0.0659,,,0,0,144000,70.1
37,147900,6742.697484,-3063.645899,3060.7808,51671.5909,0.0000,0.0630,,,0,0,148000,72.5
38,151900,7484.229387,-3162.098414,3158.9183,60956.3832,0.0352,0.0710,,,0,0,152000,74.8
39,155900,8524.606320,-3258.078823,3255.0802,65783.3610,0.0004,0.0813,,,0,0,156000,77.2
40,159900,,,,,,,,,0,0,160000,77.9
