step,episode_return,has_disturbance
99900,40798.10204252377,0
99900,40624.86942900962,0
99900,39836.20338422142,0
99900,39268.34489436646,0
99900,39786.959362946865,0
99900,39195.686936579456,1
99900,39811.39428985926,0
99900,40943.39883255023,1
99900,59469.46459567309,1
99900,63972.44974117984,1
99900,41370.6931440356,0
99900,40384.62491414842,1
99900,39887.14152405585,0
99900,39498.63488040201,0
99900,40243.44067568093,1
99900,39975.36300704833,0
99900,40437.15829144033,1
99900,40638.87399652928,1
99900,39667.16765877376,1
99900,33011.07148621322,0
99900,39852.54726567762,1
99900,39941.37231021733,0
99900,40707.2240795248,0
99900,40431.84863751762,0
99900,39198.02897760335,1
99900,39938.79305395042,1
99900,40409.28457462097,0
99900,40534.98897352722,1
99900,39789.303642120336,0
99900,40509.47946502447,1
99900,41528.98360249023,0
99900,40579.359412259204,0
99900,40578.10125914675,0
99900,40177.54006415532,1
99900,40171.5385006267,1
99900,40502.2060732535,0
99900,40790.753633888125,0
99900,42469.841492889645,0
99900,39278.25481589182,1
99900,41090.29637748676,0
99900,39764.59454698447,1
99900,40921.64681788799,0
99900,38674.40015622959,0
99900,40544.5200562506,1
99900,39803.57306702422,1
99900,42404.67973223522,0
99900,40277.185511044045,0
99900,40022.76315269188,1
99900,41419.119797275875,0
99900,38109.14348069419,0
99900,40309.557169530104,0
99900,39759.263588019356,1
99900,40641.52064062939,0
99900,39557.52700799942,1
99900,39259.94713749655,1
99900,40173.26857082364,1
99900,39024.95798247905,0
99900,40451.974115078614,1
99900,40340.05817900321,0
99900,64092.90713432759,1
99900,39818.0787703551,0
99900,40510.46313751416,1
99900,39639.59375088864,1
99900,38463.54938631367,0
99900,39611.08136128298,0
99900,39640.42044154677,0
99900,40320.21334438333,0
99900,39535.09523241234,1
99900,40881.96040056127,0
99900,62016.25715326074,1
99900,40028.765526065894,0
99900,40097.74530500492,0
99900,64862.10601961965,0
99900,41128.22120356444,0
99900,39755.83412781212,1
99900,39598.41223683037,0
99900,39282.926137987124,1
99900,39130.96134804359,0
99900,39316.171890692654,1
99900,42337.249577091585,0
99900,39327.35697298163,1
99900,40312.051542065296,1
99900,40610.54861298068,0
99900,40097.12568748036,0
99900,66302.17317795128,0
99900,40035.98643401357,0
99900,39976.51709641463,1
99900,41300.402985459965,0
99900,41200.92773050532,0
99900,39827.95551033717,0
99900,42221.55014589414,0
99900,39496.059016442785,1
99900,40019.51625509808,1
99900,40706.16956103844,0
99900,39820.029186863,1
99900,40044.22899823372,1
99900,39328.84933335953,1
99900,39121.95641338764,1
99900,41263.29987975033,0
99900,39766.4704889385,1
200000,81428.33725341654,0
200000,80516.24824487687,0
200000,78279.52602764065,1
200000,81874.56893065726,1
200000,81187.63192999834,1
200000,81373.2577040672,0
200000,82308.59536154046,1
200000,87334.17350689646,0
200000,89022.13130840365,0
200000,77774.35264973859,0
200000,81381.22935319507,1
200000,77960.1904769144,1
200000,81172.12823178794,1
200000,81721.3646230688,1
200000,81015.45097649032,1
200000,80980.5869824048,1
200000,81060.80835260435,0
200000,78052.06593399329,1
200000,87169.94594621783,0
200000,88303.6811472563,0
200000,87338.2055223187,0
200000,87139.37049348447,0
200000,81951.73205752371,0
200000,81873.42502950669,0
200000,82183.39378857067,0
200000,81173.59100944544,0
200000,81256.25716188201,1
200000,84608.77854941094,1
200000,81825.12504025403,1
200000,77793.34346989471,0
200000,81980.52888580612,1
200000,81772.22261145005,0
200000,81723.25869588653,0
200000,81733.27103946656,1
200000,78105.86049473919,1
200000,82994.33808204086,1
200000,81096.70861931896,0
200000,83419.79033729347,0
200000,78562.42236751589,1
200000,81244.09383910891,0
200000,88940.03013641086,0
200000,82327.37456978214,1
200000,80791.89783328377,1
200000,81237.89773021177,1
200000,81570.33786788935,0
200000,87430.43781855176,0
200000,80960.87635457383,1
200000,81378.61646655716,1
200000,81558.40498050585,1
200000,78050.79838477026,0
200000,81609.64427782633,1
200000,87403.79579597131,0
200000,81226.9005970838,1
200000,86144.31003994847,1
200000,81619.34342688664,1
200000,82560.94903952323,0
200000,77812.93388618366,0
200000,82409.91825666554,0
200000,77864.22391297673,0
200000,87311.15935997138,0
200000,80642.74961201557,0
200000,82612.34757815141,0
200000,87297.90469486683,0
200000,84165.8836158683,0
200000,81663.03299423415,0
200000,77790.57438244503,0
200000,81514.67176829104,1
200000,81796.28283322719,0
200000,84620.46622653528,1
200000,78046.17218090444,0
200000,81287.50660802695,0
200000,81289.83811056663,1
200000,89196.79394441517,0
200000,80997.90272951146,1
200000,82345.66181178916,1
200000,78143.3547226514,0
200000,81108.39550404,1
200000,87406.88884631357,1
200000,78600.43278579839,0
200000,82031.64614871821,0
200000,83335.04772463201,1
200000,85418.53021551766,0
200000,77850.83311043547,0
200000,81308.55680317018,0
200000,81442.36982318167,0
200000,78191.28376270224,1
200000,81573.04466484608,1
200000,80953.04463513284,1
200000,78115.87974757506,0
200000,81016.77813424561,1
200000,81096.94733828456,0
200000,81483.30244489538,1
200000,80743.88188838893,0
200000,82166.61453573834,0
200000,82417.96833616632,0
200000,85325.46134090042,1
200000,87393.06638194302,1
200000,81116.90727221612,1
200000,81183.57359110392,0
200000,81496.37637958002,1
300100,84939.79379768172,1
300100,84926.30070122445,1
300100,83676.73848027481,0
300100,84104.87553374063,1
300100,82845.45099133681,1
300100,84182.03125170548,1
300100,85128.69093868484,1
300100,85262.49058457257,0
300100,83534.04030837736,1
300100,84524.44394193956,1
300100,86193.66641982927,0
300100,84708.745945643,1
300100,84392.37755233084,1
300100,85076.37159112826,0
300100,84362.0429994217,1
300100,85541.59335801328,0
300100,83747.52029505609,1
300100,85538.93342538137,0
300100,84388.59981066677,1
300100,84435.07205786405,1
300100,84351.94278687301,0
300100,84483.88367229284,0
300100,84359.46360791853,1
300100,85149.90855584046,0
300100,84853.08562103639,0
300100,83208.46000331177,1
300100,84542.66321505225,0
300100,84211.45026584856,1
300100,85209.73058434864,0
300100,83755.23121303447,1
300100,85892.34201676078,0
300100,84633.03680910877,0
300100,84984.39487931396,0
300100,85055.34716194042,1
300100,84521.43294367116,1
300100,83122.97743938638,1
300100,81793.59480545227,1
300100,85388.32758626762,0
300100,85099.36909913093,1
