epoch,step,loss_q,loss_pi,q_val,grad_q,grad_pi_rob,grad_pi_adv,mean_return,mean_length,episodes,dist_episodes,buffer_size,elapsed_s,det_loss,det_dist_loss,det_alpha_loss
1,3900,,,,,,,,,0,0,4000,0.4,,,
2,7900,,,,,,,,,0,0,8000,0.9,,,
3,11900,104.999171,-53.137790,52.9588,238.8541,0.0004,0.0000,,,0,0,12000,3.0,,,
4,15900,176.437059,-130.732824,130.5417,176.1489,0.0012,0.0003,,,0,0,16000,5.1,,,
5,19900,,,,,,,,,0,0,20000,5.7,,,
6,23900,115.140942,-208.175068,207.6721,167.8038,0.0025,0.0025,,,0,0,24000,7.8,,,
7,27900,113.550376,-286.684460,285.4284,363.1332,0.0033,0.0059,,,0,0,28000,10.0,,,
8,31900,114.336305,-362.649038,360.7792,581.8376,0.0086,0.0101,,,0,0,32000,12.1,,,
9,35900,127.844533,-441.707200,439.2499,892.8987,0.0454,0.0168,,,0,0,36000,14.2,,,
10,39900,,,,,,,,,0,0,40000,14.8,,,
11,43900,115.879670,-519.422747,516.8214,981.3936,0.0368,0.0237,,,0,0,44000,17.0,,,
12,47900,113.999893,-590.694882,588.2097,1176.3223,0.0437,0.0277,,,0,0,48000,19.2,,,
13,51900,120.103192,-656.271532,653.9085,1526.0874,0.0058,0.0302,,,0,0,52000,21.5,,,
14,55900,128.117378,-718.507396,716.2198,1851.9964,0.0000,0.0320,,,0,0,56000,23.7,,,
15,59900,,,,,,,,,0,0,60000,24.3,,,
16,63900,137.903908,-777.777625,775.5329,2190.0554,0.0000,0.0346,,,0,0,64000,26.6,,,
17,67900,143.669143,-835.352998,833.0984,2578.3975,0.0000,0.0349,,,0,0,68000,28.8,,,
18,71900,146.286907,-890.644893,888.4454,2763.9822,0.0001,0.0347,,,0,0,72000,31.0,,,
19,75900,160.965205,-943.849986,941.7753,3331.6288,0.0000,0.0323,,,0,0,76000,33.3,,,
20,79900,,,,,,,,,0,0,80000,34.0,,,
21,83900,159.727546,-995.223421,993.1302,3351.6866,0.0048,0.0402,,,0,0,84000,36.2,,,
22,87900,161.686799,-1045.346804,1043.2651,3444.8462,0.0141,0.0378,,,0,0,88000,38.5,,,
23,91900,170.591134,-1093.252772,1091.2251,3824.6494,0.0004,0.0358,,,0,0,92000,40.7,,,
24,95900,172.032567,-1140.140677,1138.1943,3831.1982,0.0000,0.0382,,,0,0,96000,42.9,,,
25,99900,,,,,,,30211.72,1000.0,100,56,100000,43.6,,,
26,103900,1537.267560,-1183.121417,1181.2751,3673.2381,0.0000,0.0334,,,0,0,104000,45.9,0.754236,0.623144,0.065546
27,107900,1746.375092,-1251.678017,1249.7767,4295.6379,0.0021,0.0373,,,0,0,108000,48.3,0.543511,0.454336,0.044587
28,111900,1821.054467,-1321.594166,1319.6483,5010.8901,0.0007,0.0379,,,0,0,112000,50.7,0.283760,0.231482,0.026139
29,115900,1717.346553,-1398.160290,1396.1195,5393.5406,0.0005,0.0386,,,0,0,116000,53.2,0.128953,0.105446,0.011754
30,119900,,,,,,,,,0,0,120000,53.8,,,
31,123900,1999.572385,-1477.061282,1474.8073,6407.0720,0.0000,0.0412,,,0,0,124000,56.3,0.062423,0.051930,0.005247
32,127900,1976.035729,-1559.347637,1557.0573,6762.9628,0.0000,0.0498,,,0,0,128000,58.8,0.021889,0.018392,0.001749
33,131900,2225.433154,-1642.908950,1640.5291,7168.4784,0.0001,0.0527,,,0,0,132000,61.2,0.007299,0.006345,0.000477
34,135900,2313.022602,-1727.577816,1725.0131,7586.4285,0.2098,0.0527,,,0,0,136000,63.7,0.003513,0.003117,0.000198
35,139900,,,,,,,,,0,0,140000,64.3,,,
36,143900,2474.484047,-1812.204231,1809.5872,7957.9951,0.2066,0.0499,,,0,0,144000,66.7,0.003115,0.002698,0.000209
