step,episode_return,has_disturbance
99900,51829.45039936918,0
99900,69261.06004806867,0
99900,51719.84160458022,1
99900,44061.46599815986,0
99900,43645.65608700496,0
99900,50676.762896156215,0
99900,57612.70678555204,1
99900,51867.846841582235,1
99900,52102.30569514351,1
99900,45108.375187203026,1
99900,51085.89394382502,1
99900,43105.87249077215,1
99900,43445.06474585318,0
99900,51507.50946701224,1
99900,51479.178892502925,0
99900,53396.42452875525,0
99900,51413.498495245236,1
99900,53471.67094522034,0
99900,51745.82445124485,1
99900,51545.015291946875,1
99900,51316.202859353376,1
99900,53220.12121252458,0
99900,51655.33630173443,1
99900,51143.129862011105,1
99900,51684.659502620176,0
99900,51493.236650852356,0
99900,52183.82523588281,1
99900,43821.210514767045,1
99900,51045.73375983387,1
99900,43704.05136747145,0
99900,52073.75700847078,0
99900,53059.11800126922,0
99900,52005.455353007164,0
99900,52525.24731757799,0
99900,53120.10480330354,1
99900,51478.64523324558,1
99900,51328.823464072324,0
99900,51439.68036339648,0
99900,51512.04311015309,1
99900,52025.61676561576,1
99900,51186.82281622841,1
99900,41835.77729651159,1
99900,51128.61250181329,1
99900,51717.28529326417,1
99900,51625.00807239561,1
99900,51789.18646685554,0
99900,53878.56954317594,0
99900,51674.23845319609,1
99900,51987.296736204546,1
99900,41823.756803388744,1
99900,41920.22030040783,1
99900,50569.70616001969,1
99900,43208.15666890608,0
99900,52151.02136415672,1
99900,51404.358676779804,1
99900,51720.221643638084,1
99900,51366.64063162126,0
99900,52552.72521084823,0
99900,52514.13370057381,0
99900,53261.8644606213,0
99900,41963.940406439455,1
99900,51830.97104461734,0
99900,55946.31879225302,1
99900,51528.20165849958,0
99900,51473.94883233798,1
99900,42996.90739490531,1
99900,51769.56368109058,1
99900,51657.8927698661,1
99900,52310.19988499592,0
99900,51674.26464453423,1
99900,41944.45909068659,0
99900,51719.30363121143,0
99900,51378.49907990703,0
99900,51829.54964922262,1
99900,51801.34331144767,0
99900,53122.55160374372,1
99900,52335.04964394722,1
99900,51279.3517085438,1
99900,44138.822875851125,1
99900,41671.22075316164,1
99900,51645.93708392702,1
99900,50673.49359051612,0
99900,43426.63933218614,1
99900,46771.80342661921,0
99900,54875.337493579056,0
99900,52271.22661683652,0
99900,51731.87068441487,0
99900,51458.17019293802,1
99900,52710.79734855004,0
99900,46901.98278008559,0
99900,52328.93580197691,0
99900,43670.47457122855,1
99900,42115.526901288766,0
99900,51428.811318484324,0
99900,55940.41708790549,0
99900,51230.5079255756,0
99900,51675.03896993181,0
99900,51958.14802153465,1
99900,52238.2692594455,0
99900,44003.56631506757,1
99900,36756.54687518194,0
99900,50658.99317489906,0
99900,37481.46320305176,1
99900,34208.55817514721,0
99900,33743.44920539539,0
99900,36122.04096347159,0
99900,49021.57919574996,1
99900,38647.80201814853,1
99900,32229.622342954997,1
99900,50773.87040190423,1
99900,36103.02180922509,1
99900,53054.432090277594,1
99900,33629.17263630378,0
99900,52577.54407766707,1
99900,33580.8032232182,0
99900,33495.055420320045,0
99900,33720.729124378806,1
99900,51608.70475665572,0
99900,36261.815083041074,1
99900,34190.221468623895,1
99900,33952.893649574784,1
99900,51447.121591700954,0
99900,37522.49894797984,1
99900,33826.55816052847,1
99900,34078.42164630738,0
99900,35159.98092338184,0
99900,38015.460996171976,1
99900,33825.00244430968,1
99900,34614.38456678575,1
99900,33894.373544990995,0
99900,34817.509155707754,0
99900,34878.57612544775,0
99900,33977.48067587319,0
99900,33601.24372288808,0
99900,34137.91209856353,1
99900,35355.066715327055,1
99900,34580.40669287214,0
99900,50984.52876597553,0
99900,33841.894267965195,1
99900,52122.255187193834,1
99900,36943.29079231639,1
99900,33995.42848761909,1
99900,33983.49765604287,1
99900,33574.66391653181,1
99900,34630.24917054072,1
99900,31923.19718921556,0
99900,33782.22930673534,0
99900,33894.51868936886,1
99900,32753.70319639747,1
99900,36104.095805299265,1
99900,34147.57901058443,1
99900,36100.19354757301,1
99900,34038.172288758404,0
99900,34965.33463712394,1
99900,34819.204701831426,1
99900,36114.31246780009,1
99900,34549.69761773194,0
99900,34449.22358088103,0
99900,39004.53589922047,0
99900,49055.797491206926,0
99900,34563.69393803196,1
99900,52789.23741148713,0
99900,36862.674475815256,1
99900,33991.43721638688,0
99900,33877.69122568277,1
99900,49600.84665506906,1
99900,34400.31357644094,1
99900,33261.04152629734,1
99900,33686.376071448634,0
99900,33591.248854975325,1
99900,34268.78166298738,0
99900,33841.76423509315,0
99900,35793.291897467134,0
99900,34116.954028407665,1
99900,34397.70084681121,0
