epoch,global_step,device,epoch_wall_s,steps_per_sec,updates_per_sec,env_step_total_s,env_step_mean_ms,buffer_sample_total_s,buffer_sample_mean_ms,update_total_s,update_mean_ms,gpu_mem_allocated_mb,gpu_mem_reserved_mb
1,3900,GPU (NVIDIA GeForce RTX 3080),0.35,11548.1,0.0,0.239,5.976,0.000,0.000,0.000,0.000,7.3,8.0
2,7900,GPU (NVIDIA GeForce RTX 3080),0.50,8046.6,0.0,0.355,8.868,0.000,0.000,0.000,0.000,16.4,30.0
3,11900,GPU (NVIDIA GeForce RTX 3080),0.81,4928.5,61.6,0.465,11.613,0.036,0.719,0.260,5.194,34.8,66.0
4,15900,GPU (NVIDIA GeForce RTX 3080),0.76,5278.7,66.0,0.537,13.424,0.035,0.696,0.132,2.647,34.8,66.0
5,19900,GPU (NVIDIA GeForce RTX 3080),0.62,6447.9,0.0,0.571,14.267,0.000,0.000,0.000,0.000,34.8,66.0
6,23900,GPU (NVIDIA GeForce RTX 3080),0.80,4971.1,62.1,0.582,14.550,0.036,0.723,0.135,2.704,34.8,66.0
7,27900,GPU (NVIDIA GeForce RTX 3080),0.81,4942.9,61.8,0.594,14.855,0.035,0.708,0.130,2.607,34.8,66.0
8,31900,GPU (NVIDIA GeForce RTX 3080),0.81,4961.0,62.0,0.590,14.758,0.036,0.717,0.132,2.636,34.8,66.0
9,35900,GPU (NVIDIA GeForce RTX 3080),0.81,4910.8,61.4,0.592,14.799,0.037,0.743,0.137,2.737,34.8,66.0
10,39900,GPU (NVIDIA GeForce RTX 3080),0.65,6124.2,0.0,0.603,15.078,0.000,0.000,0.000,0.000,34.8,66.0
11,43900,GPU (NVIDIA GeForce RTX 3080),0.82,4899.9,61.2,0.587,14.672,0.037,0.743,0.136,2.720,34.8,66.0
12,47900,GPU (NVIDIA GeForce RTX 3080),0.84,4788.4,59.9,0.608,15.198,0.038,0.755,0.140,2.802,34.8,66.0
13,51900,GPU (NVIDIA GeForce RTX 3080),0.83,4827.1,60.3,0.600,15.002,0.039,0.770,0.140,2.809,34.8,66.0
14,55900,GPU (NVIDIA GeForce RTX 3080),0.81,4919.8,61.5,0.591,14.786,0.038,0.762,0.137,2.747,34.8,66.0
15,59900,GPU (NVIDIA GeForce RTX 3080),0.64,6221.3,0.0,0.595,14.867,0.000,0.000,0.000,0.000,34.8,66.0
16,63900,GPU (NVIDIA GeForce RTX 3080),0.82,4885.6,61.1,0.595,14.874,0.038,0.755,0.136,2.730,34.8,66.0
17,67900,GPU (NVIDIA GeForce RTX 3080),0.83,4826.1,60.3,0.598,14.962,0.037,0.739,0.144,2.890,34.8,66.0
18,71900,GPU (NVIDIA GeForce RTX 3080),0.83,4800.8,60.0,0.603,15.070,0.038,0.753,0.140,2.804,34.8,66.0
19,75900,GPU (NVIDIA GeForce RTX 3080),0.83,4799.6,60.0,0.610,15.238,0.038,0.756,0.137,2.747,34.8,66.0
20,79900,GPU (NVIDIA GeForce RTX 3080),0.64,6216.4,0.0,0.593,14.836,0.000,0.000,0.000,0.000,34.8,66.0
21,83900,GPU (NVIDIA GeForce RTX 3080),0.81,4930.0,61.6,0.590,14.741,0.037,0.750,0.132,2.636,34.8,66.0
22,87900,GPU (NVIDIA GeForce RTX 3080),0.84,4789.9,59.9,0.611,15.279,0.037,0.748,0.135,2.708,34.8,66.0
23,91900,GPU (NVIDIA GeForce RTX 3080),0.83,4839.4,60.5,0.600,14.998,0.037,0.744,0.141,2.816,34.8,66.0
24,95900,GPU (NVIDIA GeForce RTX 3080),0.82,4907.0,61.3,0.596,14.899,0.037,0.736,0.133,2.661,34.8,66.0
25,99900,GPU (NVIDIA GeForce RTX 3080),0.72,5591.0,0.0,0.609,15.220,0.000,0.000,0.000,0.000,34.8,66.0
26,103900,GPU (NVIDIA GeForce RTX 3080),0.94,4258.9,53.2,0.447,11.179,0.039,0.777,0.137,2.749,40.1,76.0
27,107900,GPU (NVIDIA GeForce RTX 3080),1.01,3962.3,49.5,0.553,13.837,0.037,0.732,0.135,2.707,40.1,76.0
28,111900,GPU (NVIDIA GeForce RTX 3080),1.02,3937.6,49.2,0.572,14.301,0.038,0.754,0.137,2.734,40.1,76.0
29,115900,GPU (NVIDIA GeForce RTX 3080),1.05,3802.5,47.5,0.591,14.779,0.037,0.746,0.135,2.705,40.1,76.0
30,119900,GPU (NVIDIA GeForce RTX 3080),0.64,6260.1,0.0,0.594,14.851,0.000,0.000,0.000,0.000,40.1,76.0
31,123900,GPU (NVIDIA GeForce RTX 3080),1.05,3800.9,47.5,0.591,14.768,0.037,0.743,0.137,2.735,40.1,76.0
32,127900,GPU (NVIDIA GeForce RTX 3080),1.06,3783.6,47.3,0.605,15.120,0.038,0.761,0.138,2.750,40.1,76.0
33,131900,GPU (NVIDIA GeForce RTX 3080),1.05,3801.5,47.5,0.599,14.976,0.037,0.749,0.135,2.708,40.1,76.0
34,135900,GPU (NVIDIA GeForce RTX 3080),1.05,3811.9,47.6,0.596,14.906,0.038,0.758,0.135,2.708,40.1,76.0
35,139900,GPU (NVIDIA GeForce RTX 3080),0.65,6130.4,0.0,0.606,15.143,0.000,0.000,0.000,0.000,40.1,76.0
36,143900,GPU (NVIDIA GeForce RTX 3080),1.05,3808.8,47.6,0.590,14.756,0.039,0.777,0.142,2.845,40.1,76.0
37,147900,GPU (NVIDIA GeForce RTX 3080),1.04,3829.7,47.9,0.587,14.675,0.038,0.757,0.138,2.756,40.1,76.0
38,151900,GPU (NVIDIA GeForce RTX 3080),1.05,3827.3,47.8,0.601,15.016,0.037,0.741,0.135,2.692,40.1,76.0
39,155900,GPU (NVIDIA GeForce RTX 3080),1.04,3842.0,48.0,0.588,14.696,0.038,0.755,0.138,2.752,40.1,76.0
40,159900,GPU (NVIDIA GeForce RTX 3080),0.67,5997.0,0.0,0.620,15.507,0.000,0.000,0.000,0.000,40.1,76.0
41,163900,GPU (NVIDIA GeForce RTX 3080),1.06,3770.4,47.1,0.590,14.745,0.039,0.776,0.138,2.767,40.1,76.0
42,167900,GPU (NVIDIA GeForce RTX 3080),1.06,3789.4,47.4,0.589,14.732,0.039,0.784,0.141,2.818,40.1,76.0
43,171900,GPU (NVIDIA GeForce RTX 3080),1.06,3787.5,47.3,0.597,14.933,0.038,0.766,0.137,2.736,40.1,78.0
44,175900,GPU (NVIDIA GeForce RTX 3080),1.05,3819.4,47.7,0.591,14.771,0.038,0.754,0.138,2.764,40.1,78.0
45,179900,GPU (NVIDIA GeForce RTX 3080),0.64,6223.8,0.0,0.595,14.877,0.000,0.000,0.000,0.000,40.1,78.0
46,183900,GPU (NVIDIA GeForce RTX 3080),1.06,3789.1,47.4,0.599,14.974,0.038,0.769,0.138,2.770,40.1,78.0
47,187900,GPU (NVIDIA GeForce RTX 3080),1.05,3792.4,47.4,0.603,15.064,0.038,0.765,0.136,2.730,40.1,78.0
48,191900,GPU (NVIDIA GeForce RTX 3080),1.06,3771.9,47.1,0.599,14.987,0.038,0.767,0.139,2.785,40.1,78.0
49,195900,GPU (NVIDIA GeForce RTX 3080),1.06,3760.6,47.0,0.596,14.895,0.040,0.800,0.144,2.882,40.1,78.0
50,199900,GPU (NVIDIA GeForce RTX 3080),0.65,6174.6,0.0,0.600,14.992,0.000,0.000,0.000,0.000,40.1,78.0
51,203900,GPU (NVIDIA GeForce RTX 3080),1.03,3867.5,48.3,0.458,11.458,0.040,0.792,0.141,2.812,40.1,78.0
52,207900,GPU (NVIDIA GeForce RTX 3080),1.01,3975.3,49.7,0.558,13.962,0.039,0.771,0.135,2.698,40.1,78.0
53,211900,GPU (NVIDIA GeForce RTX 3080),1.06,3790.0,47.4,0.596,14.888,0.038,0.769,0.137,2.738,40.1,78.0
54,215900,GPU (NVIDIA GeForce RTX 3080),1.06,3781.3,47.3,0.601,15.025,0.038,0.757,0.135,2.690,40.1,78.0
55,219900,GPU (NVIDIA GeForce RTX 3080),0.64,6294.8,0.0,0.590,14.746,0.000,0.000,0.000,0.000,40.1,78.0
56,223900,GPU (NVIDIA GeForce RTX 3080),1.06,3786.2,47.3,0.598,14.951,0.038,0.756,0.135,2.710,40.1,78.0
57,227900,GPU (NVIDIA GeForce RTX 3080),1.06,3760.2,47.0,0.587,14.683,0.039,0.782,0.151,3.022,40.1,78.0
58,231900,GPU (NVIDIA GeForce RTX 3080),1.04,3855.7,48.2,0.589,14.729,0.037,0.744,0.132,2.643,40.1,78.0
59,235900,GPU (NVIDIA GeForce RTX 3080),1.08,3710.1,46.4,0.612,15.298,0.039,0.771,0.143,2.865,40.1,78.0
60,239900,GPU (NVIDIA GeForce RTX 3080),0.65,6129.9,0.0,0.605,15.134,0.000,0.000,0.000,0.000,40.1,78.0
61,243900,GPU (NVIDIA GeForce RTX 3080),1.06,3771.0,47.1,0.597,14.935,0.039,0.771,0.141,2.815,40.1,78.0
62,247900,GPU (NVIDIA GeForce RTX 3080),1.06,3781.9,47.3,0.605,15.129,0.037,0.747,0.136,2.715,40.1,78.0
63,251900,GPU (NVIDIA GeForce RTX 3080),1.04,3831.1,47.9,0.591,14.776,0.038,0.769,0.143,2.870,40.1,78.0
64,255900,GPU (NVIDIA GeForce RTX 3080),1.07,3746.2,46.8,0.600,14.992,0.038,0.754,0.152,3.036,40.1,78.0
65,259900,GPU (NVIDIA GeForce RTX 3080),0.64,6256.1,0.0,0.592,14.811,0.000,0.000,0.000,0.000,40.1,78.0
66,263900,GPU (NVIDIA GeForce RTX 3080),1.06,3785.1,47.3,0.605,15.121,0.038,0.763,0.136,2.715,40.1,78.0
67,267900,GPU (NVIDIA GeForce RTX 3080),1.05,3793.0,47.4,0.596,14.896,0.039,0.771,0.138,2.757,40.1,78.0
68,271900,GPU (NVIDIA GeForce RTX 3080),1.05,3794.1,47.4,0.606,15.146,0.037,0.749,0.133,2.668,40.1,78.0
69,275900,GPU (NVIDIA GeForce RTX 3080),1.04,3860.4,48.3,0.595,14.865,0.038,0.751,0.131,2.626,40.1,78.0
70,279900,GPU (NVIDIA GeForce RTX 3080),0.64,6224.3,0.0,0.597,14.935,0.000,0.000,0.000,0.000,40.1,78.0
71,283900,GPU (NVIDIA GeForce RTX 3080),1.05,3817.8,47.7,0.599,14.983,0.038,0.763,0.133,2.656,40.1,78.0
72,287900,GPU (NVIDIA GeForce RTX 3080),1.04,3854.1,48.2,0.594,14.846,0.038,0.753,0.133,2.660,40.1,78.0
73,291900,GPU (NVIDIA GeForce RTX 3080),1.06,3773.0,47.2,0.608,15.191,0.038,0.759,0.135,2.694,40.1,78.0
74,295900,GPU (NVIDIA GeForce RTX 3080),1.05,3810.3,47.6,0.606,15.154,0.038,0.752,0.135,2.693,40.1,78.0
75,299900,GPU (NVIDIA GeForce RTX 3080),0.64,6270.4,0.0,0.592,14.800,0.000,0.000,0.000,0.000,40.1,78.0
76,303900,GPU (NVIDIA GeForce RTX 3080),0.98,4070.8,50.9,0.458,11.454,0.039,0.788,0.140,2.797,40.1,78.0
77,307900,GPU (NVIDIA GeForce RTX 3080),1.01,3978.7,49.7,0.546,13.653,0.039,0.785,0.137,2.750,40.1,78.0
78,311900,GPU (NVIDIA GeForce RTX 3080),1.03,3880.1,48.5,0.569,14.225,0.039,0.778,0.136,2.722,40.1,78.0
79,315900,GPU (NVIDIA GeForce RTX 3080),1.02,3904.9,48.8,0.582,14.542,0.039,0.778,0.133,2.666,40.1,78.0
80,319900,GPU (NVIDIA GeForce RTX 3080),0.63,6353.6,0.0,0.581,14.514,0.000,0.000,0.000,0.000,40.1,78.0
81,323900,GPU (NVIDIA GeForce RTX 3080),1.05,3807.8,47.6,0.581,14.537,0.039,0.772,0.138,2.764,40.1,78.0
82,327900,GPU (NVIDIA GeForce RTX 3080),1.05,3821.6,47.8,0.584,14.596,0.039,0.775,0.141,2.830,40.1,78.0
83,331900,GPU (NVIDIA GeForce RTX 3080),1.04,3849.6,48.1,0.579,14.470,0.039,0.779,0.136,2.728,40.1,78.0
84,335900,GPU (NVIDIA GeForce RTX 3080),1.04,3848.0,48.1,0.579,14.465,0.039,0.784,0.135,2.710,40.1,78.0
85,339900,GPU (NVIDIA GeForce RTX 3080),0.63,6368.5,0.0,0.581,14.522,0.000,0.000,0.000,0.000,40.1,78.0
86,343900,GPU (NVIDIA GeForce RTX 3080),1.04,3842.3,48.0,0.592,14.793,0.039,0.774,0.136,2.722,40.1,78.0
87,347900,GPU (NVIDIA GeForce RTX 3080),1.04,3843.5,48.0,0.595,14.868,0.037,0.750,0.132,2.642,40.1,78.0
88,351900,GPU (NVIDIA GeForce RTX 3080),1.04,3830.2,47.9,0.590,14.741,0.038,0.767,0.138,2.762,40.1,78.0
89,355900,GPU (NVIDIA GeForce RTX 3080),1.05,3802.3,47.5,0.595,14.873,0.038,0.769,0.137,2.739,40.1,78.0
90,359900,GPU (NVIDIA GeForce RTX 3080),0.64,6240.1,0.0,0.593,14.822,0.000,0.000,0.000,0.000,40.1,78.0
91,363900,GPU (NVIDIA GeForce RTX 3080),1.07,3736.9,46.7,0.593,14.834,0.038,0.765,0.146,2.929,40.1,78.0
92,367900,GPU (NVIDIA GeForce RTX 3080),1.05,3822.9,47.8,0.587,14.675,0.039,0.774,0.139,2.784,40.1,78.0
93,371900,GPU (NVIDIA GeForce RTX 3080),1.03,3869.9,48.4,0.577,14.420,0.039,0.772,0.138,2.757,40.1,78.0
94,375900,GPU (NVIDIA GeForce RTX 3080),1.04,3858.7,48.2,0.582,14.540,0.038,0.750,0.135,2.692,40.1,78.0
95,379900,GPU (NVIDIA GeForce RTX 3080),0.63,6309.7,0.0,0.586,14.645,0.000,0.000,0.000,0.000,40.1,78.0
96,383900,GPU (NVIDIA GeForce RTX 3080),1.06,3776.8,47.2,0.597,14.935,0.038,0.762,0.138,2.751,40.1,78.0
97,387900,GPU (NVIDIA GeForce RTX 3080),1.04,3830.0,47.9,0.590,14.751,0.038,0.764,0.138,2.756,40.1,78.0
98,391900,GPU (NVIDIA GeForce RTX 3080),1.03,3878.2,48.5,0.591,14.781,0.037,0.741,0.131,2.627,40.1,78.0
99,395900,GPU (NVIDIA GeForce RTX 3080),1.05,3827.8,47.8,0.593,14.824,0.037,0.743,0.133,2.663,40.1,78.0
100,399900,GPU (NVIDIA GeForce RTX 3080),0.64,6273.7,0.0,0.588,14.710,0.000,0.000,0.000,0.000,40.1,78.0
101,403900,GPU (NVIDIA GeForce RTX 3080),1.02,3930.4,49.1,0.461,11.513,0.039,0.781,0.137,2.739,40.1,78.0
102,407900,GPU (NVIDIA GeForce RTX 3080),1.04,3844.8,48.1,0.579,14.472,0.039,0.774,0.137,2.732,40.1,78.0
103,411900,GPU (NVIDIA GeForce RTX 3080),1.04,3853.1,48.2,0.590,14.748,0.038,0.768,0.135,2.701,40.1,78.0
104,415900,GPU (NVIDIA GeForce RTX 3080),1.02,3916.0,49.0,0.580,14.500,0.038,0.755,0.132,2.645,40.1,78.0
105,419900,GPU (NVIDIA GeForce RTX 3080),0.62,6426.6,0.0,0.574,14.344,0.000,0.000,0.000,0.000,40.1,78.0
106,423900,GPU (NVIDIA GeForce RTX 3080),1.02,3907.1,48.8,0.578,14.444,0.038,0.754,0.132,2.649,40.1,78.0
107,427900,GPU (NVIDIA GeForce RTX 3080),1.05,3797.8,47.5,0.582,14.543,0.039,0.781,0.137,2.747,40.1,78.0
108,431900,GPU (NVIDIA GeForce RTX 3080),1.04,3864.0,48.3,0.566,14.151,0.039,0.776,0.148,2.950,40.1,78.0
109,435900,GPU (NVIDIA GeForce RTX 3080),1.06,3787.3,47.3,0.578,14.441,0.039,0.773,0.151,3.015,40.1,78.0
110,439900,GPU (NVIDIA GeForce RTX 3080),0.61,6524.0,0.0,0.564,14.102,0.000,0.000,0.000,0.000,40.1,78.0
111,443900,GPU (NVIDIA GeForce RTX 3080),1.02,3911.5,48.9,0.559,13.984,0.039,0.773,0.135,2.694,40.1,78.0
112,447900,GPU (NVIDIA GeForce RTX 3080),1.04,3830.5,47.9,0.577,14.419,0.040,0.803,0.142,2.846,40.1,78.0
113,451900,GPU (NVIDIA GeForce RTX 3080),1.03,3873.8,48.4,0.570,14.257,0.039,0.776,0.136,2.722,40.1,78.0
114,455900,GPU (NVIDIA GeForce RTX 3080),1.04,3863.0,48.3,0.574,14.361,0.039,0.771,0.138,2.756,40.1,78.0
115,459900,GPU (NVIDIA GeForce RTX 3080),0.62,6480.9,0.0,0.568,14.207,0.000,0.000,0.000,0.000,40.1,78.0
116,463900,GPU (NVIDIA GeForce RTX 3080),1.04,3855.1,48.2,0.570,14.254,0.039,0.789,0.142,2.835,40.1,78.0
117,467900,GPU (NVIDIA GeForce RTX 3080),1.01,3971.0,49.6,0.556,13.905,0.039,0.774,0.137,2.740,40.1,78.0
118,471900,GPU (NVIDIA GeForce RTX 3080),1.02,3912.2,48.9,0.566,14.148,0.038,0.764,0.138,2.755,40.1,78.0
119,475900,GPU (NVIDIA GeForce RTX 3080),1.01,3951.5,49.4,0.566,14.162,0.038,0.760,0.134,2.678,40.1,78.0
120,479900,GPU (NVIDIA GeForce RTX 3080),0.62,6487.9,0.0,0.570,14.239,0.000,0.000,0.000,0.000,40.1,78.0
121,483900,GPU (NVIDIA GeForce RTX 3080),1.08,3690.9,46.1,0.577,14.431,0.039,0.780,0.141,2.812,40.1,78.0
122,487900,GPU (NVIDIA GeForce RTX 3080),1.02,3929.8,49.1,0.562,14.057,0.038,0.752,0.136,2.714,40.1,78.0
123,491900,GPU (NVIDIA GeForce RTX 3080),1.02,3925.3,49.1,0.563,14.083,0.038,0.760,0.138,2.752,40.1,78.0
124,495900,GPU (NVIDIA GeForce RTX 3080),1.03,3898.7,48.7,0.566,14.150,0.038,0.769,0.138,2.758,40.1,78.0
125,499900,GPU (NVIDIA GeForce RTX 3080),0.63,6350.4,0.0,0.581,14.529,0.000,0.000,0.000,0.000,40.1,78.0
126,503900,GPU (NVIDIA GeForce RTX 3080),1.03,3895.6,48.7,0.483,12.080,0.039,0.777,0.144,2.878,40.1,78.0
127,507900,GPU (NVIDIA GeForce RTX 3080),1.04,3846.5,48.1,0.575,14.371,0.039,0.774,0.137,2.732,40.1,78.0
128,511900,GPU (NVIDIA GeForce RTX 3080),1.07,3752.3,46.9,0.596,14.896,0.039,0.771,0.140,2.792,40.1,78.0
129,515900,GPU (NVIDIA GeForce RTX 3080),1.04,3858.6,48.2,0.576,14.411,0.039,0.771,0.141,2.828,40.1,78.0
130,519900,GPU (NVIDIA GeForce RTX 3080),0.63,6385.3,0.0,0.578,14.446,0.000,0.000,0.000,0.000,40.1,78.0
131,523900,GPU (NVIDIA GeForce RTX 3080),1.11,3591.3,44.9,0.587,14.679,0.042,0.832,0.146,2.917,40.1,78.0
