epoch,step,loss_q1,loss_q2,loss_pi,q1_val,q2_val,grad_q1,grad_q2,grad_pi_rob,grad_pi_adv,mean_return,mean_length,episodes,dist_episodes,buffer_size,elapsed_s,det_loss,det_dist_loss,det_alpha_loss
1,3900,,,,,,,,,,,,0,0,4000,0.3,,,
2,7900,,,,,,,,,,,,0,0,8000,0.8,,,
3,11900,274.713928,295.895568,-25.517938,24.6976,24.1852,951.8888,1151.0735,0.0564,0.0109,,,0,0,12000,1.7,,,
4,15900,113.874305,118.696894,-37.691698,37.4605,37.2600,354.6486,309.3873,0.0241,0.0048,,,0,0,16000,2.4,,,
5,19900,,,,,,,,,,,,0,0,20000,3.0,,,
6,23900,55.552677,59.234368,-44.697066,44.3602,44.2367,225.0116,241.5757,0.0022,0.0162,,,0,0,24000,3.8,,,
7,27900,36.748889,37.477928,-49.286715,49.1239,49.0887,198.9602,204.6880,0.0006,0.0021,,,0,0,28000,4.6,,,
8,31900,27.547941,28.052197,-53.423353,52.9928,52.9865,193.0760,193.8079,0.0003,0.0150,,,0,0,32000,5.5,,,
9,35900,21.227361,21.622844,-56.802540,56.4618,56.4480,239.0569,231.8139,0.0003,0.0377,,,0,0,36000,6.3,,,
10,39900,,,,,,,,,,,,0,0,40000,6.9,,,
11,43900,17.770040,18.237214,-60.263774,59.8487,59.8437,217.3966,224.4207,0.0002,0.0984,,,0,0,44000,7.7,,,
12,47900,15.342890,15.906779,-63.810176,63.1752,63.1587,231.3674,261.9476,0.0001,0.0005,,,0,0,48000,8.6,,,
13,51900,13.765159,14.319282,-66.989629,66.5525,66.5564,342.1922,416.8996,0.0001,0.1574,,,0,0,52000,9.4,,,
14,55900,12.941369,13.561349,-70.566707,70.0711,70.0479,347.3957,382.2693,0.0001,0.0001,,,0,0,56000,10.2,,,
15,59900,,,,,,,,,,,,0,0,60000,10.9,,,
16,63900,11.484100,11.996635,-74.115689,73.6156,73.6121,285.3349,272.1076,0.0001,0.0559,,,0,0,64000,11.7,,,
17,67900,11.018122,11.538228,-77.990967,77.3858,77.3791,320.9565,324.4567,0.0000,0.0928,,,0,0,68000,12.5,,,
18,71900,10.242700,10.715864,-81.578582,81.0028,81.0060,322.8222,288.9980,0.0001,0.1071,,,0,0,72000,13.4,,,
19,75900,10.352447,10.598527,-85.434739,84.9458,84.9306,537.5812,382.0550,0.0000,0.0001,,,0,0,76000,14.2,,,
20,79900,,,,,,,,,,,,0,0,80000,14.9,,,
21,83900,9.999624,10.504410,-89.235630,88.6540,88.6524,460.5901,420.4779,0.0000,0.0218,,,0,0,84000,15.7,,,
22,87900,9.892656,10.312376,-93.241366,92.8360,92.8318,438.5195,537.7733,0.0000,0.8740,,,0,0,88000,16.5,,,
23,91900,9.613593,10.046347,-97.048156,96.7765,96.7782,627.2169,625.2982,0.0000,0.1672,,,0,0,92000,17.4,,,
24,95900,9.722009,9.711240,-101.269531,100.9445,100.9276,729.0667,440.5136,0.0000,0.1290,,,0,0,96000,18.2,,,
25,99900,,,,,,,,,,43671.29,1000.0,100,44,100000,18.9,,,
26,103900,18.513746,19.013337,-105.302410,104.9895,105.0017,931.4043,952.5661,0.0000,0.0001,,,0,0,104000,19.8,0.840669,0.667980,0.086345
27,107900,22.225202,23.208699,-108.755097,108.2566,108.2423,875.8667,1147.6878,0.0000,0.0000,,,0,0,108000,20.9,0.692883,0.579196,0.056843
28,111900,19.579353,19.922395,-113.292222,113.2884,113.2935,790.5450,660.5165,0.0000,0.0005,,,0,0,112000,21.9,0.330455,0.259078,0.035688
29,115900,20.272566,20.750241,-117.917192,117.9637,117.9577,885.8259,769.5966,0.0000,0.1838,,,0,0,116000,23.0,0.097244,0.068628,0.014308
30,119900,,,,,,,,,,,,0,0,120000,23.6,,,
31,123900,20.920398,21.314336,-123.466161,123.1218,123.1202,1157.8373,1094.9166,0.0000,0.0000,,,0,0,124000,24.7,0.030237,0.022610,0.003813
32,127900,22.090634,22.226731,-128.263286,128.0467,128.0467,1315.0689,1250.0089,0.0000,0.0000,,,0,0,128000,25.7,0.011390,0.009044,0.001173
33,131900,21.736677,22.567492,-133.555839,133.4818,133.4805,1237.0410,1341.1006,0.0000,0.0000,,,0,0,132000,26.8,0.006228,0.005051,0.000588
34,135900,24.339722,24.332897,-138.472137,138.5923,138.5919,1358.9381,1179.2628,0.0000,0.0000,,,0,0,136000,27.8,0.003985,0.003281,0.000352
35,139900,,,,,,,,,,,,0,0,140000,28.5,,,
36,143900,24.054760,24.763731,-143.687477,143.9250,143.9211,1004.8248,1157.4989,0.0000,0.0000,,,0,0,144000,29.5,0.002910,0.002404,0.000253
37,147900,21.465088,21.760702,-149.380674,149.0776,149.0767,1001.2370,1035.5450,0.0000,0.0000,,,0,0,148000,30.6,0.002306,0.001906,0.000200
38,151900,24.734058,25.065002,-154.108510,154.2469,154.2441,1395.8870,1474.5385,0.0000,0.0000,,,0,0,152000,31.6,0.001665,0.001380,0.000143
39,155900,23.123194,23.408965,-159.639764,159.6287,159.6379,1424.4862,1390.9672,0.0000,0.0000,,,0,0,156000,32.6,0.001368,0.001133,0.000118
40,159900,,,,,,,,,,,,0,0,160000,33.4,,,
41,163900,20.356709,20.663094,-165.027891,164.9999,164.9916,1542.2337,1494.2809,0.0000,0.0000,,,0,0,164000,34.4,0.001114,0.000932,0.000091
42,167900,19.611806,19.617747,-170.074672,170.3294,170.3418,1382.9607,1082.9408,0.0000,0.0000,,,0,0,168000,35.5,0.000937,0.000782,0.000077
43,171900,24.831267,24.753008,-175.752986,175.8198,175.8169,1964.2679,1606.9857,0.0000,0.0000,,,0,0,172000,36.5,0.000793,0.000659,0.000067
44,175900,23.450197,23.343497,-181.103951,181.1641,181.1629,1422.5781,1114.2375,0.0003,0.0000,,,0,0,176000,37.6,0.000865,0.000701,0.000082
45,179900,,,,,,,,,,,,0,0,180000,38.2,,,
46,183900,23.386935,23.777234,-186.586364,186.5690,186.5508,1402.9405,1476.7676,0.0657,0.0000,,,0,0,184000,39.3,0.006567,0.005617,0.000475
47,187900,30.594494,31.534885,-192.071552,191.9489,191.9627,2095.8560,2426.8738,0.0224,0.0000,,,0,0,188000,40.4,0.004475,0.003597,0.000439
48,191900,27.057959,27.596466,-197.784986,197.5212,197.5166,2039.9862,2324.6944,0.0124,0.0000,,,0,0,192000,41.4,0.001115,0.000841,0.000137
49,195900,23.331264,23.430834,-202.424008,202.6051,202.6078,1656.2724,1677.7096,0.0114,0.0000,,,0,0,196000,42.5,0.009301,0.008465,0.000418
50,199900,,,,,,,,,,,,0,0,200000,43.1,,,
51,203900,47.527693,47.717710,-207.837357,207.9700,207.9644,1763.5257,1701.0091,0.0192,0.0000,50326.21,1001.0,100,42,204000,44.2,1.631496,1.528189,0.051654
52,207900,50.487537,50.396511,-212.652658,212.5780,212.5808,2307.9938,2523.1952,0.0145,0.0000,,,0,0,208000,45.2,0.702058,0.630666,0.035696
53,211900,57.304788,56.980351,-217.634390,217.9169,217.9187,4092.0483,3805.9773,0.0140,0.0000,,,0,0,212000,46.2,0.284986,0.251534,0.016726
54,215900,46.968933,47.412851,-222.986774,223.0951,223.0907,2163.2536,2197.1743,0.0251,0.0000,,,0,0,216000,47.3,0.187735,0.164961,0.011387
55,219900,,,,,,,,,,,,0,0,220000,47.9,,,
56,223900,58.291744,58.209764,-228.099340,227.9405,227.9408,1833.1679,1819.9480,0.0152,0.0000,,,0,0,224000,49.0,0.211233,0.185120,0.013056
57,227900,54.660163,54.181474,-233.686277,233.7821,233.7767,2684.4484,2580.7996,0.0190,0.0000,,,0,0,228000,50.1,0.135157,0.117816,0.008670
58,231900,47.996399,47.883154,-239.398495,239.0469,239.0636,2403.8415,2079.4741,0.0149,0.0000,,,0,0,232000,51.1,0.097320,0.082636,0.007342
59,235900,68.566863,68.690568,-244.547126,244.4695,244.4665,3161.5752,3055.3655,0.0195,0.0000,,,0,0,236000,52.2,0.044779,0.037645,0.003567
60,239900,,,,,,,,,,,,0,0,240000,52.8,,,
61,243900,63.795168,63.221408,-249.786999,249.6271,249.6090,2984.8068,2508.9098,0.0267,0.0000,,,0,0,244000,53.9,0.031312,0.024743,0.003284
62,247900,63.355079,63.998039,-255.900199,255.3345,255.3500,2580.0660,2865.6935,0.0252,0.0000,,,0,0,248000,54.9,0.023592,0.018616,0.002488
63,251900,66.538703,67.539675,-260.947957,260.6406,260.6382,1846.7317,2371.9956,0.0243,0.0000,,,0,0,252000,56.0,0.011288,0.009419,0.000934
64,255900,56.436604,55.578530,-266.040718,266.0077,266.0072,2688.6678,2476.5075,0.0286,0.0000,,,0,0,256000,57.1,0.004506,0.003974,0.000266
65,259900,,,,,,,,,,,,0,0,260000,57.7,,,
66,263900,66.945786,66.221704,-271.729672,271.5416,271.5423,2426.1898,2129.4447,0.0145,0.0000,,,0,0,264000,58.8,0.002498,0.002115,0.000191
67,267900,67.326630,68.678487,-277.284838,276.9182,276.9179,3304.3110,3892.4907,0.0188,0.0001,,,0,0,268000,59.8,0.001363,0.001128,0.000117
68,271900,62.723548,62.157396,-282.442141,282.2930,282.2967,3243.2452,2895.9433,0.0145,0.0003,,,0,0,272000,60.9,0.000543,0.000482,0.000031
69,275900,71.476287,72.383397,-287.618376,287.3933,287.3851,3398.8914,3755.3475,0.0159,0.2312,,,0,0,276000,61.9,0.000446,0.000392,0.000027
70,279900,,,,,,,,,,,,0,0,280000,62.5,,,
71,283900,87.301759,87.758849,-293.499150,292.9496,292.9456,4285.5280,4395.8942,0.0324,0.0000,,,0,0,284000,63.6,0.000393,0.000346,0.000024
72,287900,72.302644,72.866532,-298.584948,298.3654,298.3603,2654.2544,2532.2762,0.0366,0.0000,,,0,0,288000,64.6,0.000340,0.000299,0.000020
73,291900,73.257469,73.846710,-303.820657,303.3687,303.3796,2355.6205,2552.0213,0.0322,0.0000,,,0,0,292000,65.7,0.000301,0.000263,0.000019
74,295900,73.322939,73.282449,-309.060834,308.8128,308.8065,3073.6251,2940.0014,0.0276,0.0000,,,0,0,296000,66.7,0.000278,0.000244,0.000017
75,299900,,,,,,,,,,,,0,0,300000,67.4,,,
76,303900,56.954050,57.435298,-315.142892,314.5234,314.5161,2361.3648,2478.5284,0.0228,0.0000,50508.46,1001.0,100,55,304000,68.4,0.000250,0.000220,0.000015
77,307900,120.758384,120.788818,-318.860823,318.5180,318.5305,3169.2686,2850.2614,0.0885,0.0000,,,0,0,308000,69.4,0.670718,0.617071,0.026824
78,311900,120.598665,119.481234,-322.732198,322.5541,322.5628,3683.2044,3112.7593,0.0541,0.0000,,,0,0,312000,70.4,0.324991,0.285232,0.019880
79,315900,125.207551,124.856203,-328.012429,326.9279,326.9226,3812.8921,3630.4386,0.0444,0.0000,,,0,0,316000,71.4,0.177631,0.154861,0.011385
80,319900,,,,,,,,,,,,0,0,320000,72.0,,,
81,323900,108.771239,108.370858,-331.598146,331.5497,331.5381,4166.9132,3535.8221,0.0563,0.0000,,,0,0,324000,73.1,0.119435,0.104162,0.007637
82,327900,115.283526,115.586179,-336.160474,335.6609,335.6594,4829.2211,5002.4262,0.0383,0.0000,,,0,0,328000,74.1,0.104991,0.092159,0.006416
83,331900,128.394988,129.251765,-340.618320,339.7644,339.7796,4220.5545,4742.5847,0.0544,0.0000,,,0,0,332000,75.2,0.087532,0.078353,0.004590
84,335900,109.396117,109.423071,-344.390389,343.6551,343.6210,5688.4553,5748.2986,0.0352,0.0002,,,0,0,336000,76.2,0.045719,0.040497,0.002611
85,339900,,,,,,,,,,,,0,0,340000,76.9,,,
86,343900,102.974149,103.971024,-348.311825,347.8491,347.8817,3375.1702,4045.5343,0.0490,0.3892,,,0,0,344000,77.9,0.034113,0.030087,0.002013
87,347900,142.814062,142.337287,-352.520938,352.4412,352.4322,5765.7027,5511.0178,0.0648,0.0000,,,0,0,348000,78.9,0.038188,0.034769,0.001709
88,351900,126.356384,126.194915,-357.411067,356.7535,356.7603,2781.1377,2575.7120,0.0497,0.0000,,,0,0,352000,80.0,0.045310,0.041175,0.002068
89,355900,130.261836,130.438707,-361.932590,361.1111,361.1069,3653.0868,3156.8285,0.0376,0.0000,,,0,0,356000,81.0,0.050716,0.046366,0.002175
90,359900,,,,,,,,,,,,0,0,360000,81.7,,,
91,363900,135.059248,135.199517,-366.184473,365.3489,365.3523,3939.0533,4042.4191,0.0567,0.0000,,,0,0,364000,82.7,0.006966,0.006172,0.000397
92,367900,151.534855,151.057113,-369.823157,369.5764,369.5723,5655.0004,5344.1515,0.0478,0.0000,,,0,0,368000,83.8,0.028700,0.026334,0.001183
93,371900,129.299796,129.023565,-374.450648,373.7704,373.7592,4682.8845,4305.5295,0.0392,0.0000,,,0,0,372000,84.8,0.005355,0.004720,0.000317
94,375900,97.803005,98.919915,-378.549031,378.3408,378.3608,3274.1785,3817.7712,0.0428,0.0000,,,0,0,376000,85.9,0.000978,0.000923,0.000027
95,379900,,,,,,,,,,,,0,0,380000,86.5,,,
96,383900,115.095945,115.813545,-382.751947,382.0367,382.0316,3231.8723,3416.5271,0.0482,0.0000,,,0,0,384000,87.6,0.000225,0.000207,0.000009
97,387900,151.034227,150.922441,-386.946307,386.6514,386.6515,3340.4810,3271.0775,0.0318,0.0000,,,0,0,388000,88.6,0.000188,0.000173,0.000007
98,391900,177.175720,178.600992,-391.498433,390.8730,390.8717,6731.0878,6909.9621,0.1027,0.0000,,,0,0,392000,89.6,0.004790,0.004259,0.000265
99,395900,163.615687,164.455701,-396.866332,396.2433,396.2354,4054.5626,4199.2107,0.0514,0.0000,,,0,0,396000,90.7,0.007408,0.006756,0.000326
100,399900,,,,,,,,,,,,0,0,400000,91.3,,,
101,403900,148.835604,148.410114,-400.051443,399.8373,399.8470,5274.2851,5043.5440,0.0538,0.0000,42718.73,1001.0,100,56,404000,92.3,0.011977,0.010947,0.000515
102,407900,147.046880,147.407916,-403.985764,403.5225,403.5094,4733.5690,4819.5232,0.0581,0.0000,,,0,0,408000,93.4,0.410978,0.370859,0.020059
103,411900,206.607513,206.775988,-407.893960,407.2884,407.2998,4450.8022,4402.6325,0.0512,0.0000,,,0,0,412000,94.4,0.360984,0.318397,0.021293
104,415900,175.470532,174.743263,-412.893453,411.9886,411.9793,5537.4851,5070.7527,0.0884,0.0000,,,0,0,416000,95.4,0.253447,0.222872,0.015288
105,419900,,,,,,,,,,,,0,0,420000,96.1,,,
106,423900,178.444148,179.358923,-416.719781,415.6392,415.6307,4265.4723,4218.9580,0.0573,0.0000,,,0,0,424000,97.1,0.137352,0.120953,0.008199
107,427900,177.168757,177.716190,-420.157855,419.7097,419.7166,6148.5901,6187.3617,0.0635,0.0000,,,0,0,428000,98.1,0.185044,0.166200,0.009422
108,431900,139.479095,140.040761,-424.813207,424.1946,424.1934,5168.6503,5189.0891,0.0850,0.0000,,,0,0,432000,99.2,0.165338,0.149976,0.007681
109,435900,193.442328,194.271043,-429.058964,428.1674,428.1684,6495.6797,6665.4155,0.0697,0.0000,,,0,0,436000,100.2,0.056395,0.050824,0.002786
110,439900,,,,,,,,,,,,0,0,440000,100.8,,,
111,443900,188.088932,189.043270,-432.812922,431.6242,431.6192,3349.9010,3594.4242,0.0795,0.0000,,,0,0,444000,101.9,0.040368,0.036346,0.002011
112,447900,220.728701,221.474411,-436.754401,436.3815,436.3775,9587.4684,9408.7227,0.1105,0.0000,,,0,0,448000,102.9,0.023252,0.021185,0.001034
113,451900,206.871683,207.766916,-440.928544,440.0285,440.0252,5891.3883,5958.7540,0.0613,0.0000,,,0,0,452000,103.9,0.014595,0.013088,0.000754
114,455900,216.385653,217.847117,-444.388752,443.6229,443.6237,4000.2827,4004.0677,0.0870,0.0000,,,0,0,456000,105.0,0.011074,0.010091,0.000492
115,459900,,,,,,,,,,,,0,0,460000,105.6,,,
116,463900,217.647235,220.265914,-448.895460,448.4227,448.4274,6343.2873,6715.0811,0.0918,0.0000,,,0,0,464000,106.6,0.044188,0.040493,0.001848
117,467900,194.475365,196.155984,-452.827365,452.0310,452.0352,5155.3214,5566.2874,0.0936,0.0000,,,0,0,468000,107.6,0.053832,0.048756,0.002538
118,471900,228.708771,230.245515,-457.672460,456.5357,456.5186,5446.2049,5813.8705,0.0623,0.0000,,,0,0,472000,108.7,0.025510,0.023277,0.001116
119,475900,188.459259,188.597072,-460.881794,460.1157,460.1224,4162.6112,3546.0522,0.1014,0.0000,,,0,0,476000,109.7,0.011103,0.010032,0.000535
120,479900,,,,,,,,,,,,0,0,480000,110.3,,,
121,483900,187.638815,189.001522,-465.806095,464.8490,464.8485,4579.5760,4717.3538,0.0961,0.0000,,,0,0,484000,111.4,0.000628,0.000561,0.000033
122,487900,187.005520,187.563503,-469.501233,468.5450,468.5416,6367.6063,6078.2062,0.1302,0.0000,,,0,0,488000,112.4,0.000239,0.000232,0.000004
123,491900,204.367992,204.619047,-473.951687,473.3918,473.3901,5215.9433,5245.5277,0.1267,0.0000,,,0,0,492000,113.5,0.004395,0.004084,0.000155
124,495900,211.894258,213.594638,-478.076184,477.1095,477.1164,5353.2871,5646.3031,0.0906,0.0000,,,0,0,496000,114.5,0.011484,0.010549,0.000467
125,499900,,,,,,,,,,,,0,0,500000,115.1,,,
126,503900,185.980629,187.240057,-483.103268,481.9313,481.9191,6189.0143,6226.5199,0.1234,0.0000,42173.79,1001.0,100,52,504000,116.1,0.012312,0.011435,0.000438
127,507900,241.312912,238.781421,-485.816791,484.9361,484.9470,7706.2004,7184.2839,0.1713,0.0000,,,0,0,508000,117.2,0.299730,0.277841,0.010945
