epoch,global_step,device,epoch_wall_s,steps_per_sec,updates_per_sec,env_step_total_s,env_step_mean_ms,buffer_sample_total_s,buffer_sample_mean_ms,update_total_s,update_mean_ms,gpu_mem_allocated_mb,gpu_mem_reserved_mb
1,3900,GPU (NVIDIA GeForce RTX 3080),0.32,12669.0,0.0,0.243,6.063,0.000,0.000,0.000,0.000,2.4,4.0
2,7900,GPU (NVIDIA GeForce RTX 3080),0.48,8399.3,0.0,0.369,9.222,0.000,0.000,0.000,0.000,11.6,24.0
3,11900,GPU (NVIDIA GeForce RTX 3080),1.92,2088.1,261.0,0.432,10.804,0.348,0.697,1.099,2.198,26.1,54.0
4,15900,GPU (NVIDIA GeForce RTX 3080),1.87,2137.4,267.2,0.544,13.601,0.348,0.696,0.945,1.890,26.1,54.0
5,19900,GPU (NVIDIA GeForce RTX 3080),0.62,6430.7,0.0,0.589,14.723,0.000,0.000,0.000,0.000,26.1,54.0
6,23900,GPU (NVIDIA GeForce RTX 3080),1.90,2109.8,263.7,0.538,13.438,0.357,0.715,0.965,1.930,26.1,54.0
7,27900,GPU (NVIDIA GeForce RTX 3080),1.94,2060.4,257.6,0.593,14.820,0.357,0.714,0.959,1.917,26.1,54.0
8,31900,GPU (NVIDIA GeForce RTX 3080),1.93,2069.5,258.7,0.594,14.859,0.359,0.718,0.946,1.892,26.1,54.0
9,35900,GPU (NVIDIA GeForce RTX 3080),1.97,2030.8,253.8,0.600,14.991,0.371,0.742,0.966,1.931,26.1,54.0
10,39900,GPU (NVIDIA GeForce RTX 3080),0.63,6367.2,0.0,0.597,14.917,0.000,0.000,0.000,0.000,26.1,54.0
11,43900,GPU (NVIDIA GeForce RTX 3080),1.96,2039.9,255.0,0.592,14.801,0.371,0.743,0.961,1.923,26.1,54.0
12,47900,GPU (NVIDIA GeForce RTX 3080),1.86,2154.3,269.3,0.503,12.568,0.369,0.738,0.949,1.898,26.1,54.0
13,51900,GPU (NVIDIA GeForce RTX 3080),1.87,2134.5,266.8,0.522,13.058,0.364,0.728,0.950,1.900,26.1,54.0
14,55900,GPU (NVIDIA GeForce RTX 3080),2.01,1987.9,248.5,0.578,14.442,0.377,0.754,1.021,2.041,26.1,54.0
15,59900,GPU (NVIDIA GeForce RTX 3080),0.61,6507.1,0.0,0.581,14.530,0.000,0.000,0.000,0.000,26.1,54.0
16,63900,GPU (NVIDIA GeForce RTX 3080),2.03,1969.2,246.1,0.590,14.753,0.381,0.762,1.027,2.053,26.1,54.0
17,67900,GPU (NVIDIA GeForce RTX 3080),1.99,2008.0,251.0,0.573,14.317,0.375,0.750,1.010,2.020,26.1,54.0
18,71900,GPU (NVIDIA GeForce RTX 3080),1.96,2043.3,255.4,0.570,14.255,0.376,0.751,0.978,1.957,26.1,54.0
19,75900,GPU (NVIDIA GeForce RTX 3080),1.97,2031.0,253.9,0.566,14.157,0.378,0.756,0.992,1.984,26.1,54.0
20,79900,GPU (NVIDIA GeForce RTX 3080),0.60,6619.6,0.0,0.572,14.293,0.000,0.000,0.000,0.000,26.1,54.0
21,83900,GPU (NVIDIA GeForce RTX 3080),2.03,1966.2,245.8,0.575,14.370,0.384,0.769,1.039,2.079,26.1,54.0
22,87900,GPU (NVIDIA GeForce RTX 3080),1.96,2039.0,254.9,0.581,14.537,0.370,0.741,0.976,1.952,26.1,54.0
23,91900,GPU (NVIDIA GeForce RTX 3080),2.05,1949.5,243.7,0.625,15.620,0.377,0.755,1.005,2.010,26.1,54.0
24,95900,GPU (NVIDIA GeForce RTX 3080),1.91,2097.7,262.2,0.561,14.026,0.368,0.736,0.944,1.887,26.1,54.0
25,99900,GPU (NVIDIA GeForce RTX 3080),0.60,6689.0,0.0,0.564,14.103,0.000,0.000,0.000,0.000,26.1,54.0
26,103900,GPU (NVIDIA GeForce RTX 3080),1.85,2165.3,270.7,0.458,11.455,0.370,0.740,0.985,1.971,26.1,54.0
27,107900,GPU (NVIDIA GeForce RTX 3080),1.91,2089.5,261.2,0.564,14.101,0.371,0.743,0.946,1.892,26.1,54.0
28,111900,GPU (NVIDIA GeForce RTX 3080),1.98,2025.1,253.1,0.584,14.597,0.373,0.745,0.984,1.968,26.1,54.0
29,115900,GPU (NVIDIA GeForce RTX 3080),2.02,1978.5,247.3,0.583,14.587,0.374,0.748,1.031,2.062,26.1,54.0
30,119900,GPU (NVIDIA GeForce RTX 3080),0.60,6621.7,0.0,0.572,14.304,0.000,0.000,0.000,0.000,26.1,54.0
31,123900,GPU (NVIDIA GeForce RTX 3080),2.03,1974.6,246.8,0.609,15.236,0.368,0.737,1.008,2.016,26.1,54.0
32,127900,GPU (NVIDIA GeForce RTX 3080),2.08,1921.7,240.2,0.589,14.714,0.399,0.798,1.059,2.117,26.1,54.0
33,131900,GPU (NVIDIA GeForce RTX 3080),2.24,1786.4,223.3,0.585,14.627,0.425,0.851,1.196,2.391,26.1,54.0
34,135900,GPU (NVIDIA GeForce RTX 3080),2.27,1765.4,220.7,0.586,14.659,0.447,0.895,1.199,2.397,26.1,54.0
35,139900,GPU (NVIDIA GeForce RTX 3080),0.61,6537.2,0.0,0.578,14.458,0.000,0.000,0.000,0.000,26.1,54.0
36,143900,GPU (NVIDIA GeForce RTX 3080),2.01,1991.4,248.9,0.576,14.410,0.390,0.780,1.010,2.020,26.1,54.0
37,147900,GPU (NVIDIA GeForce RTX 3080),2.09,1916.0,239.5,0.574,14.354,0.409,0.817,1.072,2.143,26.1,54.0
38,151900,GPU (NVIDIA GeForce RTX 3080),1.95,2056.2,257.0,0.561,14.037,0.374,0.748,0.976,1.952,26.1,54.0
39,155900,GPU (NVIDIA GeForce RTX 3080),1.98,2016.9,252.1,0.565,14.123,0.377,0.755,1.008,2.016,26.1,54.0
40,159900,GPU (NVIDIA GeForce RTX 3080),0.60,6614.1,0.0,0.573,14.337,0.000,0.000,0.000,0.000,26.1,54.0
41,163900,GPU (NVIDIA GeForce RTX 3080),1.99,2009.5,251.2,0.575,14.372,0.372,0.743,0.968,1.937,26.1,54.0
42,167900,GPU (NVIDIA GeForce RTX 3080),1.95,2055.8,257.0,0.571,14.276,0.386,0.771,0.954,1.909,26.1,54.0
