epoch,step,loss_q,loss_pi,q_val,grad_q,grad_pi,mean_return,mean_length,episodes,buffer_size,elapsed_s
1,3900,,,,,,,,0,4000,0.3
2,7900,,,,,,,,0,8000,0.8
3,11900,104.360057,-53.208051,53.0281,240.7371,0.0004,,,0,12000,2.7
4,15900,122.458494,-133.026121,132.8571,152.8125,0.0001,,,0,16000,4.6
5,19900,,,,,,,,0,20000,5.2
6,23900,74.477837,-222.526541,221.9819,184.3477,0.0040,,,0,24000,7.1
7,27900,88.393284,-323.977858,322.2725,409.1453,0.0013,,,0,28000,9.0
8,31900,101.023996,-429.983904,427.6766,758.5935,0.0000,,,0,32000,11.0
9,35900,113.077212,-538.002845,535.5561,1215.6205,0.0000,,,0,36000,12.9
10,39900,,,,,,,,0,40000,13.6
11,43900,122.397912,-646.355271,643.9904,1525.2403,0.0000,,,0,44000,15.5
12,47900,130.791480,-755.980679,752.9873,1919.2396,0.0328,,,0,48000,17.4
13,51900,215.063058,-867.831146,864.3312,3178.4193,0.0234,,,0,52000,19.3
14,55900,225.770197,-980.790342,976.8194,3179.4150,0.1147,,,0,56000,21.3
15,59900,,,,,,,,0,60000,21.9
16,63900,242.877725,-1091.018099,1086.8361,3313.4161,0.1621,,,0,64000,23.9
17,67900,256.414070,-1196.496942,1192.2014,3627.4419,0.1710,,,0,68000,25.9
18,71900,281.311165,-1298.464280,1294.0962,4063.1852,0.2178,,,0,72000,27.9
19,75900,310.355511,-1396.255957,1391.8821,4287.2870,0.2942,,,0,76000,29.8
20,79900,,,,,,,,0,80000,30.4
21,83900,338.873948,-1493.288790,1488.7177,5099.4714,0.3644,,,0,84000,32.5
22,87900,371.720610,-1585.923185,1581.5423,5706.1804,0.3468,,,0,88000,34.4
23,91900,379.180251,-1676.416187,1672.1544,6099.9962,0.4228,,,0,92000,36.5
24,95900,372.521398,-1763.770805,1759.6501,6010.1485,0.3675,,,0,96000,38.4
25,99900,,,,,,54317.95,1000.0,100,100000,39.0
26,103900,3557.326304,-1847.577967,1843.5980,7629.2671,0.3445,,,0,104000,40.8
27,107900,3697.120708,-1952.598805,1948.5811,7831.9580,0.3487,,,0,108000,42.8
28,111900,3849.113089,-2060.172101,2056.0599,7978.8638,0.2248,,,0,112000,44.7
29,115900,4186.338887,-2167.538161,2163.4162,9233.8542,0.0828,,,0,116000,46.8
30,119900,,,,,,,,0,120000,47.4
31,123900,4208.645193,-2278.600168,2274.4142,10783.5673,0.0975,,,0,124000,49.4
32,127900,4791.387380,-2388.417440,2384.3874,11691.6781,0.0449,,,0,128000,51.5
33,131900,5044.842038,-2500.012335,2496.0596,12511.0760,0.0502,,,0,132000,53.7
34,135900,5226.653988,-2609.179570,2605.2058,12846.9282,0.1232,,,0,136000,56.0
35,139900,,,,,,,,0,140000,56.6
36,143900,5222.901359,-2719.435603,2715.4663,14472.7102,0.0713,,,0,144000,58.6
37,147900,5441.995012,-2829.842541,2825.8405,13894.6031,0.0012,,,0,148000,60.7
38,151900,6016.170570,-2939.419503,2935.4907,15463.7522,0.0011,,,0,152000,62.6
39,155900,5723.069269,-3044.792985,3040.8689,17611.3230,0.0000,,,0,156000,64.6
40,159900,,,,,,,,0,160000,65.2
41,163900,5659.361493,-3151.589251,3147.7789,19318.5744,0.0000,,,0,164000,67.2
42,167900,5810.943910,-3259.721749,3256.0716,20013.3003,0.0000,,,0,168000,69.2
43,171900,6585.645727,-3365.063333,3361.4516,21609.1028,0.0000,,,0,172000,71.1
44,175900,6601.037562,-3468.343090,3464.7686,23590.6594,0.0000,,,0,176000,73.1
45,179900,,,,,,,,0,180000,73.7
46,183900,6822.355831,-3573.631693,3570.1315,25970.3798,0.0000,,,0,184000,76.0
47,187900,7325.061731,-3680.328743,3676.7132,27744.0417,0.0000,,,0,188000,78.4
48,191900,7322.561096,-3782.322491,3778.6823,25966.1755,0.0000,,,0,192000,80.7
49,195900,6834.693464,-3882.899043,3879.3951,26581.7340,0.0000,,,0,196000,82.8
50,199900,,,,,,,,0,200000,83.5
51,203900,17513.343872,-3979.048161,3975.6953,30634.5579,0.0000,97881.06,1001.0,100,204000,85.6
52,207900,18367.213096,-4071.704532,4068.3198,32419.4670,0.0000,,,0,208000,87.8
53,211900,17654.724277,-4163.714104,4160.5681,31794.7281,0.0000,,,0,212000,90.1
54,215900,17695.657848,-4257.815476,4254.8191,36066.1523,0.0000,,,0,216000,92.4
55,219900,,,,,,,,0,220000,93.0
56,223900,17995.470468,-4343.741784,4341.1348,36545.1974,0.0000,,,0,224000,95.3
57,227900,18487.348588,-4431.639659,4429.2177,40945.5175,0.0000,,,0,228000,97.6
58,231900,19258.119301,-4516.496851,4513.9266,38817.4510,0.0000,,,0,232000,99.9
59,235900,19607.085001,-4603.510414,4600.8848,36327.3726,0.0000,,,0,236000,102.1
60,239900,,,,,,,,0,240000,102.7
61,243900,19956.233849,-4686.495507,4683.9691,38384.0236,0.0000,,,0,244000,105.0
62,247900,18924.863180,-4767.117413,4764.5573,40456.6489,0.0000,,,0,248000,107.1
63,251900,19654.361233,-4852.556091,4849.9465,38997.3428,0.0000,,,0,252000,109.1
64,255900,19173.095243,-4934.195634,4931.4495,37046.8509,0.0000,,,0,256000,111.1
65,259900,,,,,,,,0,260000,111.7
66,263900,19299.035754,-5012.409351,5009.7227,52128.8297,0.0000,,,0,264000,113.8
67,267900,20590.486045,-5089.625032,5086.9541,41823.9113,0.0000,,,0,268000,115.7
68,271900,20415.197014,-5168.589137,5165.9405,43136.6672,0.1297,,,0,272000,117.6
69,275900,20441.552478,-5248.396777,5245.7165,45588.1080,0.2326,,,0,276000,119.6
70,279900,,,,,,,,0,280000,120.2
71,283900,20449.006649,-5322.403129,5319.7497,49265.4252,0.2674,,,0,284000,122.1
72,287900,22256.724695,-5395.668495,5393.0759,48185.9446,0.2780,,,0,288000,124.1
73,291900,21405.910288,-5464.569619,5461.9177,53790.3092,0.2350,,,0,292000,126.1
74,295900,20410.491619,-5535.820485,5533.2132,51825.9253,0.2505,,,0,296000,128.1
75,299900,,,,,,,,0,300000,128.7
76,303900,21828.813188,-5607.224914,5604.5368,48375.8635,0.2808,96620.81,1001.0,100,304000,130.7
77,307900,34170.789864,-5669.221743,5666.6545,50730.2187,0.2792,,,0,308000,132.6
78,311900,33331.493893,-5732.122400,5729.5226,48756.6243,0.2415,,,0,312000,134.5
79,315900,34124.006397,-5793.111830,5790.5924,53888.0824,0.3056,,,0,316000,136.7
80,319900,,,,,,,,0,320000,137.3
81,323900,33211.047059,-5853.459535,5850.9070,53149.4592,0.3671,,,0,324000,139.3
82,327900,34446.963005,-5914.927170,5912.3309,58773.0875,0.2881,,,0,328000,141.2
83,331900,35020.458592,-5967.776400,5965.3174,46689.6520,0.2596,,,0,332000,143.2
84,335900,36163.088615,-6024.194581,6021.8381,54673.2009,0.2420,,,0,336000,145.1
85,339900,,,,,,,,0,340000,145.7
86,343900,36406.355087,-6081.086475,6078.7877,48892.5254,0.2354,,,0,344000,147.7
87,347900,35875.956788,-6134.923979,6132.6541,52218.9222,0.2726,,,0,348000,149.6
88,351900,34441.038220,-6186.742204,6184.5260,51432.6996,0.2726,,,0,352000,151.5
89,355900,39293.495329,-6236.534747,6234.3914,52562.4249,0.2904,,,0,356000,153.5
90,359900,,,,,,,,0,360000,154.1
91,363900,33655.128765,-6288.358118,6286.2279,47979.4564,0.2397,,,0,364000,156.0
92,367900,33525.020996,-6341.662082,6339.5806,59664.5746,0.2364,,,0,368000,158.0
93,371900,34890.923630,-6390.032770,6387.9591,55205.7007,0.2727,,,0,372000,159.9
94,375900,38181.606376,-6437.534867,6435.4772,61167.3304,0.3113,,,0,376000,161.8
95,379900,,,,,,,,0,380000,162.4
96,383900,34522.437844,-6483.960805,6481.8534,52591.4594,0.2553,,,0,384000,164.3
97,387900,36973.825143,-6531.748629,6529.6885,55133.2816,0.2862,,,0,388000,166.2
98,391900,34971.784210,-6577.164453,6575.1902,64772.4502,0.3079,,,0,392000,168.1
99,395900,36490.721148,-6625.525116,6623.6509,55775.8788,0.3156,,,0,396000,170.1
100,399900,,,,,,,,0,400000,170.7
1,3900,,,,,,,,,,,0,4000,0.3
2,7900,,,,,,,,,,,0,8000,0.9
3,11900,334.185770,281.395871,-23.426407,22.3404,23.8547,1262.4466,1022.4795,0.0832,,,0,12000,1.6
4,15900,258.799598,244.780007,-39.703296,39.3554,39.5813,660.7239,690.8262,0.0435,,,0,16000,2.3
5,19900,,,,,,,,,,,0,20000,2.9
6,23900,201.752824,180.706877,-51.112290,50.3777,50.4303,678.7119,709.9118,0.0410,,,0,24000,3.6
7,27900,123.057803,113.024706,-61.524187,61.1684,61.1994,446.3256,449.3868,0.0045,,,0,28000,4.4
8,31900,93.836426,84.588112,-69.220817,68.7918,68.7989,388.5885,399.6354,0.0002,,,0,32000,5.2
9,35900,72.966399,63.896930,-76.207571,75.5994,75.6111,545.3684,498.5547,0.0002,,,0,36000,6.0
10,39900,,,,,,,,,,,0,40000,6.6
11,43900,57.871084,50.697588,-82.840339,82.2668,82.2463,470.3650,526.0421,0.0001,,,0,44000,7.4
12,47900,47.933884,42.420639,-89.612862,88.7056,88.6766,474.1227,551.1446,0.0001,,,0,48000,8.2
13,51900,40.070179,35.933545,-96.323057,95.5753,95.5732,667.0073,574.9762,0.0001,,,0,52000,9.0
