epoch,global_step,device,epoch_wall_s,steps_per_sec,updates_per_sec,env_step_total_s,env_step_mean_ms,buffer_sample_total_s,buffer_sample_mean_ms,update_total_s,update_mean_ms,gpu_mem_allocated_mb,gpu_mem_reserved_mb
1,3999,GPU (NVIDIA GeForce RTX 3080),1.53,2613.9,0.0,1.289,0.322,0.000,0.000,0.000,0.000,2.4,4.0
1,3900,GPU (NVIDIA GeForce RTX 3080),0.45,8882.4,0.0,0.220,5.510,0.000,0.000,0.000,0.000,3.7,4.0
2,7900,GPU (NVIDIA GeForce RTX 3080),0.45,8986.3,0.0,0.324,8.105,0.000,0.000,0.000,0.000,12.8,26.0
3,11900,GPU (NVIDIA GeForce RTX 3080),1.94,2062.6,257.8,0.395,9.879,0.323,0.645,1.179,2.358,29.2,58.0
4,15900,GPU (NVIDIA GeForce RTX 3080),1.85,2159.8,270.0,0.466,11.642,0.324,0.648,1.021,2.042,29.2,58.0
5,19900,GPU (NVIDIA GeForce RTX 3080),0.47,8441.1,0.0,0.394,9.859,0.000,0.000,0.000,0.000,29.2,58.0
6,23900,GPU (NVIDIA GeForce RTX 3080),1.81,2206.5,275.8,0.405,10.131,0.335,0.669,1.029,2.057,29.2,58.0
7,27900,GPU (NVIDIA GeForce RTX 3080),1.82,2197.1,274.6,0.410,10.254,0.336,0.672,1.031,2.061,29.2,58.0
8,31900,GPU (NVIDIA GeForce RTX 3080),1.79,2238.4,279.8,0.381,9.535,0.338,0.676,1.026,2.052,29.2,58.0
9,35900,GPU (NVIDIA GeForce RTX 3080),1.82,2197.0,274.6,0.406,10.149,0.344,0.688,1.028,2.055,29.2,58.0
10,39900,GPU (NVIDIA GeForce RTX 3080),0.43,9343.0,0.0,0.386,9.652,0.000,0.000,0.000,0.000,29.2,58.0
11,43900,GPU (NVIDIA GeForce RTX 3080),1.83,2181.6,272.7,0.421,10.518,0.342,0.683,1.023,2.046,29.2,58.0
12,47900,GPU (NVIDIA GeForce RTX 3080),1.85,2160.2,270.0,0.420,10.501,0.349,0.698,1.038,2.077,29.2,58.0
13,51900,GPU (NVIDIA GeForce RTX 3080),1.84,2176.9,272.1,0.414,10.351,0.349,0.698,1.034,2.068,29.2,58.0
14,55900,GPU (NVIDIA GeForce RTX 3080),1.84,2173.3,271.7,0.407,10.168,0.349,0.699,1.044,2.089,29.2,58.0
15,59900,GPU (NVIDIA GeForce RTX 3080),0.50,7954.5,0.0,0.460,11.507,0.000,0.000,0.000,0.000,29.2,58.0
16,63900,GPU (NVIDIA GeForce RTX 3080),1.84,2169.1,271.1,0.433,10.824,0.345,0.691,1.029,2.057,29.2,58.0
17,67900,GPU (NVIDIA GeForce RTX 3080),1.85,2160.8,270.1,0.447,11.182,0.345,0.689,1.018,2.036,29.2,58.0
18,71900,GPU (NVIDIA GeForce RTX 3080),1.91,2099.0,262.4,0.474,11.842,0.355,0.710,1.035,2.070,29.2,58.0
19,75900,GPU (NVIDIA GeForce RTX 3080),1.89,2116.7,264.6,0.460,11.499,0.346,0.693,1.012,2.025,29.2,58.0
20,79900,GPU (NVIDIA GeForce RTX 3080),0.51,7838.6,0.0,0.469,11.716,0.000,0.000,0.000,0.000,29.2,58.0
21,83900,GPU (NVIDIA GeForce RTX 3080),1.88,2126.8,265.9,0.462,11.551,0.352,0.704,1.024,2.048,29.2,58.0
22,87900,GPU (NVIDIA GeForce RTX 3080),1.97,2025.8,253.2,0.456,11.388,0.353,0.706,1.125,2.250,29.2,58.0
23,91900,GPU (NVIDIA GeForce RTX 3080),1.88,2123.1,265.4,0.477,11.921,0.348,0.696,1.017,2.035,29.2,58.0
24,95900,GPU (NVIDIA GeForce RTX 3080),1.87,2139.5,267.4,0.459,11.469,0.346,0.693,1.023,2.046,29.2,58.0
25,99900,GPU (NVIDIA GeForce RTX 3080),0.50,8017.0,0.0,0.461,11.519,0.000,0.000,0.000,0.000,29.2,58.0
26,103900,GPU (NVIDIA GeForce RTX 3080),1.89,2114.6,264.3,0.482,12.056,0.351,0.701,1.017,2.034,29.2,58.0
27,107900,GPU (NVIDIA GeForce RTX 3080),1.85,2161.5,270.2,0.442,11.048,0.349,0.699,1.019,2.038,29.2,58.0
28,111900,GPU (NVIDIA GeForce RTX 3080),1.89,2117.7,264.7,0.464,11.608,0.353,0.705,1.032,2.065,29.2,58.0
29,115900,GPU (NVIDIA GeForce RTX 3080),1.88,2133.1,266.6,0.465,11.632,0.347,0.693,1.024,2.048,29.2,58.0
30,119900,GPU (NVIDIA GeForce RTX 3080),0.50,8025.0,0.0,0.459,11.485,0.000,0.000,0.000,0.000,29.2,58.0
31,123900,GPU (NVIDIA GeForce RTX 3080),1.90,2108.1,263.5,0.471,11.787,0.350,0.700,1.031,2.062,29.2,58.0
32,127900,GPU (NVIDIA GeForce RTX 3080),1.94,2061.7,257.7,0.464,11.602,0.350,0.700,1.058,2.116,29.2,58.0
33,131900,GPU (NVIDIA GeForce RTX 3080),1.89,2115.1,264.4,0.485,12.117,0.348,0.697,1.016,2.033,29.2,58.0
34,135900,GPU (NVIDIA GeForce RTX 3080),1.90,2101.9,262.7,0.474,11.853,0.358,0.716,1.029,2.059,29.2,58.0
35,139900,GPU (NVIDIA GeForce RTX 3080),0.50,8080.0,0.0,0.456,11.402,0.000,0.000,0.000,0.000,29.2,58.0
36,143900,GPU (NVIDIA GeForce RTX 3080),1.87,2143.8,268.0,0.467,11.680,0.349,0.699,1.010,2.020,29.2,58.0
37,147900,GPU (NVIDIA GeForce RTX 3080),1.92,2085.5,260.7,0.481,12.033,0.354,0.707,1.042,2.083,29.2,58.0
38,151900,GPU (NVIDIA GeForce RTX 3080),1.92,2084.1,260.5,0.468,11.696,0.353,0.706,1.060,2.119,29.2,58.0
39,155900,GPU (NVIDIA GeForce RTX 3080),1.97,2031.7,254.0,0.482,12.044,0.354,0.708,1.093,2.186,29.2,58.0
40,159900,GPU (NVIDIA GeForce RTX 3080),0.53,7589.6,0.0,0.487,12.175,0.000,0.000,0.000,0.000,29.2,58.0
41,163900,GPU (NVIDIA GeForce RTX 3080),1.86,2144.8,268.1,0.466,11.659,0.347,0.694,1.007,2.014,29.2,58.0
42,167900,GPU (NVIDIA GeForce RTX 3080),1.92,2088.3,261.0,0.483,12.087,0.358,0.716,1.033,2.066,29.2,58.0
43,171900,GPU (NVIDIA GeForce RTX 3080),1.89,2119.0,264.9,0.479,11.987,0.351,0.701,1.017,2.034,29.2,58.0
44,175900,GPU (NVIDIA GeForce RTX 3080),1.90,2100.2,262.5,0.495,12.382,0.351,0.701,1.017,2.035,29.2,58.0
45,179900,GPU (NVIDIA GeForce RTX 3080),0.53,7487.6,0.0,0.494,12.356,0.000,0.000,0.000,0.000,29.2,58.0
46,183900,GPU (NVIDIA GeForce RTX 3080),1.85,2157.8,269.7,0.442,11.042,0.352,0.704,1.020,2.041,29.2,58.0
47,187900,GPU (NVIDIA GeForce RTX 3080),1.87,2138.2,267.3,0.453,11.327,0.354,0.708,1.022,2.044,29.2,58.0
48,191900,GPU (NVIDIA GeForce RTX 3080),1.86,2147.5,268.4,0.453,11.325,0.352,0.704,1.017,2.034,29.2,58.0
49,195900,GPU (NVIDIA GeForce RTX 3080),1.96,2045.2,255.6,0.463,11.568,0.354,0.708,1.085,2.170,29.2,58.0
50,199900,GPU (NVIDIA GeForce RTX 3080),0.49,8118.1,0.0,0.455,11.377,0.000,0.000,0.000,0.000,29.2,58.0
51,203900,GPU (NVIDIA GeForce RTX 3080),1.89,2114.2,264.3,0.480,12.011,0.350,0.700,1.015,2.031,29.2,58.0
52,207900,GPU (NVIDIA GeForce RTX 3080),1.89,2120.6,265.1,0.475,11.869,0.350,0.700,1.021,2.041,29.2,58.0
53,211900,GPU (NVIDIA GeForce RTX 3080),1.90,2107.4,263.4,0.461,11.517,0.352,0.704,1.020,2.040,29.2,58.0
54,215900,GPU (NVIDIA GeForce RTX 3080),1.90,2101.2,262.7,0.481,12.019,0.353,0.706,1.028,2.057,29.2,58.0
55,219900,GPU (NVIDIA GeForce RTX 3080),0.49,8140.0,0.0,0.452,11.312,0.000,0.000,0.000,0.000,29.2,58.0
56,223900,GPU (NVIDIA GeForce RTX 3080),1.88,2132.9,266.6,0.476,11.900,0.348,0.696,1.009,2.018,29.2,58.0
57,227900,GPU (NVIDIA GeForce RTX 3080),1.86,2146.7,268.3,0.455,11.365,0.348,0.695,1.022,2.043,29.2,58.0
58,231900,GPU (NVIDIA GeForce RTX 3080),1.87,2138.9,267.4,0.461,11.534,0.351,0.702,1.016,2.033,29.2,58.0
59,235900,GPU (NVIDIA GeForce RTX 3080),1.91,2089.4,261.2,0.474,11.856,0.356,0.712,1.043,2.085,29.2,58.0
60,239900,GPU (NVIDIA GeForce RTX 3080),0.54,7453.7,0.0,0.468,11.692,0.000,0.000,0.000,0.000,29.2,58.0
61,243900,GPU (NVIDIA GeForce RTX 3080),1.90,2101.5,262.7,0.469,11.736,0.355,0.711,1.035,2.069,29.2,58.0
62,247900,GPU (NVIDIA GeForce RTX 3080),1.90,2110.3,263.8,0.476,11.905,0.352,0.703,1.026,2.053,29.2,58.0
63,251900,GPU (NVIDIA GeForce RTX 3080),1.88,2125.5,265.7,0.463,11.580,0.352,0.705,1.026,2.051,29.2,58.0
