epoch,step,loss_q1,loss_q2,loss_pi,q1_val,q2_val,grad_q1,grad_q2,grad_pi,mean_return,mean_length,episodes,buffer_size,elapsed_s
1,3900,,,,,,,,,109.01,23.5,114,4000,0.3
2,7900,,,,,,,,,112.06,24.8,160,8000,0.7
3,11900,1.066743,1.069121,-7.662888,7.3309,7.3304,6.8213,6.6449,0.0084,97.65,22.0,203,12000,2.6
4,15900,2.512329,2.442783,-12.808013,12.3625,12.3628,24.0344,26.2770,0.0161,58.49,15.3,274,16000,4.4
5,19900,,,,,,,,,54.38,14.0,290,20000,4.9
6,23900,5.696433,5.598110,-17.053123,16.6240,16.6230,44.0788,49.0131,0.0006,54.24,13.9,292,24000,6.7
7,27900,9.836134,9.821774,-20.562924,20.2026,20.2016,72.5305,82.2874,0.0001,54.09,13.9,287,28000,8.6
8,31900,14.504878,14.851336,-23.531385,23.1850,23.1852,122.7905,136.1508,0.0000,54.30,13.9,282,32000,10.4
9,35900,19.279109,19.387489,-25.844051,25.5697,25.5702,198.1123,203.0065,0.0000,54.56,13.9,287,36000,12.3
10,39900,,,,,,,,,54.38,13.9,290,40000,12.8
11,43900,23.822245,23.888434,-28.151458,27.7399,27.7413,301.0509,310.0774,0.0824,64.98,16.0,236,44000,14.6
12,47900,40.206678,40.577424,-31.439735,30.5100,30.5118,501.4518,516.2704,0.2703,78.05,18.9,199,48000,16.5
13,51900,47.363861,47.412510,-34.326171,33.3891,33.3947,673.9317,694.5313,0.3928,87.55,20.7,199,52000,18.3
14,55900,52.372584,51.665977,-36.979179,35.9724,35.9706,631.5282,724.1703,0.5412,81.00,19.5,200,56000,20.2
15,59900,,,,,,,,,90.51,21.5,192,60000,20.7
16,63900,58.671376,57.965900,-39.493561,38.5033,38.5035,759.9039,795.5638,0.7386,98.21,22.8,151,64000,22.5
17,67900,63.321248,62.860984,-41.480539,40.3904,40.3894,891.7462,1002.6927,0.8587,126.70,27.8,150,68000,24.4
18,71900,69.684809,69.844183,-43.553298,42.2999,42.3016,1009.4336,1113.3424,0.8868,125.44,27.2,150,72000,26.3
19,75900,75.409994,76.054903,-45.769434,44.3551,44.3566,1089.1765,1077.8987,1.0551,109.18,24.3,166,76000,28.1
20,79900,,,,,,,,,108.34,24.0,171,80000,28.6
21,83900,83.691812,83.170375,-48.038857,46.4636,46.4651,1148.9159,1277.0200,1.0949,112.75,24.3,158,84000,30.5
22,87900,93.272127,92.631301,-50.083138,48.4643,48.4654,1207.2728,1517.9528,1.1393,113.44,24.5,176,88000,32.4
23,91900,99.433309,100.628806,-52.025264,50.2693,50.2642,1347.3642,1529.3305,1.0909,98.55,22.1,177,92000,34.3
24,95900,108.907026,109.706945,-53.639638,51.8772,51.8847,1501.5078,1839.5463,1.1986,101.91,22.8,176,96000,36.2
25,99900,,,,,,,,,110.97,24.4,155,100000,36.6
26,103900,114.720976,117.254866,-55.250987,53.3916,53.3947,1543.3532,1622.3954,1.2585,112.49,24.7,166,104000,38.5
27,107900,121.430650,123.290937,-56.659928,54.8258,54.8287,1582.3793,1761.5317,1.1825,121.17,26.2,148,108000,40.4
28,111900,126.240567,128.453242,-57.869363,56.0256,56.0202,1599.6429,1821.5146,1.2044,129.27,27.6,138,112000,42.3
29,115900,130.502911,131.385407,-59.145067,57.2686,57.2764,1758.4137,2025.5407,1.2905,164.02,32.3,118,116000,44.2
30,119900,,,,,,,,,128.82,26.6,173,120000,44.7
31,123900,136.077719,136.736816,-60.378441,58.4900,58.4919,1804.9280,1806.7400,1.1967,101.98,22.8,180,124000,46.6
32,127900,144.828305,144.774407,-61.574472,59.6238,59.6274,1805.9405,1981.2847,1.3272,91.57,21.6,184,128000,48.4
33,131900,150.083747,152.408566,-62.710360,60.8129,60.8204,1818.6708,1884.2218,1.2966,87.04,20.9,194,132000,50.3
34,135900,157.566629,158.232604,-63.590203,61.6924,61.6915,1922.8871,1973.9049,1.3541,90.53,21.6,179,136000,52.1
35,139900,,,,,,,,,81.65,20.1,203,140000,52.6
36,143900,163.467548,164.937636,-64.580857,62.6258,62.6359,1856.2384,2000.8633,1.2705,78.24,19.9,205,144000,54.5
37,147900,168.039657,169.819354,-65.015839,63.1367,63.1404,1794.2661,2014.0688,1.4690,82.31,20.6,192,148000,56.4
38,151900,175.134939,175.566493,-65.645274,63.6876,63.6896,1926.6872,2000.2235,1.4639,89.30,21.7,189,152000,58.4
39,155900,180.407967,180.996115,-66.001576,64.0582,64.0648,2003.1978,2016.1050,1.4767,81.67,20.2,194,156000,60.2
40,159900,,,,,,,,,94.60,22.0,171,160000,60.6
41,163900,180.212033,182.633904,-66.386788,64.4732,64.4696,2039.8818,2102.3434,1.6464,99.55,23.2,171,164000,62.6
42,167900,181.536923,184.882337,-66.544729,64.6218,64.6222,2002.6537,2034.0055,1.6617,101.75,24.4,159,168000,64.4
43,171900,185.502286,188.524715,-66.652181,64.7748,64.7700,1834.2737,2060.0788,1.6658,110.95,27.3,145,172000,66.3
44,175900,187.424108,190.986701,-66.863899,64.9640,64.9697,1962.0210,2010.4409,1.6972,134.72,29.4,126,176000,68.2
45,179900,,,,,,,,,144.53,32.0,133,180000,68.7
46,183900,184.319480,188.227041,-66.860591,64.9953,64.9955,1977.2483,1906.7801,1.7069,144.49,32.3,122,184000,70.6
47,187900,186.371056,187.624120,-66.873144,65.0495,65.0573,2126.9240,2022.1668,1.9776,137.57,31.0,127,188000,72.6
48,191900,184.181914,185.958793,-66.959363,65.1935,65.2023,2097.7763,2096.5706,1.9629,134.14,31.0,128,192000,74.5
49,195900,183.890133,185.947312,-66.958895,65.1504,65.1490,1998.2486,2080.7122,1.7376,148.69,34.7,107,196000,76.3
50,199900,,,,,,,,,170.73,39.2,83,200000,76.9
51,203900,180.683750,182.511525,-66.900155,65.0837,65.0922,2031.2278,2059.9024,1.9363,216.49,48.7,72,204000,78.8
52,207900,174.473076,174.528863,-66.811756,65.0952,65.0939,1933.9706,2034.3354,1.9092,288.19,63.1,53,208000,80.7
53,211900,209.679340,210.423593,-68.061913,65.7172,65.7234,2152.5973,2402.4158,2.0334,327.13,72.2,58,212000,82.6
54,215900,237.054048,239.084728,-68.910669,66.6508,66.6566,2417.7561,2710.0956,2.0542,308.16,68.3,67,216000,84.5
55,219900,,,,,,,,,283.11,63.6,55,220000,85.0
56,223900,210.983291,211.444000,-68.979119,66.9931,66.9899,2345.8164,2850.0579,2.0586,302.66,67.4,53,224000,87.0
57,227900,193.310741,192.862197,-69.193370,67.3072,67.3161,2133.2758,2713.6242,2.1321,299.54,67.7,76,228000,89.0
58,231900,203.735036,203.432366,-70.072314,67.9897,67.9848,2175.0713,2875.9649,2.1697,255.05,59.5,64,232000,91.0
59,235900,195.564019,196.742402,-70.545059,68.5996,68.6086,2400.6677,2907.5964,2.3608,266.46,61.3,49,236000,92.9
60,239900,,,,,,,,,300.08,69.9,58,240000,93.4
61,243900,180.391582,180.095486,-70.925414,69.0308,69.0256,2255.0237,2794.9057,2.2257,318.98,71.5,62,244000,95.4
62,247900,169.873223,171.442173,-71.464704,69.4887,69.4932,2105.7733,2719.3341,2.2556,269.38,61.7,75,248000,97.4
63,251900,165.898115,167.430763,-71.875256,70.0614,70.0691,2057.6625,2540.5610,2.2141,281.18,63.1,54,252000,99.4
64,255900,163.648505,164.732155,-72.702166,70.6522,70.6530,2099.5902,2552.5046,2.1911,303.55,65.1,68,256000,101.3
65,259900,,,,,,,,,284.37,60.7,65,260000,101.8
66,263900,171.915699,172.329195,-73.697157,71.5681,71.5707,2318.4972,2662.7271,2.1668,288.27,62.2,59,264000,103.8
67,267900,167.078067,167.875318,-74.184175,72.2597,72.2582,2275.3348,2570.1304,2.3279,288.20,63.0,70,268000,105.8
68,271900,160.767780,162.080753,-74.947910,72.9666,72.9687,2194.3434,2782.9655,2.3008,292.86,63.2,54,272000,107.7
69,275900,164.549787,165.906128,-75.995309,73.8416,73.8353,2384.3143,2713.4843,2.3873,317.63,68.5,61,276000,109.7
70,279900,,,,,,,,,316.39,67.4,63,280000,110.2
71,283900,168.280173,169.147494,-76.826346,74.6897,74.6975,2390.1668,3034.3583,2.4640,309.62,67.4,57,284000,112.2
72,287900,168.743993,167.479467,-77.900444,75.6425,75.6498,2419.5904,3057.4142,2.5069,326.11,71.4,54,288000,114.1
73,291900,170.429454,171.625294,-78.879100,76.6251,76.6283,2551.1342,3121.3537,2.5233,324.13,72.4,46,292000,116.1
74,295900,175.123992,175.282489,-79.754177,77.4942,77.5025,2617.1526,3334.8998,2.3827,319.86,73.0,60,296000,118.1
75,299900,,,,,,,,,341.67,75.5,58,300000,118.7
76,303900,174.741673,176.441281,-80.666142,78.3519,78.3625,2563.3421,3082.3969,2.4563,317.95,70.3,52,304000,120.6
77,307900,177.786971,178.634090,-81.709170,79.2854,79.2865,2694.7281,3305.6516,2.4818,361.11,79.3,41,308000,122.6
78,311900,180.050520,179.613062,-82.690259,80.2385,80.2425,2725.8153,3544.8087,2.4486,392.53,85.6,48,312000,124.6
79,315900,182.684210,181.774225,-83.701322,81.2224,81.2277,2836.2872,3561.3015,2.5156,391.97,86.6,51,316000,126.5
80,319900,,,,,,,,,355.86,79.7,47,320000,127.1
81,323900,185.588198,186.734081,-84.626426,82.1254,82.1222,3102.1842,3554.2881,2.5466,366.57,82.9,45,324000,129.0
82,327900,186.540427,187.701252,-85.573794,83.0291,83.0343,3063.8271,3649.6297,3.0982,391.20,86.2,48,328000,131.0
83,331900,192.765953,192.754220,-86.562498,83.9223,83.9237,2955.7859,3838.3869,2.8140,328.65,74.0,67,332000,133.0
84,335900,194.537254,192.455938,-87.579282,85.0211,85.0213,3201.8436,3947.0614,2.6810,327.64,74.7,41,336000,134.9
85,339900,,,,,,,,,320.54,74.9,62,340000,135.4
86,343900,196.133529,196.382010,-88.580367,85.9793,85.9938,3138.5575,3805.0480,3.0788,344.83,80.8,39,344000,137.4
87,347900,203.109941,202.041014,-89.626783,86.9759,86.9783,3221.5133,4093.8808,3.1392,342.29,79.5,60,348000,139.3
88,351900,200.284755,202.888940,-90.520775,87.8830,87.8830,3427.9576,3909.4519,3.0464,342.92,80.5,44,352000,141.3
89,355900,204.899879,207.124829,-91.292970,88.7149,88.7203,3408.5893,4035.8862,2.9368,350.56,83.1,46,356000,143.2
90,359900,,,,,,,,,379.58,85.8,44,360000,143.7
91,363900,210.722289,212.849596,-92.236361,89.5508,89.5549,3542.7380,4068.2551,3.2233,403.63,89.9,45,364000,145.6
92,367900,213.672174,216.479915,-93.238603,90.5136,90.5167,3672.1528,4336.8905,3.0833,407.61,92.8,42,368000,147.7
93,371900,218.477424,220.468477,-94.079854,91.2479,91.2420,3654.5504,4153.8533,3.0373,384.85,85.4,48,372000,149.6
94,375900,223.021072,223.111291,-95.031313,92.2004,92.2111,3815.8360,4677.9965,2.6460,361.09,79.2,70,376000,151.5
95,379900,,,,,,,,,314.67,67.4,53,380000,152.0
96,383900,227.906576,226.119518,-95.854086,93.0641,93.0677,4003.1755,4460.9501,3.0351,322.69,68.5,55,384000,154.0
97,387900,229.709494,231.560112,-96.486397,93.6741,93.6796,3794.6423,4290.2115,3.0570,295.77,63.5,80,388000,156.0
98,391900,232.011031,235.777288,-97.421048,94.5470,94.5429,3979.2847,4480.9175,2.9095,290.88,61.7,38,392000,157.9
99,395900,235.352753,239.245104,-98.127512,95.2534,95.2546,4020.8272,4786.9722,2.8395,351.66,74.8,66,396000,159.9
100,399900,,,,,,,,,347.71,72.9,45,400000,160.5
101,403900,238.023724,239.538381,-98.605113,95.7692,95.7723,4010.0171,4729.5295,2.7286,323.73,70.4,67,404000,162.4
102,407900,240.054443,240.601480,-99.439565,96.6255,96.6220,4132.6498,4599.8493,3.1080,312.86,67.3,54,408000,164.4
103,411900,245.289839,245.416851,-99.866659,97.0484,97.0395,4288.0165,5084.5063,3.3354,357.28,75.6,42,412000,166.3
104,415900,244.023721,246.982683,-100.588758,97.7770,97.7759,4045.3015,5217.0512,3.0512,401.22,83.6,53,416000,168.3
105,419900,,,,,,,,,367.63,78.1,52,420000,168.8
106,423900,249.919798,251.318430,-101.395177,98.4836,98.4849,4486.4315,5310.8371,3.0347,359.23,76.2,53,424000,170.8
107,427900,246.625913,250.437857,-102.182251,99.2749,99.2754,4204.1105,5130.2566,3.1076,379.06,79.7,49,428000,172.7
108,431900,251.563325,253.078013,-102.805635,99.8931,99.8916,4391.9591,4902.7534,2.6919,371.22,77.7,56,432000,174.6
109,435900,253.132617,253.154862,-103.510867,100.6319,100.6304,4242.8404,5218.2525,2.9555,375.69,78.0,46,436000,176.6
110,439900,,,,,,,,,369.88,75.8,58,440000,177.1
111,443900,257.853098,255.699740,-104.214060,101.3587,101.3529,4654.9457,5472.8038,2.8236,387.09,80.3,31,444000,179.1
112,447900,255.163980,258.496380,-104.774078,101.9820,101.9863,4420.2358,5471.7975,3.2319,427.00,92.5,41,448000,181.1
113,451900,263.415999,264.850211,-105.371837,102.5858,102.5970,4432.4868,5454.6397,3.2641,445.12,98.0,58,452000,183.0
114,455900,266.526847,265.183296,-105.982495,103.1669,103.1629,4632.4013,5143.9660,3.1012,371.57,81.4,43,456000,184.9
115,459900,,,,,,,,,363.86,81.5,39,460000,185.4
116,463900,267.365055,268.708789,-106.471768,103.6982,103.6940,4717.3873,5007.8909,3.2853,382.11,85.7,58,464000,187.4
117,467900,272.064781,270.569819,-107.019858,104.1822,104.1761,4818.4619,5621.2321,3.1156,410.64,91.0,31,468000,189.3
118,471900,265.660019,269.153100,-107.547892,104.7057,104.7092,4859.7749,5577.6115,3.0290,403.43,92.9,50,472000,191.3
119,475900,269.511946,271.898398,-108.357511,105.5032,105.5055,4815.0441,5549.4924,3.0999,463.51,105.9,35,476000,193.2
120,479900,,,,,,,,,408.04,91.1,49,480000,193.8
121,483900,271.028717,274.670074,-109.042691,106.1284,106.1267,4747.2934,5545.4431,3.1540,404.57,88.7,41,484000,195.7
122,487900,273.443720,274.841878,-109.666558,106.8479,106.8469,4731.8836,5642.0980,3.1133,415.31,87.9,52,488000,197.7
123,491900,277.443153,277.686935,-110.139570,107.4358,107.4311,4795.6337,5797.8764,3.0403,395.70,84.1,49,492000,199.6
124,495900,278.340745,275.386853,-110.849031,107.9670,107.9701,4907.2266,5565.2567,2.6529,347.86,75.8,53,496000,201.6
125,499900,,,,,,,,,342.85,75.6,58,500000,202.1
126,503900,276.288730,273.992101,-111.550057,108.6619,108.6578,4687.2590,5623.8773,3.0406,283.67,63.4,75,504000,204.0
127,507900,283.119435,278.950307,-111.910088,109.0809,109.0811,5080.4702,5874.4419,3.1854,262.24,57.7,75,508000,205.9
128,511900,282.010847,279.022907,-112.361990,109.6013,109.6053,5099.2876,5538.0446,3.1516,251.85,55.7,58,512000,207.9
