epoch,global_step,device,epoch_wall_s,steps_per_sec,updates_per_sec,env_step_total_s,env_step_mean_ms,buffer_sample_total_s,buffer_sample_mean_ms,update_total_s,update_mean_ms,gpu_mem_allocated_mb,gpu_mem_reserved_mb
1,3900,GPU (NVIDIA GeForce RTX 3080),1.71,2343.6,0.0,1.213,30.330,0.000,0.000,0.000,0.000,4.3,6.0
2,7900,GPU (NVIDIA GeForce RTX 3080),2.80,1429.6,0.0,1.384,34.612,0.000,0.000,0.000,0.000,13.4,26.0
1,3999,GPU (NVIDIA GeForce RTX 3080),1.58,2526.5,0.0,1.252,0.313,0.000,0.000,0.000,0.000,4.3,6.0
1,3900,GPU (NVIDIA GeForce RTX 3080),0.58,6853.1,0.0,0.335,8.365,0.000,0.000,0.000,0.000,5.6,8.0
2,7900,GPU (NVIDIA GeForce RTX 3080),0.78,5117.8,0.0,0.525,13.113,0.000,0.000,0.000,0.000,14.7,28.0
3,11900,GPU (NVIDIA GeForce RTX 3080),6.90,579.8,72.5,0.592,14.794,0.932,1.865,5.207,10.415,33.1,64.0
4,15900,GPU (NVIDIA GeForce RTX 3080),6.81,587.5,73.4,0.671,16.775,0.944,1.888,5.024,10.048,33.1,64.0
5,19900,GPU (NVIDIA GeForce RTX 3080),0.71,5605.8,0.0,0.561,14.025,0.000,0.000,0.000,0.000,33.1,64.0
6,23900,GPU (NVIDIA GeForce RTX 3080),6.84,584.5,73.1,0.580,14.501,0.985,1.970,5.134,10.268,33.1,64.0
7,27900,GPU (NVIDIA GeForce RTX 3080),6.96,574.7,71.8,0.580,14.512,1.008,2.015,5.177,10.354,33.1,64.0
8,31900,GPU (NVIDIA GeForce RTX 3080),6.94,576.5,72.1,0.555,13.870,0.962,1.924,5.262,10.523,33.1,64.0
9,35900,GPU (NVIDIA GeForce RTX 3080),6.70,597.4,74.7,0.525,13.130,0.987,1.974,5.048,10.096,33.1,64.0
10,39900,GPU (NVIDIA GeForce RTX 3080),0.73,5481.8,0.0,0.550,13.747,0.000,0.000,0.000,0.000,33.1,64.0
11,43900,GPU (NVIDIA GeForce RTX 3080),7.01,570.6,71.3,0.604,15.097,0.993,1.986,5.251,10.502,33.1,64.0
12,47900,GPU (NVIDIA GeForce RTX 3080),7.00,571.0,71.4,0.709,17.722,0.990,1.980,5.080,10.160,33.1,64.0
13,51900,GPU (NVIDIA GeForce RTX 3080),7.15,559.2,69.9,0.679,16.976,0.967,1.934,5.346,10.691,33.1,64.0
14,55900,GPU (NVIDIA GeForce RTX 3080),6.69,597.7,74.7,0.617,15.425,0.930,1.860,4.995,9.991,33.1,64.0
15,59900,GPU (NVIDIA GeForce RTX 3080),0.82,4884.8,0.0,0.682,17.051,0.000,0.000,0.000,0.000,33.1,64.0
16,63900,GPU (NVIDIA GeForce RTX 3080),6.97,574.2,71.8,0.627,15.682,0.986,1.971,5.206,10.413,33.1,64.0
17,67900,GPU (NVIDIA GeForce RTX 3080),6.90,579.6,72.5,0.677,16.922,0.972,1.944,5.077,10.154,33.1,64.0
18,71900,GPU (NVIDIA GeForce RTX 3080),6.87,582.1,72.8,0.627,15.674,1.016,2.032,5.106,10.212,33.1,64.0
19,75900,GPU (NVIDIA GeForce RTX 3080),7.13,561.0,70.1,0.703,17.581,0.986,1.973,5.251,10.501,33.1,64.0
20,79900,GPU (NVIDIA GeForce RTX 3080),0.90,4464.1,0.0,0.716,17.905,0.000,0.000,0.000,0.000,33.1,64.0
21,83900,GPU (NVIDIA GeForce RTX 3080),6.84,584.4,73.1,0.661,16.528,0.997,1.993,5.051,10.101,33.1,64.0
22,87900,GPU (NVIDIA GeForce RTX 3080),7.21,554.9,69.4,0.668,16.689,1.037,2.073,5.303,10.606,33.1,64.0
23,91900,GPU (NVIDIA GeForce RTX 3080),6.71,595.8,74.5,0.719,17.965,0.953,1.906,4.877,9.754,33.1,64.0
24,95900,GPU (NVIDIA GeForce RTX 3080),7.14,560.2,70.0,0.625,15.634,1.004,2.008,5.374,10.748,33.1,64.0
25,99900,GPU (NVIDIA GeForce RTX 3080),0.76,5278.8,0.0,0.632,15.791,0.000,0.000,0.000,0.000,33.1,64.0
26,103900,GPU (NVIDIA GeForce RTX 3080),6.78,589.8,73.7,0.659,16.472,0.998,1.997,4.939,9.879,33.1,64.0
27,107900,GPU (NVIDIA GeForce RTX 3080),7.23,552.9,69.1,0.649,16.231,1.007,2.014,5.388,10.777,33.1,64.0
28,111900,GPU (NVIDIA GeForce RTX 3080),7.23,553.1,69.1,0.659,16.471,1.001,2.002,5.431,10.862,33.1,64.0
29,115900,GPU (NVIDIA GeForce RTX 3080),7.90,506.6,63.3,0.684,17.094,1.039,2.078,5.984,11.969,33.1,64.0
30,119900,GPU (NVIDIA GeForce RTX 3080),0.81,4956.2,0.0,0.654,16.341,0.000,0.000,0.000,0.000,33.1,64.0
31,123900,GPU (NVIDIA GeForce RTX 3080),8.08,495.3,61.9,0.700,17.506,1.118,2.236,6.083,12.166,33.1,64.0
32,127900,GPU (NVIDIA GeForce RTX 3080),7.08,565.4,70.7,0.686,17.144,1.002,2.003,5.228,10.455,33.1,64.0
33,131900,GPU (NVIDIA GeForce RTX 3080),7.25,551.6,68.9,0.696,17.409,0.996,1.992,5.372,10.745,33.1,64.0
34,135900,GPU (NVIDIA GeForce RTX 3080),8.01,499.6,62.4,0.661,16.531,1.083,2.167,6.092,12.183,33.1,64.0
35,139900,GPU (NVIDIA GeForce RTX 3080),0.86,4664.1,0.0,0.715,17.879,0.000,0.000,0.000,0.000,33.1,64.0
36,143900,GPU (NVIDIA GeForce RTX 3080),7.46,536.5,67.1,0.680,17.003,0.993,1.985,5.601,11.201,33.1,64.0
37,147900,GPU (NVIDIA GeForce RTX 3080),7.97,501.7,62.7,0.657,16.417,1.073,2.147,6.094,12.188,33.1,64.0
38,151900,GPU (NVIDIA GeForce RTX 3080),7.34,544.9,68.1,0.718,17.944,0.997,1.995,5.444,10.889,33.1,64.0
39,155900,GPU (NVIDIA GeForce RTX 3080),7.12,561.8,70.2,0.658,16.450,0.978,1.955,5.337,10.675,33.1,64.0
40,159900,GPU (NVIDIA GeForce RTX 3080),0.79,5088.7,0.0,0.642,16.039,0.000,0.000,0.000,0.000,33.1,64.0
41,163900,GPU (NVIDIA GeForce RTX 3080),7.79,513.7,64.2,0.710,17.742,1.059,2.117,5.854,11.707,33.1,64.0
42,167900,GPU (NVIDIA GeForce RTX 3080),7.29,548.8,68.6,0.706,17.647,1.021,2.041,5.402,10.803,33.1,64.0
43,171900,GPU (NVIDIA GeForce RTX 3080),7.00,571.6,71.4,0.634,15.843,0.968,1.937,5.240,10.480,33.1,64.0
44,175900,GPU (NVIDIA GeForce RTX 3080),7.77,515.1,64.4,0.628,15.704,1.109,2.219,5.900,11.800,33.1,64.0
45,179900,GPU (NVIDIA GeForce RTX 3080),0.88,4544.7,0.0,0.726,18.154,0.000,0.000,0.000,0.000,33.1,64.0
46,183900,GPU (NVIDIA GeForce RTX 3080),7.22,553.8,69.2,0.704,17.601,1.025,2.050,5.329,10.659,33.1,64.0
47,187900,GPU (NVIDIA GeForce RTX 3080),7.87,508.2,63.5,0.602,15.046,1.092,2.183,6.062,12.124,33.1,64.0
