epoch,step,loss_q1,loss_q2,loss_pi,q1_val,q2_val,grad_q1,grad_q2,grad_pi_rob,grad_pi_adv,mean_return,mean_length,episodes,dist_episodes,buffer_size,elapsed_s
1,3900,,,,,,,,,,103.53,22.5,121,52,4000,0.5
2,7900,,,,,,,,,,110.63,24.4,162,85,8000,1.1
3,11900,1.126494,1.133758,-7.886945,7.4819,7.4795,8.6414,7.4637,0.0070,0.0019,96.95,21.9,207,99,12000,7.1
4,15900,1.618729,1.515948,-12.876954,12.4035,12.4041,28.3063,28.1572,0.0304,0.0000,59.36,15.1,265,130,16000,12.5
5,19900,,,,,,,,,,62.70,15.4,277,139,20000,13.1
6,23900,3.767716,3.713886,-17.185846,16.7454,16.7456,76.2990,62.1986,0.0380,0.0167,62.93,15.7,228,110,24000,18.7
7,27900,6.281314,6.034375,-21.414212,20.9084,20.9084,125.2333,89.4877,0.1116,0.0476,64.87,16.2,268,127,28000,24.3
8,31900,9.170556,8.503975,-25.036239,24.5414,24.5432,175.9012,164.3757,0.1639,0.0484,64.06,16.0,232,102,32000,29.9
9,35900,12.883220,12.040369,-28.265740,27.6382,27.6379,233.4813,258.3437,0.3151,0.0608,65.09,16.2,261,130,36000,35.5
10,39900,,,,,,,,,,66.25,16.3,238,128,40000,36.0
11,43900,17.843482,17.183555,-31.122454,30.4551,30.4537,313.0457,392.8267,0.4389,0.0853,64.53,16.1,254,136,44000,41.7
12,47900,23.019773,22.256889,-33.540239,32.9027,32.9005,398.9084,489.5706,0.5643,0.0901,64.99,16.3,242,106,48000,47.2
13,51900,31.148743,31.001504,-35.906972,35.2147,35.2111,451.7145,663.6148,0.6128,0.0950,66.90,16.6,241,120,52000,52.8
14,55900,41.518400,41.362431,-37.901922,37.2024,37.1977,564.1632,821.2998,0.6260,0.1200,66.20,16.4,243,115,56000,58.3
15,59900,,,,,,,,,,100.23,22.9,156,72,60000,58.9
16,63900,51.923230,50.175463,-40.262522,39.4710,39.4677,657.5605,981.9001,0.5287,0.1216,119.48,26.8,127,58,64000,64.4
17,67900,61.763456,60.960230,-43.212013,42.1420,42.1353,782.8548,1153.8909,0.7340,0.1301,174.63,37.7,98,53,68000,70.0
18,71900,73.455627,71.133108,-46.260946,44.9192,44.9180,888.4529,1327.4072,0.9083,0.1298,147.84,33.3,137,79,72000,75.6
19,75900,79.471897,77.283623,-49.005152,47.5055,47.5114,1001.5685,1442.5739,1.0349,0.1264,160.57,37.0,96,45,76000,81.2
20,79900,,,,,,,,,,209.47,46.3,67,35,80000,81.8
21,83900,82.722025,80.882026,-52.109632,50.4307,50.4365,1103.7800,1506.0583,1.4166,0.1488,282.41,57.9,72,31,84000,87.6
22,87900,87.916505,85.218013,-55.302301,53.4331,53.4359,1249.9668,1708.3841,1.5206,0.1513,291.30,59.9,53,26,88000,93.2
23,91900,91.232885,88.273865,-58.365464,56.4109,56.4237,1370.0400,1848.0363,1.9091,0.1682,293.31,59.6,81,42,92000,98.9
