epoch,global_step,device,epoch_wall_s,steps_per_sec,updates_per_sec,env_step_total_s,env_step_mean_ms,buffer_sample_total_s,buffer_sample_mean_ms,update_total_s,update_mean_ms,gpu_mem_allocated_mb,gpu_mem_reserved_mb
1,3900,GPU (NVIDIA GeForce RTX 3080),0.34,11657.4,0.0,0.217,5.414,0.000,0.000,0.000,0.000,7.3,8.0
2,7900,GPU (NVIDIA GeForce RTX 3080),0.45,8873.6,0.0,0.309,7.725,0.000,0.000,0.000,0.000,16.4,30.0
3,11900,GPU (NVIDIA GeForce RTX 3080),2.42,1650.5,206.3,0.389,9.735,0.326,0.652,1.366,2.731,40.1,76.0
4,15900,GPU (NVIDIA GeForce RTX 3080),2.35,1703.7,213.0,0.464,11.600,0.337,0.674,1.266,2.532,40.1,76.0
5,19900,GPU (NVIDIA GeForce RTX 3080),0.46,8755.3,0.0,0.394,9.849,0.000,0.000,0.000,0.000,40.1,76.0
6,23900,GPU (NVIDIA GeForce RTX 3080),2.37,1689.1,211.1,0.377,9.427,0.349,0.697,1.299,2.598,40.1,76.0
7,27900,GPU (NVIDIA GeForce RTX 3080),2.29,1748.4,218.5,0.391,9.770,0.349,0.698,1.265,2.529,40.1,76.0
8,31900,GPU (NVIDIA GeForce RTX 3080),2.31,1734.6,216.8,0.412,10.301,0.351,0.702,1.262,2.524,40.1,76.0
9,35900,GPU (NVIDIA GeForce RTX 3080),2.35,1700.8,212.6,0.384,9.604,0.360,0.720,1.267,2.534,40.1,76.0
10,39900,GPU (NVIDIA GeForce RTX 3080),0.54,7417.0,0.0,0.478,11.950,0.000,0.000,0.000,0.000,40.1,76.0
11,43900,GPU (NVIDIA GeForce RTX 3080),2.43,1649.1,206.1,0.487,12.181,0.356,0.712,1.257,2.514,40.1,76.0
12,47900,GPU (NVIDIA GeForce RTX 3080),2.35,1704.8,213.1,0.459,11.469,0.357,0.713,1.247,2.494,40.1,76.0
13,51900,GPU (NVIDIA GeForce RTX 3080),2.31,1729.0,216.1,0.422,10.562,0.356,0.713,1.254,2.508,40.1,76.0
14,55900,GPU (NVIDIA GeForce RTX 3080),2.35,1698.6,212.3,0.406,10.161,0.361,0.721,1.265,2.529,40.1,76.0
15,59900,GPU (NVIDIA GeForce RTX 3080),0.49,8125.2,0.0,0.429,10.730,0.000,0.000,0.000,0.000,40.1,76.0
16,63900,GPU (NVIDIA GeForce RTX 3080),2.36,1696.8,212.1,0.445,11.129,0.355,0.710,1.250,2.500,40.1,76.0
17,67900,GPU (NVIDIA GeForce RTX 3080),2.32,1724.9,215.6,0.439,10.964,0.354,0.708,1.245,2.491,40.1,76.0
18,71900,GPU (NVIDIA GeForce RTX 3080),2.34,1706.2,213.3,0.418,10.453,0.367,0.734,1.284,2.569,40.1,78.0
19,75900,GPU (NVIDIA GeForce RTX 3080),2.39,1673.8,209.2,0.459,11.463,0.362,0.724,1.248,2.496,40.1,78.0
20,79900,GPU (NVIDIA GeForce RTX 3080),0.53,7514.5,0.0,0.466,11.642,0.000,0.000,0.000,0.000,40.1,78.0
21,83900,GPU (NVIDIA GeForce RTX 3080),2.40,1669.1,208.6,0.452,11.308,0.362,0.724,1.269,2.538,40.1,78.0
22,87900,GPU (NVIDIA GeForce RTX 3080),2.37,1685.3,210.7,0.473,11.834,0.362,0.725,1.254,2.507,40.1,78.0
