epoch,step,loss_q1,loss_q2,loss_pi,q1_val,q2_val,grad_q1,grad_q2,grad_pi_rob,grad_pi_adv,mean_return,mean_length,episodes,dist_episodes,buffer_size,elapsed_s,det_loss,det_dist_loss,det_alpha_loss
1,3900,,,,,,,,,,105.84,22.8,115,58,4000,0.3,,,
2,7900,,,,,,,,,,118.89,26.1,147,83,8000,0.8,,,
3,11900,1.068988,1.091669,-7.843644,7.3959,7.3941,7.0367,7.0409,0.0264,0.0021,137.34,29.4,108,52,12000,3.4,0.852207,0.676937,0.087635
4,15900,1.525294,1.520985,-13.241027,13.1581,13.1583,25.1802,29.1612,0.0241,0.0000,149.78,32.9,152,73,16000,5.7,0.781681,0.657301,0.062190
5,19900,,,,,,,,,,121.10,27.1,153,68,20000,6.2,,,
6,23900,3.772444,3.738614,-18.327948,18.1776,18.1771,58.5909,80.0185,0.0787,0.0007,78.20,18.5,238,117,24000,8.5,0.771974,0.652807,0.059583
7,27900,7.316145,7.287383,-22.394848,22.1582,22.1557,98.6843,147.2303,0.1393,0.0005,71.50,17.4,237,124,28000,10.9,0.739900,0.625531,0.057184
8,31900,12.463456,12.198406,-26.326245,26.0462,26.0447,139.5419,206.4665,0.1991,0.0000,75.59,18.7,207,103,32000,13.3,0.714488,0.605976,0.054256
9,35900,17.302199,17.068228,-29.755645,29.4013,29.3992,181.6004,255.7535,0.2679,0.0000,71.98,17.4,231,122,36000,15.6,0.707604,0.603089,0.052258
10,39900,,,,,,,,,,77.90,19.8,195,105,40000,16.1,,,
11,43900,25.695904,25.380103,-33.222946,32.7394,32.7360,235.0105,333.5218,0.3588,0.0000,92.65,23.1,159,68,44000,18.5,0.694880,0.595725,0.049578
12,47900,33.412501,32.905028,-36.774921,36.1699,36.1669,297.2488,413.9819,0.4972,0.0002,106.09,25.7,169,85,48000,20.9,0.702714,0.602640,0.050037
13,51900,41.830583,41.223410,-40.154752,39.4063,39.4038,358.7016,540.9708,0.6865,0.0000,96.55,22.5,147,66,52000,23.4,0.716178,0.616294,0.049942
14,55900,49.299699,47.372264,-43.619407,42.7003,42.6966,422.7789,635.2100,0.9793,0.0000,140.89,31.6,115,70,56000,25.8,0.728875,0.626235,0.051320
15,59900,,,,,,,,,,161.68,37.5,112,54,60000,26.3,,,
