epoch,step,loss_q,loss_pi,q_val,grad_q,grad_pi,mean_return,mean_length,episodes,buffer_size,elapsed_s
1,3900,,,,,,104.09,22.4,113,4000,0.3
2,7900,,,,,,116.51,25.7,140,8000,0.8
3,11900,1.445376,-10.815506,10.4967,14.1915,0.0099,155.66,33.4,104,12000,2.7
4,15900,4.304003,-22.339320,22.0644,86.6819,0.0184,176.70,37.2,148,16000,4.6
5,19900,,,,,,59.52,15.0,278,20000,5.1
6,23900,12.188057,-31.836486,31.4129,199.4469,0.1049,54.60,14.2,281,24000,6.9
7,27900,24.019939,-38.898788,38.3878,316.1027,0.1801,54.42,14.3,286,28000,8.7
8,31900,38.773324,-43.919990,43.3745,419.5443,0.2259,55.89,14.6,275,32000,10.6
9,35900,64.920884,-48.786184,48.0361,587.9889,0.3500,61.87,15.4,245,36000,12.5
10,39900,,,,,,84.18,21.2,173,40000,13.0
11,43900,88.776090,-54.747641,53.6366,776.0814,0.5581,113.31,27.8,114,44000,14.9
12,47900,106.587398,-61.747240,60.2425,968.3668,0.7040,177.72,41.6,89,48000,16.8
13,51900,126.343189,-69.004013,67.2460,1175.9360,0.9455,170.74,36.6,121,52000,18.7
14,55900,152.002950,-76.345491,74.3497,1399.9469,1.1379,161.13,33.8,125,56000,20.6
15,59900,,,,,,163.98,34.2,121,60000,21.1
16,63900,173.553716,-83.253791,81.1997,1629.9147,1.3673,146.47,31.9,119,64000,22.9
17,67900,199.986511,-89.446044,87.2982,1883.3876,1.5761,142.86,32.8,102,68000,24.8
18,71900,222.323234,-95.534871,93.2586,2044.0782,1.9183,187.89,41.2,102,72000,26.7
19,75900,254.328541,-101.588048,99.2659,2290.7359,2.0310,159.76,34.8,121,76000,28.4
20,79900,,,,,,121.76,27.1,167,80000,28.9
21,83900,283.123936,-107.191397,104.8335,2417.1445,2.1819,114.12,25.4,149,84000,30.7
22,87900,309.347359,-112.184902,109.9031,2640.8379,2.3045,126.30,27.4,148,88000,32.5
23,91900,345.714810,-116.381640,114.1117,2787.4064,2.3956,106.53,23.8,180,92000,34.2
24,95900,379.869825,-120.371498,118.0252,3025.9944,2.5982,104.96,23.6,166,96000,36.0
25,99900,,,,,,129.21,28.3,122,100000,36.5
26,103900,401.386555,-124.007692,121.6510,3117.8956,2.8342,170.11,36.1,90,104000,38.4
27,107900,427.257919,-127.582635,125.1574,3297.8052,3.0416,235.01,48.6,80,108000,40.4
28,111900,447.046518,-131.108964,128.6912,3575.3399,3.1491,252.84,52.2,69,112000,42.4
29,115900,465.110906,-134.606603,132.1203,3677.4716,3.3378,288.89,60.3,66,116000,44.4
30,119900,,,,,,289.82,61.7,65,120000,45.0
31,123900,473.933878,-138.178925,135.6731,3671.6744,3.4561,285.44,62.0,64,124000,46.9
32,127900,479.475032,-141.643418,139.1215,3816.5223,3.5433,328.45,70.2,51,128000,48.8
33,131900,492.499568,-145.271208,142.6811,3974.6599,3.6394,335.15,70.3,58,132000,50.8
34,135900,499.263698,-148.689921,146.0876,4220.0926,3.6239,284.04,64.4,64,136000,52.8
35,139900,,,,,,305.73,69.0,50,140000,53.3
